total_cumulative_return,profit_factor,max_drawdown,last_year_drawdown,sharpe_ratio,volatility,num_trades,data_points,reference_coin,trading_coin,trading_type,trades_saved
1.281511,1.174608,-0.453644,-0.052426,0.539107,0.350990,168,11483,1000LUNC,1000SHIB,longs,168
1.233108,1.131219,-0.283637,-0.236337,0.450839,0.354561,171,11483,1000LUNC,1000SHIB,shorts,171
1.580242,1.151646,-0.389616,-0.217138,0.700704,0.498171,339,11483,1000LUNC,1000SHIB,both,339
1.256655,1.142023,-0.342415,-0.088454,0.565137,0.308385,186,11483,1000LUNC,1000XEC,longs,186
0.471890,0.722073,-0.670292,-0.302343,-0.889352,0.644199,191,11483,1000LUNC,1000XEC,shorts,191
0.593003,0.878778,-0.762091,-0.202452,-0.557838,0.714618,377,11483,1000LUNC,1000XEC,both,377
0.360933,0.523580,-0.671066,-0.078958,-1.911156,0.406774,152,11483,1000LUNC,1INCH,longs,152
0.904412,0.950180,-0.380454,-0.260952,-0.208087,0.368332,208,11483,1000LUNC,1INCH,shorts,208
0.326432,0.730601,-0.765538,-0.292641,-1.551987,0.550297,360,11483,1000LUNC,1INCH,both,360
0.819383,0.907775,-0.576068,-0.175054,-0.399907,0.380004,183,11483,1000LUNC,AAVE,longs,183
1.102183,1.037309,-0.494847,-0.369563,0.158800,0.467389,215,11483,1000LUNC,AAVE,shorts,215
0.903110,0.978625,-0.722903,-0.356452,-0.129191,0.601780,398,11483,1000LUNC,AAVE,both,398
0.652962,0.767862,-0.541656,-0.083194,-0.981954,0.331137,170,11483,1000LUNC,ADA,longs,170
0.644007,0.809495,-0.486301,-0.458117,-0.770572,0.435645,201,11483,1000LUNC,ADA,shorts,201
0.420513,0.791057,-0.675641,-0.407883,-1.209256,0.546499,371,11483,1000LUNC,ADA,both,371
1.082353,1.039620,-0.373876,-0.141495,0.158922,0.379879,191,11483,1000LUNC,ALGO,longs,191
0.635557,0.820235,-0.584104,-0.512815,-0.806179,0.428903,200,11483,1000LUNC,ALGO,shorts,200
0.687896,0.917209,-0.676285,-0.554867,-0.498359,0.572682,391,11483,1000LUNC,ALGO,both,391
1.157060,1.074663,-0.420410,-0.090443,0.277719,0.400724,173,11483,1000LUNC,ALICE,longs,173
1.126624,1.048928,-0.490465,-0.285828,0.212482,0.428051,215,11483,1000LUNC,ALICE,shorts,215
1.303572,1.060380,-0.592079,-0.203574,0.345364,0.585591,388,11483,1000LUNC,ALICE,both,388
1.291688,1.136154,-0.309555,-0.099279,0.482041,0.405060,175,11483,1000LUNC,ALPHA,longs,175
2.206169,1.327913,-0.392368,-0.117362,1.223177,0.493489,219,11483,1000LUNC,ALPHA,shorts,219
2.849682,1.243942,-0.480075,-0.158589,1.252336,0.637912,394,11483,1000LUNC,ALPHA,both,394
0.705350,0.824295,-0.610124,-0.058777,-0.652189,0.408298,165,11483,1000LUNC,ANKR,longs,165
0.873380,0.939986,-0.394170,-0.108700,-0.223843,0.461396,184,11483,1000LUNC,ANKR,shorts,184
