Open time,High,Low,Close,Volume,Number of trades
2021-01-01 00:00:00,7.34,6.901,7.108,5087.501,272.0
2021-01-01 01:00:00,7.503,6.917,6.975,5177.75,283.0
2021-01-01 02:00:00,7.471,6.7,6.771,5614.566,437.0
2021-01-01 03:00:00,6.92,6.659,6.899,3131.792,278.0
2021-01-01 04:00:00,7.239,6.405,6.7,14281.982,717.0
2021-01-01 05:00:00,6.797,6.495,6.691,5075.599,351.0
2021-01-01 06:00:00,6.9,6.522,6.9,2810.784,267.0
2021-01-01 07:00:00,6.9,6.544,6.71,3919.794,266.0
2021-01-01 08:00:00,6.702,6.442,6.496,5134.97,276.0
2021-01-01 09:00:00,6.58,6.327,6.4,7599.095,381.0
2021-01-01 10:00:00,6.351,5.861,6.099,16697.57,813.0
2021-01-01 11:00:00,6.12,5.965,6.104,13473.375,591.0
2021-01-01 12:00:00,6.213,5.951,5.999,14043.935,556.0
2021-01-01 13:00:00,6.129,5.692,5.75,15030.252,636.0
2021-01-01 14:00:00,6.999,5.631,6.579,64240.187,2188.0
2021-01-01 15:00:00,7.25,6.114,6.513,51743.499,1716.0
2021-01-01 16:00:00,6.832,6.31,6.403,9263.417,510.0
2021-01-01 17:00:00,6.483,6.08,6.16,8436.404,377.0
2021-01-01 18:00:00,6.306,6.087,6.25,6890.887,296.0
2021-01-01 19:00:00,6.35,6.07,6.168,4952.96,260.0
2021-01-01 20:00:00,6.25,6.067,6.151,3725.113,233.0
2021-01-01 21:00:00,7.4,6.15,6.675,39801.98,1381.0
2021-01-01 22:00:00,6.8,6.351,6.539,13357.381,584.0
2021-01-01 23:00:00,7.29,6.539,7.111,15423.345,771.0
2021-01-02 00:00:00,7.34,6.8,7.047,9276.299,512.0
2021-01-02 01:00:00,6.973,6.63,6.754,4715.914,263.0
2021-01-02 02:00:00,7.09,6.59,6.8,3275.209,267.0
2021-01-02 03:00:00,6.898,6.541,6.557,2605.488,227.0
2021-01-02 04:00:00,6.745,6.464,6.625,2292.686,209.0
2021-01-02 05:00:00,7.405,6.625,7.106,18207.798,1277.0
2021-01-02 06:00:00,7.365,6.988,7.056,4048.376,279.0
2021-01-02 07:00:00,7.4,7.003,7.25,10108.148,563.0
2021-01-02 08:00:00,7.34,7.163,7.163,7547.695,449.0
2021-01-02 09:00:00,7.958,7.121,7.698,27863.025,1039.0
2021-01-02 10:00:00,7.725,7.226,7.362,14660.577,666.0
2021-01-02 11:00:00,7.779,7.362,7.622,12336.989,500.0
2021-01-02 12:00:00,7.691,6.937,7.0,20619.836,1166.0
2021-01-02 13:00:00,7.05,6.641,6.778,19146.138,1066.0
2021-01-02 14:00:00,7.005,6.661,6.9,11394.486,489.0
2021-01-02 15:00:00,6.9,6.555,6.571,12092.743,426.0
2021-01-02 16:00:00,6.555,6.16,6.368,14643.337,819.0
2021-01-02 17:00:00,6.501,6.15,6.305,14077.036,585.0
2021-01-02 18:00:00,6.5,6.081,6.082,10483.969,445.0
2021-01-02 19:00:00,6.304,5.912,5.939,13217.889,536.0
2021-01-02 20:00:00,6.32,5.909,5.909,8107.456,364.0
2021-01-02 21:00:00,6.17,5.683,6.061,7200.327,471.0
2021-01-02 22:00:00,6.25,5.999,6.163,1691.35,167.0
2021-01-02 23:00:00,6.164,5.772,5.826,2394.807,218.0
2021-01-03 00:00:00,6.268,5.826,6.191,4331.071,207.0
2021-01-03 01:00:00,6.27,5.882,5.991,4684.297,306.0
2021-01-03 02:00:00,6.167,5.908,5.909,1894.672,126.0
2021-01-03 03:00:00,6.1,5.858,6.004,1968.97,110.0
2021-01-03 04:00:00,6.073,5.711,5.863,4203.598,295.0
2021-01-03 05:00:00,5.956,5.71,5.926,4898.094,286.0
2021-01-03 06:00:00,5.926,5.702,5.718,5312.828,264.0
2021-01-03 07:00:00,5.965,5.664,5.708,4497.101,300.0
2021-01-03 08:00:00,5.859,5.65,5.672,3574.647,187.0
2021-01-03 09:00:00,5.793,5.666,5.701,1765.802,176.0
2021-01-03 10:00:00,5.92,5.65,5.79,7658.849,333.0
2021-01-03 11:00:00,5.915,5.71,5.87,4394.401,356.0
2021-01-03 12:00:00,5.9,5.752,5.838,5523.907,291.0
2021-01-03 13:00:00,5.861,5.69,5.718,3928.482,255.0
2021-01-03 14:00:00,5.763,5.505,5.61,13414.15,519.0
2021-01-03 15:00:00,5.69,5.298,5.311,15349.788,632.0
2021-01-03 16:00:00,5.498,5.154,5.25,16774.986,743.0
2021-01-03 17:00:00,5.449,5.2,5.343,8488.921,346.0
2021-01-03 18:00:00,5.449,5.251,5.389,4669.96,214.0
2021-01-03 19:00:00,5.42,5.271,5.298,4193.698,169.0
2021-01-03 20:00:00,5.375,5.288,5.319,4011.902,157.0
2021-01-03 21:00:00,5.388,5.278,5.386,2057.48,131.0
2021-01-03 22:00:00,5.359,5.017,5.024,9452.816,336.0
2021-01-03 23:00:00,5.104,5.015,5.091,6030.146,269.0
2021-01-04 00:00:00,5.119,5.012,5.029,5051.84,190.0
2021-01-04 01:00:00,5.018,4.826,4.98,11606.916,468.0
2021-01-04 02:00:00,5.19,4.901,5.122,5788.531,282.0
2021-01-04 03:00:00,5.204,5.042,5.13,2951.988,120.0
2021-01-04 04:00:00,5.101,4.775,4.941,8209.443,435.0
2021-01-04 05:00:00,5.132,4.741,4.789,7178.076,343.0
2021-01-04 06:00:00,4.885,4.68,4.754,12613.759,432.0
2021-01-04 07:00:00,4.899,4.7,4.797,7823.061,272.0
2021-01-04 08:00:00,4.822,4.6,4.643,5774.946,253.0
2021-01-04 09:00:00,4.853,4.5,4.594,9365.095,415.0
2021-01-04 10:00:00,5.199,4.221,4.45,18088.436,636.0
2021-01-04 11:00:00,4.6,4.364,4.6,5975.692,207.0
2021-01-04 12:00:00,4.781,4.525,4.777,4262.475,231.0
2021-01-04 13:00:00,4.796,4.522,4.647,8749.565,347.0
2021-01-04 14:00:00,4.7,4.515,4.641,5131.544,157.0
2021-01-04 15:00:00,4.686,4.533,4.633,2396.385,142.0
2021-01-04 16:00:00,4.67,4.533,4.593,2353.439,111.0
2021-01-04 17:00:00,4.67,4.533,4.533,3518.589,147.0
2021-01-04 18:00:00,4.664,4.5,4.52,2185.403,100.0
2021-01-04 19:00:00,4.969,4.507,4.901,9315.898,264.0
2021-01-04 20:00:00,4.985,4.68,4.743,4957.623,207.0
2021-01-04 21:00:00,4.847,4.634,4.645,3023.128,133.0
2021-01-04 22:00:00,4.738,4.643,4.738,963.755,80.0
2021-01-04 23:00:00,4.932,4.674,4.861,4993.537,135.0
2021-01-05 00:00:00,4.85,4.702,4.709,1257.862,140.0
2021-01-05 01:00:00,4.79,4.647,4.647,2097.168,112.0
2021-01-05 02:00:00,4.889,4.646,4.686,6321.485,215.0
2021-01-05 03:00:00,4.79,4.6,4.651,2514.761,132.0
2021-01-05 04:00:00,4.667,4.4,4.521,4450.721,251.0
2021-01-05 05:00:00,4.651,4.35,4.44,2003.335,93.0
2021-01-05 06:00:00,4.65,4.35,4.47,5623.65,210.0
2021-01-05 07:00:00,4.587,4.317,4.587,2490.998,160.0
2021-01-05 08:00:00,4.598,4.39,4.513,5848.007,215.0
2021-01-05 09:00:00,4.65,4.483,4.53,4597.29,183.0
2021-01-05 10:00:00,4.689,4.476,4.672,5998.441,192.0
2021-01-05 11:00:00,4.75,4.593,4.631,4556.017,171.0
2021-01-05 12:00:00,4.75,4.6,4.633,4077.056,150.0
2021-01-05 13:00:00,4.787,4.599,4.617,4494.313,251.0
2021-01-05 14:00:00,4.7,4.521,4.659,3354.329,174.0
2021-01-05 15:00:00,4.576,4.447,4.45,4646.597,178.0
2021-01-05 16:00:00,4.696,4.409,4.546,5483.197,209.0
2021-01-05 17:00:00,4.641,4.48,4.53,2904.116,109.0
2021-01-05 18:00:00,4.648,4.481,4.647,4779.339,154.0
2021-01-05 19:00:00,4.648,4.472,4.53,4217.883,218.0
2021-01-05 20:00:00,4.646,4.44,4.52,7367.335,193.0
2021-01-05 21:00:00,4.55,4.44,4.447,1714.909,91.0
2021-01-05 22:00:00,4.498,4.35,4.375,14318.741,229.0
2021-01-05 23:00:00,4.479,4.194,4.363,9784.134,562.0
2021-01-06 00:00:00,4.402,4.264,4.265,1579.892,145.0
2021-01-06 01:00:00,4.418,4.185,4.211,5017.986,240.0
2021-01-06 02:00:00,4.398,4.2,4.273,4193.726,192.0
2021-01-06 03:00:00,4.359,4.27,4.275,2211.317,108.0
2021-01-06 04:00:00,4.368,4.243,4.365,5811.616,149.0
2021-01-06 05:00:00,4.622,4.198,4.622,16994.361,349.0
2021-01-06 06:00:00,4.622,4.331,4.44,13995.315,426.0
2021-01-06 07:00:00,4.59,4.421,4.431,11104.881,383.0
2021-01-06 08:00:00,4.511,4.389,4.42,2192.655,114.0
2021-01-06 09:00:00,4.449,4.356,4.399,2848.954,153.0
2021-01-06 10:00:00,4.535,4.385,4.455,7991.357,213.0
2021-01-06 11:00:00,4.535,4.39,4.463,5109.645,196.0
2021-01-06 12:00:00,4.462,4.305,4.387,5314.627,250.0
2021-01-06 13:00:00,4.385,4.28,4.302,5621.327,220.0
2021-01-06 14:00:00,4.336,4.2,4.209,5650.165,245.0
2021-01-06 15:00:00,4.338,4.209,4.223,2743.996,112.0
2021-01-06 16:00:00,4.277,4.209,4.255,2877.087,142.0
2021-01-06 17:00:00,4.32,4.204,4.297,6783.649,233.0
2021-01-06 18:00:00,4.298,4.194,4.283,6298.093,199.0
2021-01-06 19:00:00,4.357,4.204,4.21,5941.818,233.0
2021-01-06 20:00:00,4.24,4.156,4.185,4897.471,167.0
2021-01-06 21:00:00,4.25,4.168,4.226,2035.505,97.0
2021-01-06 22:00:00,4.245,4.169,4.169,2866.157,139.0
2021-01-06 23:00:00,4.242,4.144,4.2,4282.06,162.0
2021-01-07 00:00:00,4.26,4.151,4.176,4202.931,157.0
2021-01-07 01:00:00,4.266,4.176,4.213,1840.11,120.0
2021-01-07 02:00:00,4.24,4.153,4.156,2251.988,117.0
2021-01-07 03:00:00,4.22,4.154,4.18,1487.59,90.0
2021-01-07 04:00:00,4.199,4.141,4.143,4470.675,126.0
2021-01-07 05:00:00,4.245,4.143,4.15,5695.588,177.0
2021-01-07 06:00:00,4.237,4.144,4.171,6103.84,190.0
2021-01-07 07:00:00,4.33,4.17,4.299,7091.117,207.0
2021-01-07 08:00:00,4.3,4.17,4.172,4179.526,128.0
2021-01-07 09:00:00,4.233,4.129,4.189,6179.547,167.0
2021-01-07 10:00:00,4.221,4.175,4.199,3680.421,87.0
2021-01-07 11:00:00,4.283,4.154,4.159,3643.435,144.0
2021-01-07 12:00:00,4.295,4.157,4.157,6202.806,170.0
2021-01-07 13:00:00,4.195,3.996,4.0,19725.245,494.0
2021-01-07 14:00:00,4.044,3.95,3.957,4988.882,181.0
2021-01-07 15:00:00,3.974,3.918,3.941,4988.482,166.0
2021-01-07 16:00:00,3.994,3.878,3.937,5303.988,183.0
2021-01-07 17:00:00,4.12,3.865,4.035,9749.502,309.0
2021-01-07 18:00:00,4.047,3.931,3.935,9666.071,202.0
2021-01-07 19:00:00,3.956,3.878,3.882,5235.516,120.0
2021-01-07 20:00:00,4.0,3.866,3.951,3599.715,158.0
2021-01-07 21:00:00,4.12,3.92,3.988,3566.469,210.0
2021-01-07 22:00:00,4.05,3.939,3.964,1517.893,90.0
2021-01-07 23:00:00,3.994,3.841,3.845,5383.387,214.0
2021-01-08 00:00:00,3.9,3.829,3.84,3255.476,114.0
2021-01-08 01:00:00,4.09,3.84,3.903,3711.596,173.0
2021-01-08 02:00:00,3.899,3.752,3.8,7507.543,168.0
2021-01-08 03:00:00,3.849,3.74,3.785,3638.691,117.0
2021-01-08 04:00:00,3.841,3.747,3.8,1476.315,100.0
2021-01-08 05:00:00,3.82,3.743,3.749,1625.892,92.0
2021-01-08 06:00:00,4.0,3.742,3.922,4914.814,200.0
2021-01-08 07:00:00,4.6,3.856,4.28,37048.205,1185.0
2021-01-08 08:00:00,4.4,4.06,4.1,14477.466,651.0
2021-01-08 09:00:00,4.169,3.921,3.956,10316.141,446.0
2021-01-08 10:00:00,4.201,3.96,4.043,6238.102,249.0
2021-01-08 11:00:00,4.192,3.97,4.072,2875.542,160.0
2021-01-08 12:00:00,4.119,3.95,3.951,2888.117,98.0
2021-01-08 13:00:00,4.099,3.95,4.074,3209.486,93.0
2021-01-08 14:00:00,4.257,3.988,4.101,2656.106,212.0
2021-01-08 15:00:00,4.138,3.95,3.95,5865.066,262.0
2021-01-08 16:00:00,4.2,3.95,4.135,4568.906,197.0
2021-01-08 17:00:00,4.122,3.952,4.014,2121.085,116.0
2021-01-08 18:00:00,4.036,3.95,3.95,1259.688,52.0
2021-01-08 19:00:00,4.123,3.95,3.951,1170.599,80.0
2021-01-08 20:00:00,4.118,3.951,4.0,1098.015,72.0
2021-01-08 21:00:00,4.072,3.951,3.958,1522.756,80.0
2021-01-08 22:00:00,4.033,3.952,4.032,1693.605,53.0
2021-01-08 23:00:00,4.05,3.951,3.955,1115.038,53.0
2021-01-09 00:00:00,4.049,3.935,3.935,1137.654,76.0
2021-01-09 01:00:00,3.936,3.673,3.713,10937.292,375.0
2021-01-09 02:00:00,3.8,3.673,3.735,1615.626,131.0
2021-01-09 03:00:00,3.835,3.735,3.795,1763.177,90.0
2021-01-09 04:00:00,3.818,3.7,3.766,2056.179,137.0
