Open time,High,Low,Close,Volume,Number of trades
2020-01-01 00:00:00,4.231,4.208,4.218,7577.123,74.0
2020-01-01 01:00:00,4.292,4.223,4.29,19184.466,308.0
2020-01-01 02:00:00,4.347,4.259,4.33,45460.005,511.0
2020-01-01 03:00:00,4.334,4.273,4.315,27938.823,401.0
2020-01-01 04:00:00,4.317,4.295,4.305,4644.231,133.0
2020-01-01 05:00:00,4.312,4.274,4.286,10345.411,105.0
2020-01-01 06:00:00,4.307,4.275,4.292,15497.642,93.0
2020-01-01 07:00:00,4.349,4.291,4.339,20074.627,354.0
2020-01-01 08:00:00,4.345,4.296,4.319,15425.488,199.0
2020-01-01 09:00:00,4.339,4.312,4.339,10626.973,180.0
2020-01-01 10:00:00,4.35,4.33,4.345,9304.566,192.0
2020-01-01 11:00:00,4.373,4.336,4.336,48317.454,726.0
2020-01-01 12:00:00,4.363,4.337,4.358,13416.897,242.0
2020-01-01 13:00:00,4.37,4.334,4.37,13590.804,180.0
2020-01-01 14:00:00,4.398,4.35,4.392,25666.433,376.0
2020-01-01 15:00:00,4.467,4.37,4.417,65816.367,840.0
2020-01-01 16:00:00,4.43,4.411,4.415,17020.106,251.0
2020-01-01 17:00:00,4.427,4.414,4.414,7467.872,107.0
2020-01-01 18:00:00,4.49,4.41,4.463,46247.351,703.0
2020-01-01 19:00:00,4.461,4.395,4.401,26545.546,326.0
2020-01-01 20:00:00,4.438,4.396,4.428,7098.946,203.0
2020-01-01 21:00:00,4.449,4.387,4.414,21606.709,370.0
2020-01-01 22:00:00,4.42,4.382,4.39,10772.057,239.0
2020-01-01 23:00:00,4.43,4.377,4.38,11781.719,318.0
2020-01-02 00:00:00,4.397,4.321,4.385,30472.558,630.0
2020-01-02 01:00:00,4.394,4.319,4.326,20065.001,339.0
2020-01-02 02:00:00,4.335,4.3,4.304,24663.39,256.0
2020-01-02 03:00:00,4.303,4.219,4.241,62952.538,751.0
2020-01-02 04:00:00,4.323,4.219,4.296,41645.592,575.0
2020-01-02 05:00:00,4.3,4.274,4.287,9123.565,135.0
2020-01-02 06:00:00,4.293,4.27,4.282,8396.84,136.0
2020-01-02 07:00:00,4.285,4.218,4.221,41239.064,456.0
2020-01-02 08:00:00,4.294,4.219,4.283,23967.165,423.0
2020-01-02 09:00:00,4.304,4.28,4.288,32546.361,294.0
2020-01-02 10:00:00,4.289,4.26,4.271,21208.485,265.0
2020-01-02 11:00:00,4.281,4.26,4.261,13464.092,128.0
2020-01-02 12:00:00,4.267,4.236,4.247,31585.575,269.0
2020-01-02 13:00:00,4.26,4.235,4.24,20860.26,206.0
2020-01-02 14:00:00,4.245,4.2,4.206,50503.542,481.0
2020-01-02 15:00:00,4.218,4.191,4.218,13282.855,178.0
2020-01-02 16:00:00,4.228,4.158,4.169,34406.73,432.0
2020-01-02 17:00:00,4.183,4.098,4.166,120811.441,1127.0
2020-01-02 18:00:00,4.175,4.151,4.167,13011.318,121.0
2020-01-02 19:00:00,4.181,4.149,4.177,11611.701,118.0
2020-01-02 20:00:00,4.182,4.134,4.134,30263.386,279.0
2020-01-02 21:00:00,4.133,4.09,4.116,56368.118,472.0
2020-01-02 22:00:00,4.119,4.077,4.1,31874.636,312.0
2020-01-02 23:00:00,4.103,4.073,4.096,18925.625,246.0
2020-01-03 00:00:00,4.091,4.005,4.025,92357.646,895.0
2020-01-03 01:00:00,4.05,3.99,4.032,77682.528,677.0
2020-01-03 02:00:00,4.111,4.03,4.099,67600.602,688.0
2020-01-03 03:00:00,4.105,4.048,4.054,23674.786,275.0
2020-01-03 04:00:00,4.19,4.042,4.161,94814.06,1070.0
2020-01-03 05:00:00,4.223,4.15,4.215,78943.931,836.0
2020-01-03 06:00:00,4.222,4.175,4.189,44946.082,439.0
2020-01-03 07:00:00,4.246,4.185,4.197,25573.374,406.0
2020-01-03 08:00:00,4.28,4.192,4.261,50868.791,511.0
2020-01-03 09:00:00,4.286,4.249,4.278,26052.047,345.0
2020-01-03 10:00:00,4.276,4.23,4.235,32547.882,371.0
2020-01-03 11:00:00,4.246,4.216,4.229,13112.407,232.0
2020-01-03 12:00:00,4.247,4.2,4.21,15284.721,185.0
2020-01-03 13:00:00,4.338,4.167,4.325,172118.131,1724.0
2020-01-03 14:00:00,4.38,4.261,4.312,156189.503,1611.0
2020-01-03 15:00:00,4.35,4.289,4.315,34150.135,446.0
2020-01-03 16:00:00,4.349,4.286,4.328,55573.38,658.0
2020-01-03 17:00:00,4.339,4.279,4.31,32063.18,457.0
2020-01-03 18:00:00,4.31,4.244,4.246,22784.412,330.0
2020-01-03 19:00:00,4.255,4.215,4.246,18220.15,282.0
2020-01-03 20:00:00,4.269,4.219,4.233,20323.995,252.0
2020-01-03 21:00:00,4.27,4.213,4.235,16862.758,260.0
2020-01-03 22:00:00,4.247,4.224,4.228,7009.401,134.0
2020-01-03 23:00:00,4.263,4.212,4.237,12226.489,224.0
