Open time,High,Low,Close,Volume,Number of trades
2018-01-01 00:00:00,8.5478,8.246,8.3559,49487.14,1248.0
2018-01-01 01:00:00,8.3997,8.1305,8.2199,24992.63,818.0
2018-01-01 02:00:00,8.3488,8.202,8.2235,28933.0,715.0
2018-01-01 03:00:00,8.4326,8.2282,8.3401,32931.17,754.0
2018-01-01 04:00:00,8.5,8.341,8.5,14602.55,682.0
2018-01-01 05:00:00,8.7,8.415,8.4404,21687.02,895.0
2018-01-01 06:00:00,8.5809,8.418,8.5532,12694.1,639.0
2018-01-01 07:00:00,8.66,8.3454,8.36,51321.03,1340.0
2018-01-01 08:00:00,8.53,8.3334,8.3706,22876.57,851.0
2018-01-01 09:00:00,8.4728,8.3355,8.4405,16237.59,612.0
2018-01-01 10:00:00,8.4409,8.3333,8.3827,13427.35,478.0
2018-01-01 11:00:00,8.3827,8.0703,8.1599,61064.4,1896.0
2018-01-01 12:00:00,8.33,8.1144,8.2,29120.78,674.0
2018-01-01 13:00:00,8.212,7.9285,7.9523,47744.93,1377.0
2018-01-01 14:00:00,8.1829,7.8,8.0944,49573.26,1270.0
2018-01-01 15:00:00,8.2,8.0203,8.1101,30322.87,910.0
2018-01-01 16:00:00,8.1336,8.0,8.0101,20182.41,634.0
2018-01-01 17:00:00,8.1778,8.0002,8.0019,16050.75,610.0
2018-01-01 18:00:00,8.1,7.9592,8.0647,12765.57,476.0
2018-01-01 19:00:00,8.15,8.02,8.115,12917.09,501.0
2018-01-01 20:00:00,8.2664,8.07,8.1919,20186.84,745.0
2018-01-01 21:00:00,8.3499,8.1707,8.3229,14140.21,620.0
2018-01-01 22:00:00,8.4,8.2946,8.3706,21459.41,722.0
2018-01-01 23:00:00,8.45,8.3113,8.45,29620.17,812.0
2018-01-02 00:00:00,8.6599,8.4101,8.5801,56771.86,1409.0
2018-01-02 01:00:00,8.6,8.3511,8.4501,48029.84,1242.0
2018-01-02 02:00:00,8.6498,8.34,8.585,86339.45,2362.0
2018-01-02 03:00:00,8.585,8.34,8.3986,54246.09,1469.0
