Open time,High,Low,Close,Volume,Number of trades
2021-01-05 08:00:00,4.12,1.588,3.49,2857330.37,28221.0
2021-01-05 09:00:00,3.4899,2.671,2.78,2657774.92,23820.0
2021-01-05 10:00:00,3.0,2.6252,2.736,1261664.96,13191.0
2021-01-05 11:00:00,2.7402,2.505,2.5364,604704.28,6105.0
2021-01-05 12:00:00,2.958,2.5356,2.8222,2473195.08,14511.0
2021-01-05 13:00:00,2.847,2.65,2.7257,1464383.53,8897.0
2021-01-05 14:00:00,2.736,2.5999,2.6681,386510.64,3094.0
2021-01-05 15:00:00,2.7946,2.6001,2.7312,736623.3,4613.0
2021-01-05 16:00:00,2.75,2.4741,2.4894,664379.09,4300.0
2021-01-05 17:00:00,2.6165,2.4026,2.4702,776042.25,4496.0
2021-01-05 18:00:00,2.493,2.385,2.4311,420543.82,2343.0
2021-01-05 19:00:00,2.4446,2.1777,2.298,384426.05,2701.0
2021-01-05 20:00:00,2.307,2.2033,2.2771,142099.2,1304.0
2021-01-05 21:00:00,2.7676,2.265,2.7591,514768.81,3383.0
2021-01-05 22:00:00,2.87,2.5676,2.8411,979156.05,7489.0
2021-01-05 23:00:00,2.8756,2.4673,2.5765,869698.99,6177.0
2021-01-06 00:00:00,2.5795,2.357,2.4674,345678.58,1909.0
2021-01-06 01:00:00,2.6909,2.4641,2.539,252894.39,1846.0
2021-01-06 02:00:00,2.6087,2.49,2.553,117433.23,890.0
2021-01-06 03:00:00,2.6392,2.426,2.4909,467475.39,1863.0
2021-01-06 04:00:00,2.5003,2.3879,2.428,104760.63,957.0
2021-01-06 05:00:00,2.48,2.33,2.388,194205.04,946.0
2021-01-06 06:00:00,2.43,2.313,2.3689,145732.98,1011.0
2021-01-06 07:00:00,2.41,2.3,2.39,111574.41,747.0
2021-01-06 08:00:00,2.3957,2.32,2.3401,77991.31,553.0
2021-01-06 09:00:00,2.41,2.336,2.3902,74800.91,516.0
2021-01-06 10:00:00,2.509,2.3728,2.39,128635.92,928.0
2021-01-06 11:00:00,2.397,2.32,2.3201,63852.55,575.0
2021-01-06 12:00:00,2.356,2.2032,2.3254,161898.22,1162.0
2021-01-06 13:00:00,2.3803,2.2613,2.3391,98280.6,1001.0
2021-01-06 14:00:00,2.3478,2.2172,2.2609,110442.46,1334.0
2021-01-06 15:00:00,2.3201,2.2512,2.3201,70989.4,487.0
2021-01-06 16:00:00,2.3313,2.2383,2.2667,86818.07,593.0
2021-01-06 17:00:00,2.3199,2.2725,2.2863,31493.55,257.0
2021-01-06 18:00:00,2.3073,2.2612,2.3072,29263.71,286.0
2021-01-06 19:00:00,2.3528,2.2566,2.2602,72347.47,569.0
2021-01-06 20:00:00,2.2842,2.2522,2.2777,24609.05,225.0
2021-01-06 21:00:00,2.2907,2.2237,2.2555,62284.59,320.0
2021-01-06 22:00:00,2.27,2.2238,2.2506,22053.55,145.0
2021-01-06 23:00:00,2.346,2.2504,2.302,42540.47,404.0
2021-01-07 00:00:00,2.3307,2.23,2.2599,40326.69,289.0
2021-01-07 01:00:00,2.2607,2.2248,2.2597,54620.62,350.0
2021-01-07 02:00:00,2.2969,2.236,2.2605,20597.89,182.0
2021-01-07 03:00:00,2.268,2.2241,2.2318,24342.72,213.0
2021-01-07 04:00:00,2.2318,2.1155,2.2058,130328.29,853.0
2021-01-07 05:00:00,2.2222,2.186,2.1869,31474.35,263.0
2021-01-07 06:00:00,2.2021,2.145,2.145,55841.81,378.0
2021-01-07 07:00:00,2.2257,2.1451,2.2235,85444.18,570.0
2021-01-07 08:00:00,2.29,2.2,2.2,86114.72,466.0
2021-01-07 09:00:00,2.2097,2.144,2.2097,79893.46,468.0
2021-01-07 10:00:00,2.2349,2.1861,2.2208,35023.72,202.0
2021-01-07 11:00:00,2.2123,2.16,2.16,35779.74,278.0
2021-01-07 12:00:00,2.2,2.15,2.155,75204.04,481.0
2021-01-07 13:00:00,2.194,2.15,2.1829,95707.17,499.0
2021-01-07 14:00:00,2.177,2.15,2.1533,43708.34,257.0
2021-01-07 15:00:00,2.1748,2.147,2.157,46604.09,243.0
2021-01-07 16:00:00,2.221,2.145,2.1908,95112.64,428.0
2021-01-07 17:00:00,2.2239,2.1769,2.1966,53028.22,301.0
2021-01-07 18:00:00,2.2067,2.1496,2.1889,33799.25,223.0
2021-01-07 19:00:00,2.1939,2.1293,2.1499,43530.02,200.0
2021-01-07 20:00:00,2.1656,2.125,2.1568,40945.36,162.0
2021-01-07 21:00:00,2.19,2.1407,2.19,28042.04,112.0
2021-01-07 22:00:00,2.3999,2.1794,2.384,180473.43,751.0
2021-01-07 23:00:00,2.51,2.2076,2.2091,210107.81,1515.0
2021-01-08 00:00:00,2.334,2.1946,2.233,72531.89,429.0
2021-01-08 01:00:00,2.232,2.18,2.1962,30527.76,153.0
2021-01-08 02:00:00,2.2,2.0,2.0285,105232.56,531.0
2021-01-08 03:00:00,2.149,2.0012,2.135,37590.03,139.0
2021-01-08 04:00:00,2.4441,2.12,2.1759,215886.65,1004.0
2021-01-08 05:00:00,2.2197,2.13,2.155,8973.72,108.0
2021-01-08 06:00:00,2.1695,2.1364,2.1418,10578.54,99.0
2021-01-08 07:00:00,2.1522,2.1321,2.1346,31487.88,120.0
2021-01-08 08:00:00,2.2,2.1341,2.153,23266.8,122.0
2021-01-08 09:00:00,2.245,2.153,2.2223,45797.48,170.0
2021-01-08 10:00:00,2.2223,2.163,2.18,27962.39,160.0
2021-01-08 11:00:00,2.1899,2.139,2.1752,20691.18,157.0
2021-01-08 12:00:00,2.218,2.15,2.1569,37080.05,210.0
2021-01-08 13:00:00,2.2039,2.167,2.1802,18884.23,132.0
2021-01-08 14:00:00,2.34,2.18,2.3271,99477.66,313.0
2021-01-08 15:00:00,2.35,2.1953,2.258,192437.81,929.0
2021-01-08 16:00:00,2.311,2.2432,2.2827,49282.35,243.0
2021-01-08 17:00:00,2.49,2.2828,2.49,112566.02,844.0
2021-01-08 18:00:00,2.4899,2.32,2.396,31639.86,332.0
2021-01-08 19:00:00,2.396,2.2256,2.2639,16849.34,179.0
2021-01-08 20:00:00,2.3249,2.2003,2.3249,20954.06,150.0
2021-01-08 21:00:00,2.4618,2.279,2.415,96335.16,744.0
2021-01-08 22:00:00,2.415,2.2745,2.32,47164.93,481.0
2021-01-08 23:00:00,2.3278,2.2885,2.2961,13377.14,95.0
2021-01-09 00:00:00,2.307,2.236,2.2738,8740.81,90.0
2021-01-09 01:00:00,2.2839,2.2091,2.2091,43588.49,179.0
2021-01-09 02:00:00,2.242,2.181,2.181,26280.24,75.0
2021-01-09 03:00:00,2.2156,2.1536,2.2156,20691.85,132.0
2021-01-09 04:00:00,2.26,2.1798,2.213,10693.78,90.0
2021-01-09 05:00:00,2.2131,2.1687,2.1959,18766.48,101.0
2021-01-09 06:00:00,2.212,2.17,2.1973,1997.97,44.0
2021-01-09 07:00:00,2.2075,2.1639,2.1854,3102.69,57.0
2021-01-09 08:00:00,2.1854,2.1621,2.1736,10001.55,98.0
2021-01-09 09:00:00,2.2042,2.1621,2.195,18660.59,155.0
2021-01-09 10:00:00,2.2105,2.177,2.1952,8522.93,69.0
2021-01-09 11:00:00,2.2198,2.199,2.2099,16491.89,69.0
2021-01-09 12:00:00,2.2402,2.196,2.2291,24340.57,114.0
2021-01-09 13:00:00,2.2402,2.2018,2.211,18028.63,137.0
2021-01-09 14:00:00,2.2331,2.19,2.2331,20931.95,109.0
2021-01-09 15:00:00,2.2381,2.2245,2.237,12416.49,89.0
2021-01-09 16:00:00,2.2388,2.177,2.177,29228.41,126.0
2021-01-09 17:00:00,2.2319,2.17,2.2141,13954.49,89.0
2021-01-09 18:00:00,2.3,2.2139,2.256,14846.91,147.0
2021-01-09 19:00:00,2.3714,2.25,2.2963,27814.32,223.0
2021-01-09 20:00:00,2.3105,2.2471,2.25,9039.97,117.0
2021-01-09 21:00:00,2.2959,2.2478,2.274,5210.17,83.0
2021-01-09 22:00:00,2.3449,2.274,2.2963,12614.2,81.0
