Open time,High,Low,Close,Volume,Number of trades
2021-01-01 00:00:00,0.649,0.611,0.643,2042796.114,2641.0
2021-01-01 01:00:00,0.65,0.63,0.64,2266350.024,2454.0
2021-01-01 02:00:00,0.677,0.639,0.661,1859479.076,3023.0
2021-01-01 03:00:00,0.669,0.653,0.664,1032680.462,1626.0
2021-01-01 04:00:00,0.667,0.649,0.651,850786.309,1563.0
2021-01-01 05:00:00,0.664,0.652,0.655,407663.731,836.0
2021-01-01 06:00:00,0.659,0.632,0.634,810324.799,1628.0
2021-01-01 07:00:00,0.647,0.625,0.64,1684045.979,2086.0
2021-01-01 08:00:00,0.641,0.612,0.62,2712863.428,3767.0
2021-01-01 09:00:00,0.63,0.618,0.621,1034083.86,1456.0
2021-01-01 10:00:00,0.629,0.614,0.616,719519.454,1024.0
2021-01-01 11:00:00,0.649,0.614,0.638,1049364.497,1665.0
2021-01-01 12:00:00,0.638,0.617,0.622,729947.131,1203.0
2021-01-01 13:00:00,0.627,0.613,0.621,1005543.962,1503.0
2021-01-01 14:00:00,0.659,0.617,0.647,1783018.272,3423.0
2021-01-01 15:00:00,0.666,0.64,0.648,1534298.156,3190.0
2021-01-01 16:00:00,0.674,0.648,0.66,1507482.51,3018.0
2021-01-01 17:00:00,0.662,0.626,0.629,1088286.111,2019.0
2021-01-01 18:00:00,0.637,0.605,0.621,1860455.317,2787.0
2021-01-01 19:00:00,0.628,0.617,0.624,359952.542,761.0
2021-01-01 20:00:00,0.63,0.608,0.613,774824.254,1194.0
2021-01-01 21:00:00,0.618,0.611,0.613,398291.71,573.0
2021-01-01 22:00:00,0.644,0.609,0.63,1354510.675,1991.0
2021-01-01 23:00:00,0.648,0.618,0.62,2424739.754,2561.0
2021-01-02 00:00:00,0.621,0.564,0.578,6878554.043,10077.0
2021-01-02 01:00:00,0.586,0.568,0.583,1812061.37,2343.0
2021-01-02 02:00:00,0.592,0.58,0.583,628537.49,958.0
2021-01-02 03:00:00,0.591,0.582,0.59,389564.14,658.0
2021-01-02 04:00:00,0.596,0.585,0.594,465228.182,756.0
2021-01-02 05:00:00,0.595,0.585,0.589,323421.25,574.0
2021-01-02 06:00:00,0.59,0.573,0.577,874072.547,1421.0
2021-01-02 07:00:00,0.585,0.576,0.581,712022.009,965.0
2021-01-02 08:00:00,0.59,0.581,0.589,637691.503,932.0
2021-01-02 09:00:00,0.59,0.57,0.571,1155460.18,1381.0
