Open time,High,Low,Close,Volume,Number of trades
2020-01-01 00:00:00,41.17,40.92,40.92,548.46571,257.0
2020-01-01 01:00:00,41.25,40.92,41.13,582.61003,217.0
2020-01-01 02:00:00,41.49,41.09,41.45,909.20813,233.0
2020-01-01 03:00:00,41.5,41.28,41.39,695.40323,206.0
2020-01-01 04:00:00,41.62,41.35,41.54,1315.02979,262.0
2020-01-01 05:00:00,41.66,41.39,41.39,230.97927,92.0
2020-01-01 06:00:00,41.88,41.42,41.74,773.22393,263.0
2020-01-01 07:00:00,41.87,41.47,41.47,646.78672,166.0
2020-01-01 08:00:00,41.48,41.28,41.35,135.99429,67.0
2020-01-01 09:00:00,41.47,41.36,41.37,201.63837,87.0
2020-01-01 10:00:00,41.77,41.37,41.63,728.77892,171.0
2020-01-01 11:00:00,41.98,41.56,41.61,981.37985,268.0
2020-01-01 12:00:00,42.14,41.54,42.12,661.33537,224.0
2020-01-01 13:00:00,42.1,41.93,42.08,101.08856,56.0
2020-01-01 14:00:00,42.23,41.98,42.15,301.02576,99.0
2020-01-01 15:00:00,42.35,42.14,42.15,244.98525,124.0
2020-01-01 16:00:00,42.3,42.11,42.3,297.89138,84.0
2020-01-01 17:00:00,42.27,42.17,42.21,21.3124,16.0
2020-01-01 18:00:00,42.19,41.83,42.0,792.61834,233.0
2020-01-01 19:00:00,42.11,41.92,41.95,938.08187,105.0
2020-01-01 20:00:00,42.12,41.93,42.0,79.74385,43.0
2020-01-01 21:00:00,42.71,41.95,42.57,1707.95765,457.0
2020-01-01 22:00:00,42.59,41.6,41.88,1969.58622,640.0
2020-01-01 23:00:00,41.89,41.67,41.84,150.89325,107.0
2020-01-02 00:00:00,41.82,41.3,41.35,2102.23893,450.0
2020-01-02 01:00:00,41.39,41.28,41.32,653.55955,124.0
2020-01-02 02:00:00,41.32,40.96,40.99,545.1908,182.0
2020-01-02 03:00:00,41.23,40.91,41.16,1465.02427,303.0
2020-01-02 04:00:00,41.38,41.13,41.25,229.65043,141.0
2020-01-02 05:00:00,41.25,40.96,41.05,495.80436,238.0
2020-01-02 06:00:00,41.1,40.95,40.95,300.14859,147.0
2020-01-02 07:00:00,41.04,40.78,40.8,1072.57119,245.0
2020-01-02 08:00:00,41.19,40.8,41.16,1357.30282,223.0
2020-01-02 09:00:00,41.38,41.16,41.37,734.94389,118.0
2020-01-02 10:00:00,41.38,41.17,41.18,223.62505,78.0
2020-01-02 11:00:00,41.29,41.07,41.18,230.1504,97.0
2020-01-02 12:00:00,41.23,41.12,41.18,178.76741,65.0
2020-01-02 13:00:00,41.24,40.97,41.18,1288.28579,204.0
2020-01-02 14:00:00,41.2,41.02,41.07,325.15037,124.0
2020-01-02 15:00:00,41.07,40.88,40.91,200.49843,91.0
2020-01-02 16:00:00,41.07,40.49,40.49,984.65415,338.0
2020-01-02 17:00:00,40.47,40.01,40.34,1567.64039,417.0
2020-01-02 18:00:00,40.39,40.09,40.36,864.04996,208.0
2020-01-02 19:00:00,40.33,40.23,40.31,85.39305,54.0
2020-01-02 20:00:00,40.3,39.93,40.28,952.0824,303.0
2020-01-02 21:00:00,40.28,40.0,40.11,908.54969,200.0
2020-01-02 22:00:00,40.45,39.95,40.31,962.82356,276.0
2020-01-02 23:00:00,40.34,39.98,40.04,1093.5715,340.0
2020-01-03 00:00:00,40.17,39.94,40.12,450.43611,203.0
2020-01-03 01:00:00,40.32,39.98,39.98,630.43957,196.0
2020-01-03 02:00:00,40.47,39.96,40.43,621.99511,173.0
2020-01-03 03:00:00,40.78,40.3,40.43,1095.1531,305.0
2020-01-03 04:00:00,41.74,40.42,41.19,2696.10055,870.0
2020-01-03 05:00:00,41.45,41.13,41.45,1378.14187,294.0
2020-01-03 06:00:00,41.64,41.22,41.59,1180.0975,239.0
2020-01-03 07:00:00,41.62,41.43,41.5,465.60379,110.0
2020-01-03 08:00:00,42.93,41.52,42.44,7255.81517,1979.0
2020-01-03 09:00:00,43.05,42.49,43.03,2716.53193,660.0
2020-01-03 10:00:00,43.09,42.47,42.66,1445.52124,512.0
2020-01-03 11:00:00,42.96,42.61,42.86,952.59895,262.0
2020-01-03 12:00:00,43.07,42.75,43.03,1421.40983,358.0
