Open time,High,Low,Close,Volume,Number of trades
2019-01-01 00:00:00,0.235,0.2324,0.2332,103888.27,106.0
2019-01-01 01:00:00,0.2341,0.2321,0.2326,41957.69,87.0
2019-01-01 02:00:00,0.2333,0.2312,0.2316,49879.99,118.0
2019-01-01 03:00:00,0.2323,0.2307,0.2316,67749.13,137.0
2019-01-01 04:00:00,0.234,0.2313,0.2333,172279.78,169.0
2019-01-01 05:00:00,0.2353,0.2326,0.233,85554.04,113.0
2019-01-01 06:00:00,0.2338,0.2327,0.2329,46853.46,48.0
2019-01-01 07:00:00,0.235,0.2328,0.2328,52868.46,105.0
2019-01-01 08:00:00,0.2355,0.2334,0.2352,295486.27,124.0
2019-01-01 09:00:00,0.2359,0.2341,0.2344,112601.33,99.0
2019-01-01 10:00:00,0.2353,0.2341,0.2344,64777.59,57.0
2019-01-01 11:00:00,0.2357,0.2334,0.2343,50588.17,66.0
2019-01-01 12:00:00,0.2357,0.2339,0.2354,29371.81,55.0
2019-01-01 13:00:00,0.2389,0.2348,0.2367,205537.89,223.0
2019-01-01 14:00:00,0.2376,0.2345,0.2356,182450.09,253.0
2019-01-01 15:00:00,0.2349,0.2326,0.2331,86037.12,241.0
2019-01-01 16:00:00,0.2341,0.2331,0.2341,144317.89,92.0
2019-01-01 17:00:00,0.2343,0.2326,0.2326,93225.46,88.0
2019-01-01 18:00:00,0.2333,0.2295,0.2307,199928.71,230.0
2019-01-01 19:00:00,0.2355,0.2305,0.2355,58531.33,104.0
2019-01-01 20:00:00,0.2376,0.234,0.2365,128255.16,254.0
2019-01-01 21:00:00,0.2378,0.2347,0.2362,171991.23,202.0
2019-01-01 22:00:00,0.2372,0.2353,0.2366,66787.38,103.0
2019-01-01 23:00:00,0.2419,0.236,0.2418,274605.16,310.0
2019-01-02 00:00:00,0.242,0.2386,0.2412,122621.04,224.0
2019-01-02 01:00:00,0.2414,0.2379,0.2386,215602.01,263.0
2019-01-02 02:00:00,0.2405,0.2386,0.2396,67813.27,81.0
2019-01-02 03:00:00,0.2416,0.2401,0.241,77724.33,153.0
2019-01-02 04:00:00,0.2415,0.2396,0.2399,106010.02,71.0
2019-01-02 05:00:00,0.2401,0.239,0.2393,29055.06,109.0
2019-01-02 06:00:00,0.2395,0.2385,0.2385,61960.82,57.0
