Open time,High,Low,Close,Volume,Number of trades
2021-01-01 00:00:00,4.0703,4.0083,4.0299,38199.97,691.0
2021-01-01 01:00:00,4.0622,4.0026,4.0235,33584.44,760.0
2021-01-01 02:00:00,4.0662,4.01,4.0363,20577.0,450.0
2021-01-01 03:00:00,4.1572,4.0364,4.1539,29955.17,629.0
2021-01-01 04:00:00,4.1799,4.1223,4.133,18582.74,527.0
2021-01-01 05:00:00,4.1396,4.07,4.1309,18817.14,480.0
2021-01-01 06:00:00,4.1491,4.1152,4.1205,11846.67,265.0
2021-01-01 07:00:00,4.1446,4.0651,4.1052,23464.59,582.0
2021-01-01 08:00:00,4.1213,4.0876,4.1121,9310.61,280.0
2021-01-01 09:00:00,4.1581,4.104,4.1449,14813.51,464.0
2021-01-01 10:00:00,4.166,4.1167,4.1204,16040.21,402.0
2021-01-01 11:00:00,4.1949,4.1038,4.1823,31939.05,940.0
2021-01-01 12:00:00,4.2,4.116,4.1629,34108.7,776.0
2021-01-01 13:00:00,4.1879,4.127,4.1562,20609.0,568.0
2021-01-01 14:00:00,4.1672,4.1,4.1671,27832.21,607.0
2021-01-01 15:00:00,4.17,4.079,4.0856,51867.07,911.0
2021-01-01 16:00:00,4.1413,4.0863,4.11,25594.24,630.0
2021-01-01 17:00:00,4.1799,4.0897,4.1115,38064.89,934.0
2021-01-01 18:00:00,4.1115,4.0242,4.0335,24331.34,679.0
2021-01-01 19:00:00,4.0448,3.9028,3.9551,58826.49,1108.0
2021-01-01 20:00:00,4.0638,3.9526,4.0186,23498.92,591.0
2021-01-01 21:00:00,4.0719,3.9948,4.008,18061.33,512.0
2021-01-01 22:00:00,4.074,3.9829,3.9976,34229.83,769.0
2021-01-01 23:00:00,4.102,3.9811,4.0817,21417.29,663.0
2021-01-02 00:00:00,4.1019,3.9606,3.9669,42394.51,822.0
2021-01-02 01:00:00,3.9882,3.9216,3.9589,18301.18,574.0
2021-01-02 02:00:00,3.9655,3.9214,3.9655,15831.79,433.0
2021-01-02 03:00:00,4.0053,3.901,3.9393,20755.65,515.0
2021-01-02 04:00:00,4.068,3.9238,3.9984,16507.1,511.0
2021-01-02 05:00:00,4.0066,3.9332,3.9572,21082.43,630.0
2021-01-02 06:00:00,3.9607,3.925,3.9328,19267.37,461.0
2021-01-02 07:00:00,3.9479,3.9027,3.9155,14270.38,397.0
2021-01-02 08:00:00,3.9251,3.8656,3.8952,21304.99,650.0
2021-01-02 09:00:00,3.9416,3.8317,3.8644,39154.24,989.0
2021-01-02 10:00:00,3.915,3.8326,3.8437,34981.81,658.0
2021-01-02 11:00:00,3.9025,3.8423,3.8929,34680.33,539.0
2021-01-02 12:00:00,3.9083,3.7237,3.8625,137457.4,2273.0
2021-01-02 13:00:00,3.8641,3.7666,3.8407,58553.4,1498.0
2021-01-02 14:00:00,3.8399,3.7778,3.7908,26968.74,774.0
2021-01-02 15:00:00,3.872,3.7908,3.8102,47643.79,1033.0
2021-01-02 16:00:00,3.8547,3.6156,3.65,126312.54,2458.0
2021-01-02 17:00:00,3.82,3.635,3.7355,136746.08,2695.0
2021-01-02 18:00:00,3.7781,3.66,3.726,71053.32,1749.0
2021-01-02 19:00:00,3.8,3.6772,3.696,56643.99,1581.0
2021-01-02 20:00:00,3.7239,3.62,3.6348,72649.62,1585.0
2021-01-02 21:00:00,3.6797,3.6053,3.6412,51056.22,1003.0
2021-01-02 22:00:00,3.6733,3.5289,3.5492,62089.55,1028.0
2021-01-02 23:00:00,3.6083,3.5356,3.6083,45948.93,691.0
2021-01-03 00:00:00,3.6082,3.5289,3.5771,68527.94,1167.0
2021-01-03 01:00:00,3.7408,3.5715,3.6444,70276.54,1622.0
2021-01-03 02:00:00,3.747,3.6325,3.7312,27156.57,682.0
2021-01-03 03:00:00,3.9125,3.7264,3.9125,60678.9,1340.0
2021-01-03 04:00:00,3.9699,3.8079,3.8933,58949.35,1830.0
2021-01-03 05:00:00,3.9137,3.7345,3.7847,39216.8,1015.0
2021-01-03 06:00:00,3.8999,3.773,3.8624,20043.76,712.0
2021-01-03 07:00:00,3.8995,3.6795,3.6879,52379.37,1080.0
2021-01-03 08:00:00,3.7873,3.6515,3.7611,48380.7,1134.0
2021-01-03 09:00:00,3.7647,3.68,3.7495,39040.2,649.0
2021-01-03 10:00:00,3.8247,3.7532,3.7997,28041.32,750.0
2021-01-03 11:00:00,3.8159,3.743,3.7862,39362.43,703.0
2021-01-03 12:00:00,3.9376,3.7862,3.9096,57088.3,1231.0
