Open time,High,Low,Close,Volume,Number of trades
2019-01-01 00:00:00,0.3492,0.3462,0.3479,56329.24,87.0
2019-01-01 01:00:00,0.3479,0.3437,0.3443,74209.17,167.0
2019-01-01 02:00:00,0.3453,0.341,0.3427,42890.02,139.0
2019-01-01 03:00:00,0.3455,0.3426,0.3453,59394.86,145.0
2019-01-01 04:00:00,0.3483,0.3439,0.3455,57722.56,198.0
2019-01-01 05:00:00,0.3471,0.3454,0.3471,21326.29,82.0
2019-01-01 06:00:00,0.3475,0.3459,0.3465,38567.65,105.0
2019-01-01 07:00:00,0.3482,0.3459,0.3469,48372.38,176.0
2019-01-01 08:00:00,0.3492,0.3459,0.3479,123305.73,277.0
2019-01-01 09:00:00,0.3494,0.346,0.3465,62642.76,134.0
2019-01-01 10:00:00,0.3491,0.3452,0.3472,24263.22,90.0
2019-01-01 11:00:00,0.3488,0.3468,0.3479,48931.68,99.0
2019-01-01 12:00:00,0.3537,0.3478,0.3526,196048.82,224.0
2019-01-01 13:00:00,0.3537,0.348,0.348,109175.72,225.0
2019-01-01 14:00:00,0.3502,0.3465,0.3478,113261.59,285.0
2019-01-01 15:00:00,0.3479,0.344,0.3443,149552.18,275.0
2019-01-01 16:00:00,0.3467,0.3438,0.3464,142772.3,183.0
2019-01-01 17:00:00,0.3491,0.3446,0.346,104270.25,305.0
2019-01-01 18:00:00,0.3466,0.343,0.3445,55047.49,187.0
2019-01-01 19:00:00,0.3527,0.3444,0.3515,103579.51,183.0
2019-01-01 20:00:00,0.3644,0.3517,0.3543,206801.53,439.0
2019-01-01 21:00:00,0.3587,0.3536,0.3536,148877.89,245.0
2019-01-01 22:00:00,0.3557,0.3523,0.3544,63964.78,170.0
2019-01-01 23:00:00,0.362,0.3535,0.3612,79055.99,350.0
2019-01-02 00:00:00,0.3621,0.3567,0.3585,76108.7,267.0
2019-01-02 01:00:00,0.3605,0.3567,0.3567,54149.43,163.0
2019-01-02 02:00:00,0.3586,0.3554,0.3565,60965.1,145.0
2019-01-02 03:00:00,0.3582,0.3538,0.3538,88776.72,250.0
2019-01-02 04:00:00,0.3566,0.354,0.3555,683836.54,179.0
2019-01-02 05:00:00,0.3607,0.3545,0.3584,87775.92,207.0
2019-01-02 06:00:00,0.3589,0.3545,0.3556,151188.32,274.0
2019-01-02 07:00:00,0.3624,0.3544,0.3612,294550.02,406.0
2019-01-02 08:00:00,0.365,0.3612,0.3647,234176.42,433.0
2019-01-02 09:00:00,0.365,0.362,0.3624,276106.89,460.0
2019-01-02 10:00:00,0.365,0.3606,0.365,141576.93,358.0
2019-01-02 11:00:00,0.3664,0.3622,0.3651,513960.09,559.0
2019-01-02 12:00:00,0.366,0.3626,0.3627,223136.88,403.0
2019-01-02 13:00:00,0.3749,0.3627,0.3741,293930.52,873.0
2019-01-02 14:00:00,0.3748,0.3676,0.3708,238962.67,477.0
2019-01-02 15:00:00,0.3714,0.3665,0.3669,185008.09,312.0
2019-01-02 16:00:00,0.379,0.3674,0.3736,280061.73,593.0
2019-01-02 17:00:00,0.379,0.3711,0.3751,226414.29,416.0
2019-01-02 18:00:00,0.3773,0.3738,0.3765,136268.14,376.0
2019-01-02 19:00:00,0.377,0.3735,0.376,104857.01,279.0
2019-01-02 20:00:00,0.3773,0.3734,0.3765,383922.49,370.0
2019-01-02 21:00:00,0.379,0.3749,0.3784,314476.1,492.0
2019-01-02 22:00:00,0.3834,0.375,0.381,294759.32,593.0
2019-01-02 23:00:00,0.3855,0.3805,0.3826,431318.66,794.0
2019-01-03 00:00:00,0.3849,0.3788,0.379,135330.19,354.0
2019-01-03 01:00:00,0.3825,0.3756,0.3803,271988.27,491.0
2019-01-03 02:00:00,0.3823,0.3791,0.3821,84336.82,244.0
2019-01-03 03:00:00,0.3855,0.3817,0.3855,82619.87,273.0
2019-01-03 04:00:00,0.3883,0.3842,0.3855,150897.72,358.0
2019-01-03 05:00:00,0.3873,0.3769,0.3778,251300.77,497.0
2019-01-03 06:00:00,0.3791,0.371,0.3711,301782.08,424.0
2019-01-03 07:00:00,0.3768,0.3711,0.3743,190248.7,315.0
2019-01-03 08:00:00,0.3745,0.3681,0.3682,149368.93,375.0
2019-01-03 09:00:00,0.3709,0.3655,0.3699,386438.4,599.0
2019-01-03 10:00:00,0.3733,0.3681,0.3716,189751.88,415.0
2019-01-03 11:00:00,0.3727,0.3626,0.365,365563.64,523.0
2019-01-03 12:00:00,0.3683,0.362,0.3676,358518.45,489.0
2019-01-03 13:00:00,0.3723,0.3674,0.3722,148517.28,309.0
2019-01-03 14:00:00,0.3729,0.37,0.3706,127185.0,218.0
2019-01-03 15:00:00,0.3775,0.3705,0.3769,205570.05,464.0
2019-01-03 16:00:00,0.377,0.3654,0.3661,361501.15,657.0
2019-01-03 17:00:00,0.3717,0.3647,0.3692,170497.4,322.0
2019-01-03 18:00:00,0.371,0.3678,0.371,93037.53,242.0
2019-01-03 19:00:00,0.3715,0.3684,0.3705,100976.36,215.0
2019-01-03 20:00:00,0.3734,0.37,0.3728,91589.03,218.0
2019-01-03 21:00:00,0.3732,0.3709,0.3718,115279.25,212.0
2019-01-03 22:00:00,0.3718,0.3688,0.3702,98428.29,220.0
2019-01-03 23:00:00,0.3709,0.3671,0.3691,75052.26,187.0
2019-01-04 00:00:00,0.3698,0.3645,0.3651,186232.72,337.0
2019-01-04 01:00:00,0.3686,0.3656,0.368,69741.92,165.0
2019-01-04 02:00:00,0.3679,0.365,0.3657,42647.3,106.0
2019-01-04 03:00:00,0.3713,0.3657,0.3713,72449.35,212.0
2019-01-04 04:00:00,0.3756,0.3702,0.3752,203556.15,309.0
2019-01-04 05:00:00,0.377,0.3723,0.3751,96283.57,254.0
2019-01-04 06:00:00,0.3803,0.3759,0.3762,374687.16,523.0
2019-01-04 07:00:00,0.3804,0.3771,0.3778,99689.42,277.0
2019-01-04 08:00:00,0.38,0.3755,0.3755,96330.54,324.0
2019-01-04 09:00:00,0.38,0.3747,0.378,150236.05,313.0
2019-01-04 10:00:00,0.3808,0.376,0.3798,79557.28,276.0
2019-01-04 11:00:00,0.3809,0.3723,0.3733,80915.58,238.0
2019-01-04 12:00:00,0.3747,0.3676,0.3709,215627.75,488.0
2019-01-04 13:00:00,0.371,0.3676,0.3691,136474.05,237.0
2019-01-04 14:00:00,0.37,0.3548,0.3579,382319.45,906.0
2019-01-04 15:00:00,0.3632,0.356,0.3626,293050.2,470.0
