Open time,High,Low,Close,Volume,Number of trades
2021-01-01 00:00:00,12.4,11.9,12.25,1886.335,140.0
2021-01-01 01:00:00,13.129,12.2,12.732,5223.241,368.0
2021-01-01 02:00:00,12.745,12.486,12.5,1788.058,147.0
2021-01-01 03:00:00,12.6,12.386,12.545,959.391,121.0
2021-01-01 04:00:00,12.545,12.322,12.336,255.611,59.0
2021-01-01 05:00:00,12.673,12.324,12.35,971.978,115.0
2021-01-01 06:00:00,12.837,12.343,12.623,1618.598,173.0
2021-01-01 07:00:00,12.818,12.533,12.559,287.729,70.0
2021-01-01 08:00:00,12.611,12.451,12.5,273.264,78.0
2021-01-01 09:00:00,12.697,12.502,12.596,479.367,65.0
2021-01-01 10:00:00,12.673,12.451,12.539,1132.363,100.0
2021-01-01 11:00:00,12.54,12.436,12.498,630.191,74.0
2021-01-01 12:00:00,12.601,12.457,12.457,576.656,74.0
2021-01-01 13:00:00,12.475,12.345,12.448,1046.483,89.0
2021-01-01 14:00:00,12.6,12.35,12.45,1858.566,155.0
2021-01-01 15:00:00,12.599,12.384,12.451,2360.676,140.0
2021-01-01 16:00:00,12.529,12.35,12.35,844.224,113.0
2021-01-01 17:00:00,12.459,11.75,12.042,2231.736,233.0
2021-01-01 18:00:00,12.379,11.822,12.102,3257.977,344.0
2021-01-01 19:00:00,12.178,11.915,12.065,787.307,92.0
2021-01-01 20:00:00,13.859,11.881,13.535,11038.46,760.0
2021-01-01 21:00:00,13.96,12.397,12.502,29779.035,2282.0
2021-01-01 22:00:00,13.001,12.527,12.9,1847.533,247.0
2021-01-01 23:00:00,13.038,12.54,12.555,831.163,127.0
2021-01-02 00:00:00,12.587,12.344,12.49,369.461,68.0
2021-01-02 01:00:00,12.558,12.323,12.337,1053.125,44.0
2021-01-02 02:00:00,12.957,12.321,12.794,1056.102,164.0
2021-01-02 03:00:00,12.89,12.534,12.888,549.329,104.0
2021-01-02 04:00:00,12.89,12.55,12.552,303.937,84.0
2021-01-02 05:00:00,12.943,12.515,12.943,757.4,161.0
2021-01-02 06:00:00,13.646,12.801,13.038,2301.019,330.0
2021-01-02 07:00:00,13.116,12.939,12.98,212.7,60.0
2021-01-02 08:00:00,13.029,12.695,12.769,647.362,84.0
2021-01-02 09:00:00,13.646,12.661,13.079,2362.442,265.0
2021-01-02 10:00:00,13.1,12.807,12.959,450.261,118.0
2021-01-02 11:00:00,13.0,12.761,12.863,434.668,89.0
2021-01-02 12:00:00,13.0,12.749,12.869,1261.113,159.0
2021-01-02 13:00:00,12.891,12.557,12.85,1348.864,215.0
2021-01-02 14:00:00,12.888,12.7,12.802,745.566,116.0
2021-01-02 15:00:00,13.186,12.803,12.997,902.827,143.0
2021-01-02 16:00:00,13.0,12.45,12.529,1045.118,219.0
2021-01-02 17:00:00,12.725,12.424,12.715,1263.806,204.0
2021-01-02 18:00:00,12.744,12.5,12.5,1614.025,120.0
2021-01-02 19:00:00,12.45,12.007,12.172,2132.317,193.0
2021-01-02 20:00:00,12.179,11.9,11.9,1164.708,139.0
2021-01-02 21:00:00,12.001,11.7,12.0,541.451,124.0
2021-01-02 22:00:00,12.177,11.919,11.932,323.831,60.0
2021-01-02 23:00:00,11.996,11.801,11.868,110.432,41.0
2021-01-03 00:00:00,12.176,11.869,12.044,546.614,83.0
2021-01-03 01:00:00,12.087,11.868,11.869,301.151,54.0
2021-01-03 02:00:00,12.074,11.75,11.91,485.895,81.0
2021-01-03 03:00:00,12.032,11.779,11.983,237.664,56.0
2021-01-03 04:00:00,11.986,11.776,11.805,371.554,48.0
2021-01-03 05:00:00,12.004,11.776,11.776,486.942,76.0
2021-01-03 06:00:00,12.005,11.45,11.958,2642.53,306.0
2021-01-03 07:00:00,11.954,11.317,11.503,1764.37,145.0
2021-01-03 08:00:00,11.749,11.411,11.715,1063.229,106.0
2021-01-03 09:00:00,11.64,11.5,11.5,1108.951,79.0
2021-01-03 10:00:00,11.634,11.4,11.431,2439.682,168.0
2021-01-03 11:00:00,11.799,11.372,11.559,2713.841,203.0
2021-01-03 12:00:00,11.549,11.317,11.403,1356.966,160.0
2021-01-03 13:00:00,11.768,11.403,11.669,2145.333,158.0
2021-01-03 14:00:00,12.075,11.522,11.795,3340.361,228.0
2021-01-03 15:00:00,11.777,11.502,11.568,776.065,96.0
2021-01-03 16:00:00,11.647,11.452,11.452,1840.763,107.0
2021-01-03 17:00:00,12.15,11.072,11.956,5524.378,357.0
2021-01-03 18:00:00,12.5,11.7,11.751,1030.224,146.0
2021-01-03 19:00:00,12.0,11.702,11.801,925.704,117.0
2021-01-03 20:00:00,11.944,11.537,11.578,1168.389,105.0
2021-01-03 21:00:00,11.68,11.48,11.483,733.03,86.0
2021-01-03 22:00:00,11.575,11.2,11.421,1713.292,154.0
2021-01-03 23:00:00,11.522,11.214,11.33,606.349,104.0
2021-01-04 00:00:00,11.519,11.303,11.468,614.855,83.0
2021-01-04 01:00:00,11.522,11.325,11.325,437.203,54.0
2021-01-04 02:00:00,11.51,11.2,11.32,775.764,110.0
2021-01-04 03:00:00,12.0,11.313,11.503,1761.217,137.0
2021-01-04 04:00:00,11.55,11.42,11.491,848.046,87.0
2021-01-04 05:00:00,11.711,11.426,11.626,1111.18,119.0
2021-01-04 06:00:00,11.582,10.8,10.89,3413.194,352.0
2021-01-04 07:00:00,11.036,10.56,10.95,3137.16,216.0
2021-01-04 08:00:00,11.048,10.803,10.832,1033.083,124.0
2021-01-04 09:00:00,10.93,10.359,10.529,2240.199,182.0
2021-01-04 10:00:00,10.723,10.12,10.287,3104.338,228.0
2021-01-04 11:00:00,10.627,10.1,10.318,1977.437,143.0
2021-01-04 12:00:00,10.712,10.26,10.497,863.165,127.0
2021-01-04 13:00:00,10.67,10.261,10.49,812.423,72.0
2021-01-04 14:00:00,10.901,10.548,10.889,1522.289,131.0
2021-01-04 15:00:00,10.889,10.601,10.682,423.349,54.0
2021-01-04 16:00:00,11.001,10.548,10.998,1447.234,129.0
2021-01-04 17:00:00,11.107,10.354,10.488,1269.611,113.0
2021-01-04 18:00:00,10.578,10.362,10.435,489.736,67.0
2021-01-04 19:00:00,10.997,10.336,10.997,366.233,54.0
2021-01-04 20:00:00,10.946,10.43,10.775,522.815,64.0
2021-01-04 21:00:00,10.765,10.471,10.657,184.396,25.0
2021-01-04 22:00:00,10.5,10.441,10.441,228.752,34.0
2021-01-04 23:00:00,10.51,10.3,10.51,966.804,72.0
2021-01-05 00:00:00,10.66,10.411,10.411,724.055,38.0
2021-01-05 01:00:00,10.592,10.206,10.531,619.869,81.0
2021-01-05 02:00:00,10.498,10.151,10.3,1028.724,119.0
2021-01-05 03:00:00,10.399,9.943,10.027,1536.839,152.0
2021-01-05 04:00:00,10.054,9.546,9.984,1348.351,206.0
2021-01-05 05:00:00,10.07,9.8,9.8,896.727,77.0
2021-01-05 06:00:00,10.066,9.8,9.821,571.226,58.0
2021-01-05 07:00:00,10.7,9.686,10.415,3368.129,253.0
2021-01-05 08:00:00,10.904,10.45,10.544,2107.422,221.0
2021-01-05 09:00:00,10.637,10.195,10.263,868.129,150.0
2021-01-05 10:00:00,11.198,9.96,10.358,14688.237,871.0
2021-01-05 11:00:00,10.503,10.114,10.305,1747.089,205.0
2021-01-05 12:00:00,10.42,10.211,10.389,1075.1,90.0
2021-01-05 13:00:00,10.413,10.218,10.323,1687.26,89.0
2021-01-05 14:00:00,10.48,10.213,10.48,1684.816,75.0
2021-01-05 15:00:00,10.887,10.393,10.639,2403.567,160.0
2021-01-05 16:00:00,10.712,10.293,10.559,1115.066,98.0
2021-01-05 17:00:00,10.559,10.332,10.393,1095.019,86.0
2021-01-05 18:00:00,10.626,10.393,10.55,958.376,89.0
2021-01-05 19:00:00,10.509,10.371,10.371,430.168,48.0
2021-01-05 20:00:00,10.49,10.152,10.489,1002.255,122.0
2021-01-05 21:00:00,11.0,10.382,10.408,2459.469,172.0
2021-01-05 22:00:00,10.55,10.307,10.395,639.552,88.0
2021-01-05 23:00:00,10.498,10.231,10.399,272.372,41.0
2021-01-06 00:00:00,10.467,10.263,10.313,213.948,44.0
2021-01-06 01:00:00,10.313,10.22,10.22,158.462,25.0
2021-01-06 02:00:00,10.207,10.038,10.12,414.039,48.0
2021-01-06 03:00:00,10.185,10.039,10.153,375.98,59.0
2021-01-06 04:00:00,10.275,10.089,10.173,444.105,77.0
2021-01-06 05:00:00,10.481,10.176,10.306,1088.971,76.0
2021-01-06 06:00:00,10.481,10.326,10.42,702.315,64.0
2021-01-06 07:00:00,10.623,10.346,10.346,561.559,101.0
2021-01-06 08:00:00,10.444,10.295,10.438,1559.964,68.0
2021-01-06 09:00:00,10.433,10.05,10.282,839.756,105.0
2021-01-06 10:00:00,10.517,10.253,10.433,1056.436,123.0
2021-01-06 11:00:00,10.598,10.327,10.328,930.35,87.0
2021-01-06 12:00:00,10.392,10.153,10.261,580.195,73.0
2021-01-06 13:00:00,10.397,10.262,10.397,1046.861,70.0
2021-01-06 14:00:00,10.324,10.101,10.101,1841.834,108.0
2021-01-06 15:00:00,10.271,10.05,10.181,1374.442,96.0
2021-01-06 16:00:00,10.397,10.05,10.117,456.743,94.0
2021-01-06 17:00:00,10.251,10.15,10.161,1198.13,64.0
2021-01-06 18:00:00,10.3,10.148,10.172,895.189,66.0
2021-01-06 19:00:00,10.375,10.111,10.2,1273.071,83.0
2021-01-06 20:00:00,10.192,9.65,9.956,2643.981,217.0
2021-01-06 21:00:00,9.989,9.75,9.76,703.931,83.0
2021-01-06 22:00:00,10.035,9.761,10.035,335.697,94.0
2021-01-06 23:00:00,10.038,9.82,9.82,237.87,53.0
2021-01-07 00:00:00,10.044,9.82,9.951,321.109,74.0
2021-01-07 01:00:00,9.958,9.904,9.958,268.653,38.0
2021-01-07 02:00:00,9.953,9.82,9.832,339.847,80.0
2021-01-07 03:00:00,9.958,9.799,9.829,364.663,60.0
2021-01-07 04:00:00,9.828,9.607,9.759,774.333,68.0
2021-01-07 05:00:00,10.0,9.706,9.89,1288.485,112.0
2021-01-07 06:00:00,9.97,9.702,9.875,1370.639,97.0
