Open time,High,Low,Close,Volume,Number of trades
2020-01-01 00:00:00,1.1213,1.1167,1.1176,6262.85,28.0
2020-01-01 01:00:00,1.1298,1.1168,1.1298,17673.68,70.0
2020-01-01 02:00:00,1.1395,1.13,1.1323,13787.38,93.0
2020-01-01 03:00:00,1.135,1.1253,1.133,6271.64,38.0
2020-01-01 04:00:00,1.1325,1.1262,1.13,3639.02,19.0
2020-01-01 05:00:00,1.1348,1.1261,1.1269,2620.75,22.0
2020-01-01 06:00:00,1.1338,1.126,1.1313,4049.99,29.0
2020-01-01 07:00:00,1.1262,1.0933,1.0962,64249.35,275.0
2020-01-01 08:00:00,1.1043,1.0867,1.0867,21016.2,126.0
2020-01-01 09:00:00,1.0939,1.0745,1.0794,42495.67,285.0
2020-01-01 10:00:00,1.1,1.0755,1.0905,32890.71,133.0
2020-01-01 11:00:00,1.1,1.0906,1.0932,13128.43,44.0
2020-01-01 12:00:00,1.1145,1.0935,1.114,32769.66,189.0
2020-01-01 13:00:00,1.1354,1.1103,1.1265,29914.99,228.0
2020-01-01 14:00:00,1.1266,1.1202,1.1214,4190.81,31.0
2020-01-01 15:00:00,1.124,1.106,1.106,20194.18,91.0
2020-01-01 16:00:00,1.1059,1.0917,1.1036,18931.37,122.0
2020-01-01 17:00:00,1.1103,1.0978,1.0978,9456.29,78.0
2020-01-01 18:00:00,1.1285,1.085,1.1192,44358.44,184.0
2020-01-01 19:00:00,1.1226,1.1118,1.1154,6079.3,53.0
2020-01-01 20:00:00,1.13,1.1138,1.13,7313.24,81.0
2020-01-01 21:00:00,1.1304,1.1192,1.1192,9607.74,45.0
2020-01-01 22:00:00,1.1268,1.116,1.118,3785.22,62.0
2020-01-01 23:00:00,1.14,1.1159,1.1364,39262.64,167.0
2020-01-02 00:00:00,1.1434,1.1166,1.1166,58842.07,185.0
2020-01-02 01:00:00,1.1184,1.1,1.1062,8499.77,107.0
2020-01-02 02:00:00,1.1143,1.0858,1.0944,37234.2,176.0
2020-01-02 03:00:00,1.1046,1.0918,1.0996,22764.27,80.0
2020-01-02 04:00:00,1.1271,1.1027,1.1249,16833.38,174.0
2020-01-02 05:00:00,1.134,1.1095,1.113,23800.0,265.0
2020-01-02 06:00:00,1.1133,1.0999,1.1028,23252.28,100.0
2020-01-02 07:00:00,1.119,1.1033,1.1054,12765.96,97.0
2020-01-02 08:00:00,1.1129,1.1051,1.1066,6924.6,49.0
2020-01-02 09:00:00,1.1107,1.1065,1.109,1685.38,27.0
2020-01-02 10:00:00,1.109,1.1044,1.105,9171.3,29.0
2020-01-02 11:00:00,1.1078,1.0978,1.0978,8269.44,41.0
2020-01-02 12:00:00,1.1,1.0951,1.0997,8131.09,33.0
2020-01-02 13:00:00,1.1,1.0849,1.0887,20728.69,120.0
2020-01-02 14:00:00,1.1025,1.0814,1.1025,15966.5,118.0
2020-01-02 15:00:00,1.103,1.0896,1.0939,5544.07,34.0
2020-01-02 16:00:00,1.0977,1.088,1.0966,12910.21,67.0
2020-01-02 17:00:00,1.0923,1.0468,1.0563,129824.11,382.0
2020-01-02 18:00:00,1.0696,1.0523,1.0616,27718.99,104.0
2020-01-02 19:00:00,1.0599,1.0366,1.0404,67416.29,199.0
2020-01-02 20:00:00,1.0423,1.0313,1.0375,27882.17,117.0
2020-01-02 21:00:00,1.0381,1.0173,1.0301,46030.1,175.0
2020-01-02 22:00:00,1.0246,1.0169,1.0201,28953.89,46.0
2020-01-02 23:00:00,1.0267,1.0128,1.0172,27001.88,84.0
2020-01-03 00:00:00,1.0257,1.0112,1.0257,18968.5,88.0
2020-01-03 01:00:00,1.0532,1.0154,1.0412,56637.81,240.0
2020-01-03 02:00:00,1.0534,1.0355,1.0534,9213.62,66.0
2020-01-03 03:00:00,1.0697,1.052,1.069,59101.97,143.0
2020-01-03 04:00:00,1.0697,1.054,1.0543,51521.94,203.0
2020-01-03 05:00:00,1.0855,1.0551,1.0854,38770.59,177.0
