Open time,High,Low,Close,Volume,Number of trades
2021-01-01 00:00:00,6.398,6.01,6.095,25651.65,597.0
2021-01-01 01:00:00,6.278,6.058,6.204,11116.11,532.0
2021-01-01 02:00:00,6.316,5.855,5.872,17988.818,539.0
2021-01-01 03:00:00,6.203,5.8,6.196,11138.127,442.0
2021-01-01 04:00:00,6.241,5.84,6.001,12549.128,487.0
2021-01-01 05:00:00,6.091,5.891,6.091,5910.42,186.0
2021-01-01 06:00:00,6.4,5.773,5.87,32727.119,1047.0
2021-01-01 07:00:00,5.9,5.586,5.636,21886.208,1214.0
2021-01-01 08:00:00,5.717,5.386,5.58,18894.939,833.0
2021-01-01 09:00:00,5.66,5.388,5.4,6899.765,333.0
2021-01-01 10:00:00,5.49,5.104,5.325,24028.248,852.0
2021-01-01 11:00:00,5.416,5.19,5.23,10409.818,419.0
2021-01-01 12:00:00,5.499,5.178,5.318,10152.569,438.0
2021-01-01 13:00:00,5.401,5.1,5.155,13994.071,535.0
2021-01-01 14:00:00,6.97,5.1,6.142,63489.372,1865.0
2021-01-01 15:00:00,6.488,5.7,5.918,41873.885,1420.0
2021-01-01 16:00:00,6.166,5.6,5.71,12635.517,517.0
2021-01-01 17:00:00,5.817,5.502,5.502,4315.0,292.0
2021-01-01 18:00:00,5.871,5.49,5.564,9485.187,282.0
2021-01-01 19:00:00,5.7,5.437,5.5,6531.424,264.0
2021-01-01 20:00:00,5.618,5.379,5.534,4443.931,205.0
2021-01-01 21:00:00,6.666,5.561,6.04,42204.253,1370.0
2021-01-01 22:00:00,6.21,5.871,6.08,10624.088,419.0
2021-01-01 23:00:00,6.551,5.957,6.27,15871.53,710.0
2021-01-02 00:00:00,6.5,6.05,6.27,10286.949,433.0
2021-01-02 01:00:00,6.254,5.894,5.956,3306.041,266.0
2021-01-02 02:00:00,6.181,5.88,6.068,3660.735,217.0
2021-01-02 03:00:00,6.001,5.456,5.456,20288.341,577.0
2021-01-02 04:00:00,5.703,5.449,5.634,16548.783,468.0
2021-01-02 05:00:00,6.7,5.5,6.195,50486.149,1684.0
2021-01-02 06:00:00,6.389,6.153,6.21,5184.968,302.0
2021-01-02 07:00:00,6.4,6.183,6.201,15236.424,312.0
2021-01-02 08:00:00,6.717,6.184,6.489,18258.766,766.0
2021-01-02 09:00:00,6.824,6.35,6.64,21609.784,784.0
2021-01-02 10:00:00,6.712,6.223,6.57,13739.758,706.0
2021-01-02 11:00:00,6.999,6.519,6.829,24863.588,1067.0
2021-01-02 12:00:00,6.829,6.26,6.351,23522.819,885.0
2021-01-02 13:00:00,6.531,6.097,6.4,22888.273,945.0
2021-01-02 14:00:00,6.435,5.922,5.958,21725.035,1034.0
2021-01-02 15:00:00,6.225,5.98,6.013,13959.674,538.0
2021-01-02 16:00:00,6.05,5.676,5.754,20619.144,616.0
2021-01-02 17:00:00,5.87,5.562,5.674,18181.117,611.0
2021-01-02 18:00:00,5.716,5.6,5.6,9140.982,241.0
2021-01-02 19:00:00,5.646,5.459,5.521,7311.347,355.0
