Open time,High,Low,Close,Volume,Number of trades
2021-01-01 00:00:00,0.4757,0.4648,0.4648,26830.51,61.0
2021-01-01 01:00:00,0.4812,0.4675,0.4749,24073.98,66.0
2021-01-01 02:00:00,0.4819,0.4762,0.4764,4933.71,41.0
2021-01-01 03:00:00,0.4832,0.4748,0.482,9001.53,37.0
2021-01-01 04:00:00,0.4839,0.4736,0.482,14254.92,68.0
2021-01-01 05:00:00,0.4791,0.4727,0.4728,3014.22,22.0
2021-01-01 06:00:00,0.4757,0.4718,0.4741,4949.4,33.0
2021-01-01 07:00:00,0.4784,0.4729,0.4753,9681.47,36.0
2021-01-01 08:00:00,0.479,0.4718,0.4765,12788.38,58.0
2021-01-01 09:00:00,0.4765,0.472,0.4735,2465.61,28.0
2021-01-01 10:00:00,0.4765,0.4702,0.475,14627.21,53.0
2021-01-01 11:00:00,0.49,0.4708,0.4868,27329.54,77.0
2021-01-01 12:00:00,0.4902,0.4797,0.4826,33364.85,68.0
2021-01-01 13:00:00,0.4863,0.4764,0.4857,23764.25,83.0
2021-01-01 14:00:00,0.4871,0.4744,0.4744,46971.58,94.0
2021-01-01 15:00:00,0.4798,0.4758,0.4787,34419.87,90.0
2021-01-01 16:00:00,0.4828,0.4787,0.4811,5948.25,35.0
2021-01-01 17:00:00,0.4811,0.472,0.476,58351.96,76.0
2021-01-01 18:00:00,0.4764,0.47,0.4732,106195.23,146.0
2021-01-01 19:00:00,0.4733,0.4625,0.464,44100.83,99.0
2021-01-01 20:00:00,0.4755,0.4642,0.4734,23337.72,52.0
2021-01-01 21:00:00,0.4778,0.4712,0.4775,2507.27,27.0
2021-01-01 22:00:00,0.4791,0.4694,0.4791,4736.9,42.0
2021-01-01 23:00:00,0.479,0.4725,0.4772,1451.04,27.0
2021-01-02 00:00:00,0.4774,0.4673,0.4673,48345.66,88.0
2021-01-02 01:00:00,0.4713,0.4621,0.4639,29902.33,165.0
2021-01-02 02:00:00,0.471,0.4638,0.4706,7683.94,37.0
2021-01-02 03:00:00,0.4774,0.4653,0.4725,13048.91,74.0
2021-01-02 04:00:00,0.4763,0.473,0.473,1845.23,27.0
2021-01-02 05:00:00,0.4757,0.472,0.4756,1397.49,22.0
2021-01-02 06:00:00,0.4757,0.4711,0.4756,548.16,10.0
2021-01-02 07:00:00,0.4753,0.471,0.4739,3093.65,47.0
2021-01-02 08:00:00,0.4763,0.4702,0.4722,33076.82,56.0
2021-01-02 09:00:00,0.4773,0.465,0.4657,13783.83,58.0
2021-01-02 10:00:00,0.4705,0.4637,0.4675,9320.32,36.0
2021-01-02 11:00:00,0.4675,0.4622,0.4639,55221.72,111.0
2021-01-02 12:00:00,0.4643,0.463,0.4643,49346.86,124.0
2021-01-02 13:00:00,0.4643,0.4604,0.4606,90668.55,136.0
2021-01-02 14:00:00,0.4642,0.4582,0.4582,27699.09,95.0
2021-01-02 15:00:00,0.4616,0.453,0.4565,46069.57,105.0
2021-01-02 16:00:00,0.463,0.45,0.4619,68994.16,217.0
2021-01-02 17:00:00,0.4695,0.4545,0.4602,64136.11,127.0
2021-01-02 18:00:00,0.4663,0.4532,0.461,46516.28,123.0
2021-01-02 19:00:00,0.463,0.4512,0.4571,41486.3,136.0
2021-01-02 20:00:00,0.4567,0.4369,0.4372,21064.41,164.0
2021-01-02 21:00:00,0.4466,0.4165,0.4455,178329.14,425.0
2021-01-02 22:00:00,0.4499,0.445,0.4482,26452.24,68.0
2021-01-02 23:00:00,0.4497,0.445,0.4469,17037.34,44.0
2021-01-03 00:00:00,0.4483,0.4382,0.4419,24416.85,122.0
2021-01-03 01:00:00,0.4459,0.4419,0.443,11956.3,39.0
2021-01-03 02:00:00,0.4456,0.4368,0.44,28513.31,172.0
2021-01-03 03:00:00,0.44,0.436,0.4397,2821.92,30.0
2021-01-03 04:00:00,0.4487,0.4351,0.447,85223.3,148.0
2021-01-03 05:00:00,0.4535,0.4433,0.4455,29132.65,105.0
2021-01-03 06:00:00,0.454,0.4451,0.4501,41840.64,108.0
2021-01-03 07:00:00,0.4531,0.4195,0.4233,239890.4,493.0
2021-01-03 08:00:00,0.4317,0.4122,0.4288,137115.42,380.0
2021-01-03 09:00:00,0.4374,0.4281,0.4307,58707.57,183.0
2021-01-03 10:00:00,0.4398,0.43,0.4369,19048.43,104.0
2021-01-03 11:00:00,0.4466,0.4359,0.4388,44511.01,149.0
2021-01-03 12:00:00,0.4479,0.4369,0.4408,41231.48,94.0
2021-01-03 13:00:00,0.4509,0.4325,0.445,55706.58,187.0
2021-01-03 14:00:00,0.4505,0.4372,0.4413,40429.46,146.0
2021-01-03 15:00:00,0.4457,0.4303,0.4399,79451.82,296.0
2021-01-03 16:00:00,0.4473,0.4351,0.445,41562.96,182.0
2021-01-03 17:00:00,0.4522,0.4416,0.452,58882.14,178.0
2021-01-03 18:00:00,0.452,0.4374,0.443,43937.88,194.0
2021-01-03 19:00:00,0.4482,0.4334,0.4481,25347.61,146.0
2021-01-03 20:00:00,0.4481,0.44,0.4451,14367.79,86.0
2021-01-03 21:00:00,0.4504,0.4397,0.4471,19989.11,102.0
2021-01-03 22:00:00,0.4518,0.4462,0.4475,17958.72,86.0
2021-01-03 23:00:00,0.4594,0.4469,0.4537,48249.06,148.0
2021-01-04 00:00:00,0.46,0.4493,0.4586,15528.89,101.0
2021-01-04 01:00:00,0.4656,0.4555,0.4655,22513.85,103.0
2021-01-04 02:00:00,0.4664,0.4617,0.4627,14487.48,71.0
2021-01-04 03:00:00,0.4758,0.4603,0.4718,22172.45,137.0
