Open time,High,Low,Close,Volume,Number of trades
2021-01-01 00:00:00,5.2346,4.9963,5.2241,985515.23,9548.0
2021-01-01 01:00:00,5.2797,5.125,5.1663,695972.74,8969.0
2021-01-01 02:00:00,5.208,5.0999,5.1846,387870.13,5003.0
2021-01-01 03:00:00,5.2461,5.1536,5.1548,331408.72,4087.0
2021-01-01 04:00:00,5.1638,5.0935,5.1118,363121.6,4950.0
2021-01-01 05:00:00,5.1574,5.0528,5.116,365344.47,4627.0
2021-01-01 06:00:00,5.1493,4.8512,4.91,1133944.08,9975.0
2021-01-01 07:00:00,5.0097,4.8527,4.9971,577445.6,6692.0
2021-01-01 08:00:00,5.0199,4.8622,4.91,392960.63,5601.0
2021-01-01 09:00:00,5.02,4.9001,4.9916,358539.38,4620.0
2021-01-01 10:00:00,5.1183,4.986,5.0438,684081.39,7081.0
2021-01-01 11:00:00,5.08,4.9933,5.0059,447300.97,5131.0
2021-01-01 12:00:00,5.0155,4.8242,4.9045,903870.47,9682.0
2021-01-01 13:00:00,4.9636,4.8476,4.9364,355929.24,4939.0
2021-01-01 14:00:00,5.0522,4.8954,4.9594,522009.26,6498.0
2021-01-01 15:00:00,4.9778,4.7072,4.7759,806498.06,9364.0
2021-01-01 16:00:00,4.8705,4.7434,4.8247,582106.87,7203.0
2021-01-01 17:00:00,4.8384,4.5895,4.6818,702265.6,8186.0
2021-01-01 18:00:00,4.8386,4.62,4.81,838848.82,9639.0
2021-01-01 19:00:00,4.8606,4.735,4.8152,333857.48,4648.0
2021-01-01 20:00:00,4.8934,4.7755,4.8316,384909.7,4480.0
2021-01-01 21:00:00,4.8453,4.7598,4.7731,171618.04,2580.0
2021-01-01 22:00:00,4.8026,4.6877,4.7604,252875.43,3557.0
2021-01-01 23:00:00,4.7666,4.6851,4.7353,239855.43,2986.0
2021-01-02 00:00:00,4.7404,4.4939,4.5804,870418.78,9324.0
2021-01-02 01:00:00,4.7089,4.5254,4.6632,455601.29,6057.0
2021-01-02 02:00:00,4.75,4.6574,4.6928,373292.96,3995.0
2021-01-02 03:00:00,4.8299,4.6749,4.8108,357316.68,3643.0
2021-01-02 04:00:00,4.8148,4.7126,4.7661,251557.9,2984.0
2021-01-02 05:00:00,4.9386,4.7645,4.8659,516375.62,4630.0
2021-01-02 06:00:00,4.8762,4.7301,4.747,405314.05,3904.0
2021-01-02 07:00:00,4.7566,4.6593,4.6824,271469.1,2835.0
2021-01-02 08:00:00,4.7049,4.6171,4.6188,307272.3,3291.0
2021-01-02 09:00:00,4.6669,4.545,4.545,425062.03,4257.0
2021-01-02 10:00:00,4.6525,4.48,4.5979,1231627.54,9270.0
2021-01-02 11:00:00,4.6437,4.5894,4.6124,202844.17,2167.0
2021-01-02 12:00:00,4.7274,4.52,4.646,717808.42,6730.0
2021-01-02 13:00:00,4.8249,4.626,4.7406,722560.79,7536.0
2021-01-02 14:00:00,4.7444,4.5932,4.6596,545195.87,4983.0
2021-01-02 15:00:00,4.887,4.63,4.8834,1040176.95,9080.0
2021-01-02 16:00:00,4.9078,4.6887,4.773,985333.33,10106.0
2021-01-02 17:00:00,4.833,4.725,4.7533,444919.74,4767.0
2021-01-02 18:00:00,4.9919,4.7045,4.95,1031240.07,9636.0
2021-01-02 19:00:00,5.2,4.9186,5.0604,1141797.39,11191.0
2021-01-02 20:00:00,5.14,4.72,4.7498,1512131.74,15174.0
2021-01-02 21:00:00,4.93,4.65,4.8385,1047197.34,11038.0
2021-01-02 22:00:00,4.9213,4.7903,4.8801,256015.2,3289.0
2021-01-02 23:00:00,4.8801,4.7922,4.8564,310436.05,3172.0
2021-01-03 00:00:00,4.8871,4.7451,4.7634,278839.82,2962.0
2021-01-03 01:00:00,4.7977,4.7083,4.7294,283692.79,3144.0
2021-01-03 02:00:00,4.8273,4.7282,4.8201,174595.63,2384.0
2021-01-03 03:00:00,4.826,4.7129,4.7238,158767.94,1862.0
2021-01-03 04:00:00,4.7439,4.6756,4.7283,179584.82,1921.0
2021-01-03 05:00:00,4.7732,4.7174,4.765,335922.37,3104.0
2021-01-03 06:00:00,4.93,4.75,4.9101,481158.01,4810.0
2021-01-03 07:00:00,4.9927,4.7717,4.7748,673042.17,6120.0
2021-01-03 08:00:00,4.9212,4.7015,4.8996,414701.07,4390.0
2021-01-03 09:00:00,4.9367,4.8121,4.8238,371739.63,4138.0
2021-01-03 10:00:00,5.1,4.7909,5.0518,1067613.67,8474.0
2021-01-03 11:00:00,5.1602,5.0,5.0942,1355266.06,12935.0
2021-01-03 12:00:00,5.2,5.0249,5.1915,807713.54,9347.0
2021-01-03 13:00:00,5.3767,5.08,5.2674,1394720.71,12503.0
2021-01-03 14:00:00,5.438,5.1567,5.2936,1412235.58,16829.0
2021-01-03 15:00:00,5.3673,5.0,5.2502,1725797.28,19601.0
2021-01-03 16:00:00,5.3922,5.1043,5.1332,1153091.48,14235.0
2021-01-03 17:00:00,5.2325,5.05,5.112,677786.55,7399.0
2021-01-03 18:00:00,5.15,4.9476,5.1087,444421.15,5178.0
2021-01-03 19:00:00,5.1385,5.0251,5.1348,227378.11,2776.0
2021-01-03 20:00:00,5.294,5.13,5.253,306802.39,4499.0
2021-01-03 21:00:00,5.35,5.2234,5.303,235457.18,3292.0
2021-01-03 22:00:00,5.3801,5.2173,5.3574,430872.77,5903.0
2021-01-03 23:00:00,5.6412,5.2986,5.5155,1413543.7,13500.0
2021-01-04 00:00:00,5.5667,5.3485,5.5527,705327.66,8592.0
2021-01-04 01:00:00,5.81,5.4859,5.7166,937192.42,11115.0
2021-01-04 02:00:00,5.8219,5.6644,5.7369,416933.41,6148.0
2021-01-04 03:00:00,5.9916,5.722,5.9705,799128.1,9658.0
2021-01-04 04:00:00,5.98,5.6729,5.7904,830990.14,9573.0
2021-01-04 05:00:00,5.967,5.7391,5.9001,506771.78,7007.0
2021-01-04 06:00:00,6.2,5.81,5.9535,1116919.76,13285.0
2021-01-04 07:00:00,6.0466,5.46,5.6558,1424453.64,18027.0
2021-01-04 08:00:00,5.7723,5.3109,5.5279,907739.74,12235.0
2021-01-04 09:00:00,5.5746,5.0,5.315,1927219.01,18885.0
2021-01-04 10:00:00,5.3765,4.8556,5.263,1543595.53,16907.0
2021-01-04 11:00:00,5.3257,5.0996,5.3055,471591.45,5550.0
2021-01-04 12:00:00,5.4777,5.2322,5.4207,604740.05,7281.0
2021-01-04 13:00:00,5.4255,5.2098,5.3213,653057.3,6672.0
2021-01-04 14:00:00,5.5242,5.3132,5.518,518445.36,5297.0
2021-01-04 15:00:00,5.6,5.3119,5.372,883450.61,8445.0
2021-01-04 16:00:00,5.423,5.14,5.233,1077869.4,12247.0
2021-01-04 17:00:00,5.3279,5.1754,5.2275,526321.72,7521.0
2021-01-04 18:00:00,5.3133,5.2243,5.2915,351397.03,4357.0
2021-01-04 19:00:00,5.4454,5.2915,5.4424,311083.85,5092.0
2021-01-04 20:00:00,5.4795,5.3801,5.3882,208980.96,3647.0
2021-01-04 21:00:00,5.4347,5.1701,5.2074,405973.05,5552.0
2021-01-04 22:00:00,5.3373,5.1867,5.2536,326657.83,4670.0
2021-01-04 23:00:00,5.4358,5.204,5.4238,281797.35,4086.0
2021-01-05 00:00:00,5.7464,5.4203,5.586,969200.63,10078.0
2021-01-05 01:00:00,5.701,5.5183,5.6475,397174.42,5845.0
2021-01-05 02:00:00,5.6504,5.4611,5.5265,277812.3,3593.0
2021-01-05 03:00:00,5.5983,5.2534,5.2782,747057.78,9926.0
2021-01-05 04:00:00,5.452,5.2106,5.329,606547.61,9110.0
2021-01-05 05:00:00,5.4371,5.164,5.2781,449114.07,6839.0
2021-01-05 06:00:00,5.4399,5.2413,5.4155,385256.7,5377.0
2021-01-05 07:00:00,5.4536,5.3726,5.4233,120564.11,2010.0
2021-01-05 08:00:00,5.6098,5.4231,5.525,434663.17,5667.0
2021-01-05 09:00:00,5.6972,5.5217,5.6252,331584.29,4690.0
2021-01-05 10:00:00,5.7735,5.5852,5.6923,467034.61,6295.0
2021-01-05 11:00:00,5.937,5.6684,5.9205,702380.68,8428.0
2021-01-05 12:00:00,5.97,5.712,5.7261,697877.23,7814.0
2021-01-05 13:00:00,5.9388,5.7156,5.7702,401474.6,5946.0
2021-01-05 14:00:00,5.9617,5.6555,5.9423,551796.68,7485.0
2021-01-05 15:00:00,6.2,5.8939,6.1996,909621.23,11157.0
2021-01-05 16:00:00,6.5424,6.0781,6.3903,1472963.59,20803.0
2021-01-05 17:00:00,6.435,6.2852,6.3949,432085.66,6841.0
2021-01-05 18:00:00,6.4143,6.2718,6.2936,323363.91,5436.0
2021-01-05 19:00:00,6.435,6.1168,6.3844,685182.48,8720.0
2021-01-05 20:00:00,6.4814,6.2842,6.3676,534410.62,7495.0
2021-01-05 21:00:00,6.5333,6.3183,6.3704,376977.65,5656.0
2021-01-05 22:00:00,6.4983,6.3274,6.49,221000.14,3327.0
2021-01-05 23:00:00,6.56,6.18,6.2518,606731.59,7929.0
2021-01-06 00:00:00,6.3328,6.08,6.1836,505612.69,6457.0
