trading_coin,reference_coin,trade_type,profit_factor,profit_factor_quantile,total_cumulative_return,max_drawdown,last_year_drawdown,num_trades,sharpe_ratio,drawdown_quantile,passes_filter_1_drawdown,passes_filter_2_return,passes_filter_3_trades,passes_filter_4_statistical,passes_filter_5_2022,passes_all_filters
DOGE,AAVE,long,2.2665,0.0000,35.1686,-0.6677,-0.3558,249,1.7585,0.2000,True,True,True,True,False,False
DOGE,BAL,long,2.1268,0.0000,16.5199,-0.5366,-0.3850,247,1.3737,0.0000,True,True,True,True,False,False
DOGE,PAXG,long,2.0533,0.0000,19.8466,-0.5419,-0.3673,332,1.2747,0.0000,True,True,True,True,False,False
DOGE,1INCH,long,2.0396,0.0000,13.5816,-0.6142,-0.3124,251,1.3011,0.0000,True,True,True,True,False,False
DOGE,HIVE,long,2.0128,0.0000,12.9254,-0.5794,-0.2994,277,1.2361,0.0000,True,True,True,True,True,True
DOGE,HOT,long,1.9967,0.0000,25.4003,-0.6379,-0.3933,388,1.0800,0.0000,True,True,True,True,False,False
DOGE,AVAX,long,1.9950,0.0000,7.9950,-0.5715,-0.3783,236,1.1237,0.0000,True,True,True,True,False,False
DOGE,NMR,long,1.9828,0.0000,14.1128,-0.6225,-0.3715,295,1.2441,0.0000,True,True,True,True,False,False
LINK,BNT,short,1.9712,0.0000,2.9712,-0.1834,-0.1834,151,2.9834,0.0000,True,False,False,True,True,False
IOTX,1INCH,long,1.9561,0.0000,11.6428,-0.6897,-0.3053,259,1.1893,0.2000,True,True,True,True,False,False
BNB,XRP,long,1.9493,0.0000,81.1192,-0.4610,-0.3932,521,2.2672,0.0000,True,True,True,True,False,False
BNB,DATA,long,1.9484,0.0000,10.3492,-0.2942,-0.2609,285,1.8799,0.0000,True,True,True,True,True,True
BNB,YFI,long,1.9474,0.0000,8.9045,-0.2942,-0.1897,261,1.8221,0.0000,True,True,True,True,True,True
ETC,1INCH,long,1.9441,0.0000,13.0588,-0.4340,-0.3706,232,1.9646,0.0000,True,True,True,True,False,False
MKR,BNT,long,1.9426,0.0000,12.3460,-0.3255,-0.2751,237,2.4278,0.0000,True,True,True,True,True,True
BNB,WING,long,1.9425,0.0000,9.3529,-0.3619,-0.3619,315,1.7484,0.0000,True,True,True,True,False,False
ETC,AXS,long,1.9379,0.0000,13.4579,-0.5911,-0.3239,249,1.5895,0.0000,True,True,True,True,False,False
ETC,SOL,long,1.9354,0.0000,10.4210,-0.5960,-0.3348,234,1.5202,0.0000,True,True,True,True,False,False
DOGE,RIF,long,1.9337,0.0000,9.6071,-0.7120,-0.2227,295,1.0648,0.2000,False,True,True,True,True,False
CHR,1INCH,long,1.9249,0.0000,9.1471,-0.6214,-0.3766,271,1.0333,0.0000,True,True,True,True,False,False
BNB,KMD,long,1.9191,0.0000,11.5625,-0.3940,-0.3134,299,1.8574,0.0000,True,True,True,True,False,False
DOGE,TFUEL,long,1.9137,0.0000,32.2892,-0.7435,-0.2278,458,1.1250,0.4000,False,True,True,True,True,False
MKR,ZEC,long,1.9115,0.0000,13.8077,-0.3322,-0.1810,280,2.2463,0.0000,True,True,True,True,True,True
DOGE,ZEC,long,1.8861,0.0000,19.5875,-0.7075,-0.3993,412,1.0161,0.2000,False,True,True,True,False,False
MANA,BTC,long,1.8825,0.0000,6.8335,-0.3917,-0.3917,238,1.3879,0.0000,True,True,True,True,False,False
MANA,RVN,long,1.8818,0.0000,6.4742,-0.5128,-0.3885,227,1.2154,0.0000,True,True,True,True,False,False
MANA,SC,long,1.8775,0.0000,6.3436,-0.7373,-0.3941,242,1.1174,1.0000,False,True,True,True,False,False
MANA,ETC,long,1.8751,0.0000,6.2800,-0.4484,-0.2992,219,1.3058,0.0000,True,True,True,True,True,True
AAVE,BNT,short,1.8686,0.0000,6.7163,-0.2739,-0.1653,190,3.0664,0.0000,True,True,False,True,True,False
SXP,CELR,short,1.8659,0.0000,15.5888,-0.4168,-0.3653,263,2.2852,0.0000,True,True,True,True,False,False
FIL,ATM,short,1.8494,0.0000,16.2500,-0.3414,-0.3335,319,2.5508,0.0000,True,True,True,True,False,False
IOTX,RIF,long,1.8438,0.0000,12.5461,-0.7227,-0.3358,347,1.0908,0.6000,False,True,True,True,False,False
BNB,STORJ,long,1.8375,0.0000,7.2902,-0.2782,-0.2316,280,1.6912,0.0000,True,True,True,True,True,True
SAND,ETC,long,1.8316,0.0000,26.0515,-0.7222,-0.3913,251,2.1898,0.0000,False,True,True,True,False,False
DOGE,KNC,short,1.8309,0.0000,10.6575,-0.5690,-0.1660,274,1.9767,0.0000,True,True,True,True,True,True
MKR,NEO,long,1.8259,0.0000,11.9433,-0.4739,-0.2518,266,2.1023,0.0000,True,True,True,True,True,True
IOST,COTI,short,1.8180,0.0000,9.7221,-0.4162,-0.2272,253,2.6384,0.0000,True,True,True,True,True,True
BNB,DENT,long,1.7989,0.0000,14.9731,-0.2422,-0.2422,446,1.8373,0.0000,True,True,True,True,True,True
MANA,STRAX,long,1.7923,0.0000,11.3463,-0.3846,-0.3619,255,1.7394,0.0000,True,True,True,True,False,False
MANA,EOS,long,1.7898,0.0000,5.6264,-0.6741,-0.3623,224,1.1802,0.2000,True,True,True,True,False,False
ETC,CKB,long,1.7849,0.0000,5.8103,-0.5570,-0.3000,264,1.1994,0.0000,True,True,True,True,True,True
SOL,FUN,long,1.7849,0.0000,24.9608,-0.3991,-0.3710,312,2.2774,0.0000,True,True,True,True,False,False
SOL,RVN,long,1.7838,0.0000,13.6194,-0.4021,-0.3625,263,2.3226,0.0000,True,True,True,True,False,False
MKR,BNT,both,1.7799,0.0000,57.5084,-0.3762,-0.3762,475,2.2976,0.0000,True,True,True,True,False,False
MKR,DASH,long,1.7743,0.0000,9.8940,-0.2946,-0.1913,264,1.9050,0.0000,True,True,True,True,True,True
MANA,RIF,long,1.7697,0.0000,7.2629,-0.3870,-0.3870,322,1.1112,0.0000,True,True,True,True,False,False
FIL,PSG,short,1.7606,0.0000,12.9639,-0.3270,-0.3032,333,2.1853,0.0000,True,True,True,True,False,False
FIL,COS,short,1.7562,0.0000,9.4763,-0.2934,-0.2132,322,2.3600,0.0000,True,True,True,True,True,True
FIL,ASR,short,1.7531,0.0000,12.1356,-0.2703,-0.2703,332,2.3135,0.0000,True,True,True,True,True,True
BNB,1INCH,long,1.7511,0.0000,4.2403,-0.4164,-0.3647,262,1.3539,0.0000,True,True,True,True,False,False
FIL,CELO,short,1.7475,0.0000,8.2036,-0.4840,-0.2230,271,2.3312,0.0000,True,True,True,True,True,True
RUNE,TRU,short,1.7469,0.0000,19.9786,-0.3354,-0.3226,298,2.5078,0.0000,True,True,True,True,False,False
ETC,BNT,long,1.7448,0.0000,3.9432,-0.6806,-0.3872,191,1.1903,0.0000,True,False,False,True,False,False
RUNE,ONG,short,1.7440,0.0000,23.3032,-0.5308,-0.2586,331,2.4826,0.0000,True,True,True,True,True,True
RUNE,PSG,long,1.7383,0.0000,34.0517,-0.4077,-0.3759,322,2.0673,0.0000,True,True,True,True,False,False
BAL,ONT,short,1.7355,0.0000,8.3710,-0.2680,-0.1256,245,2.6460,0.0000,True,True,True,True,True,True
MKR,LTC,long,1.7339,0.0000,7.9473,-0.2970,-0.2970,263,1.7850,0.0000,True,True,True,True,True,True
MKR,NEO,both,1.7326,0.0000,74.7745,-0.4455,-0.3687,521,2.1415,0.0000,True,True,True,True,False,False
AAVE,BTC,short,1.7316,0.0000,7.0366,-0.2448,-0.2336,224,2.5440,0.0000,True,True,True,True,True,True
MANA,NMR,long,1.7216,0.0000,7.2200,-0.5581,-0.3853,322,1.0451,0.0000,True,True,True,True,False,False
FIL,AVA,short,1.7085,0.0000,10.5077,-0.3432,-0.3432,343,2.2997,0.0000,True,True,True,True,False,False
FIL,KNC,short,1.7035,0.0000,8.9712,-0.4353,-0.2273,278,2.2524,0.0000,True,True,True,True,True,True
ETC,HIVE,long,1.7025,0.0000,5.5147,-0.6974,-0.3085,264,1.1717,0.0000,True,True,True,True,False,False
BNB,VTHO,long,1.7006,0.0000,5.5367,-0.3737,-0.3737,300,1.5296,0.0000,True,True,True,True,False,False
MANA,CHZ,long,1.7002,0.0000,4.0942,-0.4888,-0.3607,245,1.0324,0.0000,True,True,True,True,False,False
MKR,CHZ,long,1.7002,0.0000,10.3365,-0.3894,-0.3894,283,2.0080,0.0000,True,True,True,True,False,False
AAVE,1INCH,short,1.6992,0.0000,7.0937,-0.3497,-0.1645,253,2.5906,0.0000,True,True,True,True,True,True
SAND,CHZ,long,1.6929,0.0000,11.3020,-0.6440,-0.3899,265,1.5575,0.0000,True,True,True,True,False,False
DOGE,ASR,both,1.6850,0.0000,42.4981,-0.6754,-0.3268,620,1.0057,0.2000,True,True,True,True,False,False
FIL,IOTX,short,1.6847,0.0000,6.8267,-0.4091,-0.1710,279,2.1434,0.0000,True,True,True,True,True,True
MANA,XTZ,short,1.6838,0.0000,7.4845,-0.3815,-0.1748,244,2.3123,0.0000,True,True,True,True,True,True
BNB,HIVE,long,1.6818,0.0000,5.8227,-0.4942,-0.3135,305,1.4460,0.0000,True,True,True,True,False,False
BNB,AXS,long,1.6811,0.0000,4.3349,-0.3796,-0.3796,290,1.3830,0.0000,True,True,True,True,False,False
ENJ,STRAX,short,1.6785,0.0000,9.4399,-0.3612,-0.2353,301,2.3127,0.0000,True,True,True,True,True,True
MKR,KSM,long,1.6775,0.0000,7.2586,-0.4216,-0.2766,271,1.7905,0.0000,True,True,True,True,True,True
BNB,FUN,long,1.6763,0.0000,18.8019,-0.5427,-0.2112,503,1.4725,0.0000,True,True,True,True,True,True
RUNE,PSG,both,1.6762,0.0000,630.9996,-0.5896,-0.3160,673,2.0523,0.0000,True,True,True,True,False,False
ETH,BTC,short,1.6743,0.0000,16.5388,-0.4906,-0.1881,377,2.3736,0.0000,True,True,True,True,True,True
BNB,DOT,long,1.6733,0.0000,3.4916,-0.4873,-0.3692,225,1.4046,0.0000,True,False,True,True,False,False
MKR,BAT,long,1.6701,0.0000,7.2826,-0.3303,-0.2805,266,1.7646,0.0000,True,True,True,True,True,True
RUNE,1INCH,short,1.6586,0.0000,10.0611,-0.4116,-0.3364,270,2.2574,0.0000,True,True,True,True,False,False
TRB,ONT,short,1.6563,0.0000,11.7968,-0.6007,-0.2814,280,1.8770,0.0000,True,True,True,True,True,True
BNB,LRC,long,1.6523,0.0000,3.5187,-0.3882,-0.2150,265,1.2625,0.0000,True,False,True,True,True,False
FIL,CHZ,short,1.6521,0.0000,6.1914,-0.3027,-0.2738,266,2.2189,0.0000,True,True,True,True,True,True
RUNE,VET,long,1.6504,0.0000,11.2190,-0.6879,-0.3293,234,1.9863,0.0000,True,True,True,True,False,False
RUNE,CHZ,short,1.6492,0.0000,10.0475,-0.3660,-0.1975,271,2.0551,0.0000,True,True,True,True,True,True
EOS,STPT,short,1.6476,0.0000,7.4611,-0.3815,-0.1969,313,2.2802,0.0000,True,True,True,True,True,True
AXS,BAT,long,1.6472,0.0000,7.6834,-0.4376,-0.3984,255,1.2778,0.0000,True,True,True,True,False,False
BNB,ZIL,long,1.6469,0.0000,9.2285,-0.3517,-0.3274,420,1.4299,0.0000,True,True,True,True,False,False
BNB,TROY,long,1.6452,0.0000,13.5761,-0.3904,-0.3904,519,1.5323,0.0000,True,True,True,True,False,False
BAL,ATM,short,1.6431,0.0000,13.0447,-0.3384,-0.2945,340,2.2627,0.0000,True,True,True,True,True,True
ETC,CELO,long,1.6411,0.0000,4.1807,-0.6235,-0.3764,256,1.0489,0.0000,True,True,True,True,False,False
BNB,BAL,long,1.6408,0.0000,3.7642,-0.4268,-0.2836,257,1.3473,0.0000,True,False,True,True,True,False
BNB,STRAX,long,1.6407,0.0000,4.1748,-0.3951,-0.3615,311,1.3021,0.0000,True,True,True,True,False,False
BNB,KNC,long,1.6402,0.0000,3.6887,-0.4298,-0.2786,280,1.2461,0.0000,True,False,True,True,True,False
FIL,1INCH,short,1.6356,0.0000,5.3848,-0.3136,-0.3136,274,1.8527,0.0000,True,True,True,True,False,False
BNB,UNI,long,1.6345,0.0000,3.3142,-0.3976,-0.3976,250,1.1898,0.0000,True,False,True,True,False,False
MANA,BAT,long,1.6339,0.0000,5.6998,-0.3616,-0.2922,196,1.8235,0.0000,True,True,False,True,True,False
AAVE,FUN,short,1.6281,0.0000,9.0805,-0.5425,-0.1719,304,2.2878,0.0000,True,True,True,True,True,True
BNT,NEO,short,1.6256,0.0000,2.6515,-0.2716,-0.2143,204,1.8548,0.0000,True,False,True,True,True,False
MKR,RIF,long,1.6251,0.0000,7.5501,-0.3616,-0.3616,307,1.7936,0.0000,True,True,True,True,False,False
ETH,ZRX,long,1.6206,0.0000,11.5503,-0.2420,-0.2116,416,2.2043,0.0000,True,True,True,True,True,True
ETH,TRU,long,1.6206,0.0000,3.7989,-0.3237,-0.3237,263,2.1306,0.0000,True,False,True,True,False,False
MANA,ETC,both,1.6196,0.0000,18.6804,-0.7191,-0.2629,443,1.1676,0.2000,False,True,True,True,True,False
MKR,NEO,short,1.6196,0.0000,4.8543,-0.3506,-0.2181,255,2.3212,0.0000,True,True,True,True,True,True
ZEN,CELR,short,1.6189,0.0000,7.1322,-0.4488,-0.2980,274,1.9381,0.0000,True,True,True,True,True,True
BNB,ATM,long,1.6168,0.0000,6.2080,-0.3674,-0.3674,339,1.4461,0.0000,True,True,True,True,False,False
TRB,1INCH,short,1.6164,0.0000,9.7710,-0.6032,-0.2548,273,1.6389,0.0000,True,True,True,True,True,True
RUNE,TRX,both,1.6160,0.0000,197.9194,-0.6310,-0.3330,580,2.0827,0.0000,True,True,True,True,False,False
SAND,FUN,short,1.6134,0.0000,10.8429,-0.3988,-0.3862,309,1.9765,0.0000,True,True,True,True,False,False
MKR,CHZ,both,1.6098,0.0000,59.4975,-0.4548,-0.3848,578,1.9447,0.0000,True,True,True,True,False,False
BNB,ZRX,long,1.6096,0.0000,8.6559,-0.3821,-0.2843,444,1.3507,0.0000,True,True,True,True,True,True
MKR,ETC,long,1.6084,0.0000,5.2913,-0.3501,-0.2465,250,1.5060,0.0000,True,True,True,True,True,True
RUNE,PSG,short,1.6082,0.0000,17.0305,-0.6240,-0.2232,351,2.0823,0.0000,True,True,True,True,True,True
BEL,SKL,short,1.6075,0.0000,9.7260,-0.4198,-0.2917,279,1.9135,0.0000,True,True,True,True,True,True
