time_entered,time_exited,log_return,trade_type,reference_coin,trading_coin,strategy_type
2022-09-16T14:00:00,2022-09-17T00:00:00,0.014103530894803198,long,1000LUNC,IOTA,both
2022-09-17T01:00:00,2022-09-17T07:00:00,0.0,short,1000LUNC,IOTA,both
2022-09-17T14:00:00,2022-09-18T12:00:00,0.004474280394921107,short,1000LUNC,IOTA,both
2022-09-18T16:00:00,2022-09-19T18:00:00,-0.009209581593455892,long,1000LUNC,IOTA,both
2022-09-20T15:00:00,2022-09-20T20:00:00,0.008010723746078979,short,1000LUNC,IOTA,both
2022-09-21T00:00:00,2022-09-21T05:00:00,0.01561639048743365,short,1000LUNC,IOTA,both
2022-09-21T17:00:00,2022-09-21T19:00:00,0.014277688034995135,short,1000LUNC,IOTA,both
2022-09-21T21:00:00,2022-09-22T05:00:00,0.018898200220229554,long,1000LUNC,IOTA,both
2022-09-22T10:00:00,2022-09-23T10:00:00,-0.02861641050046407,short,1000LUNC,IOTA,both
2022-09-23T11:00:00,2022-09-25T01:00:00,-0.03833285526677193,short,1000LUNC,IOTA,both
2022-09-25T14:00:00,2022-09-25T17:00:00,-0.0014513790646469864,long,1000LUNC,IOTA,both
2022-09-25T21:00:00,2022-09-26T09:00:00,-0.09444273238063201,short,1000LUNC,IOTA,both
2022-09-26T09:00:00,2022-09-26T09:00:00,0.0,short,1000LUNC,IOTA,both
2022-09-27T02:00:00,2022-09-27T05:00:00,0.011669500334128917,long,1000LUNC,IOTA,both
2022-09-27T07:00:00,2022-09-27T22:00:00,0.00064935067216737,short,1000LUNC,IOTA,both
2022-09-28T01:00:00,2022-09-28T07:00:00,0.027976153959557833,long,1000LUNC,IOTA,both
2022-09-28T08:00:00,2022-09-28T10:00:00,0.03275791522738501,short,1000LUNC,IOTA,both
2022-09-28T10:00:00,2022-09-28T10:00:00,0.0,short,1000LUNC,IOTA,both
2022-09-29T07:00:00,2022-10-01T03:00:00,-0.01097781178923708,long,1000LUNC,IOTA,both
2022-10-01T07:00:00,2022-10-01T21:00:00,-0.003756193591681091,short,1000LUNC,IOTA,both
2022-10-01T22:00:00,2022-10-03T04:00:00,-0.061541651982745485,long,1000LUNC,IOTA,both
2022-10-03T05:00:00,2022-10-03T08:00:00,0.009735068770752413,short,1000LUNC,IOTA,both
2022-10-03T10:00:00,2022-10-03T13:00:00,-0.0065359709797854215,long,1000LUNC,IOTA,both
2022-10-03T14:00:00,2022-10-05T00:00:00,-0.008596041469797797,short,1000LUNC,IOTA,both
2022-10-05T08:00:00,2022-10-06T00:00:00,-0.006543098588936059,long,1000LUNC,IOTA,both
2022-10-07T12:00:00,2022-10-07T18:00:00,0.007544358680556999,long,1000LUNC,IOTA,both
2022-10-08T03:00:00,2022-10-08T13:00:00,0.0059347355198145265,short,1000LUNC,IOTA,both
2022-10-08T18:00:00,2022-10-09T01:00:00,0.012620805978313075,long,1000LUNC,IOTA,both
2022-10-09T05:00:00,2022-10-09T20:00:00,0.004741938486158211,short,1000LUNC,IOTA,both
2022-10-09T22:00:00,2022-10-10T17:00:00,-0.012215587768123797,long,1000LUNC,IOTA,both
2022-10-10T23:00:00,2022-10-11T16:00:00,0.008422714418222087,long,1000LUNC,IOTA,both
2022-10-11T17:00:00,2022-10-12T01:00:00,0.0019116809492327514,short,1000LUNC,IOTA,both
2022-10-12T17:00:00,2022-10-13T15:00:00,-0.02724749018561737,long,1000LUNC,IOTA,both
2022-10-13T18:00:00,2022-10-14T14:00:00,0.00827264910936739,short,1000LUNC,IOTA,both
2022-10-14T16:00:00,2022-10-15T13:00:00,-0.010858743334875945,long,1000LUNC,IOTA,both
2022-10-16T16:00:00,2022-10-17T00:00:00,0.005243004549240154,short,1000LUNC,IOTA,both
2022-10-17T12:00:00,2022-10-18T08:00:00,-0.001984521389548992,short,1000LUNC,IOTA,both
2022-10-19T05:00:00,2022-10-19T14:00:00,0.006483004878078091,short,1000LUNC,IOTA,both
2022-10-19T18:00:00,2022-10-20T09:00:00,0.0,long,1000LUNC,IOTA,both
2022-10-20T14:00:00,2022-10-23T00:00:00,0.01010722167960043,short,1000LUNC,IOTA,both
2022-10-25T00:00:00,2022-10-25T09:00:00,0.01053494346318,short,1000LUNC,IOTA,both
2022-10-25T17:00:00,2022-10-26T04:00:00,0.0031421864030724955,short,1000LUNC,IOTA,both
2022-10-26T07:00:00,2022-10-26T17:00:00,0.008593802889773891,long,1000LUNC,IOTA,both
2022-10-27T03:00:00,2022-10-27T13:00:00,0.014763282900859423,short,1000LUNC,IOTA,both
2022-10-27T16:00:00,2022-10-28T08:00:00,-0.011834457647002796,long,1000LUNC,IOTA,both
2022-10-28T19:00:00,2022-10-30T08:00:00,-0.02516099443527795,short,1000LUNC,IOTA,both
2022-10-30T08:00:00,2022-10-30T08:00:00,0.0,short,1000LUNC,IOTA,both
2022-10-30T23:00:00,2022-10-31T03:00:00,0.008047562113652195,long,1000LUNC,IOTA,both
2022-10-31T08:00:00,2022-10-31T09:00:00,0.019231361927887592,long,1000LUNC,IOTA,both
2022-11-01T10:00:00,2022-11-01T22:00:00,0.024405627368140614,short,1000LUNC,IOTA,both
2022-11-01T23:00:00,2022-11-02T04:00:00,0.005109069867478376,short,1000LUNC,IOTA,both
2022-11-03T02:00:00,2022-11-03T03:00:00,-0.0023649991314978564,short,1000LUNC,IOTA,both
2022-11-03T10:00:00,2022-11-03T12:00:00,0.014593041457168976,short,1000LUNC,IOTA,both
2022-11-03T12:00:00,2022-11-03T12:00:00,0.0,short,1000LUNC,IOTA,both
2022-11-03T17:00:00,2022-11-03T22:00:00,0.013739175883303912,short,1000LUNC,IOTA,both
2022-11-04T03:00:00,2022-11-04T19:00:00,-0.0317847414943136,short,1000LUNC,IOTA,both
2022-11-04T20:00:00,2022-11-05T11:00:00,0.012481806688484726,long,1000LUNC,IOTA,both
2022-11-05T17:00:00,2022-11-06T01:00:00,0.01685639032250101,short,1000LUNC,IOTA,both
2022-11-07T07:00:00,2022-11-07T13:00:00,0.037228029140415765,long,1000LUNC,IOTA,both
2022-11-08T01:00:00,2022-11-08T03:00:00,0.05997184984379861,short,1000LUNC,IOTA,both
2022-11-08T04:00:00,2022-11-08T16:00:00,0.02154911796648472,long,1000LUNC,IOTA,both
2022-11-09T18:00:00,2022-11-10T07:00:00,0.05614196330439398,long,1000LUNC,IOTA,both
2022-11-10T13:00:00,2022-11-11T09:00:00,-0.013388237118516059,short,1000LUNC,IOTA,both
2022-11-13T07:00:00,2022-11-13T14:00:00,0.012048338516174355,long,1000LUNC,IOTA,both
2022-11-13T22:00:00,2022-11-14T14:00:00,0.0028011222797117733,short,1000LUNC,IOTA,both
2022-11-15T18:00:00,2022-11-16T04:00:00,0.028675799976666298,long,1000LUNC,IOTA,both
2022-11-19T08:00:00,2022-11-20T18:00:00,0.002263981043998479,short,1000LUNC,IOTA,both
2022-11-21T04:00:00,2022-11-21T13:00:00,0.04548391744355555,long,1000LUNC,IOTA,both
2022-11-21T13:00:00,2022-11-21T13:00:00,0.0,long,1000LUNC,IOTA,both
2022-11-22T09:00:00,2022-11-23T08:00:00,0.05721248104549818,long,1000LUNC,IOTA,both
2022-11-23T19:00:00,2022-11-24T10:00:00,0.02036164746753823,short,1000LUNC,IOTA,both
2022-11-27T01:00:00,2022-11-27T06:00:00,0.004640379556502301,short,1000LUNC,IOTA,both
2022-11-27T11:00:00,2022-11-27T16:00:00,0.008757834266409305,long,1000LUNC,IOTA,both
2022-11-27T23:00:00,2022-11-29T02:00:00,-0.01706202527672144,long,1000LUNC,IOTA,both
2022-11-30T04:00:00,2022-11-30T17:00:00,0.012679202495386864,short,1000LUNC,IOTA,both
2022-12-01T16:00:00,2022-12-02T22:00:00,-0.0004689331856153175,long,1000LUNC,IOTA,both
2022-12-03T00:00:00,2022-12-03T17:00:00,0.000934142991796922,short,1000LUNC,IOTA,both
2022-12-04T04:00:00,2022-12-04T06:00:00,0.007508247379149519,short,1000LUNC,IOTA,both
2022-12-05T05:00:00,2022-12-06T02:00:00,0.010227890183256542,short,1000LUNC,IOTA,both
2022-12-07T18:00:00,2022-12-08T04:00:00,0.0014637719129822074,long,1000LUNC,IOTA,both
2022-12-08T08:00:00,2022-12-09T02:00:00,0.011103179477345291,long,1000LUNC,IOTA,both
2022-12-09T08:00:00,2022-12-09T13:00:00,0.010638398205055797,short,1000LUNC,IOTA,both
2022-12-10T11:00:00,2022-12-12T00:00:00,0.016346517830668157,short,1000LUNC,IOTA,both
2022-12-12T02:00:00,2022-12-13T05:00:00,-0.009427011018758749,long,1000LUNC,IOTA,both
2022-12-13T09:00:00,2022-12-13T16:00:00,-0.014417351392813568,short,1000LUNC,IOTA,both
2022-12-13T20:00:00,2022-12-14T02:00:00,0.021293203601345873,short,1000LUNC,IOTA,both
2022-12-14T02:00:00,2022-12-14T02:00:00,0.0,short,1000LUNC,IOTA,both
2022-12-15T12:00:00,2022-12-16T17:00:00,-0.08899578586194602,long,1000LUNC,IOTA,both
2022-12-16T22:00:00,2022-12-17T04:00:00,-0.004822191381764345,short,1000LUNC,IOTA,both
2022-12-17T13:00:00,2022-12-17T23:00:00,-0.007649345918489082,short,1000LUNC,IOTA,both
2022-12-19T18:00:00,2022-12-20T13:00:00,-0.016020059184183675,short,1000LUNC,IOTA,both
2022-12-21T12:00:00,2022-12-22T04:00:00,-0.003034903695154047,short,1000LUNC,IOTA,both
2022-12-22T05:00:00,2022-12-22T23:00:00,0.018692133012152546,long,1000LUNC,IOTA,both
2022-12-23T14:00:00,2022-12-24T13:00:00,0.0023696693553183824,long,1000LUNC,IOTA,both
2022-12-25T00:00:00,2022-12-25T23:00:00,-0.00581059159546563,short,1000LUNC,IOTA,both
2022-12-26T00:00:00,2022-12-28T08:00:00,-0.03199324998674553,long,1000LUNC,IOTA,both
2022-12-28T10:00:00,2022-12-29T18:00:00,-0.03442476421252004,short,1000LUNC,IOTA,both
2022-12-29T20:00:00,2022-12-30T11:00:00,0.008899495105983767,long,1000LUNC,IOTA,both
2022-12-30T12:00:00,2022-12-31T11:00:00,-0.014051753455650302,short,1000LUNC,IOTA,both
2022-12-31T21:00:00,2023-01-01T14:00:00,0.008235340661305227,long,1000LUNC,IOTA,both
2023-01-02T07:00:00,2023-01-03T01:00:00,-0.04034160470900599,short,1000LUNC,IOTA,both
2023-01-03T05:00:00,2023-01-03T08:00:00,-0.006065637566000507,long,1000LUNC,IOTA,both
2023-01-03T14:00:00,2023-01-03T16:00:00,-0.0028176969896251207,long,1000LUNC,IOTA,both
2023-01-04T21:00:00,2023-01-05T04:00:00,0.011801204675015409,long,1000LUNC,IOTA,both
2023-01-05T10:00:00,2023-01-06T04:00:00,0.0050293484050019585,short,1000LUNC,IOTA,both
2023-01-06T09:00:00,2023-01-06T22:00:00,0.02696792642750697,long,1000LUNC,IOTA,both
2023-01-07T00:00:00,2023-01-07T11:00:00,0.024760549680652118,short,1000LUNC,IOTA,both
2023-01-08T03:00:00,2023-01-08T19:00:00,0.002797204621061219,long,1000LUNC,IOTA,both
2023-01-09T00:00:00,2023-01-09T03:00:00,-0.0070251572361666745,short,1000LUNC,IOTA,both
2023-01-09T04:00:00,2023-01-09T16:00:00,-0.023943681752629897,short,1000LUNC,IOTA,both
2023-01-09T16:00:00,2023-01-09T16:00:00,0.0,short,1000LUNC,IOTA,both
2023-01-10T19:00:00,2023-01-11T16:00:00,0.02461333454902617,short,1000LUNC,IOTA,both
2023-01-11T23:00:00,2023-01-12T14:00:00,0.021494929801940645,short,1000LUNC,IOTA,both
2023-01-12T20:00:00,2023-01-13T05:00:00,0.011236073266925752,short,1000LUNC,IOTA,both
2023-01-13T08:00:00,2023-01-13T19:00:00,0.006610753798052347,long,1000LUNC,IOTA,both
2023-01-14T00:00:00,2023-01-14T02:00:00,-0.01600810318227069,short,1000LUNC,IOTA,both
2023-01-14T02:00:00,2023-01-14T02:00:00,0.0,short,1000LUNC,IOTA,both
2023-01-14T06:00:00,2023-01-14T06:00:00,0.0,long,1000LUNC,IOTA,both
2023-01-15T16:00:00,2023-01-15T22:00:00,0.008287340248570287,short,1000LUNC,IOTA,both
