open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,94.53,93.22,94.4,12906.98,5579.0
2022-01-01 01:00:00,94.9,93.89,93.95,19089.96,9839.0
2022-01-01 02:00:00,94.58,93.92,94.32,16171.96,7971.0
2022-01-01 03:00:00,94.38,93.68,93.78,9484.1,5306.0
2022-01-01 04:00:00,93.9,93.35,93.61,7299.4,2676.0
2022-01-01 05:00:00,95.29,93.47,94.32,21511.75,7943.0
2022-01-01 06:00:00,94.54,93.59,93.66,13823.82,6664.0
2022-01-01 07:00:00,94.22,93.33,93.9,21548.42,6503.0
2022-01-01 08:00:00,94.36,93.78,94.05,11350.45,7201.0
2022-01-01 09:00:00,94.3,93.14,93.43,24031.44,5402.0
2022-01-01 10:00:00,93.76,91.84,92.12,54694.53,7278.0
2022-01-01 11:00:00,92.32,91.38,91.81,40376.7,5615.0
2022-01-01 12:00:00,92.86,91.82,92.66,17948.64,3431.0
2022-01-01 13:00:00,92.99,92.35,92.76,7643.54,2404.0
2022-01-01 14:00:00,92.83,92.3,92.5,9897.97,2491.0
2022-01-01 15:00:00,93.37,92.37,92.81,11999.91,2857.0
2022-01-01 16:00:00,93.9,92.64,93.05,27232.14,4292.0
2022-01-01 17:00:00,94.25,92.85,93.86,29975.94,6936.0
2022-01-01 18:00:00,94.0,93.25,93.61,15459.36,3957.0
2022-01-01 19:00:00,93.78,93.28,93.73,13093.07,2637.0
2022-01-01 20:00:00,94.26,93.67,93.77,12864.72,5962.0
2022-01-01 21:00:00,94.03,93.54,93.76,9013.17,4953.0
2022-01-01 22:00:00,93.86,93.45,93.76,7390.4,2576.0
2022-01-01 23:00:00,94.18,93.41,94.1,6073.02,2664.0
2022-01-02 00:00:00,94.2,93.62,94.17,11216.7,4844.0
2022-01-02 01:00:00,94.39,93.93,94.02,16949.55,7537.0
2022-01-02 02:00:00,94.17,93.72,93.81,13594.71,5988.0
2022-01-02 03:00:00,94.29,93.69,93.94,9798.5,6156.0
2022-01-02 04:00:00,94.29,93.16,93.56,12427.95,6263.0
2022-01-02 05:00:00,94.15,93.42,94.04,7825.19,4483.0
2022-01-02 06:00:00,94.09,93.68,93.72,5689.6,4003.0
2022-01-02 07:00:00,94.0,93.62,93.82,5008.18,3491.0
2022-01-02 08:00:00,94.92,93.56,94.2,24309.5,8006.0
2022-01-02 09:00:00,94.81,94.07,94.2,13073.17,7435.0
2022-01-02 10:00:00,94.59,94.09,94.49,8759.14,4817.0
2022-01-02 11:00:00,94.82,93.89,94.06,16265.81,4558.0
2022-01-02 12:00:00,94.65,93.63,94.35,9603.89,2975.0
2022-01-02 13:00:00,94.58,94.11,94.45,8317.54,2596.0
2022-01-02 14:00:00,95.59,94.4,95.15,41065.23,12214.0
2022-01-02 15:00:00,95.95,95.14,95.34,21309.74,9441.0
2022-01-02 16:00:00,96.5,95.25,96.22,22786.35,8968.0
2022-01-02 17:00:00,96.72,95.69,95.94,15210.95,8696.0
2022-01-02 18:00:00,96.02,94.39,95.14,24155.04,8959.0
2022-01-02 19:00:00,95.51,94.8,95.07,14302.92,7737.0
2022-01-02 20:00:00,95.47,94.95,95.22,10586.16,7241.0
2022-01-02 21:00:00,95.85,95.0,95.51,11407.95,6523.0
2022-01-02 22:00:00,96.19,95.45,96.06,13308.98,6275.0
2022-01-02 23:00:00,96.71,96.02,96.38,10702.94,3108.0
2022-01-03 00:00:00,96.4,95.91,96.05,11742.88,3156.0
2022-01-03 01:00:00,96.13,95.1,95.97,10173.64,3617.0
2022-01-03 02:00:00,96.03,95.2,95.47,14395.06,3741.0
2022-01-03 03:00:00,95.63,94.97,95.14,8684.92,2868.0
2022-01-03 04:00:00,96.09,95.01,95.87,12629.73,3742.0
2022-01-03 05:00:00,96.58,95.86,96.27,10502.79,3463.0
2022-01-03 06:00:00,96.66,95.52,95.53,26394.34,5386.0
2022-01-03 07:00:00,96.49,95.45,96.15,10861.16,2847.0
2022-01-03 08:00:00,96.62,95.96,96.1,16412.07,4097.0
2022-01-03 09:00:00,96.43,95.6,96.24,12685.77,3464.0
2022-01-03 10:00:00,97.13,96.12,97.01,25639.66,5499.0
2022-01-03 11:00:00,97.9,97.0,97.52,23627.48,5890.0
2022-01-03 12:00:00,97.99,96.73,97.11,20138.87,4998.0
2022-01-03 13:00:00,98.0,97.0,97.36,18197.32,3944.0
2022-01-03 14:00:00,97.68,96.68,96.71,16399.58,4419.0
