open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,17.79,17.56,17.75,3323.92,269.0
2022-01-01 01:00:00,17.87,17.66,17.76,3248.1,298.0
2022-01-01 02:00:00,17.81,17.69,17.7,1270.23,107.0
2022-01-01 03:00:00,17.86,17.71,17.78,2618.92,191.0
2022-01-01 04:00:00,17.83,17.67,17.75,2924.89,187.0
2022-01-01 05:00:00,18.0,17.55,17.85,9410.01,562.0
2022-01-01 06:00:00,17.9,17.79,17.79,2475.27,136.0
2022-01-01 07:00:00,17.84,17.69,17.79,4098.07,194.0
2022-01-01 08:00:00,17.82,17.74,17.77,1716.53,147.0
2022-01-01 09:00:00,17.87,17.68,17.77,4559.32,256.0
2022-01-01 10:00:00,17.85,17.52,17.66,3238.55,268.0
2022-01-01 11:00:00,17.74,17.61,17.61,2440.86,167.0
2022-01-01 12:00:00,17.83,17.6,17.8,4807.46,360.0
2022-01-01 13:00:00,17.94,17.79,17.88,3876.44,275.0
2022-01-01 14:00:00,17.97,17.8,17.9,2373.71,206.0
2022-01-01 15:00:00,18.11,17.87,17.94,7621.68,421.0
2022-01-01 16:00:00,18.35,17.92,18.19,14181.68,956.0
2022-01-01 17:00:00,18.49,18.12,18.37,12651.27,731.0
2022-01-01 18:00:00,18.48,18.27,18.43,10369.16,592.0
2022-01-01 19:00:00,18.59,18.22,18.49,27121.79,1784.0
2022-01-01 20:00:00,18.58,18.45,18.53,3652.43,233.0
2022-01-01 21:00:00,18.64,18.52,18.57,10228.06,723.0
2022-01-01 22:00:00,18.57,18.35,18.45,12277.95,761.0
2022-01-01 23:00:00,18.74,18.38,18.73,6129.07,539.0
2022-01-02 00:00:00,18.74,18.54,18.58,6270.09,732.0
2022-01-02 01:00:00,18.59,18.43,18.45,4319.64,221.0
2022-01-02 02:00:00,18.7,18.45,18.66,3341.4,291.0
2022-01-02 03:00:00,18.8,18.64,18.79,5732.02,449.0
2022-01-02 04:00:00,19.09,18.58,18.67,20759.21,1615.0
2022-01-02 05:00:00,19.09,18.58,18.92,20762.82,741.0
2022-01-02 06:00:00,18.97,18.86,18.9,11520.9,424.0
2022-01-02 07:00:00,19.11,18.86,19.07,14527.22,708.0
2022-01-02 08:00:00,19.18,18.91,18.92,12751.7,741.0
2022-01-02 09:00:00,19.13,18.86,18.95,11727.38,706.0
2022-01-02 10:00:00,19.3,18.88,19.18,21388.63,1051.0
2022-01-02 11:00:00,19.2,18.99,19.05,7481.53,511.0
2022-01-02 12:00:00,19.21,18.89,19.18,12818.1,616.0
2022-01-02 13:00:00,19.48,19.15,19.33,19516.52,1037.0
2022-01-02 14:00:00,19.4,19.1,19.25,12676.13,766.0
2022-01-02 15:00:00,19.37,19.14,19.26,8466.37,559.0
2022-01-02 16:00:00,19.5,19.23,19.46,7854.56,485.0
2022-01-02 17:00:00,19.62,19.32,19.54,12926.03,1022.0
2022-01-02 18:00:00,19.65,19.27,19.55,21521.35,1241.0
2022-01-02 19:00:00,19.61,19.36,19.38,9705.93,605.0
2022-01-02 20:00:00,19.5,19.25,19.3,12682.99,675.0
2022-01-02 21:00:00,19.48,19.24,19.46,8242.2,482.0
