open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,5.095,5.014,5.09,9888.5,299.0
2022-01-01 01:00:00,5.118,5.059,5.071,24647.0,536.0
2022-01-01 02:00:00,5.09,5.042,5.049,37172.0,985.0
2022-01-01 03:00:00,5.056,5.033,5.037,7764.7,423.0
2022-01-01 04:00:00,5.046,5.0,5.005,9833.6,338.0
2022-01-01 05:00:00,5.101,5.003,5.053,14012.2,392.0
2022-01-01 06:00:00,5.083,5.029,5.029,6131.6,280.0
2022-01-01 07:00:00,5.07,5.024,5.062,7204.7,206.0
2022-01-01 08:00:00,5.085,5.051,5.068,10765.5,252.0
2022-01-01 09:00:00,5.071,5.021,5.044,8570.7,270.0
2022-01-01 10:00:00,5.066,4.977,5.019,17326.3,513.0
2022-01-01 11:00:00,5.038,5.007,5.007,5339.4,233.0
2022-01-01 12:00:00,5.068,5.003,5.061,9886.7,298.0
2022-01-01 13:00:00,5.09,5.063,5.079,10157.2,422.0
2022-01-01 14:00:00,5.08,5.051,5.06,9930.2,306.0
2022-01-01 15:00:00,5.114,5.053,5.087,14749.4,524.0
2022-01-01 16:00:00,5.12,5.074,5.075,12240.1,395.0
2022-01-01 17:00:00,5.146,5.077,5.122,18154.5,676.0
2022-01-01 18:00:00,5.135,5.099,5.117,14527.9,373.0
2022-01-01 19:00:00,5.126,5.088,5.097,12808.3,228.0
2022-01-01 20:00:00,5.145,5.086,5.12,39563.5,464.0
2022-01-01 21:00:00,5.145,5.107,5.115,9901.2,286.0
2022-01-01 22:00:00,5.153,5.101,5.125,21967.4,438.0
2022-01-01 23:00:00,5.19,5.118,5.183,13897.6,406.0
2022-01-02 00:00:00,5.21,5.154,5.174,19354.9,603.0
2022-01-02 01:00:00,5.214,5.148,5.168,20247.0,538.0
2022-01-02 02:00:00,5.19,5.155,5.157,7899.2,313.0
2022-01-02 03:00:00,5.189,5.146,5.161,13084.2,269.0
2022-01-02 04:00:00,5.26,5.12,5.146,45261.4,1140.0
2022-01-02 05:00:00,5.206,5.139,5.193,12493.9,384.0
2022-01-02 06:00:00,5.206,5.169,5.195,5305.8,171.0
2022-01-02 07:00:00,5.197,5.174,5.181,6522.3,158.0
2022-01-02 08:00:00,5.222,5.15,5.218,14601.6,353.0
2022-01-02 09:00:00,5.285,5.214,5.235,23024.8,625.0
2022-01-02 10:00:00,5.245,5.222,5.222,11145.7,263.0
2022-01-02 11:00:00,5.266,5.22,5.259,8210.1,320.0
2022-01-02 12:00:00,5.303,5.22,5.296,21625.0,615.0
2022-01-02 13:00:00,5.314,5.285,5.304,12740.9,505.0
2022-01-02 14:00:00,5.309,5.244,5.281,17674.7,653.0
2022-01-02 15:00:00,5.306,5.249,5.266,19130.3,497.0
2022-01-02 16:00:00,5.331,5.251,5.317,21917.4,753.0
2022-01-02 17:00:00,5.332,5.266,5.285,17978.2,628.0
2022-01-02 18:00:00,5.291,5.184,5.249,30090.3,761.0
2022-01-02 19:00:00,5.277,5.221,5.241,16904.2,462.0
2022-01-02 20:00:00,5.262,5.226,5.258,4811.7,189.0
2022-01-02 21:00:00,5.295,5.228,5.237,13867.4,503.0
2022-01-02 22:00:00,5.289,5.242,5.264,7969.5,320.0
2022-01-02 23:00:00,5.285,5.263,5.28,6733.4,243.0
2022-01-03 00:00:00,5.271,5.189,5.255,98077.0,1538.0
2022-01-03 01:00:00,5.309,5.228,5.299,32187.5,827.0
2022-01-03 02:00:00,5.297,5.23,5.254,13372.1,751.0
2022-01-03 03:00:00,5.264,5.189,5.227,14920.9,546.0
2022-01-03 04:00:00,5.251,5.214,5.214,8940.1,221.0
2022-01-03 05:00:00,5.276,5.201,5.25,16707.1,446.0
2022-01-03 06:00:00,5.266,5.221,5.23,19948.9,384.0
2022-01-03 07:00:00,5.252,5.206,5.212,39759.1,880.0
2022-01-03 08:00:00,5.234,5.201,5.227,34614.0,789.0
2022-01-03 09:00:00,5.26,5.19,5.246,15903.4,505.0
2022-01-03 10:00:00,5.354,5.247,5.317,68947.0,1529.0
2022-01-03 11:00:00,5.389,5.316,5.365,48656.7,1701.0
2022-01-03 12:00:00,5.388,5.32,5.331,32400.0,761.0
2022-01-03 13:00:00,5.425,5.337,5.408,28000.7,940.0
2022-01-03 14:00:00,5.414,5.337,5.368,33494.7,859.0
2022-01-03 15:00:00,5.425,5.341,5.373,28020.3,749.0
2022-01-03 16:00:00,5.413,5.25,5.323,64024.2,1496.0
2022-01-03 17:00:00,5.399,5.314,5.381,23658.4,738.0
2022-01-03 18:00:00,5.576,5.379,5.457,116597.0,2849.0
2022-01-03 19:00:00,5.468,5.375,5.392,45910.7,1191.0
2022-01-03 20:00:00,5.428,5.244,5.293,74864.6,1746.0
2022-01-03 21:00:00,5.486,5.279,5.466,41899.8,1305.0
2022-01-03 22:00:00,5.546,5.456,5.509,70390.6,1535.0
2022-01-03 23:00:00,5.586,5.496,5.554,44980.5,1043.0
2022-01-04 00:00:00,5.698,5.521,5.59,75501.1,2108.0
2022-01-04 01:00:00,5.683,5.526,5.556,53297.1,1794.0
2022-01-04 02:00:00,5.579,5.464,5.506,36588.1,1238.0
2022-01-04 03:00:00,5.7,5.483,5.672,70249.4,1571.0
2022-01-04 04:00:00,5.707,5.628,5.663,40084.8,1212.0
2022-01-04 05:00:00,5.697,5.596,5.651,33466.9,907.0
2022-01-04 06:00:00,5.742,5.622,5.731,31651.2,1098.0
2022-01-04 07:00:00,6.05,5.718,5.909,237552.7,5384.0
2022-01-04 08:00:00,6.07,5.872,5.973,178549.1,4952.0
2022-01-04 09:00:00,5.973,5.808,5.83,112943.4,2537.0
2022-01-04 10:00:00,5.924,5.788,5.856,117828.8,2564.0
2022-01-04 11:00:00,5.898,5.761,5.818,108807.4,2092.0
2022-01-04 12:00:00,5.874,5.76,5.851,50427.0,1520.0
2022-01-04 13:00:00,5.904,5.795,5.896,53214.9,1358.0
2022-01-04 14:00:00,5.978,5.863,5.892,88894.6,1953.0
2022-01-04 15:00:00,5.927,5.818,5.884,52274.1,1458.0
2022-01-04 16:00:00,5.967,5.847,5.933,69093.8,1924.0
2022-01-04 17:00:00,5.943,5.873,5.876,43992.7,1372.0
2022-01-04 18:00:00,5.897,5.493,5.646,194666.3,3895.0
2022-01-04 19:00:00,5.779,5.629,5.757,69364.0,1926.0
2022-01-04 20:00:00,5.855,5.734,5.824,40848.5,1227.0
2022-01-04 21:00:00,5.84,5.766,5.811,22726.2,818.0
2022-01-04 22:00:00,5.81,5.75,5.799,13159.6,476.0
2022-01-04 23:00:00,5.803,5.641,5.659,51924.8,1495.0
2022-01-05 00:00:00,5.874,5.641,5.861,91846.3,1918.0
2022-01-05 01:00:00,6.059,5.842,5.911,167126.7,3625.0
2022-01-05 02:00:00,5.965,5.888,5.913,26511.0,821.0
2022-01-05 03:00:00,5.988,5.913,5.937,26112.7,663.0
2022-01-05 04:00:00,5.943,5.872,5.918,16256.5,562.0
2022-01-05 05:00:00,5.972,5.883,5.963,29323.7,803.0
2022-01-05 06:00:00,6.079,5.933,6.053,62439.8,1384.0
2022-01-05 07:00:00,6.104,6.034,6.095,65213.7,1515.0
2022-01-05 08:00:00,6.15,6.013,6.136,72920.0,1942.0
2022-01-05 09:00:00,6.158,6.061,6.106,117646.8,3047.0
2022-01-05 10:00:00,6.127,6.043,6.117,67907.8,1806.0
2022-01-05 11:00:00,6.125,5.947,6.044,64864.4,2087.0
2022-01-05 12:00:00,6.098,5.985,6.079,84558.0,2590.0
2022-01-05 13:00:00,6.218,5.983,6.151,115098.5,3647.0
2022-01-05 14:00:00,6.369,6.142,6.29,226098.8,5994.0
2022-01-05 15:00:00,6.696,6.247,6.651,412294.2,10043.0
2022-01-05 16:00:00,7.0,6.625,6.904,1355464.0,27585.0
2022-01-05 17:00:00,6.955,6.626,6.658,500616.4,13621.0
2022-01-05 18:00:00,6.87,6.63,6.768,403321.0,11077.0
2022-01-05 19:00:00,6.777,6.468,6.543,399430.1,10744.0
2022-01-05 20:00:00,6.623,6.402,6.43,417731.2,13785.0
2022-01-05 21:00:00,6.49,6.279,6.293,245237.7,8793.0
2022-01-05 22:00:00,6.36,5.617,6.066,690066.7,21231.0
2022-01-05 23:00:00,6.473,6.035,6.243,620461.3,15349.0
2022-01-06 00:00:00,6.405,6.078,6.136,427932.5,11048.0
2022-01-06 01:00:00,6.171,5.87,5.921,230807.6,5944.0
2022-01-06 02:00:00,6.094,5.883,5.999,193611.8,5581.0
2022-01-06 03:00:00,6.09,5.911,5.944,143442.8,4402.0
2022-01-06 04:00:00,6.067,5.877,5.963,160737.3,4711.0
2022-01-06 05:00:00,6.275,5.917,6.079,223668.9,6371.0
2022-01-06 06:00:00,6.133,6.005,6.036,112617.9,3050.0
2022-01-06 07:00:00,6.148,5.968,6.094,116505.7,3169.0
2022-01-06 08:00:00,6.107,5.86,5.893,141774.9,3656.0
2022-01-06 09:00:00,5.914,5.665,5.727,183584.7,5818.0
2022-01-06 10:00:00,5.799,5.707,5.743,80659.9,2610.0
2022-01-06 11:00:00,5.767,5.655,5.727,100529.9,2480.0
2022-01-06 12:00:00,5.834,5.679,5.834,127345.5,3088.0
2022-01-06 13:00:00,5.878,5.75,5.826,105243.8,2385.0
2022-01-06 14:00:00,5.843,5.703,5.715,104148.0,2622.0
2022-01-06 15:00:00,5.759,5.632,5.74,75901.9,1911.0
2022-01-06 16:00:00,5.806,5.672,5.761,137684.2,2876.0
2022-01-06 17:00:00,5.821,5.722,5.81,106775.8,2527.0
2022-01-06 18:00:00,5.948,5.808,5.941,131102.9,3023.0
2022-01-06 19:00:00,5.934,5.826,5.859,183764.1,3914.0
2022-01-06 20:00:00,5.897,5.798,5.845,106005.7,1733.0
2022-01-06 21:00:00,5.875,5.812,5.851,27481.7,635.0
2022-01-06 22:00:00,5.912,5.813,5.875,32844.9,969.0
2022-01-06 23:00:00,5.939,5.799,5.836,105650.7,1667.0
2022-01-07 00:00:00,5.854,5.665,5.684,108770.2,2663.0
2022-01-07 01:00:00,5.724,5.557,5.659,88102.2,2106.0
2022-01-07 02:00:00,5.655,5.556,5.561,27743.2,867.0
2022-01-07 03:00:00,5.573,5.296,5.345,156111.4,4573.0
2022-01-07 04:00:00,5.391,5.213,5.366,172254.9,4023.0
2022-01-07 05:00:00,5.423,5.319,5.387,59683.4,1524.0
2022-01-07 06:00:00,5.392,5.276,5.315,76818.5,1683.0
2022-01-07 07:00:00,5.394,5.24,5.38,83090.2,2092.0
2022-01-07 08:00:00,5.514,5.358,5.425,72245.3,1932.0
2022-01-07 09:00:00,5.49,5.417,5.448,39371.9,1255.0
2022-01-07 10:00:00,5.481,5.354,5.354,54188.0,1427.0
2022-01-07 11:00:00,5.409,5.345,5.409,94268.8,1685.0
2022-01-07 12:00:00,5.437,5.36,5.367,76239.7,1481.0
2022-01-07 13:00:00,5.416,5.125,5.236,223911.8,4798.0
2022-01-07 14:00:00,5.363,5.219,5.331,155267.7,2077.0
2022-01-07 15:00:00,5.351,5.134,5.24,71937.8,1899.0
2022-01-07 16:00:00,5.656,5.201,5.459,175431.6,3868.0
2022-01-07 17:00:00,5.545,5.397,5.491,119948.7,2638.0
2022-01-07 18:00:00,5.497,5.322,5.385,43203.3,1277.0
2022-01-07 19:00:00,5.427,5.326,5.4,55541.0,1320.0
2022-01-07 20:00:00,5.425,5.337,5.407,23122.1,611.0
2022-01-07 21:00:00,5.43,5.366,5.381,12395.9,356.0
2022-01-07 22:00:00,5.379,5.159,5.2,78829.4,1555.0
2022-01-07 23:00:00,5.283,5.194,5.274,36717.5,942.0
2022-01-08 00:00:00,5.434,5.237,5.422,38802.2,1252.0
2022-01-08 01:00:00,5.486,5.409,5.423,35241.2,1064.0
2022-01-08 02:00:00,5.435,5.339,5.399,19068.5,738.0
2022-01-08 03:00:00,5.515,5.356,5.503,86844.3,1784.0
2022-01-08 04:00:00,5.529,5.45,5.467,62423.2,1396.0
2022-01-08 05:00:00,5.531,5.451,5.515,62652.6,1490.0
2022-01-08 06:00:00,5.513,5.424,5.494,43264.5,1066.0
2022-01-08 07:00:00,5.521,5.447,5.466,54173.2,854.0
2022-01-08 08:00:00,5.484,5.413,5.429,56203.5,931.0
2022-01-08 09:00:00,5.448,5.389,5.425,26772.9,682.0
2022-01-08 10:00:00,5.43,5.341,5.356,20802.5,570.0
2022-01-08 11:00:00,5.365,5.309,5.353,21248.1,590.0
2022-01-08 12:00:00,5.374,5.267,5.285,27745.7,678.0
2022-01-08 13:00:00,5.326,5.258,5.298,33486.5,620.0
2022-01-08 14:00:00,5.314,5.22,5.225,28510.0,721.0
2022-01-08 15:00:00,5.24,5.107,5.144,114349.3,1930.0
2022-01-08 16:00:00,5.196,5.083,5.109,44977.7,1126.0
2022-01-08 17:00:00,5.107,4.871,4.879,156947.6,3013.0
2022-01-08 18:00:00,5.03,4.793,4.828,173181.4,4486.0
2022-01-08 19:00:00,4.89,4.764,4.798,164296.4,3723.0
2022-01-08 20:00:00,4.856,4.751,4.791,44540.5,1495.0
2022-01-08 21:00:00,4.985,4.78,4.945,48782.1,1622.0
2022-01-08 22:00:00,5.079,4.944,5.028,65378.2,1242.0
2022-01-08 23:00:00,5.036,4.929,4.931,20970.8,580.0
2022-01-09 00:00:00,5.02,4.875,5.001,34049.8,931.0
2022-01-09 01:00:00,5.017,4.929,4.969,53033.1,659.0
2022-01-09 02:00:00,5.055,4.955,5.033,57906.7,697.0
2022-01-09 03:00:00,5.033,4.984,4.993,35061.2,408.0
2022-01-09 04:00:00,5.061,4.983,5.056,37013.3,524.0
2022-01-09 05:00:00,5.107,4.994,5.008,54080.5,906.0
2022-01-09 06:00:00,5.034,4.99,5.029,10718.5,299.0
