open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,5.024,4.86,4.999,172270.7,2862.0
2022-01-01 01:00:00,5.116,4.972,5.083,211805.9,2824.0
2022-01-01 02:00:00,5.158,5.065,5.135,120380.1,2759.0
2022-01-01 03:00:00,5.15,5.097,5.102,71755.4,1620.0
2022-01-01 04:00:00,5.114,5.032,5.064,86235.6,1675.0
2022-01-01 05:00:00,5.166,5.039,5.113,122493.0,2372.0
2022-01-01 06:00:00,5.17,5.081,5.084,173274.9,2108.0
2022-01-01 07:00:00,5.205,5.059,5.169,259418.9,5136.0
2022-01-01 08:00:00,5.179,5.07,5.108,203024.1,3159.0
2022-01-01 09:00:00,5.118,5.0,5.052,112016.1,2546.0
2022-01-01 10:00:00,5.096,4.995,5.085,132471.8,3306.0
2022-01-01 11:00:00,5.248,5.077,5.128,502633.7,8480.0
2022-01-01 12:00:00,5.151,5.087,5.1,103338.0,2938.0
2022-01-01 13:00:00,5.122,5.051,5.084,86573.6,2190.0
2022-01-01 14:00:00,5.141,5.066,5.137,94212.1,1772.0
2022-01-01 15:00:00,5.194,5.108,5.118,160417.7,3107.0
2022-01-01 16:00:00,5.141,5.063,5.073,104514.1,3563.0
2022-01-01 17:00:00,5.125,5.06,5.1,93426.1,3283.0
2022-01-01 18:00:00,5.2,5.09,5.125,180887.7,2770.0
2022-01-01 19:00:00,5.139,5.077,5.084,31470.4,783.0
2022-01-01 20:00:00,5.093,5.05,5.058,62574.4,1091.0
2022-01-01 21:00:00,5.082,5.046,5.053,49087.7,619.0
2022-01-01 22:00:00,5.098,5.029,5.086,116352.5,1723.0
2022-01-01 23:00:00,5.133,5.058,5.132,47835.5,876.0
2022-01-02 00:00:00,5.134,5.068,5.118,60932.6,1023.0
2022-01-02 01:00:00,5.2,5.102,5.2,203066.5,2674.0
2022-01-02 02:00:00,5.397,5.192,5.363,679129.8,10637.0
2022-01-02 03:00:00,5.4,5.289,5.293,387724.5,6061.0
2022-01-02 04:00:00,5.3,5.126,5.212,478903.7,5958.0
2022-01-02 05:00:00,5.276,5.2,5.261,152443.9,2401.0
2022-01-02 06:00:00,5.29,5.223,5.254,125132.8,1926.0
2022-01-02 07:00:00,5.272,5.17,5.216,128355.9,1648.0
2022-01-02 08:00:00,5.224,5.17,5.218,80817.1,1350.0
2022-01-02 09:00:00,5.272,5.207,5.24,91259.8,1563.0
2022-01-02 10:00:00,5.258,5.2,5.218,69394.1,1168.0
2022-01-02 11:00:00,5.25,5.18,5.185,77130.5,1121.0
2022-01-02 12:00:00,5.235,5.145,5.207,103928.5,1522.0
2022-01-02 13:00:00,5.207,5.143,5.148,92046.8,1244.0
2022-01-02 14:00:00,5.153,5.102,5.137,204373.6,2373.0
2022-01-02 15:00:00,5.181,5.091,5.164,102441.4,1526.0
2022-01-02 16:00:00,5.207,5.156,5.2,105699.5,1370.0
2022-01-02 17:00:00,5.216,5.129,5.15,114450.8,1514.0
2022-01-02 18:00:00,5.15,5.041,5.116,110130.0,1960.0
2022-01-02 19:00:00,5.123,5.06,5.073,53546.1,769.0
2022-01-02 20:00:00,5.094,5.054,5.089,68931.7,686.0
2022-01-02 21:00:00,5.112,5.058,5.087,36695.0,670.0
2022-01-02 22:00:00,5.119,5.08,5.101,42158.9,764.0
2022-01-02 23:00:00,5.132,5.075,5.088,74239.4,1005.0
2022-01-03 00:00:00,5.104,5.053,5.059,52166.3,825.0
2022-01-03 01:00:00,5.123,5.044,5.112,64202.6,915.0
2022-01-03 02:00:00,5.118,4.995,5.027,114279.4,2103.0
2022-01-03 03:00:00,5.045,4.912,4.944,137113.6,2620.0
2022-01-03 04:00:00,4.965,4.897,4.921,89123.1,1640.0
2022-01-03 05:00:00,4.967,4.905,4.952,76955.7,1163.0
2022-01-03 06:00:00,4.957,4.929,4.948,64015.3,1064.0
2022-01-03 07:00:00,4.961,4.935,4.946,68098.1,1269.0
2022-01-03 08:00:00,4.956,4.924,4.946,89219.3,1482.0
2022-01-03 09:00:00,4.957,4.891,4.914,109361.2,1529.0
2022-01-03 10:00:00,4.986,4.901,4.966,129866.1,1991.0
2022-01-03 11:00:00,5.007,4.964,4.974,93705.2,1433.0
2022-01-03 12:00:00,4.982,4.913,4.933,125789.9,1937.0
2022-01-03 13:00:00,4.966,4.921,4.961,91639.7,1171.0
2022-01-03 14:00:00,5.006,4.928,4.966,154146.4,2006.0
2022-01-03 15:00:00,4.998,4.901,4.918,141475.2,1860.0
2022-01-03 16:00:00,4.941,4.82,4.903,271555.3,5055.0
2022-01-03 17:00:00,4.947,4.856,4.906,116222.8,2060.0
2022-01-03 18:00:00,4.934,4.88,4.891,38597.2,929.0
2022-01-03 19:00:00,4.927,4.86,4.86,72333.0,937.0
2022-01-03 20:00:00,4.907,4.83,4.874,74407.5,1502.0
2022-01-03 21:00:00,4.912,4.865,4.875,58365.5,1187.0
2022-01-03 22:00:00,4.939,4.864,4.918,89998.9,1281.0
2022-01-03 23:00:00,5.006,4.912,5.004,109771.1,1751.0
2022-01-04 00:00:00,5.171,4.988,5.135,379913.1,5772.0
2022-01-04 01:00:00,5.2,5.02,5.189,328256.0,5131.0
2022-01-04 02:00:00,5.258,5.11,5.165,328825.5,5555.0
2022-01-04 03:00:00,5.35,5.157,5.336,278855.1,4850.0
2022-01-04 04:00:00,5.379,5.23,5.326,510631.9,7913.0
2022-01-04 05:00:00,5.37,5.25,5.308,372762.4,5564.0
2022-01-04 06:00:00,5.339,5.234,5.255,170247.6,3190.0
2022-01-04 07:00:00,5.289,5.208,5.247,199355.4,3456.0
2022-01-04 08:00:00,5.372,5.226,5.354,310427.9,5071.0
2022-01-04 09:00:00,5.373,5.293,5.333,185008.2,3334.0
2022-01-04 10:00:00,5.468,5.3,5.435,350905.4,6210.0
2022-01-04 11:00:00,5.455,5.361,5.385,250406.8,4282.0
2022-01-04 12:00:00,5.53,5.377,5.517,504444.5,7916.0
2022-01-04 13:00:00,5.58,5.478,5.558,513568.0,7034.0
2022-01-04 14:00:00,5.689,5.522,5.638,613380.7,9428.0
2022-01-04 15:00:00,5.761,5.548,5.653,920993.9,12907.0
2022-01-04 16:00:00,5.717,5.555,5.613,474774.4,8349.0
2022-01-04 17:00:00,5.636,5.485,5.498,349634.4,5627.0
2022-01-04 18:00:00,5.599,5.362,5.436,498275.8,8553.0
2022-01-04 19:00:00,5.608,5.38,5.518,307828.0,6610.0
2022-01-04 20:00:00,5.596,5.512,5.531,160205.5,3254.0
2022-01-04 21:00:00,5.56,5.424,5.445,114367.5,2198.0
2022-01-04 22:00:00,5.51,5.401,5.437,217593.7,3611.0
2022-01-04 23:00:00,5.435,5.275,5.279,299290.2,5145.0
2022-01-05 00:00:00,5.562,5.205,5.525,672619.4,10392.0
2022-01-05 01:00:00,5.529,5.41,5.5,278756.1,5325.0
2022-01-05 02:00:00,5.563,5.482,5.545,202788.3,4324.0
2022-01-05 03:00:00,5.58,5.513,5.52,175997.5,3207.0
2022-01-05 04:00:00,5.595,5.489,5.563,246486.2,4057.0
2022-01-05 05:00:00,5.656,5.508,5.627,245616.9,4282.0
2022-01-05 06:00:00,5.734,5.581,5.714,266613.3,4999.0
2022-01-05 07:00:00,6.05,5.716,5.813,1816040.3,27340.0
2022-01-05 08:00:00,5.814,5.678,5.763,496045.1,8110.0
2022-01-05 09:00:00,5.808,5.7,5.756,277784.5,4328.0
2022-01-05 10:00:00,5.777,5.618,5.719,335700.0,5006.0
2022-01-05 11:00:00,5.72,5.548,5.632,372057.0,6082.0
2022-01-05 12:00:00,5.634,5.505,5.595,343463.0,5268.0
2022-01-05 13:00:00,5.725,5.575,5.709,299645.3,4433.0
2022-01-05 14:00:00,5.739,5.608,5.684,213595.0,4516.0
2022-01-05 15:00:00,5.71,5.587,5.645,161839.6,3041.0
2022-01-05 16:00:00,5.771,5.617,5.622,300015.9,3977.0
2022-01-05 17:00:00,5.689,5.511,5.521,198487.8,3658.0
2022-01-05 18:00:00,5.793,5.505,5.649,465999.9,7414.0
2022-01-05 19:00:00,5.669,5.258,5.314,999219.5,11517.0
2022-01-05 20:00:00,5.36,5.123,5.189,615391.6,10023.0
2022-01-05 21:00:00,5.268,5.09,5.096,346226.5,4976.0
2022-01-05 22:00:00,5.145,4.759,5.015,1174329.0,15622.0
2022-01-05 23:00:00,5.19,4.993,5.096,818095.8,11457.0
2022-01-06 00:00:00,5.254,5.047,5.101,657313.7,9516.0
2022-01-06 01:00:00,5.165,4.951,5.039,474686.7,7825.0
2022-01-06 02:00:00,5.14,4.991,5.014,405241.7,6864.0
2022-01-06 03:00:00,5.074,4.935,4.936,338172.3,5862.0
2022-01-06 04:00:00,5.009,4.838,4.984,553606.0,8002.0
2022-01-06 05:00:00,5.082,4.938,5.034,392175.3,4960.0
2022-01-06 06:00:00,5.073,4.986,5.048,161003.4,3177.0
2022-01-06 07:00:00,5.123,5.005,5.098,190382.9,2843.0
2022-01-06 08:00:00,5.111,4.951,5.017,229772.6,3552.0
2022-01-06 09:00:00,5.021,4.837,4.875,373932.6,5228.0
2022-01-06 10:00:00,5.007,4.879,4.946,212726.7,3655.0
2022-01-06 11:00:00,4.988,4.874,4.93,146861.6,2616.0
2022-01-06 12:00:00,4.958,4.825,4.95,275135.5,4586.0
2022-01-06 13:00:00,5.017,4.908,5.003,258738.9,5053.0
2022-01-06 14:00:00,5.014,4.865,4.895,366103.4,5764.0
2022-01-06 15:00:00,4.929,4.84,4.899,187459.3,3315.0
2022-01-06 16:00:00,4.921,4.832,4.884,203587.9,2902.0
2022-01-06 17:00:00,4.923,4.848,4.889,101643.9,1635.0
2022-01-06 18:00:00,5.012,4.889,5.006,228603.2,2553.0
2022-01-06 19:00:00,5.014,4.961,4.981,139818.6,1614.0
2022-01-06 20:00:00,5.008,4.9,4.943,167613.0,2189.0
2022-01-06 21:00:00,4.97,4.919,4.946,42081.4,1113.0
2022-01-06 22:00:00,4.975,4.91,4.958,83585.3,1621.0
2022-01-06 23:00:00,4.977,4.915,4.92,97797.2,1654.0
2022-01-07 00:00:00,4.959,4.77,4.82,284479.1,4523.0
2022-01-07 01:00:00,4.887,4.789,4.875,155807.9,3476.0
2022-01-07 02:00:00,4.877,4.796,4.807,124529.7,3012.0
2022-01-07 03:00:00,4.814,4.506,4.59,805170.7,11862.0
2022-01-07 04:00:00,4.61,4.38,4.576,777306.0,11210.0
2022-01-07 05:00:00,4.65,4.527,4.576,351580.5,4835.0
2022-01-07 06:00:00,4.582,4.469,4.52,379806.6,3686.0
2022-01-07 07:00:00,4.543,4.404,4.536,362377.9,4108.0
2022-01-07 08:00:00,4.68,4.514,4.62,288799.3,4630.0
2022-01-07 09:00:00,4.756,4.608,4.696,385234.2,5325.0
2022-01-07 10:00:00,4.729,4.657,4.663,222799.6,2529.0
2022-01-07 11:00:00,4.715,4.637,4.666,119315.6,1877.0
2022-01-07 12:00:00,4.76,4.66,4.679,258936.9,3121.0
2022-01-07 13:00:00,4.712,4.484,4.55,341984.2,5140.0
2022-01-07 14:00:00,4.668,4.533,4.635,198488.4,3332.0
2022-01-07 15:00:00,4.636,4.443,4.532,312744.3,4586.0
2022-01-07 16:00:00,4.69,4.463,4.683,373422.7,5444.0
2022-01-07 17:00:00,4.728,4.639,4.71,178060.9,2606.0
2022-01-07 18:00:00,4.709,4.566,4.612,93450.7,1712.0
2022-01-07 19:00:00,4.666,4.568,4.644,65466.8,1149.0
2022-01-07 20:00:00,4.691,4.602,4.651,81170.7,1335.0
2022-01-07 21:00:00,4.685,4.626,4.643,32434.1,657.0
2022-01-07 22:00:00,4.64,4.507,4.543,100111.3,1630.0
2022-01-07 23:00:00,4.653,4.52,4.643,92146.9,1722.0
2022-01-08 00:00:00,4.751,4.61,4.736,184052.4,2712.0
2022-01-08 01:00:00,4.788,4.703,4.721,133849.3,2276.0
2022-01-08 02:00:00,4.807,4.683,4.79,157219.0,3454.0
2022-01-08 03:00:00,4.862,4.714,4.756,406452.1,6940.0
2022-01-08 04:00:00,4.859,4.751,4.832,155654.4,3039.0
2022-01-08 05:00:00,4.855,4.789,4.826,163335.6,3031.0
2022-01-08 06:00:00,4.853,4.789,4.849,110868.1,2676.0
2022-01-08 07:00:00,4.92,4.836,4.896,163268.8,2677.0
2022-01-08 08:00:00,4.927,4.864,4.913,174897.6,3124.0
2022-01-08 09:00:00,4.948,4.875,4.941,134372.1,2364.0
2022-01-08 10:00:00,4.95,4.828,4.864,145604.5,2221.0
2022-01-08 11:00:00,4.89,4.787,4.884,137893.8,2473.0
2022-01-08 12:00:00,4.93,4.792,4.824,172125.4,2823.0
2022-01-08 13:00:00,4.842,4.743,4.825,196648.4,3365.0
2022-01-08 14:00:00,4.841,4.706,4.716,121627.2,1943.0
2022-01-08 15:00:00,4.75,4.635,4.69,370735.2,4990.0
2022-01-08 16:00:00,4.697,4.569,4.596,288525.9,4506.0
2022-01-08 17:00:00,4.6,4.471,4.471,319091.0,4511.0
2022-01-08 18:00:00,4.57,4.4,4.407,461151.8,6433.0
2022-01-08 19:00:00,4.52,4.4,4.436,246797.2,3514.0
2022-01-08 20:00:00,4.498,4.403,4.427,110401.7,2097.0
2022-01-08 21:00:00,4.594,4.425,4.546,140317.4,2552.0
2022-01-08 22:00:00,4.641,4.525,4.58,128135.3,2242.0
2022-01-08 23:00:00,4.621,4.52,4.532,129321.8,1841.0
2022-01-09 00:00:00,4.627,4.456,4.601,183844.0,2980.0
2022-01-09 01:00:00,4.63,4.557,4.611,130746.3,1682.0
2022-01-09 02:00:00,4.719,4.593,4.711,138627.6,2013.0
2022-01-09 03:00:00,4.723,4.648,4.672,108961.4,1592.0
2022-01-09 04:00:00,4.78,4.663,4.764,109928.4,1576.0
2022-01-09 05:00:00,4.771,4.674,4.687,97218.1,1337.0
2022-01-09 06:00:00,4.722,4.662,4.706,110885.9,1173.0
2022-01-09 07:00:00,4.719,4.646,4.673,93385.6,1329.0
2022-01-09 08:00:00,4.691,4.581,4.586,119348.8,1783.0
2022-01-09 09:00:00,4.622,4.538,4.57,156403.5,1868.0
2022-01-09 10:00:00,4.68,4.54,4.644,84300.9,1760.0
2022-01-09 11:00:00,4.725,4.645,4.71,98609.9,1727.0
2022-01-09 12:00:00,4.729,4.627,4.642,83356.5,1687.0
2022-01-09 13:00:00,4.683,4.574,4.577,87525.9,1621.0
2022-01-09 14:00:00,4.646,4.574,4.601,119181.7,1656.0
2022-01-09 15:00:00,4.629,4.547,4.615,158444.9,2328.0
2022-01-09 16:00:00,4.751,4.606,4.746,224556.0,2698.0
2022-01-09 17:00:00,4.751,4.693,4.735,142015.4,1857.0
2022-01-09 18:00:00,4.75,4.683,4.683,75190.7,1170.0
2022-01-09 19:00:00,4.791,4.68,4.776,113916.2,2175.0
2022-01-09 20:00:00,4.783,4.719,4.741,65236.9,1194.0
2022-01-09 21:00:00,4.761,4.679,4.711,52245.6,977.0
2022-01-09 22:00:00,4.739,4.678,4.699,58086.9,1056.0
2022-01-09 23:00:00,4.717,4.629,4.669,78009.4,1315.0
2022-01-10 00:00:00,4.753,4.638,4.675,94769.8,1966.0
2022-01-10 01:00:00,4.733,4.649,4.699,72248.9,1599.0
2022-01-10 02:00:00,4.721,4.642,4.687,49857.0,1149.0
2022-01-10 03:00:00,4.748,4.67,4.721,96976.7,1627.0
2022-01-10 04:00:00,4.75,4.673,4.742,96588.9,2166.0
2022-01-10 05:00:00,4.775,4.721,4.748,93863.5,1341.0
2022-01-10 06:00:00,4.748,4.688,4.694,61350.7,1105.0
2022-01-10 07:00:00,4.727,4.671,4.721,84025.8,1170.0
2022-01-10 08:00:00,4.746,4.614,4.622,124650.4,1752.0
2022-01-10 09:00:00,4.666,4.615,4.617,106177.4,1170.0
2022-01-10 10:00:00,4.65,4.578,4.578,111342.6,1529.0
2022-01-10 11:00:00,4.584,4.48,4.504,224393.5,2804.0
2022-01-10 12:00:00,4.524,4.366,4.39,387592.6,4765.0
2022-01-10 13:00:00,4.457,4.363,4.373,203896.4,3288.0
2022-01-10 14:00:00,4.432,4.144,4.374,1346315.7,15895.0
2022-01-10 15:00:00,4.421,4.29,4.408,486707.5,7175.0
2022-01-10 16:00:00,4.558,4.367,4.554,386389.3,5273.0
2022-01-10 17:00:00,4.564,4.3,4.373,329920.7,4780.0
2022-01-10 18:00:00,4.409,4.341,4.374,118132.9,1589.0
2022-01-10 19:00:00,4.393,4.307,4.335,117943.4,1854.0
2022-01-10 20:00:00,4.409,4.298,4.386,169035.5,1977.0
2022-01-10 21:00:00,4.419,4.333,4.357,117019.0,1571.0
2022-01-10 22:00:00,4.422,4.343,4.358,97383.3,1298.0
2022-01-10 23:00:00,4.424,4.34,4.412,103852.5,1463.0
2022-01-11 00:00:00,4.425,4.347,4.349,110474.8,1378.0
2022-01-11 01:00:00,4.419,4.323,4.414,156984.0,1779.0
2022-01-11 02:00:00,4.486,4.389,4.447,257861.2,3060.0
2022-01-11 03:00:00,4.527,4.424,4.505,237190.9,2778.0
2022-01-11 04:00:00,4.521,4.393,4.431,366290.4,3266.0
2022-01-11 05:00:00,4.449,4.357,4.398,231234.4,2685.0
2022-01-11 06:00:00,4.433,4.37,4.392,130073.5,1479.0
2022-01-11 07:00:00,4.419,4.365,4.403,156836.6,1441.0
2022-01-11 08:00:00,4.457,4.346,4.349,266648.9,3563.0
2022-01-11 09:00:00,4.371,4.31,4.327,207759.0,1955.0
2022-01-11 10:00:00,4.359,4.241,4.254,222777.4,2614.0
2022-01-11 11:00:00,4.32,4.246,4.299,138360.8,1756.0
2022-01-11 12:00:00,4.359,4.283,4.332,147985.2,1770.0
2022-01-11 13:00:00,4.387,4.293,4.31,218287.1,2292.0
2022-01-11 14:00:00,4.348,4.22,4.305,244994.7,3191.0
2022-01-11 15:00:00,4.387,4.283,4.358,283109.5,3114.0
2022-01-11 16:00:00,4.489,4.35,4.483,482797.9,5803.0
2022-01-11 17:00:00,4.588,4.47,4.522,584420.5,7488.0
2022-01-11 18:00:00,4.547,4.49,4.519,145458.6,2102.0
2022-01-11 19:00:00,4.54,4.484,4.519,74147.3,926.0
2022-01-11 20:00:00,4.536,4.483,4.497,95698.5,1121.0
