open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,27.29,26.66,27.24,225890.08,9912.0
2022-01-01 01:00:00,27.44,27.1,27.21,186644.41,9713.0
2022-01-01 02:00:00,27.38,27.1,27.2,161609.0,7186.0
2022-01-01 03:00:00,27.32,27.15,27.18,90439.44,3842.0
2022-01-01 04:00:00,27.3,26.88,26.9,236653.74,9102.0
2022-01-01 05:00:00,27.52,26.83,27.24,313162.79,14579.0
2022-01-01 06:00:00,27.36,27.13,27.15,122108.93,4622.0
2022-01-01 07:00:00,27.44,27.11,27.36,141219.0,5295.0
2022-01-01 08:00:00,27.43,27.23,27.27,177591.5,4195.0
2022-01-01 09:00:00,27.31,27.06,27.25,173567.48,5151.0
2022-01-01 10:00:00,27.29,26.85,27.02,237883.44,9333.0
2022-01-01 11:00:00,27.2,27.01,27.03,115067.87,5755.0
2022-01-01 12:00:00,27.33,26.89,27.26,322453.9,9058.0
2022-01-01 13:00:00,27.33,27.12,27.2,113938.82,6168.0
2022-01-01 14:00:00,27.3,27.12,27.22,140792.27,4481.0
2022-01-01 15:00:00,27.72,27.17,27.59,332699.45,14767.0
2022-01-01 16:00:00,27.76,27.46,27.46,335478.73,8913.0
2022-01-01 17:00:00,27.96,27.47,27.94,339387.83,13599.0
2022-01-01 18:00:00,28.09,27.8,27.9,299025.38,12867.0
2022-01-01 19:00:00,28.02,27.85,27.97,185226.02,7164.0
2022-01-01 20:00:00,28.4,27.97,28.31,272288.1,16244.0
2022-01-01 21:00:00,28.46,28.2,28.29,255505.06,8246.0
2022-01-01 22:00:00,28.42,28.11,28.31,177531.01,6470.0
2022-01-01 23:00:00,28.65,28.21,28.6,271066.2,12515.0
2022-01-02 00:00:00,28.64,28.15,28.38,313942.74,10771.0
2022-01-02 01:00:00,28.41,28.09,28.14,246721.91,6983.0
2022-01-02 02:00:00,28.28,28.06,28.09,187845.99,5144.0
2022-01-02 03:00:00,28.37,28.08,28.19,128475.37,6703.0
2022-01-02 04:00:00,28.42,27.82,27.98,344414.84,12151.0
2022-01-02 05:00:00,28.42,27.91,28.42,264352.49,8682.0
2022-01-02 06:00:00,28.5,28.26,28.35,211848.41,7209.0
2022-01-02 07:00:00,28.51,28.27,28.35,199388.26,5546.0
2022-01-02 08:00:00,28.53,28.12,28.45,319701.43,7525.0
2022-01-02 09:00:00,28.88,28.4,28.79,379578.17,19733.0
2022-01-02 10:00:00,28.8,28.62,28.69,171835.84,6926.0
2022-01-02 11:00:00,28.94,28.64,28.91,244058.53,8089.0
2022-01-02 12:00:00,29.27,28.68,29.17,452345.52,23698.0
2022-01-02 13:00:00,29.3,28.92,29.19,422784.06,13151.0
2022-01-02 14:00:00,29.47,29.13,29.45,389731.49,17634.0
2022-01-02 15:00:00,29.81,29.33,29.72,685133.98,31428.0
2022-01-02 16:00:00,30.49,29.66,30.42,839255.84,52735.0
2022-01-02 17:00:00,30.62,30.11,30.22,665753.46,27736.0
2022-01-02 18:00:00,30.23,29.25,29.86,992780.27,50678.0
2022-01-02 19:00:00,30.12,29.63,29.91,551882.58,23642.0
2022-01-02 20:00:00,30.17,29.81,29.95,229870.79,10215.0
2022-01-02 21:00:00,30.06,29.58,29.59,208457.84,9606.0
2022-01-02 22:00:00,30.07,29.59,29.99,236310.01,10907.0
2022-01-02 23:00:00,30.05,29.65,29.69,256461.1,8138.0
2022-01-03 00:00:00,30.0,29.64,29.71,346747.48,11411.0
2022-01-03 01:00:00,30.3,29.64,29.82,420351.95,22345.0
2022-01-03 02:00:00,29.82,29.22,29.5,408730.52,19703.0
2022-01-03 03:00:00,29.57,28.73,28.82,610303.28,33881.0
2022-01-03 04:00:00,29.09,28.76,28.87,414625.78,16861.0
2022-01-03 05:00:00,29.1,28.76,29.06,325088.66,11495.0
2022-01-03 06:00:00,29.1,28.63,28.71,291922.93,13402.0
2022-01-03 07:00:00,28.94,28.62,28.9,260848.57,10298.0
2022-01-03 08:00:00,28.98,28.76,28.96,208378.07,7583.0
2022-01-03 09:00:00,29.3,28.79,29.28,283363.62,13613.0
2022-01-03 10:00:00,29.58,29.21,29.46,409531.87,22078.0
2022-01-03 11:00:00,30.1,29.46,30.01,523533.37,30249.0
2022-01-03 12:00:00,30.5,29.77,29.84,775174.55,45433.0
2022-01-03 13:00:00,30.46,29.84,30.42,410142.66,17323.0
2022-01-03 14:00:00,30.88,30.09,30.47,891733.24,48427.0
2022-01-03 15:00:00,30.73,30.01,30.16,631408.24,29033.0
2022-01-03 16:00:00,30.3,29.16,29.65,1076402.3,50623.0
2022-01-03 17:00:00,30.13,29.6,29.69,648069.71,27821.0
2022-01-03 18:00:00,30.26,29.69,30.09,463459.03,22584.0
2022-01-03 19:00:00,30.33,29.89,29.89,302220.85,19339.0
2022-01-03 20:00:00,30.0,29.28,29.72,766117.48,33839.0
2022-01-03 21:00:00,30.16,29.54,29.83,419412.41,23132.0
2022-01-03 22:00:00,30.68,29.71,30.39,554740.59,39601.0
2022-01-03 23:00:00,30.52,30.04,30.11,448183.85,14669.0
2022-01-04 00:00:00,30.58,29.76,29.97,809161.98,37829.0
2022-01-04 01:00:00,30.25,29.71,29.85,469523.73,30447.0
2022-01-04 02:00:00,30.03,29.55,29.75,414114.82,20397.0
2022-01-04 03:00:00,30.06,29.56,29.87,330842.44,15845.0
2022-01-04 04:00:00,30.08,29.7,29.76,325782.16,13759.0
2022-01-04 05:00:00,30.17,29.68,30.0,353070.24,12379.0
2022-01-04 06:00:00,30.05,29.76,29.85,450617.89,15035.0
2022-01-04 07:00:00,30.05,29.67,29.84,334311.43,10827.0
2022-01-04 08:00:00,29.93,29.43,29.55,482432.07,17794.0
2022-01-04 09:00:00,29.67,29.31,29.4,327738.78,12251.0
2022-01-04 10:00:00,29.96,29.26,29.91,450111.26,20746.0
2022-01-04 11:00:00,30.06,29.76,30.02,467469.07,17212.0
2022-01-04 12:00:00,30.08,29.71,30.0,389823.0,12261.0
2022-01-04 13:00:00,30.09,29.59,29.72,561061.88,18556.0
2022-01-04 14:00:00,30.04,29.48,29.9,786883.85,24888.0
2022-01-04 15:00:00,30.31,29.59,29.74,676019.3,31513.0
2022-01-04 16:00:00,30.1,29.55,29.93,504687.05,19493.0
2022-01-04 17:00:00,30.12,29.77,29.79,400555.72,20710.0
2022-01-04 18:00:00,30.03,28.74,29.01,941677.18,43136.0
2022-01-04 19:00:00,29.57,28.72,29.19,674788.11,31894.0
2022-01-04 20:00:00,29.6,29.08,29.39,339259.61,13084.0
2022-01-04 21:00:00,29.47,29.19,29.34,188478.36,8889.0
2022-01-04 22:00:00,29.35,29.11,29.19,101008.89,4876.0
2022-01-04 23:00:00,29.19,28.66,28.69,370466.26,17684.0
2022-01-05 00:00:00,29.14,28.37,29.04,550794.58,25556.0
2022-01-05 01:00:00,29.25,28.89,28.91,397684.83,12675.0
2022-01-05 02:00:00,29.39,28.89,29.33,289301.89,10417.0
