open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,2.622,2.574,2.615,386826.5,2175.0
2022-01-01 01:00:00,2.623,2.596,2.597,294135.9,2443.0
2022-01-01 02:00:00,2.611,2.591,2.594,268358.3,2035.0
2022-01-01 03:00:00,2.616,2.585,2.594,318430.3,1763.0
2022-01-01 04:00:00,2.6,2.575,2.588,126595.2,1021.0
2022-01-01 05:00:00,2.632,2.583,2.603,305611.5,1929.0
2022-01-01 06:00:00,2.615,2.591,2.595,171745.0,1053.0
2022-01-01 07:00:00,2.616,2.587,2.606,200283.5,1177.0
2022-01-01 08:00:00,2.615,2.6,2.601,201418.0,1209.0
2022-01-01 09:00:00,2.615,2.587,2.605,175096.2,1202.0
2022-01-01 10:00:00,2.612,2.562,2.585,385609.1,3164.0
2022-01-01 11:00:00,2.597,2.581,2.582,210604.1,1060.0
2022-01-01 12:00:00,2.611,2.582,2.608,185186.2,1149.0
2022-01-01 13:00:00,2.613,2.595,2.6,227855.1,1213.0
2022-01-01 14:00:00,2.606,2.587,2.589,210251.1,1185.0
2022-01-01 15:00:00,2.618,2.585,2.605,384045.1,1830.0
2022-01-01 16:00:00,2.631,2.604,2.607,287231.8,1734.0
2022-01-01 17:00:00,2.657,2.607,2.644,455649.2,3114.0
2022-01-01 18:00:00,2.66,2.63,2.637,395049.9,3097.0
2022-01-01 19:00:00,2.647,2.629,2.642,225063.2,1432.0
2022-01-01 20:00:00,2.662,2.637,2.66,231054.2,1859.0
2022-01-01 21:00:00,2.666,2.649,2.655,238169.8,1624.0
2022-01-01 22:00:00,2.665,2.645,2.66,193961.3,1322.0
2022-01-01 23:00:00,2.702,2.655,2.683,412104.6,2771.0
2022-01-02 00:00:00,2.732,2.661,2.727,679338.4,4069.0
2022-01-02 01:00:00,2.774,2.722,2.759,802728.0,5262.0
2022-01-02 02:00:00,2.785,2.735,2.747,790676.8,4504.0
2022-01-02 03:00:00,2.76,2.712,2.718,496191.9,3252.0
2022-01-02 04:00:00,2.729,2.671,2.685,648286.1,3658.0
2022-01-02 05:00:00,2.701,2.676,2.696,306869.4,2121.0
2022-01-02 06:00:00,2.709,2.686,2.702,235005.5,1501.0
2022-01-02 07:00:00,2.746,2.698,2.73,623140.3,3452.0
2022-01-02 08:00:00,2.755,2.695,2.747,497183.3,2785.0
2022-01-02 09:00:00,2.759,2.724,2.73,394718.0,2338.0
2022-01-02 10:00:00,2.733,2.719,2.725,188732.1,1376.0
2022-01-02 11:00:00,2.76,2.722,2.733,357767.3,2766.0
2022-01-02 12:00:00,2.765,2.714,2.738,556165.0,3664.0
2022-01-02 13:00:00,2.751,2.72,2.724,312092.6,2061.0
2022-01-02 14:00:00,2.76,2.719,2.742,492441.8,3056.0
2022-01-02 15:00:00,2.783,2.74,2.769,794802.4,3942.0
2022-01-02 16:00:00,2.828,2.765,2.816,737617.2,5068.0
2022-01-02 17:00:00,2.847,2.794,2.838,1029361.5,6647.0
2022-01-02 18:00:00,2.838,2.731,2.805,1477989.8,9003.0
2022-01-02 19:00:00,2.876,2.791,2.866,1766516.7,10283.0
2022-01-02 20:00:00,2.933,2.834,2.881,3220097.5,19910.0
2022-01-02 21:00:00,2.885,2.853,2.86,686395.1,6179.0
2022-01-02 22:00:00,2.896,2.859,2.885,444571.5,4601.0
2022-01-02 23:00:00,2.887,2.853,2.854,342709.0,3576.0
2022-01-03 00:00:00,2.865,2.821,2.827,719611.6,7108.0
2022-01-03 01:00:00,2.866,2.82,2.851,502659.6,6881.0
2022-01-03 02:00:00,2.872,2.823,2.865,418973.2,5667.0
2022-01-03 03:00:00,2.888,2.832,2.873,602584.6,7191.0
2022-01-03 04:00:00,2.89,2.855,2.863,436675.7,4263.0
2022-01-03 05:00:00,2.95,2.86,2.946,1138062.4,8556.0
2022-01-03 06:00:00,2.951,2.881,2.883,802572.4,5062.0
2022-01-03 07:00:00,2.921,2.864,2.915,739908.2,4522.0
2022-01-03 08:00:00,2.945,2.89,2.905,685249.3,4578.0
2022-01-03 09:00:00,2.908,2.839,2.875,1079949.1,7087.0
2022-01-03 10:00:00,2.895,2.859,2.877,503638.5,3922.0
2022-01-03 11:00:00,2.897,2.863,2.874,420310.6,2907.0
2022-01-03 12:00:00,2.897,2.864,2.872,375219.6,2625.0
2022-01-03 13:00:00,2.91,2.87,2.885,563660.1,3136.0
2022-01-03 14:00:00,2.895,2.836,2.845,597167.2,4111.0
2022-01-03 15:00:00,2.854,2.79,2.803,799967.0,5719.0
2022-01-03 16:00:00,2.806,2.724,2.762,3150297.5,18414.0
2022-01-03 17:00:00,2.783,2.741,2.767,921916.0,5107.0
2022-01-03 18:00:00,2.79,2.759,2.772,538965.0,3219.0
2022-01-03 19:00:00,2.791,2.76,2.764,324197.9,2151.0
2022-01-03 20:00:00,2.773,2.709,2.746,961955.8,6533.0
2022-01-03 21:00:00,2.785,2.736,2.755,531099.1,3910.0
2022-01-03 22:00:00,2.806,2.747,2.783,464264.0,3458.0
2022-01-03 23:00:00,2.805,2.774,2.792,251329.5,2019.0
2022-01-04 00:00:00,2.799,2.728,2.739,606150.0,3834.0
2022-01-04 01:00:00,2.758,2.713,2.728,373781.8,2858.0
2022-01-04 02:00:00,2.743,2.663,2.705,939962.8,6494.0
2022-01-04 03:00:00,2.729,2.684,2.722,321059.5,2442.0
2022-01-04 04:00:00,2.736,2.693,2.699,533746.3,3809.0
2022-01-04 05:00:00,2.725,2.692,2.707,374361.7,2224.0
2022-01-04 06:00:00,2.733,2.689,2.729,444195.6,2893.0
2022-01-04 07:00:00,2.76,2.718,2.757,541523.3,2886.0
2022-01-04 08:00:00,2.774,2.739,2.751,449237.3,3338.0
2022-01-04 09:00:00,2.763,2.733,2.743,305857.9,1972.0
2022-01-04 10:00:00,2.781,2.736,2.772,337483.8,2214.0
2022-01-04 11:00:00,2.805,2.773,2.8,531611.6,4572.0
2022-01-04 12:00:00,2.805,2.762,2.773,440870.9,2865.0
2022-01-04 13:00:00,2.832,2.751,2.821,811422.2,6017.0
2022-01-04 14:00:00,2.837,2.809,2.83,613471.7,3597.0
2022-01-04 15:00:00,2.859,2.794,2.816,930293.1,6366.0
2022-01-04 16:00:00,2.85,2.79,2.837,613058.3,4754.0
2022-01-04 17:00:00,2.843,2.796,2.801,430691.7,3327.0
2022-01-04 18:00:00,2.822,2.696,2.721,1294484.8,8965.0
2022-01-04 19:00:00,2.778,2.7,2.739,763877.2,6040.0
2022-01-04 20:00:00,2.786,2.732,2.773,344751.0,2774.0
2022-01-04 21:00:00,2.785,2.76,2.769,219407.5,1803.0
2022-01-04 22:00:00,2.77,2.723,2.729,244162.7,2311.0
2022-01-04 23:00:00,2.733,2.683,2.688,478680.6,3714.0
2022-01-05 00:00:00,2.727,2.666,2.721,690293.6,4445.0
2022-01-05 01:00:00,2.742,2.695,2.703,471420.9,3375.0
2022-01-05 02:00:00,2.736,2.704,2.73,292554.2,1973.0
2022-01-05 03:00:00,2.748,2.726,2.742,316325.6,1828.0
2022-01-05 04:00:00,2.753,2.725,2.735,283791.4,1796.0
2022-01-05 05:00:00,2.742,2.721,2.733,238354.4,1543.0
2022-01-05 06:00:00,2.764,2.732,2.759,268659.9,1812.0
2022-01-05 07:00:00,2.77,2.734,2.758,599352.8,2906.0
2022-01-05 08:00:00,2.766,2.728,2.758,560036.1,3707.0
2022-01-05 09:00:00,2.78,2.753,2.78,455779.3,2938.0
2022-01-05 10:00:00,2.793,2.745,2.763,598849.2,4830.0
2022-01-05 11:00:00,2.768,2.706,2.722,560488.2,3618.0
2022-01-05 12:00:00,2.739,2.688,2.725,608605.4,3783.0
2022-01-05 13:00:00,2.732,2.708,2.73,438133.4,2972.0
2022-01-05 14:00:00,2.737,2.701,2.722,429861.0,3359.0
2022-01-05 15:00:00,2.729,2.701,2.715,424560.3,2533.0
2022-01-05 16:00:00,2.717,2.691,2.695,434607.3,2827.0
2022-01-05 17:00:00,2.71,2.617,2.628,1283138.8,9762.0
2022-01-05 18:00:00,2.665,2.595,2.642,1209873.2,7556.0
2022-01-05 19:00:00,2.65,2.5,2.529,1999199.2,14654.0
2022-01-05 20:00:00,2.547,2.418,2.481,2549861.8,16337.0
2022-01-05 21:00:00,2.525,2.445,2.464,1303239.1,7130.0
2022-01-05 22:00:00,2.482,2.238,2.42,2968217.3,25801.0
2022-01-05 23:00:00,2.465,2.395,2.442,1427330.3,9013.0
2022-01-06 00:00:00,2.464,2.417,2.455,962359.8,6172.0
2022-01-06 01:00:00,2.464,2.377,2.398,779569.6,5317.0
2022-01-06 02:00:00,2.419,2.371,2.391,734077.9,4774.0
2022-01-06 03:00:00,2.733,2.334,2.334,2415623.8,17305.0
2022-01-06 04:00:00,2.397,2.325,2.376,1044898.4,5101.0
2022-01-06 05:00:00,2.413,2.357,2.384,1009720.3,4638.0
2022-01-06 06:00:00,2.406,2.361,2.386,555895.7,3419.0
2022-01-06 07:00:00,2.414,2.372,2.41,428870.2,2557.0
