open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,3.079,3.033,3.074,423398.2,3986.0
2022-01-01 01:00:00,3.088,3.065,3.068,361374.4,2777.0
2022-01-01 02:00:00,3.082,3.068,3.076,293381.7,1752.0
2022-01-01 03:00:00,3.087,3.073,3.075,263255.2,1764.0
2022-01-01 04:00:00,3.077,3.054,3.057,286570.3,1656.0
2022-01-01 05:00:00,3.105,3.055,3.085,552416.3,3848.0
2022-01-01 06:00:00,3.093,3.069,3.07,213567.7,1312.0
2022-01-01 07:00:00,3.082,3.066,3.077,202545.1,1462.0
2022-01-01 08:00:00,3.087,3.073,3.076,195987.7,1015.0
2022-01-01 09:00:00,3.083,3.056,3.069,198147.9,1769.0
2022-01-01 10:00:00,3.078,3.044,3.06,386055.7,2773.0
2022-01-01 11:00:00,3.07,3.053,3.054,225099.0,1083.0
2022-01-01 12:00:00,3.076,3.048,3.069,369502.1,1733.0
2022-01-01 13:00:00,3.079,3.06,3.065,193445.3,1249.0
2022-01-01 14:00:00,3.072,3.056,3.067,247587.5,1386.0
2022-01-01 15:00:00,3.094,3.063,3.077,422219.5,2714.0
2022-01-01 16:00:00,3.094,3.074,3.077,259438.7,1495.0
2022-01-01 17:00:00,3.112,3.074,3.1,336113.2,2880.0
2022-01-01 18:00:00,3.109,3.09,3.099,172279.1,1369.0
2022-01-01 19:00:00,3.109,3.095,3.103,257003.6,1426.0
2022-01-01 20:00:00,3.118,3.098,3.107,251642.9,2290.0
2022-01-01 21:00:00,3.12,3.095,3.101,254434.2,1552.0
2022-01-01 22:00:00,3.115,3.097,3.11,128095.1,876.0
2022-01-01 23:00:00,3.16,3.102,3.157,476502.9,5545.0
2022-01-02 00:00:00,3.176,3.141,3.163,871232.4,6426.0
2022-01-02 01:00:00,3.167,3.149,3.153,310132.9,1583.0
2022-01-02 02:00:00,3.201,3.151,3.192,1150633.7,7534.0
2022-01-02 03:00:00,3.196,3.174,3.181,411111.2,2003.0
2022-01-02 04:00:00,3.183,3.138,3.147,522176.8,4828.0
2022-01-02 05:00:00,3.166,3.145,3.164,215048.3,1395.0
2022-01-02 06:00:00,3.165,3.136,3.143,517585.8,2386.0
2022-01-02 07:00:00,3.154,3.14,3.148,261556.8,1287.0
2022-01-02 08:00:00,3.162,3.133,3.162,314320.8,2056.0
2022-01-02 09:00:00,3.18,3.158,3.169,339063.2,2159.0
2022-01-02 10:00:00,3.185,3.166,3.177,446016.3,2345.0
2022-01-02 11:00:00,3.2,3.174,3.199,293350.1,3023.0
2022-01-02 12:00:00,3.218,3.187,3.212,834637.2,7241.0
2022-01-02 13:00:00,3.212,3.18,3.185,464850.4,5996.0
2022-01-02 14:00:00,3.203,3.18,3.203,379263.1,5238.0
2022-01-02 15:00:00,3.235,3.2,3.226,623606.6,5335.0
2022-01-02 16:00:00,3.263,3.224,3.254,804119.2,7783.0
2022-01-02 17:00:00,3.265,3.227,3.23,527749.2,3384.0
2022-01-02 18:00:00,3.232,3.191,3.226,783649.4,6474.0
