open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,34.69,34.24,34.66,90876.12,4691.0
2022-01-01 01:00:00,34.81,34.53,34.62,60441.37,3092.0
2022-01-01 02:00:00,34.9,34.61,34.84,87700.36,3647.0
2022-01-01 03:00:00,34.89,34.67,34.69,63065.17,3132.0
2022-01-01 04:00:00,34.77,34.45,34.49,97978.44,4011.0
2022-01-01 05:00:00,35.01,34.42,34.77,124408.01,5246.0
2022-01-01 06:00:00,34.92,34.58,34.62,51951.92,2863.0
2022-01-01 07:00:00,34.91,34.58,34.83,55450.62,3362.0
2022-01-01 08:00:00,34.92,34.73,34.75,46152.09,2239.0
2022-01-01 09:00:00,34.81,34.53,34.65,44776.97,2698.0
2022-01-01 10:00:00,34.75,34.3,34.53,86971.71,4742.0
2022-01-01 11:00:00,34.67,34.49,34.51,39786.38,2461.0
2022-01-01 12:00:00,34.89,34.51,34.84,44244.52,2844.0
2022-01-01 13:00:00,34.93,34.76,34.82,35604.03,2667.0
2022-01-01 14:00:00,34.93,34.75,34.9,33015.33,2137.0
2022-01-01 15:00:00,35.54,34.85,35.39,130735.64,7756.0
2022-01-01 16:00:00,35.58,35.24,35.25,92713.68,4682.0
2022-01-01 17:00:00,35.61,35.17,35.57,79371.48,4514.0
2022-01-01 18:00:00,35.61,35.35,35.42,65577.94,3189.0
2022-01-01 19:00:00,35.46,35.25,35.31,53208.39,2438.0
2022-01-01 20:00:00,35.54,35.3,35.39,39273.28,2469.0
2022-01-01 21:00:00,35.52,35.27,35.33,55344.02,2719.0
2022-01-01 22:00:00,35.55,35.29,35.53,31885.16,2236.0
2022-01-01 23:00:00,35.99,35.44,35.88,106167.64,6441.0
2022-01-02 00:00:00,36.04,35.73,35.89,92142.84,4712.0
2022-01-02 01:00:00,36.22,35.68,35.7,118861.81,6303.0
2022-01-02 02:00:00,35.76,35.51,35.66,99802.54,4224.0
2022-01-02 03:00:00,35.77,35.53,35.63,63005.9,2958.0
2022-01-02 04:00:00,35.77,35.28,35.36,116711.26,5208.0
2022-01-02 05:00:00,35.54,35.31,35.51,64647.55,3628.0
2022-01-02 06:00:00,35.6,35.34,35.37,46811.76,2686.0
2022-01-02 07:00:00,35.52,35.33,35.41,61655.34,2774.0
2022-01-02 08:00:00,35.61,35.2,35.52,113695.14,4919.0
2022-01-02 09:00:00,35.7,35.47,35.58,55928.92,2973.0
2022-01-02 10:00:00,35.65,35.44,35.48,26941.67,1758.0
2022-01-02 11:00:00,35.64,35.45,35.56,69206.5,3027.0
2022-01-02 12:00:00,35.8,35.34,35.68,119139.06,5050.0
2022-01-02 13:00:00,35.69,35.52,35.52,48622.24,2788.0
2022-01-02 14:00:00,35.82,35.48,35.55,78536.27,4114.0
2022-01-02 15:00:00,35.92,35.51,35.74,82069.67,4052.0
2022-01-02 16:00:00,36.32,35.73,36.29,121175.95,6750.0
2022-01-02 17:00:00,36.5,36.13,36.27,139672.92,6932.0
2022-01-02 18:00:00,36.32,35.73,35.93,165929.75,7225.0
2022-01-02 19:00:00,36.08,35.81,35.84,67463.53,3768.0
2022-01-02 20:00:00,35.95,35.66,35.78,33852.49,2743.0
2022-01-02 21:00:00,35.81,35.63,35.66,37994.88,2261.0
2022-01-02 22:00:00,35.94,35.65,35.93,30477.34,2302.0
2022-01-02 23:00:00,35.98,35.72,35.74,54623.76,2718.0
2022-01-03 00:00:00,35.76,35.39,35.43,73955.44,3648.0
2022-01-03 01:00:00,35.59,35.26,35.45,101452.6,5079.0
2022-01-03 02:00:00,35.48,35.3,35.38,64282.02,3190.0
2022-01-03 03:00:00,35.46,34.79,35.03,167107.08,8680.0
2022-01-03 04:00:00,35.2,35.0,35.02,78249.78,3443.0
2022-01-03 05:00:00,35.31,34.99,35.23,63588.39,3029.0
2022-01-03 06:00:00,35.33,35.05,35.18,86730.23,3846.0
2022-01-03 07:00:00,35.24,35.11,35.19,36831.39,2253.0
2022-01-03 08:00:00,35.27,35.07,35.18,33266.27,2181.0
2022-01-03 09:00:00,35.25,34.91,35.15,51603.2,3088.0
2022-01-03 10:00:00,35.41,35.15,35.26,61620.17,4120.0
2022-01-03 11:00:00,35.5,35.26,35.43,70614.89,3766.0
2022-01-03 12:00:00,35.53,35.24,35.26,80029.66,4182.0
2022-01-03 13:00:00,35.4,35.25,35.31,60454.38,3149.0
2022-01-03 14:00:00,35.52,35.19,35.29,94865.8,4922.0
2022-01-03 15:00:00,35.5,35.14,35.24,82236.35,4240.0
2022-01-03 16:00:00,35.28,34.64,34.88,203250.71,10680.0
