open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,8.56,8.41,8.56,975.72,72.0
2022-01-01 01:00:00,8.6,8.55,8.59,1088.85,77.0
2022-01-01 02:00:00,8.6,8.55,8.6,654.13,85.0
2022-01-01 03:00:00,8.6,8.57,8.58,506.41,73.0
2022-01-01 04:00:00,8.57,8.54,8.54,376.74,40.0
2022-01-01 05:00:00,8.64,8.55,8.58,779.63,72.0
2022-01-01 06:00:00,8.6,8.56,8.56,259.24,49.0
2022-01-01 07:00:00,8.59,8.52,8.58,786.75,70.0
2022-01-01 08:00:00,8.58,8.55,8.56,236.03,27.0
2022-01-01 09:00:00,8.57,8.52,8.54,180.84,15.0
2022-01-01 10:00:00,8.56,8.46,8.55,1223.75,115.0
2022-01-01 11:00:00,8.67,8.52,8.58,6209.44,380.0
2022-01-01 12:00:00,8.67,8.56,8.61,3103.65,175.0
2022-01-01 13:00:00,8.63,8.57,8.6,1009.65,81.0
2022-01-01 14:00:00,8.63,8.6,8.61,747.69,45.0
2022-01-01 15:00:00,8.68,8.6,8.65,2018.47,105.0
2022-01-01 16:00:00,8.67,8.62,8.66,1498.86,113.0
2022-01-01 17:00:00,8.7,8.62,8.66,2156.96,113.0
2022-01-01 18:00:00,8.68,8.6,8.62,927.8,79.0
2022-01-01 19:00:00,8.63,8.59,8.61,1271.79,102.0
2022-01-01 20:00:00,8.63,8.6,8.6,824.06,68.0
2022-01-01 21:00:00,8.61,8.55,8.58,1485.61,104.0
2022-01-01 22:00:00,8.58,8.54,8.57,627.99,39.0
2022-01-01 23:00:00,8.66,8.55,8.65,1462.77,141.0
2022-01-02 00:00:00,8.66,8.6,8.66,1527.37,124.0
2022-01-02 01:00:00,8.69,8.59,8.6,1661.69,118.0
2022-01-02 02:00:00,8.6,8.55,8.55,1304.31,78.0
2022-01-02 03:00:00,8.58,8.54,8.58,782.02,63.0
2022-01-02 04:00:00,8.6,8.5,8.54,1843.71,95.0
2022-01-02 05:00:00,8.61,8.54,8.58,805.85,73.0
2022-01-02 06:00:00,8.61,8.57,8.6,442.39,68.0
2022-01-02 07:00:00,8.63,8.6,8.62,529.86,61.0
2022-01-02 08:00:00,8.61,8.53,8.57,3460.78,131.0
2022-01-02 09:00:00,8.71,8.56,8.65,2090.89,202.0
2022-01-02 10:00:00,8.63,8.6,8.62,714.57,94.0
2022-01-02 11:00:00,8.65,8.6,8.65,821.74,84.0
2022-01-02 12:00:00,8.65,8.61,8.63,1038.5,82.0
2022-01-02 13:00:00,8.65,8.59,8.6,1020.98,83.0
2022-01-02 14:00:00,8.6,8.52,8.56,1785.73,94.0
2022-01-02 15:00:00,8.6,8.56,8.59,2132.02,170.0
2022-01-02 16:00:00,8.7,8.59,8.66,2812.73,193.0
2022-01-02 17:00:00,8.69,8.58,8.61,3315.42,205.0
2022-01-02 18:00:00,8.6,8.51,8.56,1655.02,132.0
2022-01-02 19:00:00,8.59,8.49,8.52,1974.15,145.0
2022-01-02 20:00:00,8.57,8.51,8.55,635.76,79.0
2022-01-02 21:00:00,8.59,8.52,8.53,1299.41,110.0
2022-01-02 22:00:00,8.59,8.54,8.56,881.16,73.0
2022-01-02 23:00:00,8.61,8.56,8.56,518.4,45.0
2022-01-03 00:00:00,8.56,8.53,8.55,316.98,31.0
2022-01-03 01:00:00,8.56,8.53,8.55,664.97,37.0
2022-01-03 02:00:00,8.63,8.52,8.55,1331.88,74.0
2022-01-03 03:00:00,8.55,8.47,8.5,491.88,52.0
2022-01-03 04:00:00,8.5,8.48,8.48,160.65,29.0
2022-01-03 05:00:00,8.55,8.47,8.52,358.41,20.0
2022-01-03 06:00:00,8.54,8.42,8.44,4657.08,269.0
2022-01-03 07:00:00,8.49,8.44,8.47,1310.38,95.0
2022-01-03 08:00:00,8.53,8.46,8.53,1635.53,81.0
2022-01-03 09:00:00,8.58,8.51,8.55,2069.29,152.0
2022-01-03 10:00:00,8.62,8.5,8.6,3526.34,184.0
2022-01-03 11:00:00,8.78,8.61,8.69,7342.34,507.0
2022-01-03 12:00:00,8.7,8.6,8.64,1778.97,132.0
2022-01-03 13:00:00,8.7,8.59,8.68,2280.7,139.0
2022-01-03 14:00:00,8.7,8.6,8.62,2052.4,162.0
2022-01-03 15:00:00,8.66,8.6,8.61,991.2,80.0
2022-01-03 16:00:00,8.63,8.53,8.58,5583.62,280.0
2022-01-03 17:00:00,8.64,8.56,8.64,911.04,69.0
2022-01-03 18:00:00,8.64,8.58,8.61,2456.18,104.0
2022-01-03 19:00:00,8.65,8.55,8.59,1024.67,111.0
2022-01-03 20:00:00,8.59,8.47,8.49,2948.49,232.0
2022-01-03 21:00:00,8.56,8.48,8.54,1614.69,154.0
2022-01-03 22:00:00,8.66,8.54,8.59,809.36,85.0
2022-01-03 23:00:00,8.65,8.55,8.6,560.56,51.0
2022-01-04 00:00:00,8.78,8.59,8.65,14813.01,502.0
2022-01-04 01:00:00,8.66,8.54,8.55,1198.45,135.0
2022-01-04 02:00:00,8.56,8.52,8.54,630.18,43.0
2022-01-04 03:00:00,8.62,8.52,8.58,491.35,54.0
2022-01-04 04:00:00,8.65,8.54,8.55,1171.52,113.0
2022-01-04 05:00:00,8.69,8.54,8.61,3379.69,212.0
2022-01-04 06:00:00,8.64,8.55,8.58,3559.05,183.0
2022-01-04 07:00:00,8.62,8.58,8.62,882.05,57.0
2022-01-04 08:00:00,8.63,8.53,8.53,2300.79,130.0
2022-01-04 09:00:00,8.69,8.53,8.59,7969.17,270.0
2022-01-04 10:00:00,8.65,8.56,8.65,1797.29,116.0
2022-01-04 11:00:00,8.65,8.61,8.63,1708.28,134.0
2022-01-04 12:00:00,8.64,8.57,8.62,934.32,88.0
2022-01-04 13:00:00,8.66,8.57,8.62,5453.89,253.0
2022-01-04 14:00:00,8.72,8.59,8.67,6075.82,462.0
2022-01-04 15:00:00,8.69,8.62,8.62,2905.33,309.0
2022-01-04 16:00:00,8.66,8.6,8.64,2136.08,171.0
2022-01-04 17:00:00,8.75,8.6,8.61,5943.73,442.0
2022-01-04 18:00:00,8.68,8.5,8.54,11013.06,422.0
2022-01-04 19:00:00,8.66,8.52,8.52,9447.44,435.0
2022-01-04 20:00:00,8.64,8.52,8.58,5566.14,279.0
2022-01-04 21:00:00,8.58,8.5,8.57,2273.34,157.0
2022-01-04 22:00:00,8.55,8.52,8.53,615.34,40.0
2022-01-04 23:00:00,8.54,8.5,8.5,1219.09,49.0
2022-01-05 00:00:00,8.53,8.47,8.53,2286.97,92.0
2022-01-05 01:00:00,8.62,8.51,8.55,5704.56,194.0
2022-01-05 02:00:00,8.59,8.55,8.56,1439.97,62.0
2022-01-05 03:00:00,8.65,8.56,8.63,1468.12,125.0
2022-01-05 04:00:00,8.63,8.6,8.62,313.47,28.0
2022-01-05 05:00:00,8.61,8.59,8.59,470.27,42.0
2022-01-05 06:00:00,8.59,8.58,8.59,577.41,32.0
2022-01-05 07:00:00,8.63,8.59,8.61,1193.58,59.0
2022-01-05 08:00:00,8.66,8.59,8.64,1055.48,80.0
2022-01-05 09:00:00,8.67,8.62,8.66,1604.51,92.0
2022-01-05 10:00:00,8.66,8.62,8.62,506.85,45.0
2022-01-05 11:00:00,8.62,8.51,8.53,1479.28,118.0
2022-01-05 12:00:00,8.58,8.5,8.55,1752.82,109.0
2022-01-05 13:00:00,8.61,8.55,8.61,1397.05,53.0
2022-01-05 14:00:00,8.65,8.57,8.62,2290.57,218.0
2022-01-05 15:00:00,8.66,8.59,8.59,5453.45,244.0
2022-01-05 16:00:00,8.62,8.57,8.58,663.56,81.0
2022-01-05 17:00:00,8.61,8.54,8.54,1773.42,104.0
2022-01-05 18:00:00,8.57,8.44,8.5,2228.08,241.0
2022-01-05 19:00:00,8.63,8.31,8.33,7780.96,337.0
2022-01-05 20:00:00,8.35,8.19,8.22,11093.48,571.0
2022-01-05 21:00:00,8.23,8.04,8.08,5490.3,444.0
2022-01-05 22:00:00,8.19,7.8,8.05,8842.22,488.0
