open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,20.06,19.5,19.97,226256.64,8042.0
2022-01-01 01:00:00,20.21,19.9,19.98,194331.86,6061.0
2022-01-01 02:00:00,20.12,19.85,19.89,111751.94,2933.0
2022-01-01 03:00:00,19.92,19.74,19.77,147503.05,3973.0
2022-01-01 04:00:00,19.82,19.55,19.55,173899.93,5558.0
2022-01-01 05:00:00,20.0,19.55,19.8,211270.86,6447.0
2022-01-01 06:00:00,19.88,19.67,19.69,92106.76,2485.0
2022-01-01 07:00:00,19.89,19.63,19.8,115088.3,3131.0
2022-01-01 08:00:00,19.9,19.78,19.82,114240.98,2679.0
2022-01-01 09:00:00,19.94,19.72,19.78,117666.98,2931.0
2022-01-01 10:00:00,19.88,19.54,19.65,181708.27,5477.0
2022-01-01 11:00:00,19.79,19.61,19.61,80954.07,2261.0
2022-01-01 12:00:00,19.85,19.61,19.82,74240.07,2484.0
2022-01-01 13:00:00,19.89,19.75,19.79,77031.92,2829.0
2022-01-01 14:00:00,19.9,19.77,19.83,78378.44,2316.0
2022-01-01 15:00:00,20.11,19.8,20.04,239342.85,6419.0
2022-01-01 16:00:00,20.17,19.98,20.1,158110.67,4369.0
2022-01-01 17:00:00,20.36,20.0,20.32,214252.86,7658.0
2022-01-01 18:00:00,20.39,20.25,20.31,168340.52,4163.0
2022-01-01 19:00:00,20.39,20.18,20.21,79892.64,2527.0
2022-01-01 20:00:00,20.43,20.2,20.33,113484.82,3508.0
2022-01-01 21:00:00,20.44,20.29,20.38,122974.27,2887.0
2022-01-01 22:00:00,20.49,20.28,20.45,93085.14,3095.0
2022-01-01 23:00:00,20.79,20.37,20.76,273560.54,12001.0
2022-01-02 00:00:00,21.1,20.57,21.05,363090.14,16198.0
2022-01-02 01:00:00,21.3,20.91,20.98,223952.21,10727.0
2022-01-02 02:00:00,20.99,20.83,20.85,166671.15,4712.0
2022-01-02 03:00:00,21.08,20.84,21.03,104157.15,2820.0
2022-01-02 04:00:00,21.15,20.64,20.73,220356.43,7766.0
2022-01-02 05:00:00,20.97,20.68,20.89,168886.33,4803.0
2022-01-02 06:00:00,20.89,20.74,20.75,126042.95,2735.0
2022-01-02 07:00:00,20.8,20.71,20.75,86542.75,2153.0
2022-01-02 08:00:00,20.96,20.7,20.9,97553.36,3108.0
2022-01-02 09:00:00,21.12,20.87,21.06,195414.97,6334.0
2022-01-02 10:00:00,21.09,20.93,20.97,70594.54,2265.0
2022-01-02 11:00:00,21.17,20.93,21.07,96663.45,3347.0
2022-01-02 12:00:00,21.33,20.91,21.24,216337.84,8708.0
2022-01-02 13:00:00,21.35,21.12,21.3,151694.98,4367.0
2022-01-02 14:00:00,21.45,21.2,21.29,203467.16,8691.0
2022-01-02 15:00:00,21.44,21.17,21.41,257911.27,5180.0
2022-01-02 16:00:00,22.03,21.41,21.96,507308.5,27862.0
2022-01-02 17:00:00,22.2,21.84,22.12,379820.74,14503.0
2022-01-02 18:00:00,22.16,21.59,21.96,508284.28,18242.0
2022-01-02 19:00:00,22.19,21.89,21.99,371795.76,10782.0
2022-01-02 20:00:00,22.09,21.92,21.93,178215.48,4505.0
2022-01-02 21:00:00,22.0,21.82,21.86,145566.28,4465.0
2022-01-02 22:00:00,21.95,21.73,21.76,126246.14,4830.0
2022-01-02 23:00:00,21.9,21.67,21.87,142212.98,4165.0
2022-01-03 00:00:00,21.93,21.67,21.75,185569.72,4353.0
2022-01-03 01:00:00,21.81,21.46,21.54,193253.14,8697.0
2022-01-03 02:00:00,21.54,21.33,21.45,203034.78,7442.0
2022-01-03 03:00:00,21.51,21.25,21.37,159758.9,5297.0
2022-01-03 04:00:00,21.45,21.29,21.33,116104.77,3224.0
2022-01-03 05:00:00,21.68,21.3,21.67,148843.48,4956.0
2022-01-03 06:00:00,21.7,21.53,21.55,94583.03,4215.0
2022-01-03 07:00:00,21.7,21.5,21.67,80745.16,2543.0
2022-01-03 08:00:00,22.05,21.66,21.96,232250.1,11500.0
2022-01-03 09:00:00,22.23,21.86,22.13,220459.04,11357.0
2022-01-03 10:00:00,22.59,22.08,22.53,304341.88,21156.0
2022-01-03 11:00:00,22.72,22.37,22.46,302249.38,15414.0
2022-01-03 12:00:00,22.49,22.25,22.37,230009.72,8269.0
2022-01-03 13:00:00,23.24,22.36,23.22,688744.84,40372.0
2022-01-03 14:00:00,23.22,22.81,22.88,559891.97,16071.0
2022-01-03 15:00:00,22.99,22.54,22.65,340777.69,14740.0
2022-01-03 16:00:00,22.78,22.08,22.31,605499.63,25641.0
2022-01-03 17:00:00,23.18,22.25,23.08,703556.72,33503.0
2022-01-03 18:00:00,23.4,22.93,23.02,558778.05,31716.0
2022-01-03 19:00:00,23.26,22.86,22.88,247310.97,8940.0
2022-01-03 20:00:00,22.98,22.37,22.53,577194.59,24798.0
2022-01-03 21:00:00,22.96,22.46,22.87,283984.97,11008.0
2022-01-03 22:00:00,23.68,22.8,23.37,491762.49,38450.0
2022-01-03 23:00:00,23.75,23.23,23.72,454172.0,21373.0
2022-01-04 00:00:00,23.89,23.11,23.28,560046.3,30129.0
2022-01-04 01:00:00,23.58,23.14,23.2,360508.91,14069.0
2022-01-04 02:00:00,23.27,22.87,22.99,377066.1,15008.0
2022-01-04 03:00:00,23.15,22.71,23.08,388642.99,12153.0
2022-01-04 04:00:00,23.22,22.94,22.96,258190.71,8316.0
2022-01-04 05:00:00,23.16,22.78,23.13,286747.59,8779.0
2022-01-04 06:00:00,23.47,23.01,23.37,370681.81,12796.0
2022-01-04 07:00:00,23.56,23.29,23.56,235983.26,7095.0
2022-01-04 08:00:00,23.74,23.45,23.68,381367.64,15993.0
2022-01-04 09:00:00,23.85,23.37,23.48,330254.44,16752.0
2022-01-04 10:00:00,23.87,23.42,23.82,330269.51,9846.0
2022-01-04 11:00:00,24.18,23.8,24.06,563048.66,31072.0
