open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,31.86,31.48,31.86,83.66,41.0
2022-01-01 01:00:00,32.0,31.79,31.84,837.78,206.0
2022-01-01 02:00:00,31.95,31.83,31.83,36.72,15.0
2022-01-01 03:00:00,31.99,31.76,31.79,121.37,46.0
2022-01-01 04:00:00,31.75,31.5,31.5,104.08,42.0
2022-01-01 05:00:00,32.01,31.51,31.72,224.04,59.0
2022-01-01 06:00:00,31.89,31.66,31.67,41.02,16.0
2022-01-01 07:00:00,31.74,31.62,31.67,30.92,12.0
2022-01-01 08:00:00,31.76,31.63,31.68,259.96,65.0
2022-01-01 09:00:00,32.6,31.59,31.69,495.76,153.0
2022-01-01 10:00:00,31.8,31.43,31.51,433.7,86.0
2022-01-01 11:00:00,31.75,31.52,31.64,19.19,15.0
2022-01-01 12:00:00,31.8,31.53,31.71,342.93,55.0
2022-01-01 13:00:00,31.93,31.58,31.93,361.71,86.0
2022-01-01 14:00:00,31.94,31.73,31.74,42.31,12.0
2022-01-01 15:00:00,32.03,31.74,31.89,58.02,21.0
2022-01-01 16:00:00,32.12,31.9,31.97,34.8,18.0
2022-01-01 17:00:00,32.29,31.91,32.11,61.39,34.0
2022-01-01 18:00:00,32.14,32.0,32.14,65.64,22.0
2022-01-01 19:00:00,32.06,31.93,32.06,78.24,18.0
2022-01-01 20:00:00,32.26,31.95,32.23,141.45,37.0
2022-01-01 21:00:00,32.88,32.21,32.28,972.79,303.0
2022-01-01 22:00:00,32.38,32.27,32.29,62.95,15.0
2022-01-01 23:00:00,32.39,32.19,32.38,33.89,16.0
2022-01-02 00:00:00,32.51,32.34,32.41,16.04,12.0
2022-01-02 01:00:00,32.35,32.18,32.2,82.57,38.0
2022-01-02 02:00:00,32.24,32.06,32.13,47.45,48.0
2022-01-02 03:00:00,32.18,31.83,31.94,584.2,95.0
2022-01-02 04:00:00,31.95,31.63,31.66,58.5,26.0
2022-01-02 05:00:00,31.68,31.5,31.68,483.61,100.0
2022-01-02 06:00:00,31.74,31.7,31.74,13.91,14.0
2022-01-02 07:00:00,31.81,31.65,31.81,92.87,28.0
2022-01-02 08:00:00,31.84,31.71,31.76,126.16,52.0
2022-01-02 09:00:00,32.0,31.79,31.92,250.02,78.0
2022-01-02 10:00:00,31.99,31.86,31.86,397.23,69.0
2022-01-02 11:00:00,32.1,31.85,32.06,211.1,84.0
2022-01-02 12:00:00,32.15,31.9,32.06,205.9,91.0
2022-01-02 13:00:00,32.29,31.99,32.2,255.45,75.0
