open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,8.85,8.715,8.847,31419.0,1143.0
2022-01-01 01:00:00,8.889,8.822,8.843,18045.2,888.0
2022-01-01 02:00:00,8.888,8.841,8.875,15286.2,780.0
2022-01-01 03:00:00,8.886,8.839,8.843,16008.3,533.0
2022-01-01 04:00:00,8.862,8.79,8.794,10682.0,515.0
2022-01-01 05:00:00,8.924,8.783,8.845,27592.7,871.0
2022-01-01 06:00:00,8.86,8.791,8.803,15421.1,592.0
2022-01-01 07:00:00,8.857,8.773,8.829,28130.5,1179.0
2022-01-01 08:00:00,8.868,8.821,8.84,12133.3,542.0
2022-01-01 09:00:00,8.861,8.768,8.788,18336.5,650.0
2022-01-01 10:00:00,8.824,8.689,8.761,21373.5,1098.0
2022-01-01 11:00:00,8.793,8.74,8.74,10568.0,422.0
2022-01-01 12:00:00,8.82,8.737,8.812,20939.4,607.0
2022-01-01 13:00:00,8.829,8.784,8.793,13249.5,529.0
2022-01-01 14:00:00,8.817,8.769,8.78,9634.8,411.0
2022-01-01 15:00:00,8.869,8.77,8.821,17568.5,825.0
2022-01-01 16:00:00,8.881,8.817,8.838,19711.3,820.0
2022-01-01 17:00:00,8.932,8.842,8.91,21429.4,1059.0
2022-01-01 18:00:00,8.933,8.86,8.899,15755.6,665.0
2022-01-01 19:00:00,8.912,8.861,8.888,12391.5,489.0
2022-01-01 20:00:00,8.944,8.884,8.888,22375.9,948.0
2022-01-01 21:00:00,8.948,8.872,8.878,16976.6,591.0
2022-01-01 22:00:00,8.908,8.869,8.9,6462.0,312.0
2022-01-01 23:00:00,8.962,8.881,8.961,13090.0,480.0
2022-01-02 00:00:00,8.971,8.901,8.95,19171.7,739.0
2022-01-02 01:00:00,8.953,8.887,8.907,16164.3,635.0
2022-01-02 02:00:00,8.952,8.899,8.946,8166.2,412.0
2022-01-02 03:00:00,8.992,8.933,8.961,10502.8,645.0
2022-01-02 04:00:00,8.979,8.823,8.86,34119.3,1164.0
2022-01-02 05:00:00,8.902,8.84,8.898,15606.7,544.0
2022-01-02 06:00:00,8.912,8.878,8.888,9583.3,399.0
2022-01-02 07:00:00,8.934,8.885,8.93,14054.6,609.0
2022-01-02 08:00:00,9.111,8.872,9.091,51715.4,2792.0
2022-01-02 09:00:00,9.114,9.026,9.099,34152.2,1434.0
2022-01-02 10:00:00,9.141,9.084,9.103,26861.5,1194.0
2022-01-02 11:00:00,9.211,9.1,9.194,40980.0,2135.0
2022-01-02 12:00:00,9.244,9.127,9.243,41470.7,1799.0
