open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,2.089,2.015,2.071,1661661.5,12282.0
2022-01-01 01:00:00,2.213,2.054,2.164,5274685.3,59865.0
2022-01-01 02:00:00,2.186,2.128,2.135,2021470.4,12528.0
2022-01-01 03:00:00,2.139,2.09,2.094,1713454.3,10780.0
2022-01-01 04:00:00,2.105,2.075,2.09,1025463.6,6282.0
2022-01-01 05:00:00,2.134,2.091,2.127,762640.2,5681.0
2022-01-01 06:00:00,2.142,2.089,2.103,950894.2,5515.0
2022-01-01 07:00:00,2.124,2.099,2.111,893078.9,4354.0
2022-01-01 08:00:00,2.123,2.082,2.084,1072051.9,6411.0
2022-01-01 09:00:00,2.094,2.07,2.094,744786.8,5847.0
2022-01-01 10:00:00,2.102,2.063,2.079,970111.0,6466.0
2022-01-01 11:00:00,2.104,2.078,2.083,741195.4,4504.0
2022-01-01 12:00:00,2.179,2.084,2.132,2421155.9,18181.0
2022-01-01 13:00:00,2.15,2.111,2.113,894980.1,6115.0
2022-01-01 14:00:00,2.137,2.107,2.119,717132.6,4330.0
2022-01-01 15:00:00,2.141,2.112,2.13,592316.1,3690.0
2022-01-01 16:00:00,2.148,2.117,2.124,714911.3,4820.0
2022-01-01 17:00:00,2.15,2.118,2.129,807666.0,4593.0
2022-01-01 18:00:00,2.136,2.118,2.124,588827.1,2957.0
2022-01-01 19:00:00,2.2,2.124,2.182,2458123.3,20434.0
2022-01-01 20:00:00,2.208,2.172,2.189,1558538.1,9979.0
2022-01-01 21:00:00,2.19,2.164,2.184,760385.7,4913.0
2022-01-01 22:00:00,2.242,2.172,2.227,1450041.4,20030.0
2022-01-01 23:00:00,2.269,2.21,2.254,1833173.6,20586.0
2022-01-02 00:00:00,2.359,2.24,2.352,4707976.5,52246.0
2022-01-02 01:00:00,2.357,2.31,2.312,1790132.5,12352.0
2022-01-02 02:00:00,2.321,2.276,2.287,1079119.9,11214.0
2022-01-02 03:00:00,2.326,2.286,2.307,756968.7,5345.0
2022-01-02 04:00:00,2.309,2.264,2.281,758213.4,6988.0
2022-01-02 05:00:00,2.313,2.275,2.303,695496.7,5114.0
2022-01-02 06:00:00,2.305,2.283,2.3,595027.0,3602.0
2022-01-02 07:00:00,2.343,2.295,2.314,1523427.1,14085.0
2022-01-02 08:00:00,2.314,2.26,2.287,1775453.4,12863.0
2022-01-02 09:00:00,2.305,2.26,2.268,959617.2,7457.0
2022-01-02 10:00:00,2.267,2.192,2.206,2407284.7,18775.0
2022-01-02 11:00:00,2.231,2.203,2.223,924214.8,4797.0
2022-01-02 12:00:00,2.226,2.184,2.196,1137276.3,6777.0
2022-01-02 13:00:00,2.207,2.149,2.153,1570008.8,12463.0
2022-01-02 14:00:00,2.166,2.133,2.143,1526411.9,9532.0
2022-01-02 15:00:00,2.175,2.135,2.166,1196672.9,6745.0
2022-01-02 16:00:00,2.213,2.163,2.206,1404764.2,9389.0
2022-01-02 17:00:00,2.215,2.153,2.166,1147816.4,7783.0
2022-01-02 18:00:00,2.176,2.134,2.176,1413080.5,7246.0
2022-01-02 19:00:00,2.187,2.139,2.151,891108.3,6078.0
2022-01-02 20:00:00,2.154,2.125,2.154,783737.0,5522.0
2022-01-02 21:00:00,2.153,2.11,2.124,899858.8,5300.0
2022-01-02 22:00:00,2.166,2.112,2.157,909669.4,6123.0
2022-01-02 23:00:00,2.163,2.128,2.139,600056.7,4737.0
2022-01-03 00:00:00,2.142,2.07,2.073,2435312.6,16631.0
2022-01-03 01:00:00,2.083,2.047,2.082,1678446.6,9640.0
2022-01-03 02:00:00,2.085,2.054,2.067,800577.1,6050.0
2022-01-03 03:00:00,2.073,2.037,2.054,815243.0,6209.0
2022-01-03 04:00:00,2.06,2.023,2.03,805434.2,6895.0
2022-01-03 05:00:00,2.062,2.026,2.046,810025.8,6251.0
2022-01-03 06:00:00,2.05,2.029,2.029,687654.4,4006.0
2022-01-03 07:00:00,2.061,2.022,2.05,846311.9,5201.0
2022-01-03 08:00:00,2.051,2.028,2.039,1035635.2,4892.0
2022-01-03 09:00:00,2.048,2.024,2.034,835550.3,4102.0
2022-01-03 10:00:00,2.064,2.034,2.05,1349361.8,6692.0
2022-01-03 11:00:00,2.061,2.024,2.033,1075131.4,5784.0
2022-01-03 12:00:00,2.045,2.032,2.042,764078.7,4216.0
2022-01-03 13:00:00,2.057,2.041,2.046,643335.0,3853.0
2022-01-03 14:00:00,2.047,2.03,2.04,842776.9,4563.0
2022-01-03 15:00:00,2.046,1.978,1.992,1785073.1,13408.0
2022-01-03 16:00:00,2.001,1.92,1.951,3630998.3,25221.0
2022-01-03 17:00:00,1.972,1.938,1.955,1357735.6,8494.0
2022-01-03 18:00:00,1.974,1.944,1.95,1108829.1,5933.0
2022-01-03 19:00:00,1.97,1.94,1.941,1080563.2,4911.0
2022-01-03 20:00:00,1.945,1.903,1.933,1720594.8,10924.0
2022-01-03 21:00:00,1.948,1.888,1.934,1629266.4,8162.0
2022-01-03 22:00:00,1.965,1.929,1.949,1051590.5,7205.0
2022-01-03 23:00:00,1.961,1.942,1.944,643440.2,2759.0
2022-01-04 00:00:00,1.947,1.882,1.897,1689414.2,13583.0
2022-01-04 01:00:00,1.914,1.881,1.889,1011984.4,5852.0
2022-01-04 02:00:00,1.898,1.861,1.882,995245.4,8314.0
2022-01-04 03:00:00,1.898,1.87,1.891,520364.4,3199.0
2022-01-04 04:00:00,1.9,1.875,1.878,670727.2,3257.0
2022-01-04 05:00:00,1.901,1.872,1.894,457394.3,2571.0
2022-01-04 06:00:00,1.922,1.888,1.92,666305.5,4727.0
2022-01-04 07:00:00,1.944,1.907,1.939,1072791.7,6211.0
