open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,0.197,0.1911,0.1959,1821376.0,1732.0
2022-01-01 01:00:00,0.1968,0.1946,0.1954,401574.0,420.0
2022-01-01 02:00:00,0.1968,0.1948,0.1948,491287.0,638.0
2022-01-01 03:00:00,0.1958,0.1946,0.1953,251207.0,341.0
2022-01-01 04:00:00,0.1958,0.1934,0.1944,506173.0,509.0
2022-01-01 05:00:00,0.1978,0.1941,0.1963,310728.0,568.0
2022-01-01 06:00:00,0.1964,0.195,0.195,224522.0,310.0
2022-01-01 07:00:00,0.1957,0.1943,0.1955,300214.0,403.0
2022-01-01 08:00:00,0.196,0.1947,0.195,323001.0,257.0
2022-01-01 09:00:00,0.1954,0.1941,0.1946,88492.0,154.0
2022-01-01 10:00:00,0.1964,0.1931,0.1962,401353.0,499.0
2022-01-01 11:00:00,0.1992,0.1945,0.1946,728467.0,1121.0
2022-01-01 12:00:00,0.1959,0.1944,0.1957,246030.0,250.0
2022-01-01 13:00:00,0.1958,0.1943,0.1946,190605.0,241.0
2022-01-01 14:00:00,0.1949,0.1939,0.1939,289387.0,252.0
2022-01-01 15:00:00,0.1969,0.1937,0.1955,757074.0,578.0
2022-01-01 16:00:00,0.197,0.1949,0.196,423938.0,305.0
2022-01-01 17:00:00,0.1979,0.1957,0.1972,587616.0,620.0
2022-01-01 18:00:00,0.1976,0.1964,0.1971,292482.0,285.0
2022-01-01 19:00:00,0.1983,0.1964,0.198,645141.0,533.0
2022-01-01 20:00:00,0.1987,0.1973,0.1974,739919.0,757.0
2022-01-01 21:00:00,0.1978,0.1968,0.197,192849.0,244.0
2022-01-01 22:00:00,0.1982,0.1966,0.1976,371470.0,369.0
2022-01-01 23:00:00,0.1983,0.1972,0.1979,276001.0,280.0
2022-01-02 00:00:00,0.1981,0.1967,0.1974,296288.0,346.0
2022-01-02 01:00:00,0.1975,0.1965,0.1968,764915.0,530.0
2022-01-02 02:00:00,0.1992,0.1967,0.1987,398552.0,503.0
2022-01-02 03:00:00,0.1998,0.1987,0.1998,435697.0,476.0
2022-01-02 04:00:00,0.1997,0.1966,0.1966,741969.0,575.0
2022-01-02 05:00:00,0.1977,0.1965,0.1974,321789.0,309.0
2022-01-02 06:00:00,0.1983,0.1971,0.1978,229224.0,216.0
2022-01-02 07:00:00,0.199,0.1976,0.199,467870.0,378.0
2022-01-02 08:00:00,0.2014,0.1974,0.2006,842413.0,1307.0
2022-01-02 09:00:00,0.2029,0.2004,0.2012,809943.0,1120.0
2022-01-02 10:00:00,0.2032,0.2007,0.2025,339206.0,445.0
2022-01-02 11:00:00,0.2033,0.201,0.2025,635918.0,703.0
2022-01-02 12:00:00,0.2036,0.2013,0.2033,467261.0,645.0
2022-01-02 13:00:00,0.206,0.2023,0.2059,1242253.0,1778.0
2022-01-02 14:00:00,0.2103,0.205,0.2098,1866907.0,3318.0
2022-01-02 15:00:00,0.212,0.2048,0.2056,2567685.0,3562.0
2022-01-02 16:00:00,0.2093,0.2055,0.2087,1558044.0,1608.0
2022-01-02 17:00:00,0.21,0.2068,0.208,953648.0,1035.0
2022-01-02 18:00:00,0.208,0.2035,0.205,910996.0,1235.0
2022-01-02 19:00:00,0.2057,0.204,0.2045,484951.0,538.0
2022-01-02 20:00:00,0.205,0.2022,0.2037,901621.0,780.0
2022-01-02 21:00:00,0.204,0.2027,0.2035,829279.0,547.0
2022-01-02 22:00:00,0.204,0.2034,0.2037,236381.0,353.0
2022-01-02 23:00:00,0.2052,0.2034,0.2048,485698.0,431.0
2022-01-03 00:00:00,0.2048,0.2023,0.2031,476520.0,610.0
2022-01-03 01:00:00,0.2033,0.2007,0.2031,876260.0,976.0
2022-01-03 02:00:00,0.2032,0.198,0.2029,2716517.0,1831.0
2022-01-03 03:00:00,0.2058,0.2027,0.2043,648401.0,934.0
2022-01-03 04:00:00,0.2044,0.2019,0.2021,306264.0,338.0
2022-01-03 05:00:00,0.2033,0.2019,0.2028,197564.0,270.0
2022-01-03 06:00:00,0.2028,0.201,0.2015,281959.0,333.0
2022-01-03 07:00:00,0.2027,0.2011,0.2026,220285.0,244.0
2022-01-03 08:00:00,0.2031,0.2021,0.2023,158464.0,182.0
2022-01-03 09:00:00,0.2028,0.2004,0.2006,420806.0,416.0
2022-01-03 10:00:00,0.2021,0.2006,0.2016,312082.0,356.0
2022-01-03 11:00:00,0.2032,0.2015,0.2023,494781.0,424.0
2022-01-03 12:00:00,0.2033,0.202,0.2022,583536.0,486.0
2022-01-03 13:00:00,0.2046,0.2022,0.2037,789553.0,589.0
2022-01-03 14:00:00,0.204,0.2016,0.202,611156.0,577.0
2022-01-03 15:00:00,0.2023,0.1976,0.1979,7253839.0,2163.0
2022-01-03 16:00:00,0.1986,0.1944,0.196,3036405.0,2090.0
2022-01-03 17:00:00,0.198,0.1957,0.1972,1233431.0,892.0
2022-01-03 18:00:00,0.1979,0.1967,0.1969,492309.0,429.0
2022-01-03 19:00:00,0.1982,0.1967,0.1971,402059.0,422.0
2022-01-03 20:00:00,0.1971,0.1941,0.1951,988599.0,744.0
2022-01-03 21:00:00,0.1962,0.1927,0.1959,1361277.0,773.0
2022-01-03 22:00:00,0.1976,0.1956,0.1971,353581.0,409.0
2022-01-03 23:00:00,0.1984,0.1966,0.1982,465957.0,459.0
2022-01-04 00:00:00,0.1986,0.1953,0.1957,1043060.0,712.0
2022-01-04 01:00:00,0.1967,0.1946,0.1946,398622.0,389.0
2022-01-04 02:00:00,0.1951,0.1899,0.1924,7396029.0,2601.0
2022-01-04 03:00:00,0.1936,0.1914,0.1935,1068682.0,635.0
2022-01-04 04:00:00,0.1937,0.1916,0.1919,899769.0,626.0
2022-01-04 05:00:00,0.1932,0.1914,0.1923,464610.0,371.0
2022-01-04 06:00:00,0.1935,0.1918,0.1933,435778.0,371.0
2022-01-04 07:00:00,0.1955,0.1932,0.1955,1241876.0,908.0
2022-01-04 08:00:00,0.1958,0.1931,0.1945,923844.0,679.0
2022-01-04 09:00:00,0.195,0.1934,0.1937,272870.0,261.0
2022-01-04 10:00:00,0.1957,0.1939,0.1952,319619.0,290.0
2022-01-04 11:00:00,0.1971,0.1953,0.197,723865.0,566.0
2022-01-04 12:00:00,0.1972,0.1955,0.1962,892185.0,559.0
2022-01-04 13:00:00,0.1982,0.1954,0.1979,649725.0,621.0
2022-01-04 14:00:00,0.1989,0.1971,0.1984,695010.0,748.0
2022-01-04 15:00:00,0.1993,0.1967,0.1968,733777.0,756.0
2022-01-04 16:00:00,0.1984,0.1962,0.1977,811121.0,676.0
2022-01-04 17:00:00,0.1989,0.1969,0.1971,434588.0,512.0
2022-01-04 18:00:00,0.1978,0.1918,0.1929,1184093.0,1343.0
2022-01-04 19:00:00,0.1969,0.1922,0.1957,1440345.0,1259.0
2022-01-04 20:00:00,0.1969,0.1951,0.1965,533248.0,416.0
2022-01-04 21:00:00,0.1971,0.194,0.1958,1510145.0,882.0
2022-01-04 22:00:00,0.1961,0.1945,0.1959,369652.0,384.0
2022-01-04 23:00:00,0.1957,0.1928,0.193,942424.0,708.0
2022-01-05 00:00:00,0.1967,0.1929,0.1959,1115236.0,932.0
2022-01-05 01:00:00,0.1969,0.1917,0.1936,2305887.0,1491.0
2022-01-05 02:00:00,0.1952,0.1913,0.1952,1553949.0,794.0
2022-01-05 03:00:00,0.1964,0.195,0.1962,515394.0,295.0
2022-01-05 04:00:00,0.1964,0.195,0.1959,1040209.0,587.0
2022-01-05 05:00:00,0.1964,0.1947,0.1961,711507.0,434.0
2022-01-05 06:00:00,0.1972,0.1951,0.1971,1047934.0,716.0
2022-01-05 07:00:00,0.1977,0.1964,0.1973,495188.0,499.0
2022-01-05 08:00:00,0.1982,0.1967,0.1977,339768.0,408.0
2022-01-05 09:00:00,0.2,0.1977,0.1994,1212383.0,1197.0
2022-01-05 10:00:00,0.2002,0.198,0.1993,542079.0,519.0
2022-01-05 11:00:00,0.1991,0.1961,0.1972,387492.0,603.0
2022-01-05 12:00:00,0.1979,0.1946,0.1965,1151331.0,919.0
2022-01-05 13:00:00,0.1986,0.1952,0.1986,1213238.0,672.0
2022-01-05 14:00:00,0.2007,0.1971,0.1997,5022488.0,2858.0
2022-01-05 15:00:00,0.201,0.1993,0.2008,1147450.0,831.0
2022-01-05 16:00:00,0.2008,0.1983,0.1986,383027.0,478.0
2022-01-05 17:00:00,0.1997,0.1977,0.1978,940598.0,764.0
2022-01-05 18:00:00,0.2003,0.1965,0.1984,1742600.0,1641.0
2022-01-05 19:00:00,0.1992,0.1894,0.1906,1957178.0,2384.0
2022-01-05 20:00:00,0.1916,0.1856,0.1892,2309232.0,2732.0
2022-01-05 21:00:00,0.1932,0.1835,0.1847,2382803.0,2439.0
2022-01-05 22:00:00,0.1854,0.1737,0.1804,5763708.0,4546.0
2022-01-05 23:00:00,0.1829,0.1799,0.1817,1560158.0,1347.0
2022-01-06 00:00:00,0.183,0.1805,0.1815,1343975.0,1164.0
2022-01-06 01:00:00,0.1822,0.1779,0.18,1771034.0,1359.0
2022-01-06 02:00:00,0.1809,0.1787,0.1796,581455.0,601.0
2022-01-06 03:00:00,0.1802,0.1774,0.1774,955033.0,775.0
2022-01-06 04:00:00,0.1792,0.1751,0.1776,1056932.0,899.0
2022-01-06 05:00:00,0.1788,0.1769,0.1776,1072255.0,830.0
2022-01-06 06:00:00,0.1782,0.1761,0.1777,847179.0,620.0
2022-01-06 07:00:00,0.1785,0.1758,0.1771,4565802.0,1822.0
