open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,33.84,33.08,33.75,1767.48,329.0
2022-01-01 01:00:00,33.96,33.63,33.68,1012.64,252.0
2022-01-01 02:00:00,33.88,33.71,33.85,629.67,170.0
2022-01-01 03:00:00,33.86,33.68,33.68,249.25,78.0
2022-01-01 04:00:00,33.71,33.39,33.46,888.49,211.0
2022-01-01 05:00:00,34.01,33.34,33.74,2165.16,400.0
2022-01-01 06:00:00,33.92,33.63,33.63,974.47,214.0
2022-01-01 07:00:00,33.87,33.53,33.84,994.43,167.0
2022-01-01 08:00:00,33.98,33.75,33.84,387.11,110.0
2022-01-01 09:00:00,33.88,33.53,33.63,610.9,155.0
2022-01-01 10:00:00,33.79,33.24,33.53,2315.63,300.0
2022-01-01 11:00:00,33.71,33.38,33.39,1777.48,322.0
2022-01-01 12:00:00,33.87,33.4,33.8,1729.66,338.0
2022-01-01 13:00:00,33.92,33.75,33.9,534.81,140.0
2022-01-01 14:00:00,34.11,33.9,33.95,950.38,285.0
2022-01-01 15:00:00,34.27,33.92,34.16,1036.69,227.0
2022-01-01 16:00:00,34.57,34.2,34.23,1898.1,393.0
2022-01-01 17:00:00,34.74,34.2,34.6,3727.56,655.0
2022-01-01 18:00:00,34.64,34.34,34.55,1393.3,283.0
2022-01-01 19:00:00,34.69,34.5,34.61,1143.22,232.0
2022-01-01 20:00:00,34.92,34.64,34.85,1753.05,327.0
2022-01-01 21:00:00,34.9,34.58,34.81,976.66,307.0
2022-01-01 22:00:00,34.85,34.49,34.75,1231.19,248.0
2022-01-01 23:00:00,35.43,34.64,35.26,1249.35,261.0
2022-01-02 00:00:00,35.77,34.92,35.7,3186.01,696.0
2022-01-02 01:00:00,35.7,34.85,34.9,3904.35,738.0
2022-01-02 02:00:00,35.01,34.7,34.75,1602.69,380.0
2022-01-02 03:00:00,34.84,34.61,34.62,693.71,227.0
2022-01-02 04:00:00,34.81,34.08,34.26,2034.62,381.0
2022-01-02 05:00:00,35.7,34.19,34.49,6945.88,1222.0
2022-01-02 06:00:00,34.47,34.17,34.2,2090.88,305.0
2022-01-02 07:00:00,34.31,34.12,34.16,741.27,173.0
2022-01-02 08:00:00,34.26,33.82,34.26,2689.32,449.0
2022-01-02 09:00:00,34.77,34.25,34.67,1774.42,317.0
2022-01-02 10:00:00,34.75,34.5,34.7,1241.4,215.0
2022-01-02 11:00:00,34.98,34.6,34.8,1161.13,225.0
2022-01-02 12:00:00,35.25,34.47,35.06,2360.71,389.0
2022-01-02 13:00:00,35.24,34.78,35.2,1312.4,275.0
2022-01-02 14:00:00,35.37,34.85,34.96,2511.89,375.0
2022-01-02 15:00:00,35.43,34.9,35.24,1735.78,328.0
2022-01-02 16:00:00,35.84,35.21,35.84,1730.41,385.0
2022-01-02 17:00:00,35.95,35.55,35.83,2620.13,486.0
2022-01-02 18:00:00,35.87,34.97,35.27,4962.46,670.0
2022-01-02 19:00:00,35.44,35.01,35.05,3049.95,416.0
2022-01-02 20:00:00,35.24,34.94,35.17,753.83,201.0
2022-01-02 21:00:00,35.42,35.1,35.27,1256.65,174.0
2022-01-02 22:00:00,35.64,35.36,35.49,1413.0,342.0
2022-01-02 23:00:00,35.84,35.5,35.58,2828.44,311.0
2022-01-03 00:00:00,35.77,35.45,35.66,1030.59,254.0
2022-01-03 01:00:00,35.98,35.51,35.92,1807.72,226.0
2022-01-03 02:00:00,35.96,35.53,35.63,777.66,231.0
2022-01-03 03:00:00,35.74,34.94,35.14,1448.99,377.0
2022-01-03 04:00:00,35.21,34.94,34.98,1037.32,207.0
2022-01-03 05:00:00,35.36,34.87,35.32,835.46,225.0
2022-01-03 06:00:00,35.38,35.09,35.09,338.02,101.0
2022-01-03 07:00:00,35.09,34.85,34.93,1565.01,217.0
2022-01-03 08:00:00,35.1,34.84,34.97,1101.05,179.0
2022-01-03 09:00:00,35.07,34.72,35.07,1082.89,254.0
2022-01-03 10:00:00,35.54,35.08,35.42,1101.77,256.0
2022-01-03 11:00:00,35.98,35.44,35.91,2356.16,438.0
2022-01-03 12:00:00,36.09,35.61,35.72,1653.2,292.0
2022-01-03 13:00:00,36.12,35.7,35.89,1582.37,282.0
2022-01-03 14:00:00,36.12,35.72,35.87,2264.33,340.0
2022-01-03 15:00:00,36.39,35.75,35.9,4005.31,619.0
2022-01-03 16:00:00,36.19,35.02,36.04,4438.22,1120.0
2022-01-03 17:00:00,36.5,35.64,36.2,2685.92,599.0
2022-01-03 18:00:00,36.45,35.7,35.93,3680.62,691.0
2022-01-03 19:00:00,35.98,35.02,35.08,4613.41,863.0
2022-01-03 20:00:00,35.17,34.01,34.36,6871.63,1090.0
2022-01-03 21:00:00,34.77,34.22,34.67,2757.78,580.0
2022-01-03 22:00:00,35.29,34.55,34.95,6932.66,899.0
2022-01-03 23:00:00,36.45,34.85,36.41,6933.5,1225.0
2022-01-04 00:00:00,36.63,35.27,35.52,5631.76,1019.0
2022-01-04 01:00:00,36.0,34.81,34.91,14193.57,2064.0
2022-01-04 02:00:00,34.98,34.5,34.82,4074.19,957.0
2022-01-04 03:00:00,34.84,34.42,34.7,2240.42,416.0
2022-01-04 04:00:00,35.22,34.61,34.8,1373.45,352.0
2022-01-04 05:00:00,35.14,34.74,35.08,911.29,287.0
2022-01-04 06:00:00,35.48,34.95,35.21,5063.19,740.0
2022-01-04 07:00:00,35.33,34.98,35.27,2130.19,402.0
2022-01-04 08:00:00,35.45,35.11,35.3,1797.81,370.0
2022-01-04 09:00:00,35.35,34.96,35.11,2110.83,377.0
2022-01-04 10:00:00,35.66,35.03,35.58,1780.21,470.0
2022-01-04 11:00:00,36.64,35.52,36.5,20779.61,2136.0
2022-01-04 12:00:00,37.62,36.35,37.15,19844.6,2522.0
2022-01-04 13:00:00,37.4,36.75,36.97,5693.54,947.0
2022-01-04 14:00:00,37.34,36.78,37.17,12670.91,1022.0
2022-01-04 15:00:00,37.39,36.8,37.02,5928.39,856.0
2022-01-04 16:00:00,37.93,36.71,37.4,5899.63,1021.0
2022-01-04 17:00:00,37.42,36.56,36.6,10302.73,943.0
2022-01-04 18:00:00,37.84,36.36,36.67,23096.14,3105.0
2022-01-04 19:00:00,37.96,36.41,36.88,9058.32,1642.0
2022-01-04 20:00:00,37.69,36.71,36.99,4191.33,963.0
2022-01-04 21:00:00,37.42,36.5,36.64,4450.69,924.0
2022-01-04 22:00:00,36.69,36.21,36.36,1724.7,507.0
2022-01-04 23:00:00,36.3,35.78,35.84,1704.32,368.0
2022-01-05 00:00:00,37.14,35.54,37.11,5531.47,819.0
2022-01-05 01:00:00,37.9,36.89,37.62,3892.37,762.0
2022-01-05 02:00:00,37.77,37.27,37.56,2125.99,599.0
2022-01-05 03:00:00,37.75,37.38,37.57,974.03,242.0
2022-01-05 04:00:00,38.46,37.54,38.25,6187.91,996.0
2022-01-05 05:00:00,38.69,37.98,38.22,11196.5,1380.0
2022-01-05 06:00:00,38.47,37.85,38.0,3575.36,685.0
2022-01-05 07:00:00,38.27,37.84,38.07,12410.4,394.0
2022-01-05 08:00:00,38.61,37.66,38.37,11366.1,1082.0
2022-01-05 09:00:00,38.49,38.1,38.29,3064.52,449.0
2022-01-05 10:00:00,38.34,37.9,38.15,2057.78,424.0
2022-01-05 11:00:00,38.14,37.33,37.68,4842.78,760.0
2022-01-05 12:00:00,38.63,37.53,38.56,5925.85,1156.0
2022-01-05 13:00:00,39.1,38.24,38.86,12791.45,1901.0
2022-01-05 14:00:00,39.12,38.7,38.76,6329.84,1041.0
2022-01-05 15:00:00,39.28,38.43,39.18,11831.13,2113.0
2022-01-05 16:00:00,39.19,38.17,38.18,12509.92,1514.0
2022-01-05 17:00:00,39.07,38.19,38.59,9847.32,1708.0
2022-01-05 18:00:00,38.6,37.31,38.22,13486.16,2551.0
2022-01-05 19:00:00,39.13,35.12,35.68,35940.93,5727.0
2022-01-05 20:00:00,36.0,34.3,34.7,16882.04,3153.0
2022-01-05 21:00:00,35.22,33.81,34.09,9624.68,1606.0
2022-01-05 22:00:00,34.26,31.46,33.44,22717.14,3340.0
2022-01-05 23:00:00,33.94,33.17,33.34,5550.73,990.0
2022-01-06 00:00:00,34.52,33.12,33.48,6415.99,1008.0
2022-01-06 01:00:00,33.69,32.79,33.0,3452.53,685.0
2022-01-06 02:00:00,33.16,32.62,32.71,3349.2,549.0
2022-01-06 03:00:00,32.91,32.22,32.26,1847.87,437.0
2022-01-06 04:00:00,32.48,31.81,32.42,5017.31,748.0
2022-01-06 05:00:00,32.72,32.18,32.37,3202.13,496.0
2022-01-06 06:00:00,32.67,32.17,32.46,4598.39,590.0
2022-01-06 07:00:00,32.79,32.34,32.69,1762.98,349.0
2022-01-06 08:00:00,32.74,31.88,32.37,6005.55,953.0
2022-01-06 09:00:00,32.35,31.6,31.72,3866.74,804.0
2022-01-06 10:00:00,32.31,31.8,32.07,1665.4,372.0
2022-01-06 11:00:00,32.26,31.82,31.99,4025.28,414.0
2022-01-06 12:00:00,32.33,31.72,32.33,2029.72,326.0
2022-01-06 13:00:00,32.89,32.24,32.87,4711.73,656.0
2022-01-06 14:00:00,32.95,32.45,32.6,3548.07,535.0
2022-01-06 15:00:00,32.89,32.24,32.79,1647.54,277.0
2022-01-06 16:00:00,33.0,32.58,32.84,856.06,205.0
2022-01-06 17:00:00,33.0,32.78,32.9,805.28,241.0
2022-01-06 18:00:00,33.46,32.88,33.46,1862.66,326.0
2022-01-06 19:00:00,33.44,33.13,33.28,1810.74,366.0
2022-01-06 20:00:00,33.41,32.77,33.0,4009.22,414.0
2022-01-06 21:00:00,33.16,32.96,33.01,1078.66,163.0
2022-01-06 22:00:00,33.21,32.93,33.18,630.89,122.0
2022-01-06 23:00:00,33.24,32.94,33.1,1105.96,238.0
2022-01-07 00:00:00,33.2,32.66,32.73,1304.01,300.0
2022-01-07 01:00:00,32.98,32.58,32.91,409.04,154.0
2022-01-07 02:00:00,33.02,32.6,32.63,908.51,179.0
2022-01-07 03:00:00,32.61,30.78,31.06,6936.87,1053.0
2022-01-07 04:00:00,31.33,30.06,31.16,30499.21,1271.0
2022-01-07 05:00:00,31.41,30.92,31.24,4239.05,667.0
2022-01-07 06:00:00,31.3,30.54,30.69,3242.01,684.0
2022-01-07 07:00:00,31.07,30.25,30.99,3739.63,580.0
2022-01-07 08:00:00,31.86,30.89,31.56,4034.12,813.0
2022-01-07 09:00:00,31.88,31.5,31.71,1513.04,456.0
2022-01-07 10:00:00,31.87,31.32,31.32,2624.43,505.0
2022-01-07 11:00:00,31.55,31.2,31.34,2836.17,338.0
2022-01-07 12:00:00,31.91,31.36,31.64,4213.24,711.0
2022-01-07 13:00:00,31.74,30.35,30.91,4431.9,999.0
2022-01-07 14:00:00,31.65,30.78,31.54,2271.61,665.0
2022-01-07 15:00:00,31.56,30.13,30.9,7783.77,919.0
2022-01-07 16:00:00,31.89,30.43,31.89,6190.68,1285.0
2022-01-07 17:00:00,31.89,31.5,31.8,1542.18,263.0
2022-01-07 18:00:00,31.82,31.34,31.44,1072.42,219.0
2022-01-07 19:00:00,31.86,31.33,31.64,2091.5,342.0
2022-01-07 20:00:00,31.85,31.41,31.72,1478.25,341.0
2022-01-07 21:00:00,31.88,31.02,31.28,11285.12,1779.0
2022-01-07 22:00:00,31.26,30.55,30.81,5264.59,543.0
2022-01-07 23:00:00,31.03,30.66,30.98,1373.3,179.0
2022-01-08 00:00:00,31.62,30.86,31.56,561.4,160.0
2022-01-08 01:00:00,31.87,31.52,31.54,1297.48,219.0
2022-01-08 02:00:00,31.54,31.18,31.54,914.04,222.0
2022-01-08 03:00:00,31.6,31.17,31.59,458.24,106.0
2022-01-08 04:00:00,31.9,31.58,31.71,904.1,177.0
2022-01-08 05:00:00,31.72,31.5,31.66,911.64,214.0
2022-01-08 06:00:00,31.82,31.4,31.82,1151.63,232.0
2022-01-08 07:00:00,31.88,31.62,31.81,630.68,124.0
2022-01-08 08:00:00,32.24,31.83,32.01,3197.92,772.0
2022-01-08 09:00:00,32.09,31.79,31.86,1590.73,320.0
