open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,9.211,9.09,9.186,3447.0,234.0
2022-01-01 01:00:00,9.403,9.172,9.229,19340.7,1068.0
2022-01-01 02:00:00,9.233,9.194,9.199,1567.3,163.0
2022-01-01 03:00:00,9.206,9.153,9.169,1790.0,132.0
2022-01-01 04:00:00,9.169,9.072,9.16,4726.5,253.0
2022-01-01 05:00:00,9.352,9.098,9.255,10479.0,534.0
2022-01-01 06:00:00,9.267,9.193,9.201,3174.2,182.0
2022-01-01 07:00:00,9.233,9.158,9.233,3111.9,178.0
2022-01-01 08:00:00,9.253,9.177,9.202,2717.4,134.0
2022-01-01 09:00:00,9.326,9.185,9.31,3800.7,223.0
2022-01-01 10:00:00,9.499,9.154,9.246,43203.7,2525.0
2022-01-01 11:00:00,9.319,9.1,9.103,9541.2,438.0
2022-01-01 12:00:00,9.172,9.108,9.157,1568.1,141.0
2022-01-01 13:00:00,9.18,9.144,9.167,2950.7,180.0
2022-01-01 14:00:00,9.172,9.116,9.147,3397.8,225.0
2022-01-01 15:00:00,9.264,9.12,9.175,5627.1,305.0
2022-01-01 16:00:00,9.222,9.14,9.182,2647.3,209.0
2022-01-01 17:00:00,9.271,9.182,9.229,3668.8,220.0
2022-01-01 18:00:00,9.294,9.194,9.217,5122.2,317.0
2022-01-01 19:00:00,9.254,9.186,9.199,5310.4,184.0
2022-01-01 20:00:00,9.277,9.19,9.254,2312.0,158.0
2022-01-01 21:00:00,9.391,9.254,9.294,3755.9,341.0
2022-01-01 22:00:00,9.422,9.25,9.411,4136.4,257.0
2022-01-01 23:00:00,9.394,9.283,9.333,4071.7,244.0
2022-01-02 00:00:00,9.43,9.254,9.34,8511.8,496.0
2022-01-02 01:00:00,9.355,9.266,9.345,3742.0,208.0
2022-01-02 02:00:00,9.387,9.315,9.347,1895.5,148.0
2022-01-02 03:00:00,9.387,9.292,9.332,2880.0,167.0
2022-01-02 04:00:00,9.352,9.183,9.183,3071.6,239.0
2022-01-02 05:00:00,9.257,9.183,9.25,5614.7,245.0
2022-01-02 06:00:00,9.261,9.232,9.251,1481.4,141.0
2022-01-02 07:00:00,9.287,9.235,9.273,1043.3,109.0
2022-01-02 08:00:00,9.349,9.22,9.324,2940.9,197.0
2022-01-02 09:00:00,9.387,9.302,9.329,3120.9,202.0
2022-01-02 10:00:00,9.342,9.24,9.293,13240.4,432.0
2022-01-02 11:00:00,9.373,9.271,9.346,8509.2,221.0
2022-01-02 12:00:00,9.43,9.276,9.41,5806.0,403.0
2022-01-02 13:00:00,9.424,9.325,9.382,4259.3,337.0
2022-01-02 14:00:00,9.404,9.337,9.364,4462.8,206.0
2022-01-02 15:00:00,9.481,9.364,9.477,8521.3,537.0
2022-01-02 16:00:00,9.561,9.418,9.517,9317.4,519.0
2022-01-02 17:00:00,9.568,9.471,9.492,7066.9,410.0
2022-01-02 18:00:00,9.49,9.285,9.428,7350.2,602.0
2022-01-02 19:00:00,9.533,9.416,9.528,11444.4,481.0
2022-01-02 20:00:00,10.164,9.453,9.453,47913.3,2115.0
2022-01-02 21:00:00,9.653,9.383,9.453,14575.6,1050.0
2022-01-02 22:00:00,9.489,9.438,9.443,2587.0,194.0
2022-01-02 23:00:00,9.543,9.345,9.488,14340.9,692.0
2022-01-03 00:00:00,9.508,9.378,9.419,6092.9,244.0
2022-01-03 01:00:00,9.408,9.365,9.404,1557.5,174.0
2022-01-03 02:00:00,9.402,9.356,9.371,7182.4,257.0
2022-01-03 03:00:00,9.402,9.237,9.311,14364.8,482.0
2022-01-03 04:00:00,9.353,9.284,9.285,2747.6,192.0
2022-01-03 05:00:00,9.348,9.231,9.319,5681.7,393.0
2022-01-03 06:00:00,9.34,9.236,9.266,2930.1,212.0
2022-01-03 07:00:00,9.329,9.254,9.31,2385.8,142.0
2022-01-03 08:00:00,9.338,9.279,9.283,3731.5,240.0
2022-01-03 09:00:00,9.326,9.184,9.323,13972.5,703.0
2022-01-03 10:00:00,9.433,9.31,9.419,5287.0,386.0
2022-01-03 11:00:00,9.49,9.42,9.462,6254.4,523.0
2022-01-03 12:00:00,9.48,9.357,9.39,4577.5,411.0
2022-01-03 13:00:00,9.456,9.379,9.44,2183.4,226.0
2022-01-03 14:00:00,9.44,9.356,9.376,6039.1,330.0
2022-01-03 15:00:00,9.476,9.356,9.385,4983.4,379.0
2022-01-03 16:00:00,9.433,9.231,9.264,5731.6,495.0
2022-01-03 17:00:00,9.36,9.254,9.285,7220.3,456.0
2022-01-03 18:00:00,9.341,9.232,9.268,6338.3,351.0
2022-01-03 19:00:00,9.262,9.123,9.149,11375.3,634.0
2022-01-03 20:00:00,9.189,9.026,9.157,19869.9,906.0
2022-01-03 21:00:00,9.228,9.119,9.131,9166.8,605.0
2022-01-03 22:00:00,9.201,9.116,9.177,1855.1,161.0
2022-01-03 23:00:00,9.324,9.181,9.271,8986.2,434.0
2022-01-04 00:00:00,9.361,9.148,9.15,5004.5,489.0
2022-01-04 01:00:00,9.255,9.146,9.175,1662.8,162.0
2022-01-04 02:00:00,9.292,9.12,9.285,8214.6,442.0
2022-01-04 03:00:00,9.339,9.28,9.297,1773.2,192.0
2022-01-04 04:00:00,9.3,9.15,9.19,3168.3,326.0
2022-01-04 05:00:00,9.221,9.146,9.183,5170.1,189.0
2022-01-04 06:00:00,9.283,9.158,9.26,3265.4,322.0
2022-01-04 07:00:00,9.3,9.236,9.256,6291.5,300.0
2022-01-04 08:00:00,9.338,9.246,9.262,3451.9,389.0
2022-01-04 09:00:00,9.312,9.232,9.239,4559.1,327.0
2022-01-04 10:00:00,9.338,9.229,9.309,6844.0,493.0
2022-01-04 11:00:00,9.347,9.27,9.319,6375.4,400.0
2022-01-04 12:00:00,9.344,9.227,9.257,6242.6,460.0
2022-01-04 13:00:00,9.31,9.198,9.285,11505.8,543.0
2022-01-04 14:00:00,9.436,9.267,9.385,7235.5,763.0
2022-01-04 15:00:00,9.417,9.245,9.261,10133.1,957.0
2022-01-04 16:00:00,9.338,9.236,9.27,14365.6,775.0
2022-01-04 17:00:00,9.37,9.206,9.24,12643.7,1311.0
2022-01-04 18:00:00,9.29,8.986,9.06,15197.8,1347.0
2022-01-04 19:00:00,9.252,9.012,9.126,8730.5,1229.0
2022-01-04 20:00:00,9.193,9.1,9.144,2972.2,449.0
2022-01-04 21:00:00,9.209,9.114,9.19,5066.5,339.0
2022-01-04 22:00:00,9.193,9.095,9.11,4080.6,203.0
2022-01-04 23:00:00,9.153,9.022,9.046,4519.2,427.0
2022-01-05 00:00:00,9.225,9.002,9.122,12559.3,1076.0
2022-01-05 01:00:00,9.241,9.049,9.092,17181.3,1579.0
2022-01-05 02:00:00,9.262,9.094,9.149,13711.6,1097.0
2022-01-05 03:00:00,9.26,9.131,9.197,4909.1,629.0
2022-01-05 04:00:00,9.256,9.151,9.214,10516.2,754.0
2022-01-05 05:00:00,9.295,9.2,9.201,5907.2,624.0
2022-01-05 06:00:00,9.276,9.172,9.207,8369.8,643.0
2022-01-05 07:00:00,9.256,9.191,9.24,2686.0,266.0
2022-01-05 08:00:00,9.321,9.207,9.301,8833.2,775.0
2022-01-05 09:00:00,9.501,9.268,9.367,24592.9,1639.0
2022-01-05 10:00:00,9.386,9.269,9.368,8334.1,721.0
2022-01-05 11:00:00,9.38,9.16,9.199,13039.7,1046.0
2022-01-05 12:00:00,9.268,9.103,9.252,12544.6,1208.0
2022-01-05 13:00:00,9.489,9.182,9.481,29188.4,2264.0
2022-01-05 14:00:00,10.706,9.413,9.712,675265.8,22041.0
2022-01-05 15:00:00,10.27,9.636,9.772,121746.1,6787.0
2022-01-05 16:00:00,9.907,9.6,9.617,41715.3,1979.0
2022-01-05 17:00:00,9.722,9.419,9.505,25406.3,1867.0
2022-01-05 18:00:00,9.523,9.289,9.35,50399.1,3457.0
2022-01-05 19:00:00,9.392,8.911,8.988,43561.6,2982.0
2022-01-05 20:00:00,9.164,8.758,9.132,41448.2,2224.0
2022-01-05 21:00:00,10.872,9.115,10.102,577383.8,25962.0
2022-01-05 22:00:00,12.806,10.053,11.07,1538173.2,65812.0
2022-01-05 23:00:00,12.12,10.85,11.025,1012534.5,39211.0
2022-01-06 00:00:00,11.191,10.3,10.423,430366.4,16850.0
2022-01-06 01:00:00,10.7,10.092,10.267,176669.8,6939.0
2022-01-06 02:00:00,10.383,9.962,10.126,108701.9,5156.0
2022-01-06 03:00:00,10.479,9.97,10.4,126501.1,5754.0
2022-01-06 04:00:00,10.589,9.86,10.217,160846.8,6849.0
2022-01-06 05:00:00,10.291,9.962,10.123,119757.4,4230.0
2022-01-06 06:00:00,10.142,9.816,9.83,91164.5,3692.0
2022-01-06 07:00:00,10.214,9.773,10.141,96699.8,3496.0
2022-01-06 08:00:00,10.145,9.673,9.762,95651.0,4152.0
2022-01-06 09:00:00,9.77,9.473,9.496,75799.8,3692.0
2022-01-06 10:00:00,9.671,9.378,9.46,133034.0,5023.0
2022-01-06 11:00:00,9.6,9.231,9.301,102621.0,4422.0
2022-01-06 12:00:00,9.351,9.126,9.241,70248.0,3810.0
2022-01-06 13:00:00,9.401,9.17,9.21,58150.6,2967.0
2022-01-06 14:00:00,9.241,8.997,9.069,96038.4,4099.0
2022-01-06 15:00:00,9.274,8.993,9.175,100724.1,2776.0
2022-01-06 16:00:00,9.279,9.008,9.1,33762.4,1881.0
2022-01-06 17:00:00,9.165,9.01,9.104,25313.9,1563.0
2022-01-06 18:00:00,10.658,9.042,10.562,427218.8,16435.0
2022-01-06 19:00:00,11.5,9.981,10.799,1054771.7,48149.0
2022-01-06 20:00:00,11.0,10.3,10.511,456164.5,22514.0
2022-01-06 21:00:00,10.675,9.862,9.88,174343.5,7634.0
2022-01-06 22:00:00,10.067,9.857,9.876,51973.1,2666.0
2022-01-06 23:00:00,9.887,9.702,9.756,49436.5,2325.0
2022-01-07 00:00:00,10.369,9.74,9.871,128643.4,5362.0
2022-01-07 01:00:00,9.969,9.554,9.736,54588.7,2371.0
2022-01-07 02:00:00,9.869,9.621,9.719,52174.6,1878.0
2022-01-07 03:00:00,9.848,9.15,9.323,156197.6,5590.0
2022-01-07 04:00:00,9.568,9.05,9.525,59595.5,3865.0
2022-01-07 05:00:00,9.618,9.265,9.344,136503.0,3900.0
2022-01-07 06:00:00,9.367,9.065,9.152,31243.6,2070.0
2022-01-07 07:00:00,9.57,9.02,9.392,88698.1,4076.0
2022-01-07 08:00:00,9.873,9.357,9.695,111357.6,4187.0
2022-01-07 09:00:00,9.958,9.563,9.565,95251.5,3238.0
2022-01-07 10:00:00,9.659,9.529,9.552,23940.3,1237.0
2022-01-07 11:00:00,9.871,9.556,9.731,56779.0,2447.0
2022-01-07 12:00:00,10.0,9.641,9.98,75267.0,2552.0
2022-01-07 13:00:00,10.0,9.507,9.624,98981.9,4414.0
2022-01-07 14:00:00,10.714,9.503,10.49,320502.4,12971.0
2022-01-07 15:00:00,10.65,9.615,9.904,321443.2,13779.0
2022-01-07 16:00:00,10.3,9.762,10.102,152231.1,6528.0
2022-01-07 17:00:00,10.282,9.868,10.112,93701.0,5014.0
2022-01-07 18:00:00,10.245,9.702,9.794,128373.5,6493.0
2022-01-07 19:00:00,9.874,9.656,9.807,53151.3,2850.0
2022-01-07 20:00:00,9.899,9.718,9.728,43483.7,2367.0
2022-01-07 21:00:00,9.785,9.524,9.611,43832.5,2196.0
2022-01-07 22:00:00,9.597,9.347,9.381,28796.6,1499.0
2022-01-07 23:00:00,9.43,9.323,9.39,20523.4,1112.0
2022-01-08 00:00:00,9.613,9.363,9.541,34329.5,2045.0
2022-01-08 01:00:00,9.594,9.434,9.493,22839.6,1136.0
2022-01-08 02:00:00,9.572,9.382,9.472,46925.0,1711.0
2022-01-08 03:00:00,9.558,9.361,9.545,14518.9,1128.0
2022-01-08 04:00:00,9.696,9.546,9.589,20360.2,1191.0
2022-01-08 05:00:00,9.78,9.542,9.778,20757.6,1104.0
2022-01-08 06:00:00,10.098,9.686,9.728,106626.4,4749.0
2022-01-08 07:00:00,9.78,9.669,9.73,19693.0,942.0
2022-01-08 08:00:00,10.037,9.722,9.893,117457.9,3825.0
2022-01-08 09:00:00,10.047,9.827,9.833,164088.5,3416.0
2022-01-08 10:00:00,9.875,9.679,9.705,25647.9,1384.0
2022-01-08 11:00:00,9.904,9.63,9.723,80683.8,2345.0
2022-01-08 12:00:00,9.83,9.551,9.595,51170.2,2040.0
