open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,15.26,15.05,15.23,456.71,74.0
2022-01-01 01:00:00,15.34,15.24,15.27,642.58,73.0
2022-01-01 02:00:00,15.32,15.14,15.18,1283.4,149.0
2022-01-01 03:00:00,15.15,15.05,15.11,1989.44,176.0
2022-01-01 04:00:00,15.08,14.95,14.95,4880.14,150.0
2022-01-01 05:00:00,15.12,14.86,14.97,3902.99,247.0
2022-01-01 06:00:00,15.01,14.81,14.83,1672.53,167.0
2022-01-01 07:00:00,14.97,14.78,14.95,2306.71,191.0
2022-01-01 08:00:00,15.03,14.92,14.94,997.13,119.0
2022-01-01 09:00:00,14.97,14.86,14.9,537.26,64.0
2022-01-01 10:00:00,14.97,14.78,14.85,1061.39,118.0
2022-01-01 11:00:00,14.94,14.82,14.86,1507.19,185.0
2022-01-01 12:00:00,14.97,14.86,14.96,667.56,95.0
2022-01-01 13:00:00,15.03,14.77,14.89,4566.9,284.0
2022-01-01 14:00:00,14.97,14.83,14.89,1685.57,140.0
2022-01-01 15:00:00,15.02,14.85,14.94,948.3,103.0
2022-01-01 16:00:00,15.01,14.95,14.97,1778.87,138.0
2022-01-01 17:00:00,15.05,14.91,15.0,2936.36,294.0
2022-01-01 18:00:00,15.25,15.0,15.17,3274.65,328.0
2022-01-01 19:00:00,15.24,15.04,15.06,2141.63,182.0
2022-01-01 20:00:00,15.19,15.05,15.1,953.59,137.0
2022-01-01 21:00:00,15.14,15.0,15.02,712.0,85.0
2022-01-01 22:00:00,15.13,15.02,15.06,579.76,67.0
2022-01-01 23:00:00,15.23,15.05,15.23,482.47,55.0
2022-01-02 00:00:00,15.24,15.04,15.07,803.14,120.0
2022-01-02 01:00:00,15.07,15.01,15.06,504.52,92.0
2022-01-02 02:00:00,15.09,14.94,15.0,797.07,111.0
2022-01-02 03:00:00,15.12,14.99,15.11,883.57,100.0
2022-01-02 04:00:00,15.15,14.88,14.91,680.76,87.0
2022-01-02 05:00:00,14.97,14.9,14.97,801.0,58.0
2022-01-02 06:00:00,15.01,14.96,15.01,504.76,67.0
2022-01-02 07:00:00,15.12,14.98,15.11,788.49,115.0
