open_time,high,low,close,volume,number_of_trades
2022-01-01 00:00:00,15.32,15.14,15.32,2958.32,200.0
2022-01-01 01:00:00,15.4,15.27,15.3,3058.89,201.0
2022-01-01 02:00:00,15.33,15.29,15.32,1149.59,93.0
2022-01-01 03:00:00,15.35,15.2,15.28,1971.39,122.0
2022-01-01 04:00:00,15.31,15.22,15.25,1373.37,112.0
2022-01-01 05:00:00,15.49,15.24,15.37,3611.42,279.0
2022-01-01 06:00:00,15.4,15.29,15.29,1464.53,111.0
2022-01-01 07:00:00,15.36,15.25,15.34,2384.37,145.0
2022-01-01 08:00:00,15.4,15.32,15.35,3548.4,187.0
2022-01-01 09:00:00,15.62,15.35,15.57,17635.39,542.0
2022-01-01 10:00:00,15.66,15.41,15.49,8226.49,349.0
2022-01-01 11:00:00,15.54,15.42,15.44,2938.84,166.0
2022-01-01 12:00:00,15.58,15.42,15.57,2503.5,169.0
2022-01-01 13:00:00,15.58,15.49,15.5,2017.47,144.0
2022-01-01 14:00:00,15.59,15.48,15.54,4506.65,224.0
2022-01-01 15:00:00,15.75,15.52,15.67,5204.72,359.0
2022-01-01 16:00:00,15.85,15.64,15.7,11929.96,584.0
2022-01-01 17:00:00,15.84,15.69,15.78,8177.55,336.0
2022-01-01 18:00:00,16.02,15.75,15.95,11486.25,736.0
2022-01-01 19:00:00,16.21,15.93,16.13,14997.81,716.0
2022-01-01 20:00:00,16.15,16.05,16.09,4608.0,318.0
2022-01-01 21:00:00,16.16,16.08,16.11,2858.36,213.0
2022-01-01 22:00:00,16.2,16.08,16.1,2200.66,205.0
2022-01-01 23:00:00,16.1,15.95,16.08,5009.43,341.0
2022-01-02 00:00:00,16.08,15.65,15.91,11403.23,579.0
2022-01-02 01:00:00,15.91,15.71,15.73,6399.79,396.0
2022-01-02 02:00:00,15.76,15.69,15.7,2389.87,146.0
2022-01-02 03:00:00,15.77,15.6,15.7,4737.49,199.0
2022-01-02 04:00:00,15.74,15.46,15.51,14042.47,482.0
2022-01-02 05:00:00,15.61,15.49,15.61,2179.54,141.0
2022-01-02 06:00:00,15.71,15.56,15.66,10249.14,356.0
2022-01-02 07:00:00,16.06,15.65,15.82,9015.79,541.0
2022-01-02 08:00:00,15.88,15.73,15.81,6099.42,278.0
2022-01-02 09:00:00,15.91,15.74,15.75,4843.17,288.0
2022-01-02 10:00:00,15.75,15.71,15.72,2164.03,131.0
2022-01-02 11:00:00,15.78,15.72,15.74,1899.03,125.0
2022-01-02 12:00:00,15.77,15.64,15.74,3821.94,270.0
2022-01-02 13:00:00,15.74,15.62,15.67,4049.86,248.0
2022-01-02 14:00:00,15.83,15.61,15.81,7110.48,393.0
2022-01-02 15:00:00,16.15,15.82,15.96,8229.95,476.0
2022-01-02 16:00:00,16.17,15.89,16.05,8913.58,577.0
2022-01-02 17:00:00,16.1,15.88,15.9,5411.98,352.0
2022-01-02 18:00:00,16.09,15.72,15.93,15708.4,771.0
