open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,110.63,108.51,110.42,7505.743,4940.0
2024-01-01 01:00:00,111.63,110.06,111.45,4681.48,3668.0
2024-01-01 02:00:00,111.47,110.04,110.32,3905.827,2650.0
2024-01-01 03:00:00,110.35,108.53,108.73,5228.551,4625.0
2024-01-01 04:00:00,109.54,107.7,108.77,6170.25,5382.0
2024-01-01 05:00:00,109.42,107.82,108.48,4040.369,2730.0
2024-01-01 06:00:00,109.42,108.39,109.05,2458.214,1692.0
2024-01-01 07:00:00,109.7,109.06,109.62,1689.875,1382.0
2024-01-01 08:00:00,110.3,109.26,109.82,5021.756,3043.0
2024-01-01 09:00:00,110.24,109.56,109.98,3433.722,2144.0
2024-01-01 10:00:00,110.36,109.86,110.27,3725.171,2165.0
2024-01-01 11:00:00,110.67,109.92,110.67,3113.742,2104.0
2024-01-01 12:00:00,111.56,110.28,111.23,3733.135,2922.0
2024-01-01 13:00:00,111.73,110.77,111.15,4268.054,3246.0
2024-01-01 14:00:00,111.58,110.47,110.47,5684.48,3642.0
2024-01-01 15:00:00,112.97,109.86,112.46,17048.208,11021.0
2024-01-01 16:00:00,113.28,111.93,112.43,8563.085,6991.0
2024-01-01 17:00:00,112.91,111.82,112.66,3047.613,2261.0
2024-01-01 18:00:00,113.97,112.66,113.57,8748.041,5318.0
2024-01-01 19:00:00,114.4,113.29,113.83,3738.696,2600.0
2024-01-01 20:00:00,114.63,113.34,114.12,11809.865,6370.0
2024-01-01 21:00:00,114.31,113.07,113.91,8427.159,4389.0
2024-01-01 22:00:00,114.95,113.4,114.5,7256.374,3719.0
2024-01-01 23:00:00,116.65,114.49,116.17,11063.537,4806.0
2024-01-02 00:00:00,118.56,115.52,118.01,21126.952,12338.0
2024-01-02 01:00:00,119.9,117.94,119.3,22065.724,13463.0
2024-01-02 02:00:00,120.0,118.27,119.36,19034.305,8016.0
2024-01-02 03:00:00,119.51,117.42,118.02,11791.92,5895.0
2024-01-02 04:00:00,119.3,116.82,117.54,18904.762,6108.0
2024-01-02 05:00:00,117.75,116.12,116.15,5261.052,3528.0
2024-01-02 06:00:00,116.95,115.81,116.06,4501.671,3554.0
2024-01-02 07:00:00,116.51,115.67,115.99,4720.68,3008.0
2024-01-02 08:00:00,119.0,115.79,117.97,15775.987,9206.0
2024-01-02 09:00:00,118.37,117.26,117.72,3834.377,2840.0
2024-01-02 10:00:00,117.72,116.27,116.68,4421.593,3763.0
2024-01-02 11:00:00,116.87,115.25,116.03,4745.959,4465.0
2024-01-02 12:00:00,116.63,115.14,115.25,5650.501,4111.0
2024-01-02 13:00:00,115.61,115.0,115.22,4732.843,2921.0
2024-01-02 14:00:00,115.5,111.9,112.51,15194.232,8911.0
2024-01-02 15:00:00,113.4,111.5,112.61,9686.146,4884.0
2024-01-02 16:00:00,113.31,111.46,112.98,15226.362,5904.0
2024-01-02 17:00:00,112.97,110.77,111.88,10929.161,4100.0
2024-01-02 18:00:00,112.43,111.45,111.6,7022.966,3273.0
2024-01-02 19:00:00,112.21,110.93,111.64,6570.255,3336.0
2024-01-02 20:00:00,112.58,110.72,110.81,6588.522,3682.0
2024-01-02 21:00:00,111.06,108.57,109.79,16548.79,9109.0
2024-01-02 22:00:00,110.6,109.17,110.08,6175.448,3297.0
2024-01-02 23:00:00,110.66,109.59,110.28,5330.942,2424.0
2024-01-03 00:00:00,111.7,110.16,110.8,12884.451,6507.0
2024-01-03 01:00:00,111.13,110.38,110.96,6168.383,2847.0
2024-01-03 02:00:00,111.17,110.22,110.75,6472.658,3556.0
2024-01-03 03:00:00,111.15,109.69,110.55,8278.528,4328.0
2024-01-03 04:00:00,111.1,110.39,111.04,5400.821,2870.0
2024-01-03 05:00:00,112.48,110.99,112.0,7316.056,4433.0
2024-01-03 06:00:00,112.9,111.59,112.46,5223.719,3488.0
2024-01-03 07:00:00,112.68,110.65,111.07,4690.503,4427.0
2024-01-03 08:00:00,112.28,111.1,112.07,3113.879,2768.0
2024-01-03 09:00:00,113.04,111.94,112.36,4818.781,3267.0
2024-01-03 10:00:00,113.08,111.85,112.38,8309.357,3761.0
