open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,2.624,2.565,2.616,6870.2,460.0
2024-01-01 01:00:00,2.625,2.599,2.61,1649.31,112.0
2024-01-01 02:00:00,2.611,2.594,2.609,1943.17,119.0
2024-01-01 03:00:00,2.613,2.591,2.591,2391.68,119.0
2024-01-01 04:00:00,2.596,2.574,2.579,3559.9,131.0
2024-01-01 05:00:00,2.586,2.565,2.565,1690.45,77.0
2024-01-01 06:00:00,2.579,2.565,2.573,2281.97,94.0
2024-01-01 07:00:00,2.584,2.571,2.582,6258.22,109.0
2024-01-01 08:00:00,2.599,2.571,2.591,9990.26,225.0
2024-01-01 09:00:00,2.609,2.583,2.603,20328.15,376.0
2024-01-01 10:00:00,2.603,2.593,2.597,5659.8,136.0
2024-01-01 11:00:00,2.611,2.588,2.604,11324.27,383.0
2024-01-01 12:00:00,2.64,2.6,2.615,22360.7,423.0
2024-01-01 13:00:00,2.633,2.614,2.63,1809.54,102.0
2024-01-01 14:00:00,2.638,2.614,2.633,5501.96,214.0
2024-01-01 15:00:00,2.647,2.62,2.631,12602.05,247.0
2024-01-01 16:00:00,2.64,2.626,2.637,6947.36,188.0
2024-01-01 17:00:00,2.639,2.625,2.626,7927.8,132.0
2024-01-01 18:00:00,2.647,2.627,2.643,17884.72,227.0
2024-01-01 19:00:00,2.656,2.636,2.654,12015.6,166.0
2024-01-01 20:00:00,2.657,2.637,2.645,8666.02,221.0
2024-01-01 21:00:00,2.649,2.63,2.635,5302.4,160.0
2024-01-01 22:00:00,2.64,2.633,2.635,2020.28,64.0
2024-01-01 23:00:00,2.65,2.635,2.64,5019.62,145.0
2024-01-02 00:00:00,2.656,2.633,2.656,3016.72,180.0
2024-01-02 01:00:00,2.667,2.65,2.655,4004.82,224.0
2024-01-02 02:00:00,2.672,2.655,2.664,3046.94,153.0
2024-01-02 03:00:00,2.685,2.644,2.669,22415.05,345.0
2024-01-02 04:00:00,2.672,2.66,2.667,4511.86,192.0
2024-01-02 05:00:00,2.71,2.664,2.676,15227.83,308.0
2024-01-02 06:00:00,2.7,2.671,2.678,9394.6,323.0
2024-01-02 07:00:00,2.69,2.673,2.673,7043.01,141.0
2024-01-02 08:00:00,2.688,2.664,2.684,6962.26,210.0
2024-01-02 09:00:00,2.693,2.661,2.667,20816.62,313.0
2024-01-02 10:00:00,2.673,2.659,2.664,7485.14,134.0
