open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,38.97,38.49,38.94,76436.96,5158.0
2024-01-01 01:00:00,39.65,38.83,39.39,73703.55,5835.0
2024-01-01 02:00:00,39.39,38.96,39.04,49535.61,3499.0
2024-01-01 03:00:00,39.07,38.4,38.51,61336.55,4666.0
2024-01-01 04:00:00,38.64,38.0,38.21,132417.65,7138.0
2024-01-01 05:00:00,38.53,38.06,38.11,66744.6,4214.0
2024-01-01 06:00:00,38.42,38.08,38.33,64183.38,3916.0
2024-01-01 07:00:00,38.68,38.19,38.53,46433.42,3561.0
2024-01-01 08:00:00,38.78,38.46,38.77,43327.27,2900.0
2024-01-01 09:00:00,39.79,38.68,39.63,155961.01,9987.0
2024-01-01 10:00:00,39.89,39.5,39.52,126364.9,6832.0
2024-01-01 11:00:00,39.73,39.12,39.52,119879.98,6424.0
2024-01-01 12:00:00,39.81,39.39,39.67,91380.25,4868.0
2024-01-01 13:00:00,39.76,39.49,39.58,87276.68,5582.0
2024-01-01 14:00:00,39.76,39.3,39.53,102418.01,6431.0
2024-01-01 15:00:00,40.28,39.46,40.15,159210.7,9377.0
2024-01-01 16:00:00,40.38,39.9,39.99,169227.43,9535.0
2024-01-01 17:00:00,40.15,39.88,40.06,61329.46,3874.0
2024-01-01 18:00:00,40.63,40.06,40.5,165441.69,8621.0
2024-01-01 19:00:00,41.08,40.51,41.05,198883.31,10285.0
2024-01-01 20:00:00,41.49,41.01,41.19,210691.67,11649.0
2024-01-01 21:00:00,41.44,40.96,41.18,181047.49,8489.0
2024-01-01 22:00:00,41.31,40.75,41.3,86745.26,5556.0
2024-01-01 23:00:00,42.0,41.2,41.94,204149.48,12248.0
2024-01-02 00:00:00,42.51,41.59,42.49,269850.27,15972.0
2024-01-02 01:00:00,42.83,42.11,42.14,245810.79,15913.0
2024-01-02 02:00:00,42.35,42.02,42.1,135806.6,7085.0
2024-01-02 03:00:00,42.18,41.73,42.08,124098.93,8280.0
2024-01-02 04:00:00,42.47,41.9,42.4,113058.24,6939.0
2024-01-02 05:00:00,42.79,42.33,42.76,124148.45,7297.0
2024-01-02 06:00:00,42.76,42.31,42.33,127708.45,6384.0
2024-01-02 07:00:00,43.33,42.32,43.21,234025.01,14625.0
2024-01-02 08:00:00,43.27,42.71,43.13,188921.47,10392.0
2024-01-02 09:00:00,43.44,42.89,43.23,175147.86,10022.0
2024-01-02 10:00:00,43.26,42.51,42.87,164302.45,10434.0
2024-01-02 11:00:00,42.97,41.98,42.28,216331.26,14121.0
2024-01-02 12:00:00,42.5,41.74,41.75,173426.03,10936.0
2024-01-02 13:00:00,42.06,41.74,41.77,96477.98,6295.0
2024-01-02 14:00:00,41.98,40.62,40.9,283116.99,21257.0
2024-01-02 15:00:00,41.55,40.51,41.15,231191.42,16091.0
