open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,0.795,0.77,0.792,762098.5,1645.0
2024-01-01 01:00:00,0.807,0.791,0.8,857608.8,1819.0
2024-01-01 02:00:00,0.813,0.79,0.795,754453.4,2382.0
2024-01-01 03:00:00,0.796,0.781,0.782,570894.2,1213.0
2024-01-01 04:00:00,0.783,0.75,0.768,1108292.1,2545.0
2024-01-01 05:00:00,0.772,0.76,0.763,341092.9,808.0
2024-01-01 06:00:00,0.769,0.759,0.763,453083.9,927.0
2024-01-01 07:00:00,0.767,0.755,0.761,467079.8,1206.0
2024-01-01 08:00:00,0.764,0.751,0.757,668251.6,1305.0
2024-01-01 09:00:00,0.764,0.754,0.759,600694.6,1038.0
2024-01-01 10:00:00,0.766,0.757,0.764,259232.3,622.0
2024-01-01 11:00:00,0.767,0.759,0.767,298138.3,569.0
2024-01-01 12:00:00,0.778,0.766,0.774,652079.8,1300.0
2024-01-01 13:00:00,0.78,0.771,0.777,441437.7,916.0
2024-01-01 14:00:00,0.777,0.765,0.769,812114.2,1488.0
2024-01-01 15:00:00,0.778,0.766,0.777,1013768.3,2255.0
2024-01-01 16:00:00,0.783,0.773,0.779,670137.5,1499.0
2024-01-01 17:00:00,0.787,0.775,0.782,600896.0,1617.0
2024-01-01 18:00:00,0.797,0.782,0.796,510534.7,1393.0
2024-01-01 19:00:00,0.813,0.795,0.813,958155.5,2455.0
2024-01-01 20:00:00,0.814,0.805,0.805,709865.5,1690.0
2024-01-01 21:00:00,0.806,0.8,0.803,325625.2,774.0
2024-01-01 22:00:00,0.804,0.797,0.804,205395.8,493.0
2024-01-01 23:00:00,0.807,0.799,0.8,283759.7,630.0
2024-01-02 00:00:00,0.81,0.796,0.81,607208.3,1695.0
2024-01-02 01:00:00,0.825,0.806,0.822,1207703.8,3159.0
2024-01-02 02:00:00,0.835,0.82,0.829,769577.6,2026.0
2024-01-02 03:00:00,0.833,0.816,0.833,537228.6,1152.0
2024-01-02 04:00:00,0.845,0.827,0.84,736834.5,2073.0
2024-01-02 05:00:00,0.841,0.824,0.827,350946.4,921.0
2024-01-02 06:00:00,0.848,0.824,0.827,1134053.4,3038.0
2024-01-02 07:00:00,0.852,0.824,0.847,1190332.6,2983.0
2024-01-02 08:00:00,0.858,0.842,0.846,945952.1,2543.0
2024-01-02 09:00:00,0.849,0.832,0.835,1144773.3,2434.0
2024-01-02 10:00:00,0.84,0.83,0.837,474148.0,1167.0
2024-01-02 11:00:00,0.852,0.836,0.84,876505.7,2310.0
2024-01-02 12:00:00,0.865,0.834,0.835,2123641.6,5662.0
2024-01-02 13:00:00,0.843,0.827,0.83,684005.9,1556.0
2024-01-02 14:00:00,0.834,0.809,0.814,1575579.0,3949.0
2024-01-02 15:00:00,0.818,0.803,0.813,842473.2,2145.0
2024-01-02 16:00:00,0.817,0.807,0.815,654521.8,1631.0
2024-01-02 17:00:00,0.82,0.81,0.818,378222.2,1153.0
2024-01-02 18:00:00,0.822,0.815,0.819,315816.2,806.0
2024-01-02 19:00:00,0.821,0.809,0.811,293724.0,892.0
2024-01-02 20:00:00,0.818,0.803,0.804,322329.4,709.0
2024-01-02 21:00:00,0.812,0.8,0.811,189083.1,462.0
2024-01-02 22:00:00,0.814,0.806,0.812,131017.6,399.0
2024-01-02 23:00:00,0.815,0.809,0.811,142206.8,376.0
2024-01-03 00:00:00,0.82,0.802,0.819,654082.5,1449.0
2024-01-03 01:00:00,0.828,0.816,0.824,434660.6,957.0
2024-01-03 02:00:00,0.85,0.821,0.848,1483741.4,3890.0
2024-01-03 03:00:00,0.852,0.837,0.846,1094481.4,2747.0
2024-01-03 04:00:00,0.869,0.843,0.868,1657919.8,4350.0
2024-01-03 05:00:00,0.87,0.856,0.868,937180.8,2477.0
2024-01-03 06:00:00,0.889,0.866,0.887,1833627.5,4727.0
2024-01-03 07:00:00,0.908,0.855,0.86,5317937.4,15265.0
2024-01-03 08:00:00,0.873,0.86,0.868,1020280.9,2535.0
2024-01-03 09:00:00,0.882,0.863,0.876,816781.5,2010.0
2024-01-03 10:00:00,0.891,0.869,0.881,1309932.2,3381.0
2024-01-03 11:00:00,0.885,0.824,0.832,3627132.3,11118.0
2024-01-03 12:00:00,0.834,0.639,0.778,7227629.6,23308.0
2024-01-03 13:00:00,0.779,0.755,0.763,2762252.1,7463.0
2024-01-03 14:00:00,0.764,0.738,0.744,2022665.5,6407.0
2024-01-03 15:00:00,0.778,0.743,0.777,1722800.1,4909.0
2024-01-03 16:00:00,0.819,0.77,0.807,3144817.0,9622.0
2024-01-03 17:00:00,0.839,0.806,0.837,2013548.3,6043.0
2024-01-03 18:00:00,0.847,0.809,0.821,1512480.4,4986.0
2024-01-03 19:00:00,0.841,0.816,0.819,941868.2,2657.0
2024-01-03 20:00:00,0.827,0.804,0.807,1281686.1,3409.0
2024-01-03 21:00:00,0.835,0.806,0.817,957091.5,3002.0
2024-01-03 22:00:00,0.818,0.8,0.808,435603.1,1406.0
2024-01-03 23:00:00,0.812,0.789,0.807,821098.8,2236.0
2024-01-04 00:00:00,0.81,0.792,0.797,1220787.6,3794.0
2024-01-04 01:00:00,0.799,0.765,0.767,1486557.3,3711.0
2024-01-04 02:00:00,0.793,0.765,0.789,771089.5,2276.0
2024-01-04 03:00:00,0.789,0.771,0.774,820046.1,1890.0
2024-01-04 04:00:00,0.787,0.771,0.783,525947.6,1751.0
2024-01-04 05:00:00,0.793,0.78,0.791,594030.0,1874.0
2024-01-04 06:00:00,0.81,0.791,0.795,1037496.7,2709.0
2024-01-04 07:00:00,0.8,0.768,0.769,964280.7,2912.0
2024-01-04 08:00:00,0.778,0.746,0.752,1241066.8,4389.0
2024-01-04 09:00:00,0.758,0.748,0.752,744810.2,2281.0
2024-01-04 10:00:00,0.754,0.732,0.747,1253786.3,3375.0
2024-01-04 11:00:00,0.75,0.739,0.745,586490.4,1791.0
2024-01-04 12:00:00,0.755,0.74,0.751,780316.7,2342.0
2024-01-04 13:00:00,0.758,0.742,0.753,753914.5,1789.0
2024-01-04 14:00:00,0.767,0.746,0.766,837128.9,2629.0
2024-01-04 15:00:00,0.779,0.759,0.773,1441048.3,4027.0
2024-01-04 16:00:00,0.777,0.726,0.751,4597088.9,7598.0
2024-01-04 17:00:00,0.762,0.748,0.752,615070.0,2195.0
2024-01-04 18:00:00,0.758,0.749,0.757,425323.7,1341.0
2024-01-04 19:00:00,0.765,0.752,0.755,921131.2,2260.0
