open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,0.4264,0.4222,0.4257,228719.0,1044.0
2024-01-01 01:00:00,0.4272,0.4233,0.4272,233369.0,796.0
2024-01-01 02:00:00,0.4268,0.4224,0.4236,103913.0,607.0
2024-01-01 03:00:00,0.424,0.4149,0.4165,439385.0,1307.0
2024-01-01 04:00:00,0.4185,0.405,0.4072,969279.0,3041.0
2024-01-01 05:00:00,0.4113,0.4066,0.407,203393.0,947.0
2024-01-01 06:00:00,0.411,0.4064,0.41,131995.0,809.0
2024-01-01 07:00:00,0.4147,0.409,0.4147,208036.0,1178.0
2024-01-01 08:00:00,0.4165,0.413,0.4154,148886.0,976.0
2024-01-01 09:00:00,0.4261,0.4156,0.424,206230.0,1609.0
2024-01-01 10:00:00,0.429,0.4239,0.4272,180524.0,1411.0
2024-01-01 11:00:00,0.4287,0.4213,0.4217,113360.0,770.0
2024-01-01 12:00:00,0.4226,0.4178,0.4185,138882.0,771.0
2024-01-01 13:00:00,0.4217,0.4177,0.4212,106715.0,694.0
2024-01-01 14:00:00,0.4233,0.4181,0.4231,129716.0,866.0
2024-01-01 15:00:00,0.428,0.4215,0.427,180680.0,939.0
2024-01-01 16:00:00,0.4326,0.4266,0.43,135972.0,1639.0
2024-01-01 17:00:00,0.433,0.428,0.4311,116030.0,895.0
2024-01-01 18:00:00,0.4356,0.4313,0.4327,114134.0,498.0
2024-01-01 19:00:00,0.439,0.432,0.4344,295108.0,1086.0
2024-01-01 20:00:00,0.4358,0.4332,0.4345,126186.0,579.0
2024-01-01 21:00:00,0.4359,0.4321,0.4354,112406.0,433.0
2024-01-01 22:00:00,0.4361,0.4319,0.4343,82153.0,400.0
2024-01-01 23:00:00,0.4368,0.4343,0.435,56789.0,376.0
2024-01-02 00:00:00,0.4405,0.4333,0.4399,161407.0,1577.0
2024-01-02 01:00:00,0.4414,0.4377,0.4411,83596.0,1199.0
2024-01-02 02:00:00,0.4432,0.4392,0.4415,179604.0,1146.0
2024-01-02 03:00:00,0.4427,0.4389,0.4416,370521.0,1054.0
2024-01-02 04:00:00,0.4442,0.4389,0.4425,415333.0,860.0
2024-01-02 05:00:00,0.4452,0.4393,0.4397,309112.0,1026.0
2024-01-02 06:00:00,0.4402,0.4336,0.4342,165232.0,1240.0
2024-01-02 07:00:00,0.4368,0.4325,0.4338,108503.0,919.0
2024-01-02 08:00:00,0.4377,0.4326,0.4349,169134.0,1156.0
2024-01-02 09:00:00,0.4362,0.4328,0.4334,121438.0,795.0
2024-01-02 10:00:00,0.4359,0.4324,0.4355,136104.0,903.0
2024-01-02 11:00:00,0.4417,0.4342,0.4373,284093.0,1930.0
2024-01-02 12:00:00,0.4545,0.4352,0.4468,1115932.0,5004.0
2024-01-02 13:00:00,0.455,0.4214,0.4285,1727764.0,6773.0
2024-01-02 14:00:00,0.4375,0.425,0.4291,695448.0,3094.0
2024-01-02 15:00:00,0.4349,0.4258,0.4268,329914.0,2470.0
2024-01-02 16:00:00,0.4318,0.4262,0.43,116578.0,685.0
2024-01-02 17:00:00,0.4338,0.4287,0.433,174311.0,865.0
