open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,68.95,67.76,68.92,7700.39,3399.0
2024-01-01 01:00:00,69.98,68.71,69.23,5996.45,3059.0
2024-01-01 02:00:00,69.28,68.36,68.37,3347.07,1587.0
2024-01-01 03:00:00,68.62,67.5,67.56,6226.57,2533.0
2024-01-01 04:00:00,67.7,66.66,67.27,16525.85,5293.0
2024-01-01 05:00:00,67.67,67.09,67.23,3899.9,1214.0
2024-01-01 06:00:00,68.95,67.21,68.94,4061.46,2029.0
2024-01-01 07:00:00,69.5,68.16,69.42,8297.89,3783.0
2024-01-01 08:00:00,70.69,69.34,70.32,17604.59,6563.0
2024-01-01 09:00:00,70.5,69.64,70.36,19659.96,4270.0
2024-01-01 10:00:00,70.5,70.01,70.43,7563.45,2575.0
2024-01-01 11:00:00,70.5,70.0,70.21,5977.21,2334.0
2024-01-01 12:00:00,71.8,70.22,70.93,32905.1,8812.0
2024-01-01 13:00:00,71.5,70.63,70.93,7052.5,2597.0
2024-01-01 14:00:00,70.98,70.09,70.42,9567.3,3309.0
2024-01-01 15:00:00,70.65,69.98,70.46,5680.44,2742.0
2024-01-01 16:00:00,70.85,70.1,70.34,6986.29,2847.0
2024-01-01 17:00:00,70.47,70.0,70.16,3556.22,2014.0
2024-01-01 18:00:00,71.2,70.09,71.02,8433.8,2724.0
2024-01-01 19:00:00,71.34,71.02,71.11,4759.63,2007.0
2024-01-01 20:00:00,71.58,70.95,71.05,7205.66,2971.0
2024-01-01 21:00:00,71.25,70.8,71.24,5833.52,1424.0
2024-01-01 22:00:00,71.44,70.83,71.28,4055.69,1249.0
2024-01-01 23:00:00,71.5,71.19,71.37,5962.86,1570.0
2024-01-02 00:00:00,72.23,70.77,72.12,15596.12,5557.0
2024-01-02 01:00:00,72.44,70.88,71.26,12497.24,3904.0
2024-01-02 02:00:00,71.92,71.1,71.9,5754.73,2300.0
2024-01-02 03:00:00,71.95,70.93,71.12,3903.21,1899.0
2024-01-02 04:00:00,71.14,70.77,71.02,4500.93,2042.0
2024-01-02 05:00:00,71.67,70.81,71.03,5428.0,2295.0
2024-01-02 06:00:00,71.31,71.0,71.01,7955.09,1775.0
2024-01-02 07:00:00,71.42,71.0,71.26,5371.96,2021.0
2024-01-02 08:00:00,72.0,71.13,71.77,8111.13,3326.0
2024-01-02 09:00:00,72.92,71.74,72.71,9087.78,4198.0
2024-01-02 10:00:00,72.92,71.59,72.1,10254.51,3942.0
2024-01-02 11:00:00,72.44,71.16,71.6,12308.02,4709.0
2024-01-02 12:00:00,71.77,70.96,71.11,15276.96,4658.0
2024-01-02 13:00:00,72.08,70.97,71.57,8086.68,3929.0
2024-01-02 14:00:00,71.63,69.13,69.53,53669.01,12569.0
2024-01-02 15:00:00,69.91,68.77,69.5,15263.02,6466.0
2024-01-02 16:00:00,69.99,68.9,69.95,10984.59,4063.0
2024-01-02 17:00:00,69.99,68.82,69.2,7753.33,3544.0
2024-01-02 18:00:00,69.39,68.83,69.07,5052.47,2292.0
2024-01-02 19:00:00,69.29,68.41,68.95,9016.61,3158.0
2024-01-02 20:00:00,69.6,68.71,68.82,10415.27,3113.0
2024-01-02 21:00:00,69.02,68.39,68.89,6206.04,2244.0
2024-01-02 22:00:00,69.47,68.66,69.09,4404.75,1755.0
2024-01-02 23:00:00,69.41,68.59,68.99,4064.25,1664.0
2024-01-03 00:00:00,70.61,68.92,69.12,16448.93,7769.0
2024-01-03 01:00:00,69.26,68.61,69.2,6612.23,2458.0
2024-01-03 02:00:00,69.64,69.08,69.41,3758.24,1297.0
2024-01-03 03:00:00,69.77,69.29,69.59,3549.52,1267.0
2024-01-03 04:00:00,69.96,69.54,69.94,2170.18,1246.0
2024-01-03 05:00:00,70.4,69.75,70.14,2850.75,1294.0
2024-01-03 06:00:00,70.39,70.0,70.38,3393.97,1171.0
2024-01-03 07:00:00,70.52,69.3,69.61,5948.44,1994.0
2024-01-03 08:00:00,70.04,69.56,69.94,3459.13,1376.0
2024-01-03 09:00:00,71.01,69.9,70.66,8511.86,2660.0
2024-01-03 10:00:00,70.95,69.56,69.84,16062.87,4205.0
2024-01-03 11:00:00,69.86,65.85,66.49,51355.08,17802.0
2024-01-03 12:00:00,66.52,51.0,61.13,215513.63,64252.0
2024-01-03 13:00:00,61.14,58.54,59.68,69354.02,35896.0
2024-01-03 14:00:00,59.76,58.0,58.52,35774.21,12580.0
