open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,6.951,6.732,6.854,1429196.28,37978.0
2024-01-01 01:00:00,6.922,6.752,6.913,996477.09,22056.0
2024-01-01 02:00:00,7.165,6.862,7.084,1659021.02,44877.0
2024-01-01 03:00:00,7.083,6.833,6.876,1361289.08,35721.0
2024-01-01 04:00:00,6.982,6.729,6.806,1510181.61,39833.0
2024-01-01 05:00:00,6.894,6.778,6.819,621327.54,16762.0
2024-01-01 06:00:00,7.089,6.813,6.994,1269907.43,28731.0
2024-01-01 07:00:00,7.045,6.865,6.984,777511.27,19888.0
2024-01-01 08:00:00,7.164,6.966,7.14,1529961.88,35472.0
2024-01-01 09:00:00,7.296,7.062,7.131,1811986.11,43346.0
2024-01-01 10:00:00,7.233,7.078,7.203,1159520.82,25909.0
2024-01-01 11:00:00,7.441,7.178,7.407,2250297.15,55228.0
2024-01-01 12:00:00,7.413,7.224,7.245,1527664.62,35013.0
2024-01-01 13:00:00,7.555,7.201,7.495,2241647.67,47909.0
2024-01-01 14:00:00,7.892,7.448,7.847,3755852.11,86285.0
2024-01-01 15:00:00,8.12,7.684,7.846,5802305.37,115790.0
2024-01-01 16:00:00,7.993,7.557,7.747,2538689.36,57702.0
2024-01-01 17:00:00,7.816,7.601,7.728,1339059.79,30045.0
2024-01-01 18:00:00,7.759,7.501,7.56,1745514.21,34095.0
2024-01-01 19:00:00,7.702,7.465,7.687,1311279.39,26955.0
2024-01-01 20:00:00,7.706,7.502,7.529,925778.05,22068.0
2024-01-01 21:00:00,7.737,7.503,7.679,676286.05,16370.0
2024-01-01 22:00:00,7.721,7.605,7.658,597403.84,12136.0
2024-01-01 23:00:00,7.687,7.522,7.569,702025.73,15870.0
2024-01-02 00:00:00,7.689,7.38,7.674,1733605.08,35665.0
2024-01-02 01:00:00,7.826,7.5,7.803,1636566.94,30248.0
2024-01-02 02:00:00,7.801,7.63,7.683,756543.25,16946.0
2024-01-02 03:00:00,7.705,7.53,7.546,836539.11,16402.0
2024-01-02 04:00:00,7.581,7.486,7.498,804989.94,13889.0
2024-01-02 05:00:00,7.56,7.455,7.537,832162.17,14423.0
2024-01-02 06:00:00,7.652,7.469,7.616,761827.98,14804.0
2024-01-02 07:00:00,7.693,7.589,7.627,778574.76,16696.0
2024-01-02 08:00:00,7.8,7.624,7.749,1352709.3,26467.0
2024-01-02 09:00:00,7.765,7.627,7.68,881535.61,18187.0
2024-01-02 10:00:00,7.717,7.508,7.659,1314615.28,27367.0
2024-01-02 11:00:00,7.884,7.62,7.788,1916583.24,42788.0
2024-01-02 12:00:00,7.808,7.622,7.654,953746.27,24511.0
2024-01-02 13:00:00,7.759,7.55,7.597,895792.69,21294.0
2024-01-02 14:00:00,7.68,7.225,7.37,1988308.22,47156.0
2024-01-02 15:00:00,7.466,7.325,7.385,1373080.37,29885.0
2024-01-02 16:00:00,7.447,7.265,7.396,1215854.22,24209.0
2024-01-02 17:00:00,7.396,7.255,7.298,909868.96,19396.0
2024-01-02 18:00:00,7.364,7.261,7.266,683873.24,15952.0
2024-01-02 19:00:00,7.319,7.172,7.239,1181424.91,23694.0
2024-01-02 20:00:00,7.291,7.109,7.138,807665.57,19025.0
2024-01-02 21:00:00,7.194,7.079,7.189,932747.56,19504.0
2024-01-02 22:00:00,7.252,7.169,7.202,563404.62,12578.0
2024-01-02 23:00:00,7.21,7.123,7.174,338366.18,7553.0
2024-01-03 00:00:00,7.267,7.141,7.235,574817.45,11237.0
2024-01-03 01:00:00,7.316,7.214,7.25,591791.09,12247.0
2024-01-03 02:00:00,7.3,7.182,7.206,720505.69,10990.0
2024-01-03 03:00:00,7.289,7.206,7.262,263445.79,5582.0
2024-01-03 04:00:00,7.543,7.25,7.524,1674936.01,34247.0
2024-01-03 05:00:00,7.74,7.507,7.592,1718281.66,31075.0
2024-01-03 06:00:00,7.654,7.529,7.573,681513.72,13385.0
2024-01-03 07:00:00,7.631,7.373,7.433,1228070.19,22162.0
2024-01-03 08:00:00,7.538,7.427,7.516,725777.93,12328.0
2024-01-03 09:00:00,7.589,7.457,7.46,763056.71,14889.0
2024-01-03 10:00:00,7.506,7.378,7.443,621096.89,10943.0
2024-01-03 11:00:00,7.459,6.931,7.057,2081093.46,42827.0
2024-01-03 12:00:00,7.061,5.666,6.719,6993335.35,150132.0
2024-01-03 13:00:00,6.75,6.4,6.53,2799834.95,62861.0
2024-01-03 14:00:00,6.541,6.214,6.35,2502324.71,70181.0
2024-01-03 15:00:00,6.547,6.326,6.534,1956028.36,45734.0
2024-01-03 16:00:00,6.598,6.351,6.425,1936348.59,45761.0
2024-01-03 17:00:00,6.448,6.224,6.26,1563095.61,26524.0
2024-01-03 18:00:00,6.319,6.01,6.111,1377062.63,22434.0
2024-01-03 19:00:00,6.295,6.103,6.232,808893.83,15430.0
2024-01-03 20:00:00,6.388,6.215,6.382,606919.88,11542.0
2024-01-03 21:00:00,6.441,6.345,6.38,615665.97,10972.0
2024-01-03 22:00:00,6.39,6.264,6.31,482011.7,9035.0
2024-01-03 23:00:00,6.311,6.229,6.288,370236.15,7248.0
