open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,0.1901,0.184,0.1893,5435834.0,5687.0
2024-01-01 01:00:00,0.1898,0.1877,0.1881,2377148.0,2393.0
2024-01-01 02:00:00,0.189,0.1871,0.1873,1451510.0,1880.0
2024-01-01 03:00:00,0.1878,0.1849,0.1853,2651369.0,3114.0
2024-01-01 04:00:00,0.1874,0.1841,0.1866,2615300.0,3197.0
2024-01-01 05:00:00,0.1886,0.1862,0.1866,2306282.0,2668.0
2024-01-01 06:00:00,0.1905,0.186,0.1898,5227509.0,4304.0
2024-01-01 07:00:00,0.1927,0.1891,0.1915,7074678.0,6291.0
2024-01-01 08:00:00,0.1976,0.191,0.1919,19065576.0,17204.0
2024-01-01 09:00:00,0.1938,0.1908,0.1937,6235593.0,5553.0
2024-01-01 10:00:00,0.197,0.193,0.1947,7897392.0,6721.0
2024-01-01 11:00:00,0.196,0.1927,0.1949,5671736.0,5287.0
2024-01-01 12:00:00,0.1965,0.1934,0.1948,6926438.0,6279.0
2024-01-01 13:00:00,0.1954,0.1929,0.1943,3533608.0,3434.0
2024-01-01 14:00:00,0.198,0.1934,0.1973,8497718.0,7106.0
2024-01-01 15:00:00,0.205,0.1965,0.2044,22715374.0,19538.0
2024-01-01 16:00:00,0.205,0.2008,0.2014,24859456.0,16375.0
2024-01-01 17:00:00,0.212,0.2002,0.2112,30924922.0,24072.0
2024-01-01 18:00:00,0.2197,0.2109,0.2112,36197920.0,32908.0
2024-01-01 19:00:00,0.2126,0.2077,0.2124,12235964.0,9452.0
2024-01-01 20:00:00,0.2149,0.2111,0.2125,10238317.0,7898.0
2024-01-01 21:00:00,0.219,0.2124,0.2188,11532017.0,9978.0
2024-01-01 22:00:00,0.2208,0.2146,0.2158,19023495.0,15069.0
2024-01-01 23:00:00,0.2179,0.2146,0.2175,9057234.0,7032.0
2024-01-02 00:00:00,0.2189,0.2124,0.2186,11074099.0,11054.0
2024-01-02 01:00:00,0.221,0.2164,0.2196,9791788.0,8753.0
2024-01-02 02:00:00,0.2247,0.218,0.2181,14117287.0,16260.0
2024-01-02 03:00:00,0.22,0.2156,0.2171,6891840.0,6946.0
2024-01-02 04:00:00,0.2209,0.2147,0.2207,8623243.0,7604.0
2024-01-02 05:00:00,0.2252,0.219,0.221,18813916.0,19549.0
2024-01-02 06:00:00,0.2237,0.2197,0.22,7799056.0,7202.0
2024-01-02 07:00:00,0.2212,0.2168,0.2172,6937115.0,6573.0
2024-01-02 08:00:00,0.22,0.2169,0.2194,5152623.0,5114.0
2024-01-02 09:00:00,0.2214,0.2189,0.2196,5319996.0,5337.0
2024-01-02 10:00:00,0.2217,0.2153,0.2161,6587506.0,6061.0
2024-01-02 11:00:00,0.2166,0.2115,0.2129,10259632.0,8672.0
2024-01-02 12:00:00,0.2147,0.2122,0.2123,4979519.0,4472.0
2024-01-02 13:00:00,0.2149,0.2119,0.2126,4707986.0,3653.0
2024-01-02 14:00:00,0.213,0.2073,0.2081,10829881.0,11232.0
2024-01-02 15:00:00,0.2093,0.205,0.2073,8250374.0,6880.0
2024-01-02 16:00:00,0.2099,0.2059,0.2093,5018713.0,4675.0
2024-01-02 17:00:00,0.2099,0.2075,0.209,3418837.0,2831.0
2024-01-02 18:00:00,0.2102,0.2083,0.2095,3097786.0,2746.0
2024-01-02 19:00:00,0.2108,0.2083,0.2096,4004721.0,3478.0
2024-01-02 20:00:00,0.2109,0.2076,0.2077,3332157.0,2628.0
2024-01-02 21:00:00,0.2101,0.2069,0.2095,3139852.0,2673.0
2024-01-02 22:00:00,0.2099,0.2072,0.2087,2318015.0,2078.0
2024-01-02 23:00:00,0.209,0.2064,0.2073,1926064.0,1865.0
2024-01-03 00:00:00,0.2099,0.2066,0.2096,2961226.0,2755.0
2024-01-03 01:00:00,0.2121,0.2094,0.211,3359979.0,3445.0
2024-01-03 02:00:00,0.212,0.21,0.2112,2207525.0,2004.0
2024-01-03 03:00:00,0.2152,0.2102,0.2115,5495718.0,5308.0
2024-01-03 04:00:00,0.2123,0.2101,0.2114,2575878.0,2713.0
2024-01-03 05:00:00,0.2139,0.2099,0.2099,3548628.0,3385.0
2024-01-03 06:00:00,0.2116,0.2088,0.2102,2298199.0,2558.0
2024-01-03 07:00:00,0.2105,0.207,0.2077,2264179.0,2515.0
2024-01-03 08:00:00,0.2094,0.207,0.2084,2655833.0,2213.0
2024-01-03 09:00:00,0.2131,0.2084,0.2122,4494655.0,3876.0
2024-01-03 10:00:00,0.2134,0.2091,0.2102,3727935.0,3396.0
2024-01-03 11:00:00,0.2102,0.2007,0.2022,16460416.0,13948.0
2024-01-03 12:00:00,0.2023,0.1561,0.1903,66912205.0,66678.0
2024-01-03 13:00:00,0.1903,0.185,0.1881,23290394.0,19933.0
