open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,0.885,0.871,0.883,443510.5,1836.0
2024-01-01 01:00:00,0.888,0.88,0.886,220025.6,1089.0
2024-01-01 02:00:00,0.89,0.883,0.884,204934.2,910.0
2024-01-01 03:00:00,0.889,0.878,0.88,269914.4,1234.0
2024-01-01 04:00:00,0.885,0.872,0.878,438721.3,1933.0
2024-01-01 05:00:00,0.885,0.875,0.878,188668.4,915.0
2024-01-01 06:00:00,0.891,0.878,0.889,242590.3,1132.0
2024-01-01 07:00:00,0.9,0.882,0.899,1211169.4,3672.0
2024-01-01 08:00:00,0.912,0.894,0.894,1463452.6,4223.0
2024-01-01 09:00:00,0.902,0.892,0.902,348564.2,1413.0
2024-01-01 10:00:00,0.917,0.899,0.91,1179954.0,3396.0
2024-01-01 11:00:00,0.914,0.904,0.913,578437.4,1752.0
2024-01-01 12:00:00,0.915,0.905,0.908,461994.0,1620.0
2024-01-01 13:00:00,0.91,0.904,0.906,296165.1,1310.0
2024-01-01 14:00:00,0.912,0.902,0.905,435808.4,1625.0
2024-01-01 15:00:00,0.916,0.903,0.912,484153.7,1728.0
2024-01-01 16:00:00,0.914,0.906,0.91,320033.4,1323.0
2024-01-01 17:00:00,0.911,0.898,0.904,1176429.3,2168.0
2024-01-01 18:00:00,0.914,0.903,0.909,470582.1,1563.0
2024-01-01 19:00:00,0.92,0.908,0.917,504852.8,2025.0
2024-01-01 20:00:00,0.919,0.908,0.911,439780.3,1610.0
2024-01-01 21:00:00,0.915,0.907,0.914,204990.1,945.0
2024-01-01 22:00:00,0.918,0.908,0.912,450653.9,1110.0
2024-01-01 23:00:00,0.915,0.91,0.914,232195.7,725.0
2024-01-02 00:00:00,0.925,0.899,0.922,706448.0,2850.0
2024-01-02 01:00:00,0.928,0.917,0.927,508240.1,1797.0
2024-01-02 02:00:00,0.937,0.926,0.933,720785.9,2370.0
2024-01-02 03:00:00,0.938,0.928,0.937,351426.3,1067.0
2024-01-02 04:00:00,0.947,0.933,0.943,578553.4,2260.0
2024-01-02 05:00:00,0.951,0.931,0.934,1068433.7,3154.0
2024-01-02 06:00:00,0.942,0.932,0.935,422277.8,1346.0
2024-01-02 07:00:00,0.945,0.931,0.938,657410.1,1921.0
2024-01-02 08:00:00,0.942,0.933,0.941,905713.7,2569.0
2024-01-02 09:00:00,0.943,0.935,0.943,334888.9,1091.0
2024-01-02 10:00:00,0.96,0.938,0.959,1068255.6,4095.0
2024-01-02 11:00:00,0.96,0.943,0.95,684012.9,2188.0
2024-01-02 12:00:00,0.953,0.936,0.939,365596.9,1916.0
2024-01-02 13:00:00,0.946,0.938,0.941,499748.6,1602.0
2024-01-02 14:00:00,0.942,0.925,0.932,1930150.3,5558.0
2024-01-02 15:00:00,0.939,0.924,0.93,1467940.6,3404.0
2024-01-02 16:00:00,0.932,0.911,0.928,1047748.3,3142.0
2024-01-02 17:00:00,0.929,0.919,0.92,435925.5,1440.0
2024-01-02 18:00:00,0.923,0.915,0.917,241607.6,1082.0
2024-01-02 19:00:00,0.921,0.91,0.915,419362.0,1524.0
2024-01-02 20:00:00,0.927,0.914,0.919,479343.9,1431.0
2024-01-02 21:00:00,0.924,0.909,0.916,854549.1,2207.0
2024-01-02 22:00:00,0.921,0.912,0.921,432931.2,1001.0
2024-01-02 23:00:00,0.923,0.914,0.919,130750.2,883.0
2024-01-03 00:00:00,0.939,0.92,0.937,650845.8,2407.0
2024-01-03 01:00:00,0.95,0.936,0.941,948445.9,2855.0
2024-01-03 02:00:00,0.95,0.939,0.95,802160.1,1957.0
2024-01-03 03:00:00,0.956,0.94,0.941,568000.2,2308.0
2024-01-03 04:00:00,0.953,0.937,0.947,574178.0,2012.0
2024-01-03 05:00:00,0.953,0.947,0.947,186144.8,717.0
2024-01-03 06:00:00,0.973,0.946,0.961,1324795.1,4993.0
2024-01-03 07:00:00,0.976,0.952,0.957,841803.3,3684.0
2024-01-03 08:00:00,0.963,0.949,0.952,276990.9,1186.0
2024-01-03 09:00:00,0.963,0.951,0.959,406895.0,1552.0
2024-01-03 10:00:00,0.971,0.95,0.971,759330.4,2814.0
2024-01-03 11:00:00,0.972,0.913,0.924,3099122.1,9806.0
2024-01-03 12:00:00,0.924,0.72,0.84,5553719.3,22163.0
2024-01-03 13:00:00,0.849,0.825,0.83,2879916.6,8560.0
2024-01-03 14:00:00,0.832,0.811,0.825,2175305.3,7739.0
2024-01-03 15:00:00,0.848,0.822,0.845,1355822.3,4818.0
2024-01-03 16:00:00,0.853,0.834,0.84,1454830.3,4636.0
2024-01-03 17:00:00,0.847,0.835,0.846,1131372.7,2279.0
2024-01-03 18:00:00,0.851,0.826,0.835,444196.8,1727.0
2024-01-03 19:00:00,0.846,0.833,0.834,239293.6,1210.0
2024-01-03 20:00:00,0.841,0.825,0.834,682685.1,2231.0
2024-01-03 21:00:00,0.839,0.83,0.838,221614.7,849.0
2024-01-03 22:00:00,0.839,0.824,0.833,513034.5,1819.0
2024-01-03 23:00:00,0.836,0.827,0.834,325398.5,986.0
2024-01-04 00:00:00,0.854,0.833,0.838,649319.2,2900.0
2024-01-04 01:00:00,0.839,0.817,0.819,766852.1,2442.0
2024-01-04 02:00:00,0.834,0.819,0.833,383813.5,1360.0
2024-01-04 03:00:00,0.841,0.828,0.841,431962.4,1763.0
2024-01-04 04:00:00,0.851,0.838,0.85,412805.7,1608.0
2024-01-04 05:00:00,0.855,0.848,0.849,313865.6,1522.0
2024-01-04 06:00:00,0.851,0.84,0.844,751649.8,2399.0
2024-01-04 07:00:00,0.85,0.827,0.828,585551.6,2496.0
2024-01-04 08:00:00,0.833,0.819,0.829,506847.5,2200.0
2024-01-04 09:00:00,0.835,0.826,0.831,275138.6,944.0
2024-01-04 10:00:00,0.835,0.819,0.824,588385.0,2059.0
2024-01-04 11:00:00,0.833,0.82,0.83,283201.7,1548.0
2024-01-04 12:00:00,0.84,0.827,0.837,397560.7,1725.0
2024-01-04 13:00:00,0.842,0.83,0.838,433049.9,2813.0
2024-01-04 14:00:00,0.845,0.832,0.845,503767.1,2891.0
2024-01-04 15:00:00,0.854,0.841,0.846,613730.9,3522.0
2024-01-04 16:00:00,0.85,0.836,0.84,403312.7,2345.0
2024-01-04 17:00:00,0.846,0.837,0.84,340975.8,1634.0
2024-01-04 18:00:00,0.844,0.833,0.838,409096.8,1407.0
2024-01-04 19:00:00,0.846,0.835,0.84,258431.9,1498.0
2024-01-04 20:00:00,0.847,0.837,0.841,439090.7,1521.0
2024-01-04 21:00:00,0.852,0.836,0.844,829663.3,2437.0
2024-01-04 22:00:00,0.849,0.837,0.842,243354.3,917.0
2024-01-04 23:00:00,0.845,0.837,0.84,185268.4,777.0
2024-01-05 00:00:00,0.844,0.832,0.836,307853.6,1355.0
2024-01-05 01:00:00,0.838,0.787,0.814,1384025.7,5511.0
2024-01-05 02:00:00,0.821,0.803,0.807,668758.3,2439.0
2024-01-05 03:00:00,0.811,0.803,0.808,423400.1,1659.0
2024-01-05 04:00:00,0.811,0.798,0.804,444278.6,1748.0
2024-01-05 05:00:00,0.815,0.803,0.811,474417.6,1321.0
2024-01-05 06:00:00,0.836,0.809,0.816,1930876.9,5869.0
2024-01-05 07:00:00,0.82,0.812,0.814,444012.8,1339.0
2024-01-05 08:00:00,0.822,0.813,0.816,570227.2,1382.0
2024-01-05 09:00:00,0.825,0.815,0.821,391129.0,1454.0
2024-01-05 10:00:00,0.821,0.796,0.801,559689.0,2134.0
2024-01-05 11:00:00,0.808,0.797,0.799,491037.0,1452.0
2024-01-05 12:00:00,0.804,0.792,0.8,441779.9,1624.0
2024-01-05 13:00:00,0.805,0.793,0.799,746700.4,2221.0
2024-01-05 14:00:00,0.801,0.784,0.785,790442.9,3390.0
2024-01-05 15:00:00,0.795,0.781,0.792,654530.5,2517.0
2024-01-05 16:00:00,0.796,0.777,0.779,567798.8,2136.0
2024-01-05 17:00:00,0.791,0.77,0.788,865490.5,3385.0
2024-01-05 18:00:00,0.792,0.785,0.789,297635.3,1045.0
2024-01-05 19:00:00,0.798,0.787,0.792,197887.4,1089.0
2024-01-05 20:00:00,0.805,0.793,0.804,274348.5,1306.0
2024-01-05 21:00:00,0.804,0.793,0.801,169479.9,670.0
2024-01-05 22:00:00,0.801,0.791,0.798,335320.8,1144.0
2024-01-05 23:00:00,0.808,0.797,0.807,302934.3,1775.0
2024-01-06 00:00:00,0.807,0.794,0.797,304399.6,1044.0
2024-01-06 01:00:00,0.797,0.789,0.792,434073.9,1263.0
2024-01-06 02:00:00,0.795,0.784,0.794,311150.3,1279.0
2024-01-06 03:00:00,0.794,0.789,0.792,134380.3,544.0
2024-01-06 04:00:00,0.793,0.782,0.783,284671.7,848.0
2024-01-06 05:00:00,0.785,0.757,0.765,1577449.9,4588.0
2024-01-06 06:00:00,0.768,0.747,0.754,1199674.5,5416.0
2024-01-06 07:00:00,0.759,0.743,0.759,1756090.1,3769.0
2024-01-06 08:00:00,0.76,0.75,0.759,364152.6,1243.0
2024-01-06 09:00:00,0.764,0.755,0.758,303242.7,1067.0
2024-01-06 10:00:00,0.762,0.754,0.76,267040.5,989.0
2024-01-06 11:00:00,0.765,0.753,0.764,306522.4,996.0
2024-01-06 12:00:00,0.771,0.763,0.765,480860.7,1596.0
2024-01-06 13:00:00,0.771,0.76,0.77,267614.2,871.0
2024-01-06 14:00:00,0.783,0.769,0.781,396200.8,1493.0
2024-01-06 15:00:00,0.793,0.78,0.791,426439.2,1668.0
2024-01-06 16:00:00,0.794,0.783,0.79,376242.8,1431.0
2024-01-06 17:00:00,0.793,0.785,0.788,291990.1,1006.0
2024-01-06 18:00:00,0.789,0.781,0.783,254644.5,834.0
2024-01-06 19:00:00,0.784,0.776,0.781,290854.7,1039.0
2024-01-06 20:00:00,0.787,0.778,0.781,236937.5,971.0
2024-01-06 21:00:00,0.785,0.776,0.782,275093.7,1023.0
2024-01-06 22:00:00,0.782,0.774,0.778,335325.2,1006.0
2024-01-06 23:00:00,0.784,0.771,0.782,359161.9,1165.0
2024-01-07 00:00:00,0.791,0.775,0.786,278762.8,1044.0
2024-01-07 01:00:00,0.789,0.778,0.779,262242.7,871.0
2024-01-07 02:00:00,0.785,0.774,0.776,229640.4,906.0
2024-01-07 03:00:00,0.798,0.776,0.793,433348.3,1814.0
2024-01-07 04:00:00,0.804,0.785,0.803,537932.3,2175.0
2024-01-07 05:00:00,0.805,0.791,0.791,991972.9,3476.0
2024-01-07 06:00:00,0.796,0.787,0.792,323729.4,1067.0
2024-01-07 07:00:00,0.795,0.789,0.793,213641.6,892.0
2024-01-07 08:00:00,0.795,0.782,0.783,298906.9,1207.0
2024-01-07 09:00:00,0.787,0.771,0.772,316037.3,1731.0
2024-01-07 10:00:00,0.781,0.772,0.779,178257.5,714.0
2024-01-07 11:00:00,0.784,0.776,0.778,241854.5,1226.0
2024-01-07 12:00:00,0.779,0.771,0.777,168630.7,746.0
2024-01-07 13:00:00,0.784,0.775,0.781,223459.6,758.0
2024-01-07 14:00:00,0.785,0.774,0.778,304120.8,1249.0
2024-01-07 15:00:00,0.779,0.765,0.768,466398.5,1728.0
2024-01-07 16:00:00,0.773,0.757,0.758,717357.5,2803.0
2024-01-07 17:00:00,0.766,0.755,0.763,234469.6,1002.0
2024-01-07 18:00:00,0.767,0.762,0.764,202310.4,778.0
2024-01-07 19:00:00,0.766,0.76,0.763,194051.3,818.0
2024-01-07 20:00:00,0.766,0.758,0.76,213113.4,757.0
2024-01-07 21:00:00,0.761,0.752,0.754,223155.2,821.0
2024-01-07 22:00:00,0.754,0.729,0.735,1320616.9,5672.0
2024-01-07 23:00:00,0.744,0.73,0.742,1081244.2,3698.0
2024-01-08 00:00:00,0.743,0.72,0.721,1280037.8,4416.0
2024-01-08 01:00:00,0.728,0.718,0.72,880357.9,2696.0
2024-01-08 02:00:00,0.726,0.686,0.696,1695177.8,5255.0
2024-01-08 03:00:00,0.7,0.677,0.696,1306210.7,3686.0
2024-01-08 04:00:00,0.709,0.692,0.708,362692.3,1111.0
2024-01-08 05:00:00,0.71,0.7,0.708,373365.1,1308.0
2024-01-08 06:00:00,0.722,0.706,0.712,721221.2,2221.0
2024-01-08 07:00:00,0.719,0.71,0.714,313204.9,1214.0
2024-01-08 08:00:00,0.723,0.713,0.716,335572.8,1079.0
2024-01-08 09:00:00,0.719,0.706,0.709,228854.0,959.0
2024-01-08 10:00:00,0.718,0.706,0.717,270872.9,1114.0
2024-01-08 11:00:00,0.726,0.714,0.724,318826.2,1181.0
2024-01-08 12:00:00,0.738,0.724,0.737,700543.1,2390.0
2024-01-08 13:00:00,0.74,0.729,0.731,407818.5,1301.0
2024-01-08 14:00:00,0.742,0.729,0.739,616455.0,1464.0
2024-01-08 15:00:00,0.742,0.733,0.736,1069712.6,2057.0
2024-01-08 16:00:00,0.739,0.73,0.737,376055.2,1101.0
2024-01-08 17:00:00,0.747,0.735,0.741,1450562.8,2569.0
2024-01-08 18:00:00,0.759,0.74,0.754,760591.9,2264.0
2024-01-08 19:00:00,0.762,0.75,0.762,385323.2,1329.0
2024-01-08 20:00:00,0.763,0.754,0.757,382335.2,1072.0
2024-01-08 21:00:00,0.763,0.755,0.758,233098.2,762.0
2024-01-08 22:00:00,0.79,0.755,0.774,1038705.5,2950.0
2024-01-08 23:00:00,0.775,0.765,0.767,463131.3,1324.0
2024-01-09 00:00:00,0.768,0.747,0.756,720177.2,2968.0
2024-01-09 01:00:00,0.76,0.751,0.754,314113.1,1089.0
2024-01-09 02:00:00,0.758,0.752,0.756,98663.6,389.0
2024-01-09 03:00:00,0.756,0.751,0.753,135410.2,553.0
2024-01-09 04:00:00,0.761,0.751,0.76,238435.4,1073.0
2024-01-09 05:00:00,0.773,0.754,0.762,1307866.9,3337.0
2024-01-09 06:00:00,0.763,0.755,0.758,208970.5,1072.0
2024-01-09 07:00:00,0.764,0.754,0.757,453470.0,1841.0
2024-01-09 08:00:00,0.758,0.745,0.747,270300.9,1296.0
2024-01-09 09:00:00,0.75,0.733,0.738,638034.8,2201.0
