open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,1.576,1.562,1.574,95126.5,1013.0
2024-01-01 01:00:00,1.579,1.572,1.579,39803.1,538.0
2024-01-01 02:00:00,1.579,1.571,1.575,36999.6,328.0
2024-01-01 03:00:00,1.577,1.559,1.565,61265.7,940.0
2024-01-01 04:00:00,1.569,1.554,1.562,78506.8,853.0
2024-01-01 05:00:00,1.565,1.554,1.557,78234.2,646.0
2024-01-01 06:00:00,1.566,1.555,1.566,16177.5,259.0
2024-01-01 07:00:00,1.57,1.563,1.566,32372.9,382.0
2024-01-01 08:00:00,1.568,1.564,1.568,11233.9,173.0
2024-01-01 09:00:00,1.578,1.568,1.577,30278.1,370.0
2024-01-01 10:00:00,1.581,1.575,1.579,45144.0,407.0
2024-01-01 11:00:00,1.586,1.578,1.582,59712.4,587.0
2024-01-01 12:00:00,1.588,1.58,1.586,27328.0,318.0
2024-01-01 13:00:00,1.591,1.581,1.589,27210.7,348.0
2024-01-01 14:00:00,1.592,1.582,1.588,29147.8,462.0
2024-01-01 15:00:00,1.597,1.587,1.595,18813.8,388.0
2024-01-01 16:00:00,1.603,1.59,1.599,58653.5,780.0
2024-01-01 17:00:00,1.6,1.594,1.6,22302.6,298.0
2024-01-01 18:00:00,1.612,1.6,1.61,63754.7,474.0
2024-01-01 19:00:00,1.615,1.607,1.61,51745.1,417.0
2024-01-01 20:00:00,1.614,1.604,1.609,28212.9,280.0
2024-01-01 21:00:00,1.611,1.603,1.61,31661.3,290.0
2024-01-01 22:00:00,1.613,1.603,1.613,32772.7,285.0
2024-01-01 23:00:00,1.618,1.611,1.618,18299.0,217.0
2024-01-02 00:00:00,1.634,1.61,1.632,75086.0,772.0
2024-01-02 01:00:00,1.637,1.625,1.631,39644.6,390.0
2024-01-02 02:00:00,1.637,1.63,1.635,17318.0,203.0
2024-01-02 03:00:00,1.636,1.621,1.627,48843.5,400.0
2024-01-02 04:00:00,1.632,1.623,1.63,34452.4,334.0
2024-01-02 05:00:00,1.63,1.616,1.623,30155.7,328.0
2024-01-02 06:00:00,1.631,1.622,1.624,23829.9,281.0
2024-01-02 07:00:00,1.63,1.624,1.63,43968.5,477.0
2024-01-02 08:00:00,1.641,1.626,1.639,66161.6,844.0
2024-01-02 09:00:00,1.668,1.639,1.658,238439.3,2118.0
2024-01-02 10:00:00,1.719,1.658,1.701,1191990.7,13559.0
2024-01-02 11:00:00,1.73,1.694,1.701,467264.7,5492.0
2024-01-02 12:00:00,1.753,1.7,1.708,681546.6,7333.0
2024-01-02 13:00:00,1.75,1.7,1.735,442131.5,4100.0
2024-01-02 14:00:00,1.747,1.699,1.711,413010.5,3887.0
2024-01-02 15:00:00,1.717,1.681,1.715,295283.4,2987.0
2024-01-02 16:00:00,1.722,1.689,1.698,123335.7,1492.0
2024-01-02 17:00:00,1.703,1.692,1.697,53589.2,583.0
2024-01-02 18:00:00,1.697,1.682,1.682,53683.4,632.0
2024-01-02 19:00:00,1.695,1.673,1.681,83669.3,797.0
