open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,0.2787,0.2753,0.2778,105407.0,382.0
2024-01-01 01:00:00,0.28,0.2767,0.2788,56869.0,170.0
2024-01-01 02:00:00,0.28,0.2771,0.2777,41262.0,191.0
2024-01-01 03:00:00,0.2784,0.2736,0.2742,74913.0,236.0
2024-01-01 04:00:00,0.2746,0.2685,0.2722,192625.0,452.0
2024-01-01 05:00:00,0.2728,0.2689,0.2695,106797.0,220.0
2024-01-01 06:00:00,0.2719,0.2693,0.2719,17903.0,124.0
2024-01-01 07:00:00,0.2725,0.271,0.2725,25557.0,173.0
2024-01-01 08:00:00,0.273,0.2714,0.2727,45453.0,199.0
2024-01-01 09:00:00,0.2736,0.2721,0.2736,29899.0,159.0
2024-01-01 10:00:00,0.2738,0.2728,0.2736,46007.0,171.0
2024-01-01 11:00:00,0.2737,0.2728,0.2731,26436.0,116.0
2024-01-01 12:00:00,0.2747,0.2732,0.2743,32791.0,157.0
2024-01-01 13:00:00,0.2761,0.274,0.2761,50073.0,208.0
2024-01-01 14:00:00,0.2761,0.2735,0.2737,47896.0,218.0
2024-01-01 15:00:00,0.277,0.2739,0.277,38450.0,201.0
2024-01-01 16:00:00,0.2797,0.2765,0.2783,213291.0,517.0
2024-01-01 17:00:00,0.2796,0.2774,0.2793,44858.0,237.0
2024-01-01 18:00:00,0.2805,0.2786,0.2804,64717.0,202.0
2024-01-01 19:00:00,0.2835,0.2797,0.2829,60196.0,357.0
2024-01-01 20:00:00,0.2831,0.2818,0.2824,37982.0,171.0
2024-01-01 21:00:00,0.2826,0.2809,0.282,40379.0,185.0
2024-01-01 22:00:00,0.2827,0.2811,0.2824,22355.0,118.0
2024-01-01 23:00:00,0.284,0.2813,0.2839,50637.0,201.0
2024-01-02 00:00:00,0.2858,0.2835,0.2854,75650.0,319.0
2024-01-02 01:00:00,0.2863,0.2842,0.2858,54748.0,208.0
2024-01-02 02:00:00,0.2858,0.2849,0.2857,18341.0,123.0
2024-01-02 03:00:00,0.2859,0.2834,0.2841,41967.0,196.0
2024-01-02 04:00:00,0.2856,0.2836,0.2851,38986.0,163.0
2024-01-02 05:00:00,0.2867,0.2845,0.2849,27192.0,172.0
2024-01-02 06:00:00,0.285,0.2836,0.2841,18111.0,143.0
2024-01-02 07:00:00,0.2847,0.283,0.2834,40992.0,202.0
2024-01-02 08:00:00,0.287,0.2832,0.2864,50010.0,217.0
2024-01-02 09:00:00,0.2885,0.2861,0.2885,61811.0,236.0
2024-01-02 10:00:00,0.2894,0.287,0.2883,75986.0,222.0
2024-01-02 11:00:00,0.2899,0.2849,0.2856,77947.0,274.0
2024-01-02 12:00:00,0.2864,0.2848,0.2849,41543.0,125.0
2024-01-02 13:00:00,0.2866,0.2847,0.2849,53759.0,175.0
2024-01-02 14:00:00,0.2853,0.2793,0.2803,99879.0,336.0
2024-01-02 15:00:00,0.2828,0.2782,0.28,162985.0,390.0
2024-01-02 16:00:00,0.2806,0.2788,0.2802,39031.0,205.0
2024-01-02 17:00:00,0.2806,0.2788,0.2797,31979.0,160.0
2024-01-02 18:00:00,0.2806,0.2792,0.2799,13279.0,104.0
2024-01-02 19:00:00,0.2803,0.2778,0.2788,43618.0,174.0
2024-01-02 20:00:00,0.2832,0.2787,0.2812,89728.0,253.0
2024-01-02 21:00:00,0.2821,0.28,0.2815,23896.0,100.0
2024-01-02 22:00:00,0.285,0.2815,0.2835,60537.0,225.0
2024-01-02 23:00:00,0.2872,0.2832,0.2865,98481.0,323.0
2024-01-03 00:00:00,0.2878,0.2838,0.2867,79202.0,296.0
2024-01-03 01:00:00,0.2884,0.2858,0.2865,57092.0,213.0
2024-01-03 02:00:00,0.2888,0.285,0.2886,49051.0,199.0
2024-01-03 03:00:00,0.2885,0.2841,0.2848,46393.0,176.0
2024-01-03 04:00:00,0.2862,0.2843,0.2859,40567.0,116.0
2024-01-03 05:00:00,0.2887,0.2858,0.2865,57911.0,136.0
2024-01-03 06:00:00,0.2882,0.2864,0.2873,20984.0,134.0
2024-01-03 07:00:00,0.2888,0.282,0.2822,217981.0,422.0
2024-01-03 08:00:00,0.2845,0.2821,0.2845,30917.0,145.0
2024-01-03 09:00:00,0.2854,0.2836,0.2848,27924.0,118.0
2024-01-03 10:00:00,0.2863,0.2835,0.2845,43761.0,183.0
2024-01-03 11:00:00,0.2845,0.275,0.2761,117159.0,405.0
2024-01-03 12:00:00,0.2763,0.2526,0.2661,634377.0,1644.0
2024-01-03 13:00:00,0.267,0.2635,0.2637,122845.0,406.0
2024-01-03 14:00:00,0.2646,0.2601,0.2624,76719.0,326.0
2024-01-03 15:00:00,0.268,0.2613,0.2675,85638.0,328.0
2024-01-03 16:00:00,0.2713,0.2667,0.2701,147631.0,531.0
2024-01-03 17:00:00,0.2714,0.2664,0.2683,89670.0,317.0
2024-01-03 18:00:00,0.2696,0.264,0.2653,99656.0,270.0
2024-01-03 19:00:00,0.2681,0.264,0.2672,87959.0,283.0
2024-01-03 20:00:00,0.2691,0.2664,0.2683,46248.0,196.0
2024-01-03 21:00:00,0.2697,0.2675,0.2689,52781.0,247.0
2024-01-03 22:00:00,0.2694,0.2664,0.2666,24676.0,124.0
2024-01-03 23:00:00,0.2674,0.2656,0.2673,22556.0,168.0
2024-01-04 00:00:00,0.2687,0.2663,0.268,44429.0,205.0
2024-01-04 01:00:00,0.2682,0.2648,0.2651,45314.0,178.0
2024-01-04 02:00:00,0.2688,0.2643,0.268,37854.0,245.0
2024-01-04 03:00:00,0.2703,0.2679,0.2697,20254.0,162.0
2024-01-04 04:00:00,0.2704,0.2686,0.2694,45193.0,163.0
2024-01-04 05:00:00,0.2704,0.2681,0.2697,21374.0,167.0
2024-01-04 06:00:00,0.2705,0.2693,0.2699,28822.0,183.0
2024-01-04 07:00:00,0.2705,0.2588,0.2589,903726.0,815.0
