open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,1.282,1.249,1.282,249586.2,1722.0
2024-01-01 01:00:00,1.282,1.269,1.269,98174.5,630.0
2024-01-01 02:00:00,1.27,1.256,1.261,155358.8,1147.0
2024-01-01 03:00:00,1.261,1.24,1.243,152217.1,1299.0
2024-01-01 04:00:00,1.248,1.232,1.242,119384.9,1139.0
2024-01-01 05:00:00,1.253,1.235,1.238,120907.6,823.0
2024-01-01 06:00:00,1.252,1.237,1.25,358616.3,1323.0
2024-01-01 07:00:00,1.251,1.24,1.249,51635.7,476.0
2024-01-01 08:00:00,1.251,1.244,1.249,60406.3,622.0
2024-01-01 09:00:00,1.265,1.248,1.26,169724.1,1098.0
2024-01-01 10:00:00,1.274,1.261,1.272,64602.0,617.0
2024-01-01 11:00:00,1.277,1.266,1.269,149235.0,967.0
2024-01-01 12:00:00,1.275,1.264,1.268,239258.2,1300.0
2024-01-01 13:00:00,1.28,1.263,1.271,297271.6,1867.0
2024-01-01 14:00:00,1.272,1.262,1.268,206206.9,975.0
2024-01-01 15:00:00,1.284,1.266,1.284,247086.7,1214.0
2024-01-01 16:00:00,1.301,1.283,1.292,297122.7,1905.0
2024-01-01 17:00:00,1.298,1.286,1.291,241797.6,1132.0
2024-01-01 18:00:00,1.314,1.291,1.309,370047.8,1765.0
2024-01-01 19:00:00,1.334,1.31,1.327,446362.1,2507.0
2024-01-01 20:00:00,1.337,1.322,1.332,365989.9,2118.0
2024-01-01 21:00:00,1.336,1.323,1.324,305221.9,1464.0
2024-01-01 22:00:00,1.335,1.319,1.329,323563.9,1275.0
2024-01-01 23:00:00,1.342,1.328,1.338,162554.9,996.0
2024-01-02 00:00:00,1.352,1.327,1.349,491877.8,3179.0
2024-01-02 01:00:00,1.362,1.348,1.355,261968.8,1651.0
2024-01-02 02:00:00,1.383,1.356,1.381,437040.9,2625.0
2024-01-02 03:00:00,1.387,1.366,1.385,188261.1,1417.0
2024-01-02 04:00:00,1.395,1.372,1.374,376744.2,2998.0
2024-01-02 05:00:00,1.386,1.369,1.37,189060.4,1066.0
2024-01-02 06:00:00,1.385,1.368,1.375,265140.2,1618.0
2024-01-02 07:00:00,1.391,1.374,1.389,220955.9,1040.0
2024-01-02 08:00:00,1.394,1.375,1.392,286414.9,1716.0
2024-01-02 09:00:00,1.405,1.382,1.393,437769.8,3109.0
2024-01-02 10:00:00,1.4,1.382,1.395,283611.3,1845.0
2024-01-02 11:00:00,1.407,1.38,1.395,407229.1,2605.0
2024-01-02 12:00:00,1.419,1.385,1.389,749626.8,4627.0
2024-01-02 13:00:00,1.45,1.388,1.426,1413733.3,10176.0
2024-01-02 14:00:00,1.445,1.396,1.401,1064372.4,7043.0
2024-01-02 15:00:00,1.418,1.379,1.401,1070076.7,6469.0
2024-01-02 16:00:00,1.426,1.388,1.397,619954.8,3960.0
2024-01-02 17:00:00,1.406,1.385,1.386,338952.0,2138.0
2024-01-02 18:00:00,1.39,1.379,1.387,240916.1,1235.0
2024-01-02 19:00:00,1.398,1.362,1.37,426113.9,2674.0
2024-01-02 20:00:00,1.388,1.359,1.359,147992.6,1146.0
2024-01-02 21:00:00,1.375,1.342,1.37,349009.2,2142.0
2024-01-02 22:00:00,1.382,1.361,1.369,170993.1,1135.0
2024-01-02 23:00:00,1.37,1.354,1.364,151253.6,906.0
2024-01-03 00:00:00,1.428,1.359,1.422,1021095.8,7242.0
2024-01-03 01:00:00,1.43,1.388,1.393,1002922.4,6625.0
2024-01-03 02:00:00,1.405,1.384,1.396,401964.9,2100.0
2024-01-03 03:00:00,1.405,1.375,1.378,495193.9,2681.0
2024-01-03 04:00:00,1.382,1.364,1.368,409611.8,2705.0
2024-01-03 05:00:00,1.378,1.359,1.372,525999.9,2975.0
2024-01-03 06:00:00,1.384,1.363,1.382,310647.6,1891.0
2024-01-03 07:00:00,1.382,1.356,1.365,310748.8,1673.0
2024-01-03 08:00:00,1.395,1.365,1.394,544998.3,3218.0
2024-01-03 09:00:00,1.429,1.393,1.417,890424.7,5921.0
2024-01-03 10:00:00,1.445,1.398,1.401,576455.3,4958.0
2024-01-03 11:00:00,1.401,1.336,1.349,1026906.1,7341.0
2024-01-03 12:00:00,1.35,1.041,1.224,4081940.3,27357.0
2024-01-03 13:00:00,1.225,1.186,1.204,1458673.8,8946.0
2024-01-03 14:00:00,1.207,1.169,1.184,1073720.8,6636.0
2024-01-03 15:00:00,1.231,1.183,1.227,885871.7,5207.0
2024-01-03 16:00:00,1.231,1.201,1.21,859389.7,4892.0
2024-01-03 17:00:00,1.211,1.182,1.189,495526.6,2949.0
2024-01-03 18:00:00,1.203,1.152,1.165,441211.5,2197.0
2024-01-03 19:00:00,1.19,1.164,1.176,209609.1,1149.0
2024-01-03 20:00:00,1.195,1.166,1.191,273940.2,1051.0
2024-01-03 21:00:00,1.2,1.186,1.193,270950.6,1158.0
2024-01-03 22:00:00,1.203,1.173,1.186,343643.7,1413.0
2024-01-03 23:00:00,1.186,1.17,1.185,214060.8,1369.0
2024-01-04 00:00:00,1.187,1.174,1.178,537891.9,1863.0
2024-01-04 01:00:00,1.179,1.15,1.156,397249.4,2347.0
