open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,8.38,8.11,8.3,36291.42,1642.0
2024-01-01 01:00:00,8.41,8.27,8.29,14151.59,693.0
2024-01-01 02:00:00,8.32,8.2,8.3,18311.1,793.0
2024-01-01 03:00:00,8.36,8.14,8.15,15397.96,734.0
2024-01-01 04:00:00,8.19,8.05,8.12,10460.78,593.0
2024-01-01 05:00:00,8.17,8.05,8.08,11551.61,492.0
2024-01-01 06:00:00,8.26,8.05,8.18,15224.44,696.0
2024-01-01 07:00:00,8.56,8.09,8.46,61584.09,2471.0
2024-01-01 08:00:00,8.75,8.35,8.66,97842.08,3976.0
2024-01-01 09:00:00,9.41,8.52,9.13,330522.64,11713.0
2024-01-01 10:00:00,10.3,8.83,9.9,398443.0,18499.0
2024-01-01 11:00:00,10.65,9.67,10.08,452004.5,23585.0
2024-01-01 12:00:00,10.71,9.76,9.89,359616.41,19123.0
2024-01-01 13:00:00,10.3,9.51,9.61,193486.95,9359.0
2024-01-01 14:00:00,9.79,9.22,9.46,160499.2,7540.0
2024-01-01 15:00:00,9.56,9.15,9.22,131880.61,6072.0
2024-01-01 16:00:00,9.77,9.18,9.42,111348.4,6166.0
2024-01-01 17:00:00,9.43,9.02,9.29,53255.29,2450.0
2024-01-01 18:00:00,9.34,9.01,9.21,86630.63,3273.0
2024-01-01 19:00:00,9.24,8.92,9.02,57526.08,2449.0
2024-01-01 20:00:00,9.39,8.96,9.23,84126.03,3793.0
2024-01-01 21:00:00,9.25,9.01,9.1,41162.63,1561.0
2024-01-01 22:00:00,9.19,8.95,9.15,23049.86,1079.0
2024-01-01 23:00:00,9.27,9.07,9.15,16952.66,790.0
2024-01-02 00:00:00,9.22,9.06,9.16,25003.31,1111.0
2024-01-02 01:00:00,9.19,9.06,9.15,17517.08,876.0
2024-01-02 02:00:00,9.21,9.05,9.13,24246.11,687.0
2024-01-02 03:00:00,9.14,9.07,9.14,12565.27,372.0
2024-01-02 04:00:00,9.14,9.05,9.08,17192.4,456.0
2024-01-02 05:00:00,9.09,9.03,9.07,18090.56,525.0
2024-01-02 06:00:00,9.36,9.04,9.22,67260.69,1988.0
2024-01-02 07:00:00,9.32,9.11,9.19,39923.96,1532.0
2024-01-02 08:00:00,9.32,9.11,9.12,39651.51,1574.0
2024-01-02 09:00:00,9.25,9.1,9.18,40316.17,1309.0
2024-01-02 10:00:00,9.71,9.16,9.61,97995.85,4465.0
2024-01-02 11:00:00,9.63,9.27,9.33,49920.7,2602.0
2024-01-02 12:00:00,9.5,9.3,9.4,19562.81,1178.0
2024-01-02 13:00:00,9.55,9.2,9.25,53230.61,1964.0
2024-01-02 14:00:00,9.27,9.03,9.08,37422.58,1530.0
2024-01-02 15:00:00,9.12,8.92,8.98,33884.1,1187.0
2024-01-02 16:00:00,9.1,8.91,9.05,26583.0,1207.0
2024-01-02 17:00:00,9.06,8.9,8.94,25809.41,1143.0
2024-01-02 18:00:00,9.02,8.91,8.98,15978.99,555.0
2024-01-02 19:00:00,9.05,8.9,8.92,13372.06,548.0
2024-01-02 20:00:00,8.92,8.71,8.81,22469.9,1139.0
2024-01-02 21:00:00,9.0,8.69,8.93,28680.87,1376.0
2024-01-02 22:00:00,9.14,8.92,9.03,14872.77,830.0
2024-01-02 23:00:00,9.29,9.03,9.28,16491.9,934.0
2024-01-03 00:00:00,9.6,9.28,9.53,83064.3,3721.0
2024-01-03 01:00:00,10.01,9.51,9.74,98117.37,4072.0
2024-01-03 02:00:00,10.32,9.72,10.22,70920.24,4133.0
2024-01-03 03:00:00,10.28,9.79,10.0,65671.01,3377.0
2024-01-03 04:00:00,10.57,9.83,10.14,154338.97,8626.0
2024-01-03 05:00:00,10.45,9.95,10.01,87696.76,4535.0
2024-01-03 06:00:00,10.18,9.81,9.85,62591.95,3511.0
2024-01-03 07:00:00,10.05,9.66,9.79,49645.06,2346.0
2024-01-03 08:00:00,10.2,9.79,9.97,49359.88,2530.0
2024-01-03 09:00:00,10.13,9.86,9.92,35742.52,1784.0
2024-01-03 10:00:00,10.19,9.87,10.05,46757.65,2031.0
2024-01-03 11:00:00,10.58,9.85,10.31,119715.92,3917.0
2024-01-03 12:00:00,10.37,8.8,9.68,286127.69,9213.0
2024-01-03 13:00:00,9.71,9.22,9.49,86537.79,3974.0
2024-01-03 14:00:00,9.64,9.28,9.29,71079.99,2447.0
2024-01-03 15:00:00,9.72,9.01,9.6,134723.64,4239.0
2024-01-03 16:00:00,9.7,9.42,9.54,60299.08,2399.0
2024-01-03 17:00:00,9.66,9.38,9.54,46294.12,1656.0
2024-01-03 18:00:00,10.39,9.5,9.95,137689.72,8284.0
2024-01-03 19:00:00,11.45,9.95,10.5,522951.56,31855.0
2024-01-03 20:00:00,11.44,10.33,10.81,214532.21,11920.0
2024-01-03 21:00:00,11.23,10.56,10.84,114805.89,6297.0
2024-01-03 22:00:00,11.22,10.56,10.78,91284.95,4699.0
2024-01-03 23:00:00,11.14,10.6,11.03,62440.16,3288.0
2024-01-04 00:00:00,12.6,10.94,11.77,327929.51,23658.0
2024-01-04 01:00:00,13.2,11.66,12.91,305439.95,21175.0
2024-01-04 02:00:00,13.2,11.83,12.26,144732.07,10660.0
2024-01-04 03:00:00,12.8,11.77,12.41,89644.1,8361.0
2024-01-04 04:00:00,12.79,11.85,11.88,109030.95,5932.0
2024-01-04 05:00:00,11.94,11.21,11.5,133242.55,8324.0
2024-01-04 06:00:00,11.67,11.15,11.47,112052.58,5194.0
2024-01-04 07:00:00,12.0,11.2,11.53,91687.95,5820.0
2024-01-04 08:00:00,12.4,11.52,11.97,188927.67,10307.0
2024-01-04 09:00:00,11.98,11.31,11.36,83132.02,5916.0
2024-01-04 10:00:00,11.45,10.99,11.03,86803.9,5370.0
2024-01-04 11:00:00,11.24,10.67,10.99,99532.48,4825.0
2024-01-04 12:00:00,11.4,10.86,11.13,69248.65,3543.0
2024-01-04 13:00:00,11.5,11.04,11.33,61763.55,4242.0
2024-01-04 14:00:00,11.54,10.98,11.03,50028.99,3480.0
2024-01-04 15:00:00,11.35,10.78,11.12,79150.65,4457.0
2024-01-04 16:00:00,11.26,10.2,10.42,129120.99,6700.0
2024-01-04 17:00:00,11.0,10.35,10.56,78286.3,3912.0
2024-01-04 18:00:00,10.68,10.46,10.46,22079.51,1372.0
2024-01-04 19:00:00,10.56,10.25,10.46,50925.81,2387.0
2024-01-04 20:00:00,10.71,10.4,10.46,31802.16,1802.0
2024-01-04 21:00:00,10.6,10.29,10.31,21661.73,1150.0
2024-01-04 22:00:00,10.93,10.22,10.74,49074.97,2571.0
2024-01-04 23:00:00,10.97,10.43,10.64,42751.5,2365.0
2024-01-05 00:00:00,10.99,10.42,10.49,48623.02,2615.0
2024-01-05 01:00:00,10.59,10.24,10.39,37040.65,2097.0
2024-01-05 02:00:00,11.09,10.4,10.82,51053.93,3110.0
2024-01-05 03:00:00,10.81,10.6,10.76,22517.94,1343.0
2024-01-05 04:00:00,11.03,10.76,10.91,44331.53,1840.0
2024-01-05 05:00:00,10.9,10.51,10.61,32980.27,1960.0
2024-01-05 06:00:00,10.65,10.43,10.65,23811.26,1401.0
2024-01-05 07:00:00,10.7,10.29,10.29,31508.95,1443.0
2024-01-05 08:00:00,10.35,10.12,10.24,43921.76,1993.0
2024-01-05 09:00:00,10.46,10.23,10.37,33670.94,1464.0
