open_time,high,low,close,volume,number_of_trades
2024-01-01 00:00:00,11.73,11.64,11.68,5328.21,543.0
2024-01-01 01:00:00,11.75,11.68,11.69,4752.51,278.0
2024-01-01 02:00:00,11.72,11.63,11.67,2636.22,218.0
2024-01-01 03:00:00,11.67,11.45,11.48,13601.89,865.0
2024-01-01 04:00:00,11.53,11.31,11.42,17914.77,1631.0
2024-01-01 05:00:00,11.47,11.35,11.4,5109.89,759.0
2024-01-01 06:00:00,11.56,11.4,11.44,12508.45,741.0
2024-01-01 07:00:00,11.47,11.35,11.37,6689.24,385.0
2024-01-01 08:00:00,11.4,11.33,11.36,3473.86,232.0
2024-01-01 09:00:00,11.45,11.34,11.44,7356.73,361.0
2024-01-01 10:00:00,11.51,11.39,11.43,10296.23,404.0
2024-01-01 11:00:00,11.5,11.42,11.49,4836.28,330.0
2024-01-01 12:00:00,11.54,11.47,11.49,3526.49,240.0
2024-01-01 13:00:00,11.61,11.48,11.6,3537.72,266.0
2024-01-01 14:00:00,11.59,11.5,11.54,6700.57,412.0
2024-01-01 15:00:00,11.65,11.53,11.65,3099.59,299.0
2024-01-01 16:00:00,11.75,11.59,11.64,15124.15,909.0
2024-01-01 17:00:00,11.66,11.57,11.66,4918.97,427.0
2024-01-01 18:00:00,11.75,11.65,11.68,7142.65,366.0
2024-01-01 19:00:00,11.76,11.61,11.75,10030.31,667.0
2024-01-01 20:00:00,11.77,11.64,11.66,5911.88,516.0
2024-01-01 21:00:00,11.66,11.55,11.64,6616.08,593.0
2024-01-01 22:00:00,11.69,11.59,11.67,2506.39,217.0
2024-01-01 23:00:00,11.74,11.66,11.71,2929.64,337.0
2024-01-02 00:00:00,11.88,11.68,11.86,19547.39,1571.0
2024-01-02 01:00:00,12.05,11.86,12.01,15623.81,1491.0
2024-01-02 02:00:00,12.07,12.0,12.04,9021.79,710.0
2024-01-02 03:00:00,12.06,11.95,12.04,10689.21,969.0
2024-01-02 04:00:00,12.17,11.99,12.14,7205.54,719.0
2024-01-02 05:00:00,12.27,12.13,12.24,9615.53,832.0
2024-01-02 06:00:00,12.25,12.11,12.13,5370.96,439.0
2024-01-02 07:00:00,12.17,12.09,12.14,6888.06,480.0
2024-01-02 08:00:00,12.21,12.08,12.12,4711.73,457.0
2024-01-02 09:00:00,12.15,12.06,12.09,10614.06,1029.0
2024-01-02 10:00:00,12.11,12.06,12.11,15199.48,1460.0
2024-01-02 11:00:00,12.22,12.04,12.09,19384.29,1836.0
2024-01-02 12:00:00,12.16,11.95,11.95,14617.84,878.0
2024-01-02 13:00:00,12.06,11.95,11.98,4696.48,584.0
2024-01-02 14:00:00,12.0,11.64,11.72,27635.94,1444.0
2024-01-02 15:00:00,11.9,11.64,11.84,16898.38,1161.0
2024-01-02 16:00:00,11.9,11.78,11.8,9240.52,551.0
2024-01-02 17:00:00,11.8,11.65,11.71,6952.3,436.0
2024-01-02 18:00:00,11.81,11.65,11.67,5086.07,338.0
2024-01-02 19:00:00,11.75,11.64,11.7,5454.47,336.0
2024-01-02 20:00:00,11.8,11.59,11.62,3896.4,384.0
2024-01-02 21:00:00,11.68,11.56,11.65,4929.55,322.0
2024-01-02 22:00:00,11.73,11.62,11.69,4036.49,282.0
2024-01-02 23:00:00,11.83,11.69,11.81,4360.54,286.0
