total_cumulative_return,profit_factor,max_drawdown,last_year_drawdown,sharpe_ratio,volatility,num_trades,data_points,reference_coin,trading_coin,trading_type
2.624656,1.298258,-0.417223,-0.214881,1.006065,0.479566,248,17520,1INCH,AAVE,shorts
5.111880,1.299803,-0.485163,-0.454929,1.293111,0.630869,510,17520,1INCH,ADA,both
2.946514,1.364874,-0.296195,-0.296195,1.180707,0.457617,260,17520,1INCH,ALGO,shorts
2.796679,1.329357,-0.293983,-0.268768,1.043806,0.492636,276,17520,1INCH,ATOM,shorts
9.448318,1.342221,-0.432235,-0.347198,1.547253,0.725750,529,17520,1INCH,AVAX,both
4.027576,1.438510,-0.296533,-0.172387,1.355563,0.513870,255,17520,1INCH,AVAX,longs
2.702146,1.342331,-0.328630,-0.271245,1.181739,0.420586,284,17520,1INCH,BAL,shorts
2.440094,1.215597,-0.467250,-0.298785,1.029129,0.433394,533,17520,1INCH,BNB,both
3.624877,1.437417,-0.297264,-0.273530,1.253182,0.513820,273,17520,1INCH,BNT,shorts
7.444876,1.577992,-0.357393,-0.241022,1.658319,0.605289,276,17520,1INCH,CRV,shorts
4.168353,1.603775,-0.267819,-0.267819,1.701092,0.419589,246,17520,1INCH,DASH,shorts
2.324213,1.344842,-0.265370,-0.265370,1.029864,0.409462,253,17520,1INCH,DOT,shorts
4.406756,1.240937,-0.476677,-0.185182,1.124660,0.659372,532,17520,1INCH,EGLD,both
2.335991,1.313703,-0.293228,-0.155387,1.069383,0.396694,266,17520,1INCH,EGLD,shorts
5.167625,1.356316,-0.296294,-0.154549,1.543366,0.532088,512,17520,1INCH,ETH,both
3.302687,1.612288,-0.184286,-0.085948,1.578228,0.378506,255,17520,1INCH,ETH,shorts
3.276830,1.379060,-0.313558,-0.190319,1.012746,0.585970,246,17520,1INCH,FIL,shorts
10.459189,1.737851,-0.348364,-0.205008,1.902761,0.616862,270,17520,1INCH,FLM,shorts
3.081667,1.545494,-0.207419,-0.207419,1.497331,0.375825,234,17520,1INCH,IOST,shorts
3.417298,1.464952,-0.280297,-0.223445,1.364381,0.450332,276,17520,1INCH,IOTA,shorts
29.429755,1.495566,-0.374051,-0.238660,1.986746,0.851142,505,17520,1INCH,IOTX,both
3.496227,1.358023,-0.326498,-0.101438,1.094109,0.572011,254,17520,1INCH,IOTX,longs
8.417577,1.640038,-0.318911,-0.271385,1.688636,0.630782,251,17520,1INCH,IOTX,shorts
4.815124,1.402835,-0.389829,-0.092919,1.215599,0.646497,277,17520,1INCH,KNC,shorts
8.839565,1.329778,-0.452049,-0.202016,1.468682,0.741903,531,17520,1INCH,KSM,both
6.662493,1.640936,-0.240648,-0.219634,1.850110,0.512536,269,17520,1INCH,KSM,shorts
16.800718,1.538025,-0.442149,-0.237158,2.202598,0.640476,515,17520,1INCH,LINK,both
4.710703,1.596460,-0.308801,-0.137139,1.633431,0.474412,259,17520,1INCH,LINK,longs
3.566499,1.480634,-0.286469,-0.169317,1.474705,0.431132,256,17520,1INCH,LINK,shorts
3.313491,1.402954,-0.428577,-0.319233,1.133117,0.528631,246,17520,1INCH,MANA,shorts
15.974081,1.398213,-0.320541,-0.159424,1.847817,0.749795,603,17520,1INCH,MKR,both
7.842064,1.600482,-0.189268,-0.124031,1.793865,0.574040,293,17520,1INCH,MKR,longs
3.654254,1.343672,-0.332754,-0.178449,1.006722,0.643620,272,17520,1INCH,MTL,shorts
