time_entered,time_exited,log_return,trade_type,reference_coin,trading_coin,strategy_type
2024-01-08 01:00:00,2024-01-09 15:00:00,0.0077353200484207366,long,1000LUNC,IOTA,both
2024-01-10 19:00:00,2024-01-12 00:00:00,-0.06017148022578582,short,1000LUNC,IOTA,both
2024-01-12 01:00:00,2024-01-12 15:00:00,-0.01081927091637846,long,1000LUNC,IOTA,both
2024-01-13 17:00:00,2024-01-14 07:00:00,-0.008425325667221793,long,1000LUNC,IOTA,both
2024-01-17 17:00:00,2024-01-18 02:00:00,0.004516534058366052,long,1000LUNC,IOTA,both
2024-01-18 08:00:00,2024-01-18 13:00:00,-0.016166155177684202,long,1000LUNC,IOTA,both
2024-01-22 15:00:00,2024-01-23 10:00:00,0.06195406335786693,short,1000LUNC,IOTA,both
2024-01-23 14:00:00,2024-01-24 00:00:00,0.048981387040269934,long,1000LUNC,IOTA,both
2024-01-24 10:00:00,2024-01-26 07:00:00,-0.11536129030171828,short,1000LUNC,IOTA,both
2024-01-26 09:00:00,2024-01-27 16:00:00,0.027568090219026134,long,1000LUNC,IOTA,both
2024-01-27 18:00:00,2024-01-28 13:00:00,0.0007996801705642441,short,1000LUNC,IOTA,both
2024-01-28 16:00:00,2024-01-29 05:00:00,0.006379606964038988,long,1000LUNC,IOTA,both
2024-01-29 07:00:00,2024-01-29 22:00:00,-0.001550387907455197,short,1000LUNC,IOTA,both
2024-01-30 05:00:00,2024-01-30 15:00:00,0.014167887518731107,long,1000LUNC,IOTA,both
2024-01-31 02:00:00,2024-01-31 05:00:00,0.025996264976396916,short,1000LUNC,IOTA,both
2024-01-31 07:00:00,2024-01-31 15:00:00,0.0032773482837662165,long,1000LUNC,IOTA,both
2024-02-01 03:00:00,2024-02-01 17:00:00,-0.002887195241330287,short,1000LUNC,IOTA,both
2024-02-02 00:00:00,2024-02-02 10:00:00,0.013158084577510982,long,1000LUNC,IOTA,both
2024-02-02 14:00:00,2024-02-03 01:00:00,-0.012101801586571377,short,1000LUNC,IOTA,both
2024-02-03 18:00:00,2024-02-04 10:00:00,-0.019504884905522914,long,1000LUNC,IOTA,both
2024-02-04 12:00:00,2024-02-04 20:00:00,-0.010629699432670031,long,1000LUNC,IOTA,both
2024-02-05 06:00:00,2024-02-05 13:00:00,0.007798110520516292,long,1000LUNC,IOTA,both
2024-02-05 17:00:00,2024-02-06 01:00:00,0.0004112687699342843,long,1000LUNC,IOTA,both
2024-02-06 02:00:00,2024-02-07 03:00:00,-0.025031585505693687,short,1000LUNC,IOTA,both
2024-02-07 07:00:00,2024-02-07 20:00:00,0.02294324827655916,long,1000LUNC,IOTA,both
2024-02-08 01:00:00,2024-02-08 05:00:00,0.008764996352967349,short,1000LUNC,IOTA,both
