trading_coin,reference_coin,trade_type,time_entered,time_exited,log_return
RUNE,HOT,long,2024-01-08 03:00:00,2024-01-08 05:00:00,-0.0240701902258757
RUNE,HOT,short,2024-01-08 13:00:00,2024-01-08 19:00:00,-0.0707650402635207
RUNE,HOT,short,2024-01-08 21:00:00,2024-01-09 00:00:00,-0.0218755528868399
RUNE,HOT,long,2024-01-09 11:00:00,2024-01-09 21:00:00,-0.0572423310975817
RUNE,HOT,short,2024-01-10 06:00:00,2024-01-10 18:00:00,-0.0081821499170005
RUNE,HOT,short,2024-01-10 21:00:00,2024-01-10 22:00:00,-0.0431549183390189
RUNE,HOT,long,2024-01-11 11:00:00,2024-01-11 19:00:00,-0.0363192309153161
RUNE,HOT,short,2024-01-12 01:00:00,2024-01-12 23:00:00,0.089474365016704
RUNE,HOT,short,2024-01-13 08:00:00,2024-01-13 16:00:00,-0.0100701376376428
RUNE,HOT,long,2024-01-14 00:00:00,2024-01-14 07:00:00,-0.0147380214235164
RUNE,HOT,long,2024-01-17 00:00:00,2024-01-17 09:00:00,-0.0278088280030387
RUNE,HOT,short,2024-01-17 20:00:00,2024-01-18 19:00:00,0.1441440703342002
RUNE,HOT,long,2024-01-19 05:00:00,2024-01-19 07:00:00,-0.0207603010928375
RUNE,HOT,long,2024-01-19 09:00:00,2024-01-20 03:00:00,-0.0024172117160004
RUNE,HOT,short,2024-01-20 11:00:00,2024-01-21 01:00:00,-0.0191544224407562
RUNE,HOT,long,2024-01-21 11:00:00,2024-01-21 22:00:00,-0.0143144530305215
RUNE,HOT,short,2024-01-21 23:00:00,2024-01-22 17:00:00,0.0481962341169309
RUNE,HOT,short,2024-01-22 21:00:00,2024-01-23 01:00:00,-0.0037854934794818
RUNE,HOT,long,2024-01-23 03:00:00,2024-01-25 05:00:00,-0.0111733005981251
RUNE,HOT,long,2024-01-26 10:00:00,2024-01-27 07:00:00,0.0074784176531454
RUNE,HOT,long,2024-01-28 08:00:00,2024-01-28 14:00:00,-0.0199983678904448
RUNE,HOT,short,2024-01-29 04:00:00,2024-01-29 12:00:00,-0.0042204048576125
RUNE,HOT,long,2024-01-29 21:00:00,2024-02-01 00:00:00,0.033273974104429
RUNE,HOT,short,2024-02-01 02:00:00,2024-02-02 11:00:00,-0.0092227267687723
RUNE,HOT,short,2024-02-02 17:00:00,2024-02-04 01:00:00,-0.0031753258705243
RUNE,HOT,long,2024-02-04 11:00:00,2024-02-05 02:00:00,-0.0208051887183686
RUNE,HOT,long,2024-02-05 11:00:00,2024-02-06 03:00:00,-0.0040650462481696
RUNE,HOT,long,2024-02-08 00:00:00,2024-02-08 05:00:00,0.0045263575501316
RUNE,HOT,short,2024-02-08 05:00:00,2024-02-08 13:00:00,0.00129115576362
RUNE,HOT,long,2024-02-08 14:00:00,2024-02-10 03:00:00,0.1148062101538524
RUNE,HOT,short,2024-02-10 04:00:00,2024-02-10 19:00:00,0.0026707379476625
RUNE,HOT,short,2024-02-10 22:00:00,2024-02-11 03:00:00,-0.0265145215434349
RUNE,HOT,long,2024-02-11 20:00:00,2024-02-12 11:00:00,-0.016833437222569
RUNE,HOT,long,2024-02-13 00:00:00,2024-02-13 04:00:00,-0.014744093116469
RUNE,HOT,short,2024-02-13 12:00:00,2024-02-14 09:00:00,-0.0331888868417826
RUNE,HOT,long,2024-02-14 11:00:00,2024-02-14 23:00:00,-0.0152811962351193
RUNE,HOT,short,2024-02-15 06:00:00,2024-02-15 15:00:00,-0.0178608069993607
RUNE,HOT,long,2024-02-16 00:00:00,2024-02-16 09:00:00,0.009580911611758
RUNE,HOT,short,2024-02-16 10:00:00,2024-02-17 02:00:00,0.0230208819180899
RUNE,HOT,short,2024-02-17 05:00:00,2024-02-17 06:00:00,-0.0117913625576816
RUNE,HOT,short,2024-02-17 07:00:00,2024-02-17 08:00:00,-0.0033006196906059
RUNE,HOT,short,2024-02-17 09:00:00,2024-02-18 16:00:00,0.0072450959918916
RUNE,HOT,short,2024-02-18 18:00:00,2024-02-20 13:00:00,0.0092736367853292
RUNE,HOT,short,2024-02-21 00:00:00,2024-02-21 05:00:00,0.012915842198242
