week_start,RUNE
2024-01-08,10
2024-01-15,7
2024-01-22,4
2024-01-29,5
2024-02-05,7
2024-02-12,10
2024-02-19,7
2024-02-26,6
2024-03-04,8
2024-03-11,8
2024-03-18,2
2024-03-25,6
2024-04-01,3
2024-04-08,7
2024-04-15,4
2024-04-22,4
2024-04-29,3
2024-05-06,4
2024-05-13,5
2024-05-20,3
2024-05-27,4
2024-06-03,5
2024-06-10,4
2024-06-17,2
2024-06-24,3
2024-07-01,5
2024-07-08,3
2024-07-15,9
2024-07-22,5
2024-07-29,6
2024-08-05,3
2024-08-12,8
2024-08-19,6
2024-08-26,5
2024-09-02,5
2024-09-09,6
2024-09-16,8
2024-09-23,8
2024-09-30,6
2024-10-07,10
2024-10-14,5
2024-10-21,5
2024-10-28,8
2024-11-04,5
2024-11-11,5
2024-11-18,3
2024-11-25,7
2024-12-02,11
2024-12-09,3
2024-12-16,3
2024-12-23,1
2024-12-30,4
2025-01-06,2
2025-01-13,7
2025-01-20,5
2025-01-27,6
2025-02-03,3
2025-02-10,6
2025-02-17,6
2025-02-24,6
2025-03-03,7
2025-03-10,4
2025-03-17,8
2025-03-24,6
2025-03-31,4
2025-04-07,3
2025-04-14,5
2025-04-21,7
2025-04-28,5
2025-05-05,8
2025-05-12,5
2025-05-19,6
2025-05-26,5
2025-06-02,4
2025-06-09,6
2025-06-16,3
2025-06-23,3
2025-06-30,2
2025-07-07,2
2025-07-14,5
2025-07-21,3
2025-08-04,1
2025-08-11,5
2025-08-18,3
2025-08-25,1
