week_start,coin_top_1,coin_top_1_count,coin_top_2,coin_top_2_count,coin_top_3,coin_top_3_count,coin_top_4,coin_top_4_count,coin_top_5,coin_top_5_count,coin_top_6,coin_top_6_count,coin_top_7,coin_top_7_count,coin_top_8,coin_top_8_count,coin_top_9,coin_top_9_count,coin_top_10,coin_top_10_count,total_trades_week,active_coins_week
2024-01-08,RUNE,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,10,1
2024-01-15,RUNE,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,7,1
2024-01-22,RUNE,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1
2024-01-29,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2024-02-05,RUNE,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,7,1
2024-02-12,RUNE,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,10,1
2024-02-19,RUNE,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,7,1
2024-02-26,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2024-03-04,RUNE,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,8,1
2024-03-11,RUNE,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,8,1
2024-03-18,RUNE,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,1
2024-03-25,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2024-04-01,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2024-04-08,RUNE,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,7,1
2024-04-15,RUNE,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1
2024-04-22,RUNE,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1
2024-04-29,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2024-05-06,RUNE,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1
2024-05-13,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2024-05-20,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2024-05-27,RUNE,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1
2024-06-03,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2024-06-10,RUNE,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1
2024-06-17,RUNE,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,1
2024-06-24,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2024-07-01,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2024-07-08,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2024-07-15,RUNE,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,9,1
2024-07-22,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2024-07-29,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2024-08-05,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2024-08-12,RUNE,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,8,1
2024-08-19,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2024-08-26,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2024-09-02,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2024-09-09,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2024-09-16,RUNE,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,8,1
2024-09-23,RUNE,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,8,1
2024-09-30,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2024-10-07,RUNE,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,10,1
2024-10-14,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2024-10-21,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2024-10-28,RUNE,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,8,1
2024-11-04,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2024-11-11,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2024-11-18,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2024-11-25,RUNE,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,7,1
2024-12-02,RUNE,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,11,1
2024-12-09,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2024-12-16,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2024-12-23,RUNE,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1
2024-12-30,RUNE,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1
2025-01-06,RUNE,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,1
2025-01-13,RUNE,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,7,1
2025-01-20,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2025-01-27,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2025-02-03,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2025-02-10,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2025-02-17,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2025-02-24,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2025-03-03,RUNE,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,7,1
2025-03-10,RUNE,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1
2025-03-17,RUNE,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,8,1
2025-03-24,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2025-03-31,RUNE,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1
2025-04-07,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2025-04-14,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2025-04-21,RUNE,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,7,1
2025-04-28,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2025-05-05,RUNE,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,8,1
2025-05-12,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2025-05-19,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2025-05-26,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2025-06-02,RUNE,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,1
2025-06-09,RUNE,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,6,1
2025-06-16,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2025-06-23,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2025-06-30,RUNE,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,1
2025-07-07,RUNE,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,1
2025-07-14,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2025-07-21,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2025-08-04,RUNE,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1
2025-08-11,RUNE,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,1
2025-08-18,RUNE,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,1
2025-08-25,RUNE,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1
