reference_coin,trading_coin,trading_type,is_sharpe,is_return,is_trades,oos_trades,oos_total_return,oos_mean_return
ALGO,AAVE,both,3.751623,1.495984,67,271,2.269274,0.008374
ANKR,AAVE,both,2.657621,0.976713,68,290,1.426584,0.004919
AVAX,AAVE,both,2.795074,0.705530,62,284,0.762294,0.002684
BEL,AAVE,both,2.492706,0.577508,79,287,1.202535,0.004190
BNB,AAVE,both,2.187190,1.002778,60,232,3.293574,0.014196
BNT,AAVE,both,3.656339,1.247624,62,192,2.665693,0.013884
BTC,AAVE,both,3.842868,1.677838,60,231,2.529791,0.010951
COMP,AAVE,both,5.302912,2.808013,67,246,-1.624136,-0.006602
DASH,AAVE,both,3.510135,1.969317,53,253,2.903842,0.011478
DATA,AAVE,both,3.087518,1.123003,77,320,0.414575,0.001296
DIA,AAVE,both,2.267692,0.500879,72,314,0.491321,0.001565
DOGE,AAVE,both,2.467229,0.655928,71,285,0.233435,0.000819
DOT,AAVE,both,2.218918,0.635066,67,250,1.455671,0.005823
DUSK,AAVE,both,4.055941,1.601696,80,324,2.572935,0.007941
ENJ,AAVE,both,3.543130,1.355313,68,280,1.316442,0.004702
ETC,AAVE,both,3.602710,1.303862,67,231,2.157291,0.009339
ETH,AAVE,both,3.199468,0.892345,63,187,1.071557,0.005730
FET,AAVE,both,2.531215,0.617998,71,347,-0.296103,-0.000853
FIL,AAVE,both,3.118995,0.977565,73,293,0.317353,0.001083
FLM,AAVE,both,3.745224,1.355137,69,274,1.280097,0.004672
FTT,AAVE,both,3.676472,2.031494,61,231,2.692723,0.011657
HIVE,AAVE,both,3.343699,1.172777,77,329,1.646086,0.005003
IOST,AAVE,both,2.607368,0.648759,72,270,0.977307,0.003620
IOTA,AAVE,both,4.496697,1.602695,70,280,2.039800,0.007285
IOTX,AAVE,both,2.870979,1.198178,67,325,0.104857,0.000323
JST,AAVE,both,4.903910,3.046852,71,277,1.140218,0.004116
KNC,AAVE,both,3.600502,1.160470,74,253,1.515821,0.005991
LRC,AAVE,both,2.133190,0.522216,72,283,0.266142,0.000940
LSK,AAVE,both,2.919282,0.779005,81,298,1.621677,0.005442
LUNA,AAVE,both,4.678744,2.104254,111,330,1.863731,0.005648
MBL,AAVE,both,3.094422,0.955173,80,322,1.287709,0.003999
MKR,AAVE,both,2.127780,0.865739,66,248,-0.862351,-0.003477
NEO,AAVE,both,2.620446,0.705008,66,240,1.959828,0.008166
NMR,AAVE,both,2.489655,0.935662,77,366,0.271919,0.000743
OGN,AAVE,both,3.735822,1.492785,70,274,1.459579,0.005327
ONE,AAVE,both,3.128372,0.991392,77,300,1.420809,0.004736
ONT,AAVE,both,2.982277,0.863315,64,274,0.531619,0.001940
OXT,AAVE,both,2.978331,0.764166,80,349,2.074842,0.005945
QTUM,AAVE,both,4.129981,1.820150,59,261,1.445593,0.005539
ROSE,AAVE,both,2.153434,0.178443,43,352,0.391838,0.001113
RSR,AAVE,both,2.555404,0.680647,64,266,0.202003,0.000759
RVN,AAVE,both,2.628109,1.173442,70,277,0.806898,0.002913
SAND,AAVE,both,3.374700,1.312325,69,293,2.421811,0.008266
SC,AAVE,both,2.031751,0.452412,83,278,1.978364,0.007116
SOL,AAVE,both,2.203025,0.550621,61,292,0.504461,0.001728
STORJ,AAVE,both,5.002637,1.691899,67,310,0.719498,0.002321
SUN,AAVE,both,2.566849,0.796756,69,337,1.663842,0.004937
TFUEL,AAVE,both,4.840492,2.526195,87,320,0.958403,0.002995
THETA,AAVE,both,5.930511,2.803779,66,284,0.679420,0.002392
TRB,AAVE,both,3.519623,1.185490,68,295,1.808633,0.006131
TRX,AAVE,both,4.592351,2.598163,56,241,1.679127,0.006967
UMA,AAVE,both,3.887834,1.779934,68,298,0.207814,0.000697
UNI,AAVE,both,2.125848,0.446281,61,228,0.283134,0.001242
UTK,AAVE,both,2.353632,0.592286,75,331,0.732491,0.002213
WAN,AAVE,both,2.496248,0.683546,74,272,0.945558,0.003476
WIN,AAVE,both,2.813804,1.027161,67,308,-0.209362,-0.000680
XRP,AAVE,both,3.859895,1.588102,63,259,2.170475,0.008380
XTZ,AAVE,both,4.050878,1.154189,71,255,1.555999,0.006102
XVS,AAVE,both,2.600368,0.740177,82,322,-0.130306,-0.000405
ZEC,AAVE,both,2.551211,0.604244,61,284,3.138136,0.011050
ZIL,AAVE,both,2.160283,0.529999,74,283,-0.829811,-0.002932
AAVE,ADA,both,3.205407,0.699442,64,246,1.684226,0.006846
BEL,ADA,both,4.763366,2.475711,93,312,0.666681,0.002137
COMP,ADA,both,2.574553,1.839641,156,280,1.302178,0.004651
CTK,ADA,both,2.893140,0.451602,52,305,-0.174852,-0.000573
FIO,ADA,both,2.290687,0.714784,110,317,0.962517,0.003036
FLM,ADA,both,2.080189,0.554549,73,280,1.764594,0.006302
INJ,ADA,both,3.754331,0.835826,76,334,-0.518104,-0.001551
JST,ADA,both,2.300520,0.960795,114,277,2.177110,0.007860
JUV,ADA,both,4.920696,0.037052,2,346,1.147171,0.003316
RUNE,ADA,both,2.521580,0.738366,110,291,0.307898,0.001058
SAND,ADA,both,2.440550,0.849620,127,299,3.004418,0.010048
SUSHI,ADA,both,2.267980,0.717513,89,271,0.194409,0.000717
UMA,ADA,both,2.006327,0.572078,98,308,1.365405,0.004433
UNI,ADA,both,2.090849,0.500079,82,266,1.176516,0.004423
UTK,ADA,both,2.599778,0.608638,90,312,-0.049021,-0.000157
XVS,ADA,both,6.056161,2.240138,69,309,-0.471752,-0.001527
BEL,ALGO,both,2.395558,0.591704,92,318,-0.681016,-0.002142
JUV,ALGO,both,2.370583,0.032281,5,361,-0.888684,-0.002462
PSG,ALGO,both,2.370583,0.032281,5,359,-0.911790,-0.002540
XVS,ALGO,both,3.675949,1.111009,86,329,-1.826017,-0.005550
JUV,ANKR,both,9.961370,0.049757,2,346,-0.409906,-0.001185
PSG,ANKR,both,5.504229,0.022063,2,321,0.698600,0.002176
UTK,ANKR,both,2.774564,0.760261,84,317,-2.052315,-0.006474
JUV,ARDR,both,22.004914,0.232192,2,346,-0.770619,-0.002227
PSG,ARDR,both,25.156295,0.253413,2,348,-0.302758,-0.000870
FIL,ARPA,both,3.021396,0.898218,71,327,-3.067302,-0.009380
GRT,ARPA,both,2.370235,0.061040,6,336,-2.858469,-0.008507
JUV,ARPA,both,3.413163,0.040974,6,362,-2.285784,-0.006314
