reference_coin,trading_coin,trading_type,sharpe_ratio,total_cumulative_return,num_trades
CELR,1INCH,both,2.000791,5.674676,294
FLUX,1INCH,both,3.472348,0.086790,14
HIGH,1INCH,both,5.619690,0.092114,7
PORTO,1INCH,both,2.614379,0.219460,28
VOXEL,1INCH,both,8.477740,0.233030,10
1INCH,AAVE,both,2.059947,5.026403,255
ADX,AAVE,both,3.811627,0.886939,50
AGLD,AAVE,both,2.598735,0.669771,74
ALCX,AAVE,both,9.192757,1.097421,19
ALGO,AAVE,both,2.731683,23.142089,338
AMP,AAVE,both,5.754072,0.593973,32
AUCTION,AAVE,both,5.086202,1.740544,51
AVA,AAVE,both,2.318357,12.001073,386
BAKE,AAVE,both,2.106861,2.008235,156
BAR,AAVE,both,3.240286,8.150724,224
BICO,AAVE,both,7.574691,0.548562,16
BNB,AAVE,both,2.827112,52.952775,292
BNT,AAVE,both,2.962458,31.316145,254
BTC,AAVE,both,2.817626,32.609222,291
CHESS,AAVE,both,4.763207,1.524554,54
CHR,AAVE,both,2.417407,16.027830,391
CITY,AAVE,both,5.461562,1.076139,40
CKB,AAVE,both,3.049918,14.010806,282
COTI,AAVE,both,2.646631,25.319482,379
CVX,AAVE,both,209.394658,0.113358,2
DASH,AAVE,both,2.950017,53.172556,306
DEXE,AAVE,both,2.443916,1.406033,137
DF,AAVE,both,2.042375,0.524089,91
DUSK,AAVE,both,2.867469,33.093217,404
DYDX,AAVE,both,2.478025,0.687796,93
ENS,AAVE,both,5.016386,1.029616,32
ETC,AAVE,both,2.583299,18.923064,298
FARM,AAVE,both,2.755116,1.497270,115
FIDA,AAVE,both,3.815750,1.320218,57
FLM,AAVE,both,2.025837,7.471403,343
FLOW,AAVE,both,2.278199,1.134598,133
FLUX,AAVE,both,6.884121,0.502796,18
FTT,AAVE,both,2.935217,43.780758,292
FXS,AAVE,both,7.084895,0.479352,13
GALA,AAVE,both,2.798933,0.944203,87
GHST,AAVE,both,2.328706,0.932212,121
GNO,AAVE,both,2.895839,1.326506,93
GTC,AAVE,both,3.194497,3.160340,177
HIGH,AAVE,both,7.389665,0.148398,9
IDEX,AAVE,both,3.141948,1.118791,101
ILV,AAVE,both,2.047661,0.507020,70
JASMY,AAVE,both,5.988654,1.057191,28
KNC,AAVE,both,2.129240,8.836955,327
LAZIO,AAVE,both,3.812604,1.134926,60
LPT,AAVE,both,3.251005,4.339561,205
