total_cumulative_return,growth_factor,profit_factor,max_drawdown,sharpe_ratio,volatility,num_trades,trading_coin,reference_coin,trading_type
0.201347,1.201347,1.787216,0.070094,3.534255,0.438610,39,1INCH,HFT,both
0.088008,1.088008,1.821532,0.055236,2.961246,0.513907,20,1INCH,HOOK,both
11.654521,12.654521,1.706339,0.254924,2.676415,0.910481,290,AAVE,AXS,both
6.640624,7.640624,1.430323,0.373059,2.021103,1.076294,395,AAVE,FUN,both
0.098057,1.098057,1.660913,0.062784,2.724569,0.607660,23,AAVE,HOOK,both
6.330895,7.330895,1.447681,0.457113,2.043402,1.034005,364,AAVE,TRX,both
0.303018,1.303018,1.568144,0.219288,2.240530,1.254054,37,ACA,HFT,both
0.125623,1.125623,2.163360,0.041642,3.081844,0.710023,21,ADA,HOOK,both
3.246184,4.246184,1.446148,0.371638,2.032391,0.692182,344,ADA,KNC,both
0.031511,1.031511,1.886926,0.019932,4.433487,0.238236,8,ADA,MAGIC,both
3.776497,4.776497,1.452575,0.278035,2.129576,0.702820,388,ADA,RIF,both
4.262924,5.262924,1.461960,0.404725,2.217631,0.715488,379,ADA,SUN,both
0.220439,1.220439,1.589010,0.123663,3.044366,0.571326,43,AGLD,HFT,both
3.837328,4.837328,1.682289,0.198884,2.998446,0.760133,223,ALGO,GMT,both
1.426434,2.426434,2.477644,0.115485,4.594882,0.979779,72,ALGO,GMX,both
0.484675,1.484675,1.637710,0.280552,2.524398,1.068065,59,ALGO,POLYX,both
5.313059,6.313059,1.488057,0.423490,2.070106,0.901733,312,ALICE,CHZ,both
7.244220,8.244220,1.509829,0.478585,2.220212,0.959311,299,ALICE,DASH,both
0.073434,1.073434,1.449947,0.105450,2.109885,0.648341,23,ALICE,HOOK,both
0.315848,1.315848,1.422316,0.267824,2.060673,0.733781,69,ANKR,GMX,both
0.166438,1.166438,1.593540,0.069983,2.538257,0.522345,37,ANKR,HFT,both
0.096692,1.096692,1.735936,0.073365,2.573349,0.712421,22,ANKR,HOOK,both
0.092112,1.092112,1.839740,0.070415,2.447573,0.719590,16,APE,HOOK,both
0.618959,1.618959,1.772158,0.141441,3.406954,0.728405,79,API3,GMX,both
0.141042,1.141042,1.808964,0.117823,3.094186,0.896479,23,API3,HOOK,both
0.398357,1.398357,1.463081,0.189251,2.392184,0.962236,58,APT,AGLD,both
1.109186,2.109186,2.135716,0.173137,3.469570,1.506428,57,APT,ALCX,both
0.873504,1.873504,1.908287,0.126150,4.116751,0.952160,59,APT,ATA,both
0.387691,1.387691,1.524241,0.196472,2.587107,0.845591,56,APT,BAL,both
1.021837,2.021837,2.246565,0.168586,4.741183,0.922076,55,APT,BICO,both
0.638142,1.638142,1.737480,0.277906,2.313337,1.685540,55,APT,CAKE,both
1.067761,2.067761,2.241419,0.223732,4.799901,0.927367,54,APT,CHR,both
0.409683,1.409683,1.537718,0.259969,2.353433,1.061621,46,APT,COTI,both
0.982418,1.982418,2.343328,0.102123,4.605536,0.908915,58,APT,DATA,both
0.594350,1.594350,1.589498,0.241807,2.420306,1.437867,60,APT,DIA,both
0.857568,1.857568,2.101413,0.271592,3.097587,1.365800,48,APT,DOT,both
0.287892,1.287892,1.406315,0.186423,2.062833,0.838113,57,APT,DYDX,both
0.527433,1.527433,1.748764,0.326806,3.198495,0.870951,52,APT,FET,both
0.451026,1.451026,1.574717,0.226277,2.598137,1.003436,51,APT,FLOW,both
0.980965,1.980965,2.121112,0.287866,2.675252,1.966674,57,APT,GHST,both
0.242516,1.242516,1.529369,0.110117,2.568192,0.807174,37,APT,HFT,both
0.163261,1.163261,1.882220,0.069558,3.635360,0.765747,22,APT,HOOK,both
0.488560,1.488560,1.619983,0.260891,2.236076,1.339523,49,APT,HOT,both
0.666904,1.666904,1.771416,0.235323,2.897196,1.199455,57,APT,ICP,both
0.556519,1.556519,1.624569,0.320186,2.663551,1.190186,57,APT,INJ,both
0.625087,1.625087,1.656365,0.205871,3.338578,0.948508,64,APT,KMD,both
0.568686,1.568686,1.698449,0.262299,2.713350,1.167833,55,APT,LOKA,both
0.620248,1.620248,1.772204,0.228676,2.494680,1.428320,51,APT,MBOX,both
0.366352,1.366352,1.383440,0.311712,2.327420,0.934024,69,APT,MDT,both
0.612499,1.612499,1.877291,0.257607,2.113945,1.860516,55,APT,MLN,both
0.585015,1.585015,1.646188,0.346492,3.044648,0.994769,58,APT,NEO,both
0.781871,1.781871,1.660441,0.465432,2.900205,1.405099,61,APT,NEXO,both
0.679657,1.679657,1.832583,0.316690,2.112261,2.104482,55,APT,NKN,both
0.746984,1.746984,1.877522,0.202009,2.311134,1.916860,70,APT,OXT,both
0.641925,1.641925,1.788855,0.289205,3.321942,0.957440,54,APT,PEOPLE,both
0.344961,1.344961,1.391185,0.310627,2.041697,1.087654,59,APT,PSG,both
0.507777,1.507777,1.532578,0.229860,2.371070,1.278659,61,APT,RAD,both
0.495897,1.495897,1.783867,0.195630,2.357662,1.203524,51,APT,SLP,both
0.535599,1.535599,1.629085,0.175456,2.703610,1.078574,54,APT,SUPER,both
0.915652,1.915652,1.992960,0.176260,3.016183,1.503757,59,APT,TFUEL,both
0.716928,1.716928,1.870405,0.162398,3.055503,1.186414,52,APT,THETA,both
0.434565,1.434565,1.510568,0.318600,2.120931,1.308413,61,APT,TRU,both
0.571661,1.571661,1.587523,0.320784,2.558226,1.265194,69,APT,TRX,both
0.950439,1.950439,2.057833,0.178653,4.262482,0.976566,60,APT,UTK,both
0.428419,1.428419,1.538000,0.273291,2.344609,1.113605,50,APT,WIN,both
0.934039,1.934039,2.010978,0.148056,4.069061,1.024234,54,APT,XVG,both
0.165680,1.165680,1.808971,0.079565,3.695602,0.725161,23,AR,HOOK,both
13.109139,14.109139,1.474087,0.478467,2.359595,1.178828,434,AR,SUN,both
5.975199,6.975199,1.481674,0.340829,2.146634,0.907143,343,ATOM,1INCH,both
0.797798,1.797798,2.104496,0.154414,4.295961,0.676121,64,ATOM,GMX,both
14.978547,15.978547,1.591920,0.430770,2.711386,1.008269,372,ATOM,TRX,both
0.087768,1.087768,1.562350,0.126112,2.143931,0.775717,22,AUDIO,HOOK,both
9.692345,10.692345,1.619905,0.368163,2.504376,0.919511,321,AVAX,1INCH,both
5.448798,6.448798,1.999064,0.239357,3.485488,0.789336,185,AVAX,APE,both
2.662331,3.662331,1.456434,0.378480,2.106716,0.824571,257,AVAX,API3,both
2.848410,3.848410,1.546121,0.428598,2.053027,0.828536,234,AVAX,EOS,both
8.447447,9.447447,1.468107,0.362457,2.167822,1.072962,413,AVAX,FUN,both
0.936423,1.936423,2.089563,0.209135,3.613507,0.964067,76,AVAX,GMX,both
0.100296,1.100296,1.611058,0.085343,2.659961,0.674797,20,AVAX,HOOK,both
4.830381,5.830381,1.413256,0.407056,2.008026,0.906728,380,AVAX,KAVA,both
16.774633,17.774633,1.701506,0.356949,2.813397,0.989790,347,AVAX,KNC,both
7.941477,8.941477,1.556742,0.345339,2.451883,0.865048,329,AVAX,LTC,both
8.145148,9.145148,1.609731,0.363965,2.411589,0.896759,295,AVAX,NEO,both
0.187297,1.187297,1.580160,0.162505,2.111796,0.614870,34,AVAX,OSMO,both
6.694938,7.694938,1.453957,0.317143,2.117770,0.991448,400,AVAX,REQ,both
6.678110,7.678110,1.512323,0.308052,2.326625,0.858320,319,AVAX,SHIB,both
0.457171,1.457171,1.445425,0.181327,2.138568,0.594446,102,AVAX,STG,both
9.550689,10.550689,1.631828,0.356969,2.552045,0.890013,314,AVAX,SUSHI,both
5.263996,6.263996,1.428073,0.355611,2.117309,1.166990,394,AVAX,TUSD,both
10.868919,11.868919,1.544024,0.497213,2.283784,1.131933,373,AXS,FUN,both
0.713692,1.713692,1.675216,0.316420,2.664942,1.194266,63,AXS,GMX,both
0.232309,1.232309,1.653188,0.100335,2.569481,1.030314,30,AXS,PHB,both
