total_cumulative_return,growth_factor,profit_factor,max_drawdown,sharpe_ratio,volatility,num_trades,trading_coin,reference_coin,trading_type
0.208513,1.208513,1.999011,0.087787,3.845296,0.732615,20,1INCH,BLUR,both
1.251268,2.251268,1.540116,0.221855,2.195539,0.560763,208,1INCH,LUNC,both
1.432959,2.432959,1.435720,0.281922,2.072834,0.686254,231,AAVE,CELR,both
1.420953,2.420953,1.468064,0.238351,2.240167,0.610150,232,AAVE,LUNC,both
1.428821,2.428821,1.541197,0.173173,2.464033,0.649114,207,AAVE,PEPE,both
0.600778,1.600778,1.407287,0.249541,2.025197,0.638576,134,AAVE,WBETH,both
2.036549,3.036549,1.571169,0.240135,2.534451,0.675750,223,AAVE,YFI,both
0.325012,1.325012,2.367348,0.159773,4.225300,2.018800,12,ACA,JTO,both
0.325992,1.325992,1.532505,0.244713,2.118969,1.360817,45,ACA,MEME,both
1.674676,2.674676,1.447473,0.395348,2.379440,0.643942,223,ACH,KNC,both
0.790644,1.790644,1.458232,0.200703,2.356156,0.697633,149,ACH,WLD,both
1.455626,2.455626,1.622917,0.219256,2.243084,0.618046,228,ADA,ALICE,both
1.299124,2.299124,1.466064,0.387070,2.157341,0.593964,273,ADA,API3,both
2.159427,3.159427,1.819831,0.229799,2.735890,0.633122,199,ADA,ATOM,both
0.366731,1.366731,1.948629,0.150064,4.007414,1.172828,28,ADA,BLUR,both
2.081470,3.081470,1.659676,0.305855,2.545274,0.676649,245,ADA,C98,both
1.446310,2.446310,1.605571,0.197641,2.306772,0.590656,223,ADA,CKB,both
1.346337,2.346337,1.563078,0.207037,2.063777,0.643346,269,ADA,FARM,both
1.354548,2.354548,1.533780,0.370334,2.011031,0.667265,271,ADA,FIO,both
1.867869,2.867869,1.718372,0.190957,2.594046,0.614612,218,ADA,GALA,both
1.256153,2.256153,1.536670,0.187632,2.000087,0.639010,217,ADA,LUNA,both
1.375194,2.375194,1.556025,0.217966,2.139697,0.631813,216,ADA,MASK,both
1.386244,2.386244,1.558542,0.310187,2.078160,0.653294,224,ADA,PEOPLE,both
1.348832,2.348832,1.615586,0.218580,2.083597,0.639482,212,ADA,SLP,both
0.537543,1.537543,1.420720,0.245288,2.001994,0.610248,139,ADA,WLD,both
1.362025,2.362025,1.661933,0.278373,2.043764,0.657368,209,ADA,XTZ,both
2.050224,3.050224,1.641391,0.275485,2.481252,0.696453,241,ADA,ZRX,both
0.078663,1.078663,1.779452,0.032319,3.522036,0.565256,15,ADX,JTO,both
0.003575,1.003575,1.491339,0.001638,3.036892,0.033164,12,AEUR,DIA,both
0.006828,1.006828,1.345413,0.009410,2.357818,0.066742,18,AEUR,RSR,both
0.010132,1.010132,1.588184,0.010907,3.437148,0.083318,15,AEUR,TRB,both
0.015912,1.015912,2.655344,0.004460,6.413919,0.060189,14,AEUR,USDC,both
25.841805,26.841805,2.373903,0.362539,3.897715,1.349023,225,AGLD,1INCH,both
8.072156,9.072156,1.760575,0.349681,2.986902,1.209692,242,AGLD,AAVE,both
13.241536,14.241536,1.932732,0.326039,3.294311,1.312831,247,AGLD,ACH,both
11.865839,12.865839,1.848550,0.316714,3.046674,1.412289,265,AGLD,ACM,both
21.608326,22.608326,2.079456,0.388566,3.759797,1.330119,248,AGLD,ADA,both
3.534649,4.534649,1.480441,0.486842,2.020191,1.460256,290,AGLD,ADX,both
11.626953,12.626953,1.917302,0.328529,3.116534,1.364665,235,AGLD,ALGO,both
18.424399,19.424399,1.989351,0.345001,3.928049,1.175654,269,AGLD,ALICE,both
11.996599,12.996599,1.892618,0.296937,3.221902,1.303764,272,AGLD,ALPINE,both
5.138380,6.138380,1.618228,0.403765,2.362610,1.386088,273,AGLD,AMP,both
9.275431,10.275431,1.778351,0.348336,2.849412,1.376873,265,AGLD,API3,both
13.264040,14.264040,2.027413,0.264826,3.528128,1.196139,238,AGLD,APT,both
9.997572,10.997572,1.799193,0.414470,3.051107,1.322325,232,AGLD,AR,both
23.058684,24.058684,2.190720,0.415588,4.002908,1.250026,230,AGLD,ARB,both
3.535759,4.535759,1.510462,0.448628,2.070597,1.382333,276,AGLD,ARDR,both
5.170877,6.170877,2.102027,0.171454,3.372559,1.569096,140,AGLD,ARKM,both
16.737576,17.737576,2.110321,0.330241,3.389601,1.385729,241,AGLD,ARPA,both
9.484396,10.484396,1.754489,0.326700,2.917307,1.373428,260,AGLD,ASR,both
5.368823,6.368823,1.639926,0.459652,2.319827,1.443033,260,AGLD,ASTR,both
6.868148,7.868148,1.684564,0.452063,2.696372,1.318962,264,AGLD,ATA,both
10.353401,11.353401,1.796754,0.374725,2.809931,1.494796,263,AGLD,ATM,both
27.482125,28.482125,2.205263,0.353208,3.834344,1.404543,264,AGLD,ATOM,both
17.561983,18.561983,2.097640,0.319081,3.812264,1.215247,237,AGLD,AUDIO,both
6.077885,7.077885,1.627640,0.421760,2.527857,1.363519,265,AGLD,AVA,both
11.414007,12.414007,1.838748,0.453526,3.263116,1.258209,237,AGLD,AXS,both
4.845579,5.845579,1.569933,0.407364,2.425498,1.275820,263,AGLD,BAKE,both
13.747154,14.747154,1.912445,0.286113,3.586905,1.195144,272,AGLD,BAL,both
14.008277,15.008277,1.879337,0.436350,3.192363,1.432703,243,AGLD,BAND,both
11.011311,12.011311,1.843734,0.408204,2.966844,1.414255,248,AGLD,BAR,both
19.491341,20.491341,2.129205,0.304216,3.714895,1.302570,243,AGLD,BAT,both
10.547186,11.547186,1.839908,0.356166,3.025942,1.354649,249,AGLD,BCH,both
0.973702,1.973702,2.427251,0.136805,4.981485,1.480025,41,AGLD,BEAMX,both
8.778929,9.778929,1.810185,0.362463,2.844287,1.378489,236,AGLD,BEL,both
15.391826,16.391826,2.036398,0.329480,3.505095,1.284935,251,AGLD,BICO,both
7.723470,8.723470,1.679573,0.495827,2.728279,1.393049,280,AGLD,BIFI,both
0.534353,1.534353,2.056407,0.200316,4.117877,1.809883,29,AGLD,BLUR,both
32.596095,33.596095,2.308711,0.415425,4.184236,1.316473,236,AGLD,BNB,both
9.743037,10.743037,1.902932,0.369217,2.975749,1.344694,232,AGLD,BNT,both
12.880578,13.880578,1.895734,0.446961,3.481668,1.220535,259,AGLD,BTC,both
13.170154,14.170154,1.864910,0.413096,3.085140,1.448974,254,AGLD,C98,both
23.554315,24.554315,2.128157,0.415563,3.864385,1.322394,225,AGLD,CAKE,both
12.853717,13.853717,2.006510,0.417260,3.215242,1.336052,220,AGLD,CELO,both
8.067687,9.067687,1.694070,0.447686,3.028354,1.206802,266,AGLD,CELR,both
5.699624,6.699624,1.616939,0.404827,2.500775,1.342491,256,AGLD,CHESS,both
8.795325,9.795325,1.733470,0.458044,3.117667,1.192522,258,AGLD,CHR,both
19.906658,20.906658,2.138056,0.309485,3.887228,1.236877,236,AGLD,CHZ,both
9.284462,10.284462,1.768350,0.455063,2.848940,1.397017,262,AGLD,CITY,both
10.832235,11.832235,1.874075,0.383119,3.074259,1.340744,245,AGLD,CKB,both
17.417830,18.417830,2.120782,0.392425,3.930417,1.159689,238,AGLD,COMP,both
18.984428,19.984428,2.155271,0.362805,3.577949,1.343927,258,AGLD,COS,both
14.851309,15.851309,1.979079,0.381110,3.225875,1.409977,237,AGLD,COTI,both
11.345422,12.345422,1.860381,0.498328,3.104328,1.363787,228,AGLD,CRV,both
7.043613,8.043613,1.697189,0.348025,2.605868,1.395474,245,AGLD,CTK,both
12.782609,13.782609,1.888096,0.363565,3.090081,1.420696,257,AGLD,CTSI,both
3.926075,4.926075,1.558076,0.460130,2.155936,1.366184,263,AGLD,CTXC,both
5.281611,6.281611,1.744497,0.376228,2.707537,1.376413,220,AGLD,CVC,both
3.643642,4.643642,1.547086,0.496043,2.086640,1.396879,235,AGLD,CVX,both
2.992855,3.992855,1.989854,0.315792,3.155225,1.566381,120,AGLD,CYBER,both
13.677481,14.677481,2.021380,0.456557,3.227953,1.390501,230,AGLD,DASH,both
10.140557,11.140557,1.785116,0.356273,2.951472,1.380020,271,AGLD,DCR,both
6.977048,7.977048,1.691819,0.380256,2.705780,1.325516,264,AGLD,DEGO,both
10.030883,11.030883,1.808606,0.489389,2.898853,1.408619,253,AGLD,DENT,both
6.474989,7.474989,1.648022,0.388438,2.627727,1.324130,273,AGLD,DEXE,both
9.741819,10.741819,1.826738,0.380885,3.132880,1.241230,248,AGLD,DGB,both
5.897187,6.897187,1.620042,0.463276,2.488926,1.397260,264,AGLD,DIA,both
9.303372,10.303372,1.841629,0.324095,2.826912,1.394868,253,AGLD,DODO,both
26.159921,27.159921,2.233138,0.339949,4.042300,1.286507,238,AGLD,DOGE,both
6.690095,7.690095,1.646841,0.440307,2.666041,1.315776,243,AGLD,DOT,both
13.888217,14.888217,1.951751,0.454554,3.210277,1.391240,253,AGLD,DUSK,both
31.527837,32.527837,2.321591,0.201483,4.337712,1.254819,243,AGLD,DYDX,both
8.115252,9.115252,1.842175,0.302706,3.013098,1.403646,219,AGLD,EDU,both
19.227094,20.227094,2.186874,0.330444,3.923976,1.204931,245,AGLD,EGLD,both
20.104570,21.104570,2.128185,0.319352,3.841047,1.258522,236,AGLD,ENJ,both
20.802817,21.802817,2.124447,0.469487,3.799560,1.286316,233,AGLD,ENS,both
14.660683,15.660683,1.927568,0.398700,3.431346,1.303909,253,AGLD,EOS,both
16.731941,17.731941,2.072748,0.447724,3.461987,1.342496,233,AGLD,ETC,both
16.911008,17.911008,1.944747,0.438196,3.560989,1.328378,251,AGLD,ETH,both
9.223598,10.223598,1.765630,0.419977,2.889622,1.353246,276,AGLD,FARM,both
1.530519,2.530519,1.588547,0.297731,2.107478,1.504784,163,AGLD,FDUSD,both
6.524868,7.524868,1.724277,0.384521,2.708354,1.289383,244,AGLD,FET,both
12.807985,13.807985,1.988558,0.261428,3.374690,1.262702,233,AGLD,FIL,both
11.195475,12.195475,1.830343,0.377254,3.025774,1.373506,287,AGLD,FIO,both
6.524525,7.524525,1.616927,0.382603,2.634519,1.352124,282,AGLD,FIRO,both
9.080808,10.080808,1.942333,0.399061,3.447354,1.296821,202,AGLD,FLOKI,both
5.727353,6.727353,1.674772,0.414938,2.491290,1.346811,235,AGLD,FLOW,both
7.845046,8.845046,1.725917,0.421935,2.672937,1.413939,262,AGLD,FLUX,both
8.161745,9.161745,1.697889,0.390755,2.909678,1.270868,281,AGLD,FORTH,both
11.133046,12.133046,1.856420,0.399124,3.190639,1.295532,236,AGLD,GALA,both
