trading_coin,reference_coin,trade_type,time_entered,time_exited,log_return
1000LUNC,IOTA,short,2024-01-08 01:00:00,2024-01-09 15:00:00,-0.0509517371107677
1000LUNC,IOTA,long,2024-01-10 19:00:00,2024-01-12 00:00:00,0.065993240040654
1000LUNC,IOTA,short,2024-01-12 01:00:00,2024-01-12 15:00:00,0.0620942470918005
1000LUNC,IOTA,short,2024-01-13 17:00:00,2024-01-14 07:00:00,0.0384231672913708
1000LUNC,IOTA,short,2024-01-17 17:00:00,2024-01-18 02:00:00,0.008851751689028
1000LUNC,IOTA,short,2024-01-18 08:00:00,2024-01-18 13:00:00,0.0631805993293713
1000LUNC,IOTA,long,2024-01-22 15:00:00,2024-01-23 10:00:00,-0.07620729669274
1000LUNC,IOTA,short,2024-01-23 14:00:00,2024-01-24 00:00:00,-0.0399662267934337
1000LUNC,IOTA,long,2024-01-24 10:00:00,2024-01-26 07:00:00,-0.0385798266406122
1000LUNC,IOTA,short,2024-01-26 09:00:00,2024-01-27 16:00:00,-0.0648657976323555
1000LUNC,IOTA,long,2024-01-27 18:00:00,2024-01-28 13:00:00,0.0049027063033791
1000LUNC,IOTA,short,2024-01-28 16:00:00,2024-01-29 05:00:00,0.0166098602035017
1000LUNC,IOTA,long,2024-01-29 07:00:00,2024-01-29 22:00:00,0.0250449608224814
1000LUNC,IOTA,short,2024-01-30 05:00:00,2024-01-30 15:00:00,0.0051880790817778
1000LUNC,IOTA,long,2024-01-31 02:00:00,2024-01-31 05:00:00,0.0087050577869196
1000LUNC,IOTA,short,2024-01-31 07:00:00,2024-01-31 15:00:00,0.0236758356852846
1000LUNC,IOTA,long,2024-02-01 03:00:00,2024-02-01 17:00:00,0.0137243496823997
1000LUNC,IOTA,short,2024-02-02 00:00:00,2024-02-02 10:00:00,0.0037668769036387
1000LUNC,IOTA,long,2024-02-02 14:00:00,2024-02-03 01:00:00,0.0281414040891097
1000LUNC,IOTA,short,2024-02-03 18:00:00,2024-02-04 10:00:00,0.0013838096504975
1000LUNC,IOTA,short,2024-02-04 12:00:00,2024-02-04 20:00:00,0.0246674228371039
1000LUNC,IOTA,short,2024-02-05 06:00:00,2024-02-05 13:00:00,0.0197019401060224
1000LUNC,IOTA,short,2024-02-05 17:00:00,2024-02-06 01:00:00,0.0373968883630247
1000LUNC,IOTA,long,2024-02-06 02:00:00,2024-02-07 03:00:00,0.0072787901404953
1000LUNC,IOTA,short,2024-02-07 07:00:00,2024-02-07 20:00:00,-0.0089087448891095
1000LUNC,IOTA,long,2024-02-08 01:00:00,2024-02-08 05:00:00,0.0155141496936316
1000LUNC,IOTA,short,2024-02-08 17:00:00,2024-02-09 07:00:00,-0.013297822696353
1000LUNC,IOTA,long,2024-02-09 18:00:00,2024-02-09 22:00:00,0.0170006343213634
1000LUNC,IOTA,long,2024-02-10 00:00:00,2024-02-10 02:00:00,0.0574112903111407
1000LUNC,IOTA,long,2024-02-10 02:00:00,2024-02-10 02:00:00,0.0
1000LUNC,IOTA,long,2024-02-13 00:00:00,2024-02-14 22:00:00,0.0067014714047953
1000LUNC,IOTA,short,2024-02-15 04:00:00,2024-02-16 07:00:00,-0.0632701260048588
1000LUNC,IOTA,long,2024-02-16 10:00:00,2024-02-16 20:00:00,-0.0221446033700109
1000LUNC,IOTA,short,2024-02-17 10:00:00,2024-02-18 04:00:00,-0.010334174720559
1000LUNC,IOTA,long,2024-02-18 06:00:00,2024-02-18 23:00:00,0.027373331518711
1000LUNC,IOTA,long,2024-02-19 02:00:00,2024-02-19 04:00:00,0.0282837970481613
1000LUNC,IOTA,long,2024-02-19 12:00:00,2024-02-21 09:00:00,-0.1002972997302925
1000LUNC,IOTA,short,2024-02-21 13:00:00,2024-02-22 07:00:00,-0.0401746226428923
1000LUNC,IOTA,short,2024-02-23 04:00:00,2024-02-23 17:00:00,-0.0045280610853823
1000LUNC,IOTA,short,2024-02-25 16:00:00,2024-02-26 05:00:00,0.0426941092188063
1000LUNC,IOTA,long,2024-02-26 19:00:00,2024-02-27 04:00:00,0.0210031954248316
1000LUNC,IOTA,long,2024-02-27 13:00:00,2024-02-28 10:00:00,0.0388289770264008
1000LUNC,IOTA,long,2024-02-28 14:00:00,2024-02-28 18:00:00,-0.0731603334761248
1000LUNC,IOTA,long,2024-02-28 21:00:00,2024-02-28 22:00:00,0.0423075598410126
1000LUNC,IOTA,short,2024-02-28 23:00:00,2024-02-29 19:00:00,-0.0471862152207595
