Trading Coin,Total Pairs,PF Mean,PF Median,PF Std,PF Min,PF Max,PF Above 1.0 (%),PF Above 1.2 (%),PF Above 1.5 (%),DD Mean (%),DD Median (%),DD Std (%),DD Best (%),DD Worst (%),DD Better than -10% (%),DD Better than -20% (%),DD Worse than -50% (%)
RUNE,135,1.046,1.045,0.022,0.993,1.098,96.296,0.000,0.000,-74.597,-75.207,10.135,-52.077,-94.922,0.000,0.000,100.000
MKR,135,1.037,1.038,0.024,0.977,1.115,94.074,0.000,0.000,-67.460,-67.236,9.600,-42.083,-92.349,0.000,0.000,97.037
DOGE,135,1.037,1.035,0.024,0.987,1.124,97.037,0.000,0.000,-85.689,-86.092,5.796,-57.277,-96.613,0.000,0.000,100.000
SAND,135,1.027,1.026,0.023,0.949,1.092,87.407,0.000,0.000,-83.688,-85.989,8.940,-61.820,-99.187,0.000,0.000,100.000
BAL,135,1.022,1.028,0.026,0.943,1.077,80.741,0.000,0.000,-70.477,-70.201,9.239,-49.367,-95.486,0.000,0.000,99.259
AAVE,135,1.022,1.024,0.026,0.943,1.079,80.000,0.000,0.000,-70.519,-70.429,10.768,-47.432,-95.983,0.000,0.000,97.778
ETC,135,1.021,1.020,0.026,0.947,1.087,80.000,0.000,0.000,-79.960,-80.056,11.873,-51.494,-98.551,0.000,0.000,100.000
FIL,135,1.021,1.022,0.024,0.957,1.086,82.222,0.000,0.000,-72.780,-72.838,9.932,-51.640,-96.635,0.000,0.000,100.000
MANA,135,1.019,1.019,0.025,0.924,1.075,77.778,0.000,0.000,-78.356,-79.001,9.693,-56.576,-96.549,0.000,0.000,100.000
ETH,135,1.017,1.019,0.024,0.945,1.078,79.259,0.000,0.000,-61.331,-60.308,12.691,-32.100,-95.269,0.000,0.000,81.481
BNB,135,1.016,1.017,0.024,0.928,1.077,77.037,0.000,0.000,-72.811,-73.169,11.160,-49.649,-96.921,0.000,0.000,99.259
IOST,135,1.012,1.011,0.025,0.936,1.070,72.593,0.000,0.000,-82.997,-83.017,8.857,-59.764,-99.576,0.000,0.000,100.000
SOL,135,1.011,1.012,0.022,0.954,1.074,67.407,0.000,0.000,-82.537,-82.696,7.355,-63.523,-97.110,0.000,0.000,100.000
LINK,135,1.010,1.013,0.023,0.945,1.064,68.148,0.000,0.000,-77.211,-76.581,12.758,-49.553,-99.675,0.000,0.000,99.259
CRV,135,1.009,1.010,0.021,0.932,1.064,68.148,0.000,0.000,-83.574,-85.703,9.501,-51.706,-99.234,0.000,0.000,100.000
CHR,135,1.008,1.009,0.022,0.949,1.061,63.704,0.000,0.000,-87.391,-88.245,5.987,-67.194,-98.451,0.000,0.000,100.000
BTC,135,1.007,1.007,0.021,0.946,1.067,60.741,0.000,0.000,-59.500,-59.296,10.459,-30.124,-88.945,0.000,0.000,83.704
ZEN,135,1.006,1.009,0.025,0.938,1.075,64.444,0.000,0.000,-79.265,-78.919,10.073,-51.425,-97.569,0.000,0.000,100.000
COMP,135,1.003,1.004,0.022,0.940,1.058,56.296,0.000,0.000,-82.370,-84.200,9.046,-51.315,-97.090,0.000,0.000,100.000
AXS,135,1.002,1.002,0.020,0.950,1.055,57.037,0.000,0.000,-84.871,-86.087,7.708,-64.088,-98.163,0.000,0.000,100.000
RSR,135,0.997,0.996,0.022,0.945,1.047,46.667,0.000,0.000,-87.348,-89.630,8.307,-64.222,-98.946,0.000,0.000,100.000
CTXC,135,0.997,0.997,0.024,0.949,1.057,45.185,0.000,0.000,-92.619,-93.805,5.625,-78.160,-99.778,0.000,0.000,100.000
FLM,135,0.996,0.996,0.024,0.936,1.057,42.963,0.000,0.000,-88.883,-90.172,7.826,-60.863,-99.398,0.000,0.000,100.000
IOTX,135,0.996,0.991,0.028,0.933,1.077,46.667,0.000,0.000,-93.890,-96.061,6.244,-74.527,-99.970,0.000,0.000,100.000
SXP,135,0.996,0.995,0.027,0.921,1.065,43.704,0.000,0.000,-81.951,-83.936,10.587,-53.659,-98.821,0.000,0.000,100.000
EGLD,135,0.995,0.997,0.023,0.931,1.055,44.444,0.000,0.000,-86.677,-88.666,8.263,-64.399,-98.769,0.000,0.000,100.000
TRB,135,0.995,0.996,0.022,0.936,1.053,41.481,0.000,0.000,-96.390,-97.400,3.280,-81.811,-99.907,0.000,0.000,100.000
